Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
"Signio, Inc. acquired by VeriSign","Signio, Inc.",VeriSign,"Dec 20, 1999","$733,000,000",Acquisition,Cash & Stock,"Signio, Inc. provides payment services connecting online merchants, business-to-business exchanges, payment processors.",—,Transaction Processing,"Mountain View, California, United States",—,—,M&A,—,"Verisign operates the infrastructure for the .com, .net, .tv, .cc, .name, .jobs, .edu and .gov top-level domains.","Cyber Security, Information Technology, Infrastructure, Internet, Security, Web Hosting","Bluemont, Virginia, United States",—,"$39,311,110",IPO,3
Creon Lab Control acquired by Waters Corporation,Creon Lab Control,Waters Corporation,"Jul 30, 2003","$16,000,000",Acquisition,—,CLC provides Laboratory Information Management Software solutions.,—,"Chemical, Pharmaceutical, Software","Frechen, Nordrhein-Westfalen, Germany",—,—,M&A,—,Waters Division creates business advantages for laboratory-dependent organizations by delivering ultra performance liquid chromatography.,Search Engine,"Milford, Massachusetts, United States",—,—,IPO,—
Schneller acquired by TransDigm,Schneller,TransDigm,"Aug 4, 2011","$288,500,000",Acquisition,Cash,"Schneller designs and manufactures proprietary, highly engineered laminates for commercial aircraft.",—,Aerospace,"Kent, Ohio, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Benzlers acquired by Textron,Benzlers,Textron,"Oct 27, 1999",—,Acquisition,—,"Benzlers is a manufacturer of mechanical power transmission products for the material handling, paper and food industries.",—,Machinery Manufacturing,"Helsingborg, Skane Lan, Sweden",—,—,M&A,—,"Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to","Aerospace, Finance, Industrial","Providence, Rhode Island, United States",—,—,IPO,—
Travelex Global Business Payments acquired by Western Union,Travelex Global Business Payments,Western Union,"Jul 5, 2011","£606,000,000",Acquisition,Cash,Travelex Global Business Payments provides business-to-business payment products and solutions.,—,"B2B, Financial Services","London, England, United Kingdom",—,—,M&A,—,"Western Union provides consumers and businesses with fast, reliable and convenient ways to send and receive money around the world.","Internet, Mobile Payments, Payments","Englewood, Colorado, United States",—,—,IPO,—
Infimed acquired by Varian Medical Systems,Infimed,Varian Medical Systems,"Mar 5, 2012",—,Acquisition,—,"Infimed, provides software and hardware for medical imaging.",—,"Hardware, Medical, Software, Wireless","Liverpool, Liverpool, United Kingdom",—,—,M&A,—,Varian Medical Systems is a manufacturer of medical devices and software for treating cancer and other medical conditions.,"Health Care, Manufacturing, Medical Device","Palo Alto, California, United States",—,—,IPO,—
Medtech SAS acquired by Zimmer Biomet,Medtech SAS,Zimmer Biomet,"Jul 18, 2016","€164,000,000",Acquisition,—,"Medtech designs, develops and markets a new generation of robotic assistance for the express purpose of improved surgical techniques.",—,"Health Care, Medical Device, Robotics","Le Lez, Bretagne, France",—,"€1,500,000",M&A,1,"Zimmer Biomet designs, develops, manufactures, and markets orthopedic reconstructive and spinal products.","Dental, Hardware, Health Care","Warsaw, Indiana, United States",—,"$1,000,000,000",IPO,1
AOL acquired by Verizon Communications,AOL,Verizon Communications,"May 12, 2015","$4,400,000,000",Acquisition,Cash & Stock,AOL is an online service provider and web portal,—,"Advertising Platforms, Apps, Content, Content Creators, Digital Media, Internet, News, Online Portals, Publishing, Search Engine, SEO, Video","New York, New York, United States",—,"$1,000,000,000",M&A,1,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,"Communications Infrastructure, Information Technology, Mobile, Telecommunications","New York, New York, United States",—,"$30,079,814,466",IPO,7
Predikto acquired by United Technologies,Predikto,United Technologies,"Aug 20, 2018",—,Acquisition,—,Automated machine learning to predict failures in industrial transportation equipment,—,"Information Technology, Predictive Analytics, Software, Transportation","Atlanta, Georgia, United States",—,"$7,625,000",M&A,3,United Technologies provides a broad range of high-technology products and services for the aerospace.,"Aerospace, Security, Smart Building, Transportation","Hartford, Connecticut, United States",—,"$3,500,000",IPO,2
Cam Tool LLC acquired by Textron,Cam Tool LLC,Textron,"Dec 3, 1999",—,Acquisition,—,"Cam Tool LLC operates as a designer and manufacturer of fastener tooling, specializing in critical part carbide and steel dies.",—,Machinery Manufacturing,"Detroit, Michigan, United States",—,—,M&A,—,"Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to","Aerospace, Finance, Industrial","Providence, Rhode Island, United States",—,—,IPO,—
Leasco Equipment Services acquired by United Rentals,Leasco Equipment Services,United Rentals,"Jul 22, 2009",—,Acquisition,—,"Leasco Equipment Services operates as an equipment rental, sales, and service company serving construction, power generation.",—,"Industrial, Rental","Marietta, Ohio, United States",—,—,M&A,—,United Rentals operates as an equipment rental company.,"Construction, Industrial, Rental","Stamford, Connecticut, United States",—,—,IPO,—
Jumbo Pictures acquired by The Walt Disney Company,Jumbo Pictures,The Walt Disney Company,Jan 1996,—,—,—,Jumbo Pictures is a company that was acquired by The Walt Disney Company in 1996.,—,Internet,—,—,—,M&A,—,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,Animation,"Lake Buena Vista, Florida, United States",—,—,IPO,—
Neff Corp. acquired by United Rentals,Neff Corp.,United Rentals,"Aug 16, 2017","$1,300,000,000",Acquisition,—,Neff is one of the largest and fastest growing equipment rental companies in the United States.,—,"Building Material, Construction, Manufacturing, Real Estate, Rental","Miami, Florida, United States",—,—,M&A,1,United Rentals operates as an equipment rental company.,"Construction, Industrial, Rental","Stamford, Connecticut, United States",—,—,IPO,—
Network Solutions acquired by VeriSign,Network Solutions,VeriSign,"Mar 7, 2000","$21,000,000,000",Acquisition,Stock,"Network Solutions provides domain registration, e-commerce, SEO, online promotion, hosting and email services for small businesses.",—,"Advertising, E-Commerce, Security, SEM, SEO, Web Development, Web Hosting","Herndon, Virginia, United States",—,—,M&A,2,"Verisign operates the infrastructure for the .com, .net, .tv, .cc, .name, .jobs, .edu and .gov top-level domains.","Cyber Security, Information Technology, Infrastructure, Internet, Security, Web Hosting","Bluemont, Virginia, United States",—,"$39,311,110",IPO,3
PHARMAQ AS acquired by Zoetis,PHARMAQ AS,Zoetis,"Nov 2, 2015","$765,000,000",Acquisition,—,PHARMAQ is a pharmaceutical company.,—,"Biotechnology, Health Care, Manufacturing, Therapeutics, Veterinary","Oslo, Oslo, Norway",—,—,M&A,—,Zoetis provides healthcare services for animal.,"Biotechnology, Health Care, Market Research","Jogeshwari, Maharashtra, India",—,—,IPO,—
ATL Research A/S acquired by Texas Instruments,ATL Research A/S,Texas Instruments,"Jun 15, 1999",—,Acquisition,—,"ATL is an independent research and development company specializing in radio frequency engineering, primarily for cellular communications.",—,—,"Aalborg, Nordjylland, Denmark",—,—,M&A,—,"Texas Instruments develops semiconductor and computer technology for cellular handsets, digital signal processors and analog semiconductors.","Computer, DSP, Semiconductor","Dallas, Texas, United States",—,—,IPO,—
Wicor acquired by WEC Energy Group,Wicor,WEC Energy Group,"Jun 29, 1999","$1,200,000,000",Acquisition,—,Wicor controls the state's biggest natural-gas supplier.,—,Oil and Gas,"Milwaukee, Wisconsin, United States",—,—,M&A,—,WEC Energy Group is one of the nation’s largest electric and natural gas delivery companies.,"Energy, Energy Efficiency","Milwaukee, Wisconsin, United States",—,—,IPO,—
Reclip.It acquired by Walmart,Reclip.It,Walmart,"Oct 1, 2013",—,Acquisition,—,Reclip.It is a social discovery site helping users save money by matching list items with digital coupons and weekly ads from retail stores.,—,"Consumer Reviews, Coupons, Social","Mountain View, California, United States",—,"$840,000",M&A,2,Walmart is a multinational retail corporation that operates several chains of discount department and warehouse stores.,"E-Commerce, Internet, Mobile, Retail, Retail Technology","Bentonville, Arkansas, United States",—,—,IPO,—
Irish Business Systems acquired by Xerox,Irish Business Systems,Xerox,"Jan 20, 2010",—,Acquisition,—,"IBS, a Xerox Company brings unrivalled expertise to the market, providing the full Xerox product and services portfolio",—,Information Technology,"Belfast, Belfast, United Kingdom",—,—,M&A,—,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
Altra Footwear acquired by VF,Altra Footwear,VF,"Mar 14, 2018",—,Acquisition,—,"Altra Footwear claims to have introduced “the first Zero Drop, fully cushioned, foot-shaped, gender-specific footwear line.",—,"Consumer Goods, Shoes, Sporting Goods, Wearables","Orem, Utah, United States",—,—,M&A,—,VF offers a diverse portfolio of iconic outdoor and activity-based lifestyle and work-wear brands.,"Fashion, Product Design, Shoes, Sports","Greenwood Village, Colorado, United States",—,"$680,611,554",IPO,1
tenXer acquired by Twitter,tenXer,Twitter,"Apr 2, 2015","$50,000,000",Acquisition,—,tenXer offers employees with productivity tools that enable them to measure their performances.,—,"Analytics, Computer, Gamification","San Francisco, California, United States",—,"$4,700,000",M&A,2,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",—,"$1,460,166,511",IPO,13
Visa Europe acquired by Visa,Visa Europe,Visa,"Oct 30, 2015","$23,300,000,000",Acquisition,Cash & Stock,"Visa Europe is a payment technology business that enables European consumers, businesses, and governments to make electronic payments.",—,"Banking, E-Commerce, Mobile, NFC, Payments","London, England, United Kingdom",—,—,M&A,—,Visa is an American multinational financial services company that facilitates electronic payment systems throughout the world.,"Financial Services, Internet, Payments","San Francisco, California, United States",—,—,IPO,1
BAMTECH Media acquired by The Walt Disney Company,BAMTECH Media,The Walt Disney Company,"Aug 8, 2017","$1,580,000,000",Acquisition,—,BAMTECH Media provides technology services and video streaming company previously formed by Major League Baseball (MLB).,—,"Advertising, Broadcasting, Digital Media, Internet, News, Sports, Video, Video Streaming","New York, New York, United States",—,"$1,000,000,000",M&A,1,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,Animation,"Lake Buena Vista, Florida, United States",—,—,IPO,—
VasoNova acquired by Teleflex,VasoNova,Teleflex,"Jan 10, 2011",—,—,—,"VasoNova develops, manufactures, and markets medical devices, including a self-guided PICC catheter.",—,"Health Care, Manufacturing, Medical Device","Menlo Park, California, United States",—,"$3,494,340",M&A,2,"Teleflex is a diversified global company, distinguished by a significant presence in healthcare, with niche businesses.","Health Care, Medical, Medical Device","Royersford, Pennsylvania, United States",—,"$400,000,000",IPO,1
Oakleaf Waste Management acquired by Waste Management,Oakleaf Waste Management,Waste Management,"Jul 28, 2011","$425,000,000",Acquisition,—,"Oakleaf Waste Management, LLC offers waste logistics and recycling solutions to customers in North America.",—,"Logistics, Recycling, Waste Management","East Hartford, Connecticut, United States",—,"$30,000,000",M&A,1,Waste Management is a provider of waste and environmental services in North America.,Waste Management,"Houston, Texas, United States",—,—,IPO,—
Reliable Environmental Transport acquired by Waste Management,Reliable Environmental Transport,Waste Management,"Feb 22, 2012",—,Acquisition,—,Reliable Environmental Transport has grown into one of the most respected full-service hazardous/non-hazardous waste transportation firms.,—,Transportation,"Bridgeport, West Virginia, United States",—,—,M&A,—,Waste Management is a provider of waste and environmental services in North America.,Waste Management,"Houston, Texas, United States",—,—,IPO,—
Luminary Micro acquired by Texas Instruments,Luminary Micro,Texas Instruments,"May 14, 2009",—,Acquisition,—,"Luminary Micro designs, markets and sells ARM Cortex-M3-based microcontrollers for energy, security, and connectivity markets.",—,"Energy, Manufacturing, Semiconductor","Austin, Texas, United States",—,"$44,000,000",M&A,3,"Texas Instruments develops semiconductor and computer technology for cellular handsets, digital signal processors and analog semiconductors.","Computer, DSP, Semiconductor","Dallas, Texas, United States",—,—,IPO,—
MakieLab acquired by The Walt Disney Company,MakieLab,The Walt Disney Company,"Feb 22, 2017",—,Acquihire,—,Custom character toys via games & apps.,—,"3D Printing, Mobile, Toys","London, England, United Kingdom",—,"$3,850,000",M&A,4,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,Animation,"Lake Buena Vista, Florida, United States",—,—,IPO,—
Blue Reference acquired by Waters Corporation,Blue Reference,Waters Corporation,"Aug 6, 2012","$14,000,000",Acquisition,Cash,Blue Reference is a Software firm.,—,Software,—,—,—,M&A,—,Waters Division creates business advantages for laboratory-dependent organizations by delivering ultra performance liquid chromatography.,Search Engine,"Milford, Massachusetts, United States",—,—,IPO,—
"Xorail, Inc acquired by Wabtec","Xorail, Inc",Wabtec,"Mar 16, 2010","$40,000,000",Acquisition,—,"Xorail, Inc. operates as a railway signal design and construction company.",—,"Apps, Construction, Project Management, Telecommunications","Jacksonville, Florida, United States",—,—,M&A,—,"Wabtec Corporation is a global provider of value-added, technology-based products and services primarily for the rail and transit industry.","Hardware, Manufacturing","Wilmerding, Pennsylvania, United States",—,—,IPO,—
Portland U-Rent-It acquired by United Rentals,Portland U-Rent-It,United Rentals,"Oct 3, 2008",—,Acquisition,—,"Portland U-Rent-It offers equipment sales, supplies, and rentals for construction, industrial, homeowner, and oilfields.",—,"Commercial, Industrial","Corpus Christi, Texas, United States",—,—,M&A,—,United Rentals operates as an equipment rental company.,"Construction, Industrial, Rental","Stamford, Connecticut, United States",—,—,IPO,—
Honeywell - lubrication and scavenge pump product line acquired by TransDigm,Honeywell - lubrication and scavenge pump product line,TransDigm,"Jan 12, 2001",—,Acquisition,—,Honeywell lubrication products include lubrication and scavenge pumps used on a range of commercial and defense aerospace platforms.,—,Machinery Manufacturing,"Cleveland, Ohio, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Vader Systems acquired by Xerox,Vader Systems,Xerox,"Feb 8, 2019",—,Acquisition,—,Liquid Metal 3D Printing with Magnetojet technology,—,"3D Printing, 3D Technology, Industrial Manufacturing, Manufacturing","Getzville, New York, United States",—,—,M&A,1,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
Eloquii acquired by Walmart,Eloquii,Walmart,"Oct 2, 2018","$100,000,000",Acquisition,Cash,"ELOQUII offers an online plus size clothing store featuring women's plus size fashion, clothes and accessories.",—,"E-Commerce, Fashion, Lifestyle, Retail, Women's","New York, New York, United States",—,"$25,000,000",M&A,6,Walmart is a multinational retail corporation that operates several chains of discount department and warehouse stores.,"E-Commerce, Internet, Mobile, Retail, Retail Technology","Bentonville, Arkansas, United States",—,—,IPO,—
Amici acquired by Xerox,Amici,Xerox,"Jun 14, 2006","$174,000,000",Acquisition,—,"Amici is a leading provider of electronic-discovery (e-discovery) services, primarily supporting litigation and regulatory compliance.",—,"Document Preparation, Ediscovery, Service Industry","Albany, New York, United States",—,—,M&A,—,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
Howe and Howe Technologies acquired by Textron,Howe and Howe Technologies,Textron,"Oct 26, 2018",—,Acquisition,—,Howe and Howe Technologies Inc. has become a world leader in extreme vehicle fabrication.,—,"Automotive, Consumer Electronics, Electronics, Information Technology, Manufacturing","Waterboro, Maine, United States",—,—,M&A,—,"Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to","Aerospace, Finance, Industrial","Providence, Rhode Island, United States",—,—,IPO,—
Social Point acquired by Take-Two Interactive,Social Point,Take-Two Interactive,"Feb 1, 2017","$276,000,000",Acquisition,Cash & Stock,Social Point is a social game developer providing social networks and mobile devices-enabled games.,—,"Gaming, Social, Video Games","Barcelona, Catalonia, Spain",—,"$44,711,476",M&A,5,"Take-Two Interactive Software is an American publisher, developer, and distributor of video games.","Online Games, PC Games, Publishing, Software, Sports, Video, Video Games","New York, New York, United States",—,—,IPO,—
Hotspots.io acquired by Twitter,Hotspots.io,Twitter,"Apr 17, 2012",—,—,—,Hotspots.io is a social media analytics startup that aims to help companies and individuals maximize their social media ROI.,—,"Analytics, Social Media","San Francisco, California, United States",—,—,M&A,—,Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”.,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",—,"$1,460,166,511",IPO,13
HumediQ acquired by Varian Medical Systems,HumediQ,Varian Medical Systems,"Aug 6, 2018",—,Acquisition,—,HumediQ focus is on quality assurance systems in radiotherapy.,—,Medical Device,"Grünwald, Bayern, Germany",—,—,M&A,—,Varian Medical Systems is a manufacturer of medical devices and software for treating cancer and other medical conditions.,"Health Care, Manufacturing, Medical Device","Palo Alto, California, United States",—,—,IPO,—
Sterilin acquired by Thermo Fisher Scientific,Sterilin,Thermo Fisher Scientific,"May 18, 2011",—,Acquisition,—,Sterilin is manufactures and supplies disposable plastic products.,—,"Chemical, Plastics and Rubber Manufacturing","Newport, Newport, United Kingdom",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
One Lambda acquired by Thermo Fisher Scientific,One Lambda,Thermo Fisher Scientific,"Jul 16, 2012",—,—,—,One Lambda develops and distributes several lines of histocompatibility (HLA) typing tests utilizing both serological and molecular,—,"Biotechnology, Consumer Electronics, Manufacturing, Robotics","Canoga Park, California, United States",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
"MyPoints, Inc. acquired by United Airlines","MyPoints, Inc.",United Airlines,"Nov 5, 2001","$112,000,000",Acquisition,Cash,MyPoints is the pioneer and leader of online shopping rewards.,—,"E-Commerce, Internet, Loyalty Programs","San Francisco, California, United States",—,"$10,000,000",M&A,2,"United Airlines and United Express operate approximately 5,000 flights each day to more than 370 destinations throughout the world.","Aerospace, Hospitality, In-Flight Entertainment, Public Transportation, Service Industry, Transportation, Travel","Chicago, Illinois, United States",—,—,IPO,—
Toccata Technology acquired by Texas Instruments,Toccata Technology,Texas Instruments,"Mar 16, 2000",—,Acquisition,—,"Toccata Technologies, Inc. is a fast growing mobile game and application company based in Columbus OH with the operation in Wuxi China.",—,Audio,"Copenhagen, Hovedstaden, Denmark",—,—,M&A,—,"Texas Instruments develops semiconductor and computer technology for cellular handsets, digital signal processors and analog semiconductors.","Computer, DSP, Semiconductor","Dallas, Texas, United States",—,—,IPO,—
Bio-Imaging Research acquired by Varian Medical Systems,Bio-Imaging Research,Varian Medical Systems,"May 24, 2007","$21,000,000",Acquisition,—,Bio-Imaging Research. designs and manufactures medical and industrial imaging systems for medical‚ industrial‚ and security applications.,—,Health Care,"Lincolnshire, Illinois, United States",—,—,M&A,—,Varian Medical Systems is a manufacturer of medical devices and software for treating cancer and other medical conditions.,"Health Care, Manufacturing, Medical Device","Palo Alto, California, United States",—,—,IPO,—
