created_at,full_text,lang,user_name
Wed Dec 18 21:38:19 +0000 2019,"In #electricvehicles, battery management systems (BMS) optimize miles per charge and maximize overall battery lifetime. With the battery accounting for about 40% of an EV's sticker price, a high-quality BMS is a must. Learn more. https://t.co/jyv3rsMeqK https://t.co/NSUoAwr7x8",en,"Analog Devices, Inc."
Mon Dec 16 19:11:35 +0000 2019,"With #5G comes a vastly more complex communication ecosystem. Premier customers rely on ADI's best-in-class technology and market-spanning domain knowledge to confront unknowns, overcome challenges and harness possibilities in this competitive new reality. https://t.co/248dENcqrL https://t.co/xHYUaMLibE",en,"Analog Devices, Inc."
Wed Dec 11 20:25:25 +0000 2019,"The LTC3376 offers high power, efficiency and flexibility in a general purpose, multi-channel power supply for industrial and telecommunications applications. https://t.co/3Sl8ojceHp #ADINewProduct https://t.co/i192xhQtSF",en,"Analog Devices, Inc."
Tue Dec 10 18:25:33 +0000 2019,What is an operational amplifier and what does it have to do with that triangle in our logo? @davekruh's got the answer on #EngineerZone. https://t.co/qpb98iuNbD https://t.co/uElLVN2Qu5,en,"Analog Devices, Inc."
Fri Dec 06 21:36:00 +0000 2019,High performance electric vehicles require high precision electronics. That's why @AutomobiliRimac chose ADI's battery management ICs for its EVs. Learn more. https://t.co/5LJTn8yktR https://t.co/Efk3SqkSxg,en,"Analog Devices, Inc."
Fri Dec 06 20:47:03 +0000 2019,Being innovative has its rewards. Innovating for impact is its own reward. https://t.co/zZzSlRPAc9 https://t.co/T1yQookOwi,en,"Analog Devices, Inc."
Fri Dec 06 17:01:42 +0000 2019,"Using our A2B® technology, Clockworks Signal Processing's A2B® module offers a multichannel signal processing platform to speed product development. To learn how Clockworks can aid in rapid #prototyping, check out issue no. 6 of the PartnerZone Post. https://t.co/4KL44av3sP https://t.co/1O58W4MH9i",en,"Analog Devices, Inc."
Tue Dec 03 18:36:54 +0000 2019,"LT8210: 100V VIN and VOUT Synchronous 4-Switch Buck‑Boost DC/DC Controller with Pass-Thru. Buck-boost reduces switching noise and power loss, while pass-thru mode eliminates switching losses. https://t.co/A3bHxYTmnB https://t.co/jQbBuBU7Xf",en,"Analog Devices, Inc."
Tue Dec 03 16:51:01 +0000 2019,"Your product design is almost complete, when suddenly you hear a voice: ""Just one more thing."" You've just become a character in ... The Tale of the Creeping Features. https://t.co/8SaHA1tj9L #EngineerZone https://t.co/hbYjtKG4yu",en,"Analog Devices, Inc."
Tue Nov 26 21:32:23 +0000 2019,RT @smartalix: Jens Sorensen of Analog Devices explains their demo showing synchronized motion control over a Gigabit TSN network at #SPS…,en,"Analog Devices, Inc."
Tue Nov 26 20:38:50 +0000 2019,"If you didn't catch us today @spsmesse, we'll be back in Hall 5, Booth 129 tomorrow at 0900 CET. If you're not at the show or just want to learn more about our new ADI Chronous™  industrial Ethernet suite, register for our #webcast on 12/5. https://t.co/LXXrAwgFNX #sps_live https://t.co/UMsEAuaPED",en,"Analog Devices, Inc."
Mon Nov 25 20:21:28 +0000 2019,RT @robinlgetz: New @MicrowavesRF article discusses how @MathWorks can be used with the @ADI_News #plutosdr to do signal identification. Ve…,en,"Analog Devices, Inc."
Mon Nov 25 20:01:32 +0000 2019,"LTM4668: Quad DC/DC µModule Regulator with Configurable 1.2A Output Array. Complete SiP solution with integrated switching controllers, power FETs, inductors and support components in a compact BGA package. https://t.co/dXIUOKjFxT #ADINewProduct https://t.co/RE71a6cFFo",en,"Analog Devices, Inc."
Mon Nov 25 14:01:38 +0000 2019,"The shortest distance between two points is a straight line — unless that line runs through a dangerous obstacle. On #EngineerZone, @davekruh explains how 3D Time of Flight saves the day. https://t.co/6Av2eQTIGB #ADINewProduct https://t.co/foYndDgchB",en,"Analog Devices, Inc."
Mon Nov 25 08:00:42 +0000 2019,"It's almost here — @spsmesse opens tomorrow! Come to Hall 5, Booth 129 to check out the new ADI Chronous™ family and catch Tom Weingartner and Jordon Woods presenting ""The Future of TSN in Industrial Networks"" at 2 p.m. in Hall 10.1, Booth 231. https://t.co/EDZtpvxnvS #sps_live https://t.co/LYca89y01i",en,"Analog Devices, Inc."
Fri Nov 22 20:34:20 +0000 2019,"Visit #EngineerZone to catch up on the latest from the ""Safety Matters"" blog series by industrial functional safety specialist Tom Meany. https://t.co/sBawzQDEsv https://t.co/20JzK8DeW5",en,"Analog Devices, Inc."
Fri Nov 22 18:25:38 +0000 2019,"In our quest for a more sustainable future, we're delivering #electricvehicle innovations that are driving the industry. https://t.co/4vk9UgDKnz https://t.co/LndIrw9U1t",en,"Analog Devices, Inc."
Fri Nov 22 14:00:00 +0000 2019,The newly redesigned myAnalog gives you personalized access to the full https://t.co/kFkDaKCqtB experience. Try it out today at https://t.co/3d72sXUZ71. https://t.co/uXC4kxyLSD,en,"Analog Devices, Inc."
Fri Nov 22 12:50:47 +0000 2019,"ADM3057E: 3 kV rms, signal and power Isolated, CAN transceiver with  isoPower® integrated, dc-to-dc converter. https://t.co/lb4pFLk6ap #ADINewProduct https://t.co/GHpHvi0j3A",en,"Analog Devices, Inc."
Thu Nov 21 15:43:25 +0000 2019,"The smallest footprint, lowest power and widest band on a single chip for both FDD and TDD systems: The new ADRV9026 Quad Channel RF transceiver simplifies system design and reduces development costs for base station applications. Learn more. https://t.co/70Qm6jRm3X #RadioVerse https://t.co/GyGROG4PGC",en,"Analog Devices, Inc."
Wed Nov 20 22:12:56 +0000 2019,"VP for Autonomous Transportation &amp; Automotive Safety Chris Jacobs speaks at Automotive https://t.co/Bat700eE3P in #Detroit tomorrow at 10 a.m.: Garbage In, Garbage Out — Enabling Technologies that will Define the Autonomous Vehicle Adoption Curve https://t.co/IlR1yAj5E6 https://t.co/AkhHa12qMd",en,"Analog Devices, Inc."
Tue Nov 19 19:02:15 +0000 2019,Just one week left until @spsmesse in #Nuremberg. Our industrial experts want to discuss your factory connectivity challenges and how our new ADI Chronous™ portfolio of industrial Ethernet solutions can help. Arrange a meeting: https://t.co/E5Al7KYuOQ https://t.co/LH5uMT0mbh,en,"Analog Devices, Inc."
Mon Nov 18 18:02:23 +0000 2019,"For the third year in a row, Analog Devices has been named to the @BostonGlobe list of Top Places to Work in #Massachusetts. https://t.co/cwSpIJLL3v https://t.co/bRmiUgqxtx",en,"Analog Devices, Inc."
Mon Nov 18 15:24:02 +0000 2019,"RT @LimerickChamber: Congratulations to the winner of Best Employer, sponsored by Limerick Chamber Skillnet, @ADI_News #LimerickBizAwards h…",en,"Analog Devices, Inc."
Fri Nov 15 21:07:25 +0000 2019,For those who are asking ... https://t.co/lxsRK6nKlk,en,"Analog Devices, Inc."
Fri Nov 15 17:25:44 +0000 2019,"Happy Friday, everyone. A poll for you to ponder this weekend: If we did a (somewhat) regularly scheduled Twitter chat around a big idea like #selfdrivingcars, #Industry40, #smartagriculture, #cybersecurity or #bigdata, would you tune in for it?",en,"Analog Devices, Inc."
Thu Nov 14 18:58:51 +0000 2019,"#WHITEPAPER: The next industrial revolution — driven by developments in #Industry40 and #autonomous systems — is upon us. Its growth depends on the evolution of the underlying RADAR, LIDAR and inertial sensing technology that makes autonomy possible. https://t.co/ihTQ1OetTd https://t.co/ckSpo7PCoT",en,"Analog Devices, Inc."
Wed Nov 13 19:43:36 +0000 2019,"RT @MAHIGHTECH: “For us, leadership defines culture.” - Margaret Seif from @ADI_News on how building a culture of fairness and inclusion he…",en,"Analog Devices, Inc."
Tue Nov 12 22:09:10 +0000 2019,"Today we added a robust, low-latency PHY technology to our ADI Chronous™ portfolio of industrial Ethernet solutions to help manufacturers address key #Industry40 communication challenges. We will showcase the ADIN1300 at SPS this month in Nuremberg. https://t.co/9GqxLVCSh2 https://t.co/9UWQycVMva",en,"Analog Devices, Inc."
Tue Nov 12 21:18:48 +0000 2019,"RT @mel_huber01: #EUW19 started today! Visit @ADI_News at booth Q130, pavilion 1 at Porte de Versailles Expo in Paris https://t.co/XbsX2wwO…",en,"Analog Devices, Inc."
