created_at,full_text,lang,user_name
Thu Dec 19 15:16:38 +0000 2019,Getting more cardboard packages this time of year?  We’re making it more #sustainable. Learn how ADM specialty starches can extend the life of recycled cardboard: https://t.co/Dl63qZ5Jnq #innovation https://t.co/kNvblZGQ8E,en,ADM
Wed Dec 18 15:32:29 +0000 2019,"Our South African peanut and tree nuts team earned a 2019 ADM CEO Leadership Award – our highest honor – for their phenomenal safety results. And, they’re musically gifted too. Turn up the volume! #TeamADM #onlyzeroisacceptable https://t.co/wydbDGKVWz",en,ADM
Mon Dec 16 15:52:24 +0000 2019,".@Pantone's #coloroftheyear, Classic #Blue, brings a sense of “peace, clarity and even protection."" We’ve got it. Learn more about our color capabilities: https://t.co/CiEoAq6i31 #pantone2020 https://t.co/sTbwdyJGdC",en,ADM
Thu Dec 12 15:28:13 +0000 2019,Our plant science team works with mint farmers to ensure a thriving mint future by supporting responsible land management. Learn how #TeamADM is driving sustainable #mint #innovation from the ground up: https://t.co/DjWgHQWGO3 https://t.co/RgkT6AW0kT,en,ADM
Wed Dec 11 15:45:29 +0000 2019,"@NowDecatur got an inside look at our new Animal Nutrition Technology Center, learning about how we’re using deep science &amp; cutting-edge tech to #innovate in nutrition for livestock, companion animals &amp; aquaculture https://t.co/tA4uovWQto https://t.co/O17w6ipBtZ",en,ADM
Tue Dec 10 15:00:29 +0000 2019,"We believe we play a role in protecting human rights &amp; can act as a force for change in the communities in which we operate. To address risks, we require all colleagues &amp; suppliers to comply with our Human Rights Policy. Learn more: https://t.co/ftT4i07m2J #StandUp4HumanRights https://t.co/U2tain0m7N",en,ADM
Fri Dec 06 17:31:28 +0000 2019,"“Pet food solutions &amp; labels are starting to mirror more &amp; more what the pet owners are thinking &amp; eating.”@Bloomberg reporter @Isiscarol14 toured our new Animal Nutrition Tech Center, learning about how we’re #innovating, creating fully-tailored solutions for #pet food customers https://t.co/n9tiM7W34s",en,ADM
Thu Dec 05 19:56:43 +0000 2019,"In Decatur, we’re growing our legacy of #innovation in Animal Nutrition. Our new Animal Nutrition Technology Center offers capabilities to enhance customer collaboration &amp; develop fully-tailored nutrition solutions, even 3D-printed pet treats! https://t.co/FzgSQETBRk https://t.co/00IgJ2B7cG",en,ADM
Thu Dec 05 15:16:37 +0000 2019,"We've packed meals, mentored young minds, hauled trash out of rivers and so much more. Thanks #TeamADM, for #volunteering around the world to benefit ADM communities. #ADMCares #InternationalVolunteerDay https://t.co/XrKCJeBNBJ",en,ADM
Wed Dec 04 13:17:36 +0000 2019,"New project 'Covantis', co-founded by ADM and powered by blockchain technology, aims to accelerate the modernization of agri-business trade by connecting players from across the industry. Visit: https://t.co/PjqJ7zN7iD https://t.co/8DFXuP3mzi",en,ADM
Tue Dec 03 23:07:32 +0000 2019,"@cc_canizales Hi @cc_canizales, thanks for reaching out. Please email us at media@adm.com with more info about what you need so we can connect you with the right person. Thanks!",en,ADM
Tue Dec 03 19:59:39 +0000 2019,ADM named a finalist at Fi Innovation Awards for working with farmers in South America to promote sustainable agriculture and biodiversity. #FiEurope19 https://t.co/UTEtFZCjc9,en,ADM
Tue Dec 03 15:10:16 +0000 2019,#GivingTuesday is all about helping others. We’re proud to be part of that effort today and every day. https://t.co/czLUGrBmEG,en,ADM
Tue Nov 26 18:51:43 +0000 2019,"The spirit of #giving is strong throughout #TeamADM all year, but we’re especially proud of our colleagues in Decatur who rallied together to help make this holiday season memorable for hundreds of local families #HappyThanksgiving #communitymatters https://t.co/lM2W8WbTMM",en,ADM
Fri Nov 22 15:00:13 +0000 2019,"Sometimes, #innovation requires us to think *inside* the box. Our South American team redesigned packaging for our bottled oils to use less cardboard, glue and energy required for production, helping reduce its environmental impact. #TeamADM https://t.co/11YABE1URC",en,ADM
Wed Nov 20 15:41:47 +0000 2019,"We cut the ribbon at our 5th animal nutrition facility in Vietnam, a rapidly growing market with significant potential, consolidating our 25-year long presence in the country. Learn more: https://t.co/FNqTiG3Xxw https://t.co/55KzYkoAFo",en,ADM
Tue Nov 19 15:45:51 +0000 2019,"As a member of Together We Grow, we’re happy to support TWG’s new research center @ColoradoStateU and the efforts of new executive director Kristin Kirkpatrick as we all work together to build a more skilled, diverse and inclusive ag workforce. https://t.co/QvQfDP9FE4 https://t.co/kZzdHHf81I",en,ADM
Fri Nov 15 15:11:09 +0000 2019,"Would you take a pie in the face for a great cause? That’s exactly what 10 ADM leaders did to support Thanksgiving food baskets for those in need in Macon County, surpassing their goal @byers_brian @nowdecatur @ADMCares https://t.co/XxgU0xfoRj #TeamADM https://t.co/N9GAoDG8Vp",en,ADM
Wed Nov 13 14:54:55 +0000 2019,"Our matcha drink, showcased at #fiasathailand, is the first in that country to offer #plantbased protein https://t.co/552cDrFU3T",en,ADM
Tue Nov 12 15:47:46 +0000 2019,"Last week, we broke ground on our new flavor production facility in Pinghu City, 90 km south west of Shanghai. It strengthens our capacity in flavor manufacturing, allowing us to better serve our customers across the APAC region. #nutrition #innovation https://t.co/wFJVbqwM5k",en,ADM
