created_at,full_text,lang,user_name
Thu Dec 19 17:04:21 +0000 2019,"@bitch_brina Hello Sabrina, we apologize for any inconvenience. We make repairs only when absolutely necessary to ensure reliable service in the future. If you have any further questions or concerns please send us a DM. Thanks. ^JR",en,AEP
Thu Dec 19 13:56:51 +0000 2019,"RT @YourKEDT: Tune in Friday, Dec. 20 at 7:30pm, “South Texas Leaders.”
This week's program host @LibbyAveryt , President and CEO of the @U…",en,AEP
Thu Dec 19 13:52:13 +0000 2019,RT @StarfishAssign: What a wonderful night with @ColumbusPolice at Heroes and Helpers. Thanks to @AEPOhio every child who needed a new coat…,en,AEP
Wed Dec 18 23:26:06 +0000 2019,"@Khent32 Hi Kyle, is there something we can assist you with? ^JR",en,AEP
Wed Dec 18 22:44:21 +0000 2019,@alysanewsome255 Ok thanks. ^JR,en,AEP
Wed Dec 18 21:26:57 +0000 2019,"@alysanewsome255 Hello alysa, sorry you feel this way. If you would like to discuss rates or energy savings tips we would be happy to speak with you. Please send us a DM. Thanks. ^JR",en,AEP
Wed Dec 18 20:40:41 +0000 2019,"@young_beautey_ I understand your concern, Jojo. The bill is based off of your usage. There are several factors such as weather and the number of days in your billing cycle that may cause your usage to vary. If you DM me your account information I would be happy to review your bill. ^DD",en,AEP
Wed Dec 18 15:08:01 +0000 2019,"#PhotoOfTheDay: Sunset at Rockport Plant 🌅 

Shawn Goodman captured the sunset behind the construction of selective catalytic reduction upgrades for Rockport's Unit 2. https://t.co/b8g395jaye",en,AEP
Wed Dec 18 12:02:24 +0000 2019,"@jennaelyse15 Hey Jen, just wondering if you are interested in having your account reviewed by a specialist and perhaps provide some energy saving tips. ^TH",en,AEP
Wed Dec 18 12:00:04 +0000 2019,"@Gotti_Wife Hello Courts, is something we can assist you with? ^TH",en,AEP
Tue Dec 17 14:42:01 +0000 2019,"#AEPJobs: Are you passionate about creating quality digital experiences that are effective, efficient, and enjoyable? We’re looking for a User Experience Consultant in Columbus, OH. Learn more and apply today at: https://t.co/543oNZpOUy https://t.co/iVl5FTosht",en,AEP
Tue Dec 17 14:16:45 +0000 2019,"RT @AEPOhio: Sometimes Santa needs a little help sharing holiday magic. For Christmas, our McConnelsville employees worked together to deli…",en,AEP
Tue Dec 17 12:55:18 +0000 2019,RT @FPConservatory: Don’t miss your chance to experience Conservatory Aglow! Open until 9pm through Jan. 4. For details visit https://t.co/…,en,AEP
Mon Dec 16 18:22:03 +0000 2019,"Students at Jenks Elementary in Tulsa, OK can spend some time learning in the sun thanks to a handy and caring group of PSO employees. They built an Outdoor Chalkboard for them as their act to #MakeADifference. ☀️ 🍎 https://t.co/QQAjRFPw1U",en,AEP
Mon Dec 16 14:25:53 +0000 2019,"@agdoll Good Morning, AmberRenee, we apologize for any inconvenience. Are you already speaking to an agent, or waiting to speak to someone? ^TH",en,AEP
Sun Dec 15 16:07:21 +0000 2019,@ChrisLaylin Thank you. I see we are currently investigating the situation and hope to have an update soon. ^TH,en,AEP
Sun Dec 15 15:58:48 +0000 2019,@ChrisLaylin Thank you.  Have you been experiencing momentary outages or flickering? ^TH,en,AEP
Sun Dec 15 15:54:05 +0000 2019,"@ChrisLaylin Hello, Chris, I would be more than happy to assist you? Are you able to send me a private message that includes your address and telephone. ^TH",en,AEP
Thu Dec 12 21:01:13 +0000 2019,"@D_Smitty21 Ok, no problem. Thanks for the update. ^JR",en,AEP
