created_at,full_text,lang,user_name
Thu Dec 19 21:57:00 +0000 2019,"@joanlu13 Hello Joan, please email us at CSU@aig.com so we can assist you with your account as soon as possible",en,AIG
Thu Dec 19 21:56:35 +0000 2019,"@OhGreenPop Gina, what product are you inquiring about?",en,AIG
Thu Dec 19 16:33:10 +0000 2019,"@OhGreenPop Hello Gina, please email us at GCMS@aig.com so we can assist you as soon as possible.",en,AIG
Thu Dec 19 15:34:21 +0000 2019,"@PragmaticAndy Hello Andy, we are very sorry to hear of your frustration. Please email us directly at CSU@aig.com for us to assist you directly as soon as possible.",en,AIG
Thu Dec 19 14:15:48 +0000 2019,"@Niamh_1989 Hello Niamh, please email us at GCMS@aig.com so we can assist you as soon as possible.",en,AIG
Wed Dec 18 15:40:29 +0000 2019,"AIG CEO Brian Duperreault and AIG’s Board of Directors are pleased to announce Peter Zaffino has been named President of AIG, while continuing as Global Chief Operating Officer and Chief Executive Officer of General Insurance. https://t.co/gdBnZOKLdQ",en,AIG
Wed Dec 18 15:03:33 +0000 2019,"@CherylALeonard Hi Cheryl, we are sorry to hear of your frustration. Please email us directly at CSU@aig.com so we can assist you with your concern.",en,AIG
Mon Dec 16 20:52:30 +0000 2019,"@SelenaCoppock Hi Selena, If you have any additional questions or concerns, please contact us at 1-800-826-1300 or socialmedia@travelguard.com. We are available to discuss our coverage and policy info anytime. Thank you.",en,AIG
Fri Dec 13 20:53:20 +0000 2019,"@uuminette Hi, Please contact us at 1-800-826-1300 for questions about your policy. Otherwise, you may email your policy/claim number and contact details (full name, phone, email address) to socialmedia@travelguard.com for further assistance. Thank you.",en,AIG
Fri Dec 13 14:39:02 +0000 2019,"@Kevinaura12 Hello Kevin, please email us at GCMS@aig.com so we can assist you with your claim in Kenya as soon as possible.",en,AIG
Thu Dec 12 16:48:29 +0000 2019,"@JCMedlong Hi, If you have any additional questions, please contact us at 1-800-826-1300 or socialmedia@travelguard.com. We are sorry to hear your feelings on this and available to discuss our coverage or policy info anytime. Thank you.",en,AIG
Wed Dec 11 16:54:31 +0000 2019,"@Iqra5280 Hi, Please contact us at 1-800-826-1300 or socialmedia@travelguard.com with any questions regarding your claim. Thank you.",en,AIG
Wed Dec 11 16:54:00 +0000 2019,"@searching1205 Hi Anim, we are sorry to hear of your frustration. Please email us directly at CSU@aig.com so we can assist you with your concern.",en,AIG
Wed Dec 11 16:30:04 +0000 2019,AIG Travel President &amp; CEO Jeff Rutledge speaks with the International Travel &amp; Health Insurance Journal (ITIJ) about the new technologies that are changing the travel insurance industry. Read the interview here: https://t.co/6FUrZaF0US,en,AIG
Tue Dec 10 22:10:35 +0000 2019,"@Iqra5280 Hi, We are sorry that our decision is not more favorable to you. Our Claims Department is available to talk through it if you have additional questions or concerns. Please contact us at 1-800-826-1300 or socialmedia@travelguard.com. Thank you.",en,AIG
Tue Dec 10 19:17:00 +0000 2019,"RT @AIGemea: In what’s become an AIG tradition, @ChoirOvation  led our BeingYou@AIG Pop-up Choir through a festive medley of Christmas hits…",en,AIG
Tue Dec 10 18:40:51 +0000 2019,"@CoghillNicola Hi, We are sorry to hear about the frustration you've experienced. If you have additional questions or concerns, please contact us at 1-800-826-1300 or socialmedia@travelguard.com so we can assist. Thank you",en,AIG
Tue Dec 10 18:40:00 +0000 2019,"@shadowcatsd Hello, we are very sorry to hear of your frustration. Please email us at CSU@aig.com so we can assist you with your claim as soon as possible.",en,AIG
Tue Dec 10 18:39:41 +0000 2019,"@RALPHMO41231270 Hello Ralph, please email us at GCMS@aig.com instead so we can assist you as soon as possible.",en,AIG
Tue Dec 10 17:37:17 +0000 2019,Congratulations to AIG’s Alessa Quane for being featured on this year’s IBA Hot 100 for her leadership and notable contributions to the insurance industry. 🏆 🏅 https://t.co/iUVckfm3vV,en,AIG
Mon Dec 09 20:08:15 +0000 2019,"Speaking to AIG’s Government Affairs and Public Policy team last month at the U.S. National Archives, our CEO Brian Duperreault stressed the importance of working collaboratively with government officials around the world to address key industry topics. #insurance #publicpolicy https://t.co/Iptt1uo6jj",en,AIG
Mon Dec 09 20:07:27 +0000 2019,"RT @BusInsMagazine: We are pleased to honor Benedetta Cossarini with @AIGinsurance, as a 2019 Woman to Watch #EMEA. Click through and learn…",en,AIG
Mon Dec 09 18:13:37 +0000 2019,"@mrjpcardona Hi, If you have any additional questions or concerns, please contact us at 1-800-826-1300 or socialmedia@travelguard.com. We are sorry to hear your feelings on this and are available to discuss our coverage and policy info anytime. Thank you.",en,AIG
Mon Dec 09 16:01:11 +0000 2019,"@EmmiOi2 Hello Emmanuel, please email us at GCMS@aig.com so we can look into your claim.",en,AIG
Fri Dec 06 21:08:00 +0000 2019,"@Rashidwo1 Hi Rashid, please email us at CSU@aig.com and we would be happy to assist you.",en,AIG
Fri Dec 06 18:42:04 +0000 2019,"@Tworth23 Hi, thank you for reaching out to us. You may call our sales department, Monday–Saturday, 6 AM to 4:30 PM Pacific Standard Time and can be reached directly at 800-888-2452.",en,AIG
Fri Dec 06 18:41:20 +0000 2019,"@neal_bec Hi Bec, We are happy to hear of your positive experience with AIG.  Have a great day!",en,AIG
Fri Dec 06 02:19:59 +0000 2019,"@ReisaMiller Hi Reisa, we are sorry to hear of your frustration. Please email us directly at CSU@aig.com so we can assist you with your concern.",en,AIG
Thu Dec 05 21:18:01 +0000 2019,"@Tworth23 Hi Tworth23, please visit our website https://t.co/bdssF3ssXW for the contact information regarding your policy.",en,AIG
Thu Dec 05 20:33:12 +0000 2019,"@myscotchclub Hi, We are sorry to hear your frustration. Please email your claim/policy number and contact details (full name associated with claim, phone, email) to socialmedia@travelguard.com so that we can look into it. You can also reach us at 1-800-826-1300. Thank you.",en,AIG
Thu Dec 05 20:32:32 +0000 2019,"@Tworth23 Hello, please email us at CSU@aig.com and we would be happy to assist you.",en,AIG
Thu Dec 05 18:11:02 +0000 2019,"At last month's #IAIS Annual Meeting, members came to an agreement on a new ICS standard. AIG's Tom Leonardi acknowledges this critical milestone, and offers thoughts on what should come next. https://t.co/j4zDXfFuRl",en,AIG
Wed Dec 04 20:45:14 +0000 2019,"@Aliceresponde Gracias por comunicarse con nosotros, envíenos un correo electrónico a GCMS@aig.com para obtener más ayuda.",es,AIG
Wed Dec 04 19:30:57 +0000 2019,"@AM_STAIR_DESIGN Hi, we are sorry to hear of your frustration. Please email us directly at CSU@aig.com so we can assist you with your policy",en,AIG
Tue Dec 03 21:46:27 +0000 2019,"Today, we’re recognizing our 600+ colleagues who foster an inclusive workplace for employees with disabilities by hosting conversations to reduce stigma &amp; raise awareness of their challenges as part of AIG’s eight global disAbilities &amp; Allies ERGs. #WorldDisabilityDay #IDPWP2019 https://t.co/dRLH8PowjQ",en,AIG
Tue Dec 03 15:46:42 +0000 2019,"RT @paulwalsh2609: “People are struggling with cyber because it’s not really a peril, it’s a threat and it can manifest itself in many diff…",en,AIG
Mon Dec 02 18:42:03 +0000 2019,It’s important to ask questions &amp; develop a plan to get to where you want to be. That’s the advice U.S. Air Force veteran &amp; AIG Associate Underwriter Eric Schmidt shared with veterans exploring corporate careers at a recent event cohosted by AIG &amp; ACP. #ProudPartners #ACPthanks https://t.co/yRUaTwkWrS,en,AIG
Mon Dec 02 18:02:10 +0000 2019,"@sharmaop_ggn Hello, please email us at GCMS@aig.com so we can assist you with your policy.",en,AIG
Mon Dec 02 18:02:00 +0000 2019,"@ejbean_ Hello Emma, please email us at GCMS@aig.com so we can assist you with your car insurance policy with us.",en,AIG
Wed Nov 27 14:54:05 +0000 2019,"@KhozaCebo Hello, please email us at GCMS@aig.com so we can assist you as soon as possible.",en,AIG
Mon Nov 25 22:14:25 +0000 2019,AIG announced the sale of a majority interest in run-off reinsurer Fortitude Re — another important step in our strategy to efficiently manage our legacy liabilities. https://t.co/qFOXwaVGRp,en,AIG
Mon Nov 25 16:22:52 +0000 2019,"@madelont Hi, we are sorry to hear about the frustration you've experienced. Would you mind emailing your contact info (full name associated with policy/email/phone) to socialmedia@travelguard.com so we can look into it? Thank you",en,AIG
Fri Nov 22 19:57:00 +0000 2019,"@JEpstein87 Hi, If you have any additional questions or concerns, please contact us at 1-800-826-1300 or socialmedia@travelguard.com. We are sorry to hear your feelings on this and are available to discuss our coverage and policy info anytime.",en,AIG
Fri Nov 22 19:54:21 +0000 2019,"@seanbrowneHunts Hi Sean, We request for our customers to properly file claim forms and supply required documents so that we can make coverage decisions under the terms and conditions of the policy. Please contact us 1-800-826-1300 or socialmedia@travelguard.com with any additional questions.",en,AIG
Fri Nov 22 15:50:00 +0000 2019,@SwtRochester Thank you Susie for reaching out to us. Please email us at CSU@aig.com so we can assist you further with your concern.,en,AIG
Fri Nov 22 14:35:57 +0000 2019,"@jacnthebox1 Hello Jacky, we are very sorry to hear of your frustration. Please email us at CSU@aig.com so we can assist you as soon as possible.",en,AIG
Wed Nov 20 14:08:41 +0000 2019,@CsarH8 Merci de nous contacter. Contactez-nous au via l’adresse email GCMS@aig.com pour plus d'assistance.,fr,AIG
Tue Nov 19 16:22:27 +0000 2019,"@StudioShuffle Hi, Because the Description of Coverage varies based on the plan purchased, coverage varies, too. If you have any additional questions or concerns, please contact us at 1-800-826-4919 or socialmedia@travelguard.com. Thank you.",en,AIG
