created_at,full_text,lang,user_name
Thu Dec 19 11:00:00 +0000 2019,"We're counting down our Top 3 Favorite @phantomhispeed video's from 2019. Here's #2:
https://t.co/dcxovUIkY5",en,AMETEK Inc.
Wed Dec 18 11:00:00 +0000 2019,"Watch how @Creaform helped @USA_Luge develop sleds for the Luge World Cup 2019:
https://t.co/L9WfJCqWdw",en,AMETEK Inc.
Tue Dec 17 11:00:00 +0000 2019,"Read about the latest innovation from our NCC team, the Flexible Fryer Control: https://t.co/g27Sgzv7h5 https://t.co/5dOJP8WDKg",en,AMETEK Inc.
Mon Dec 16 11:00:00 +0000 2019,"The team from AMETEK PDS recently purchased gifts for @CHOWC607, a local organization in Binghamton, NY. Their efforts provided gifts for dozens of children. Happy holidays to the team! https://t.co/HPIeK2FCNJ",en,AMETEK Inc.
Fri Dec 13 19:07:23 +0000 2019,"We're here today at @C2CPhiladelphia, helping get everyday essentials into the hands of hundreds of children in need. Learn more about the incredible organization here: https://t.co/RtfTTapal6

#AMETEKCares https://t.co/9OMofmA5RC",en,AMETEK Inc.
Fri Dec 13 14:30:00 +0000 2019,We're counting down our Top 3 Favorite @phantomhispeed video's from 2019. Here's #3: https://t.co/qKXbaatMid,en,AMETEK Inc.
Thu Dec 12 14:50:56 +0000 2019,"’Tis the season for team building! We recently held an HR leadership orientation at our headquarters 20 colleagues from across the globe. They spent two days collaborating, training and networking to improve their skills and help advance our company. Well done team! https://t.co/DnN1sophkv",en,AMETEK Inc.
Wed Dec 11 14:51:27 +0000 2019,@UWBerks @ametekmetals https://t.co/3sK5oiiwAd,und,AMETEK Inc.
Wed Dec 11 14:50:45 +0000 2019,RT @UWBerks: @AMETEKInc @ametekmetals We're so thankful for your support! https://t.co/E9QGIRyHk7,en,AMETEK Inc.
Wed Dec 11 14:30:00 +0000 2019,"Let's hear it for our @AMETEKMetals team for raising more than $45,000 for @UWBerks! Thank you to everyone who participated. You're helping build stronger communities for our colleagues and their neighbors. #LiveUnited https://t.co/FbKndKe1xF",en,AMETEK Inc.
Tue Dec 10 18:58:40 +0000 2019,"Congrats to @Chandlerengine for their very successful food drive for @BANeighbors, a long-standing partner and local non-profit based in Oklahoma. Well done, team! https://t.co/e5HAv1wNhV",en,AMETEK Inc.
Mon Dec 09 21:16:16 +0000 2019,Our @AMETEKPI team recently launched the WDV-V UOP/RP for oxygen measurement in continuous catalyst regeneration platforming. Learn more here: https://t.co/fxMgxb5tLA,en,AMETEK Inc.
Sat Dec 07 16:15:52 +0000 2019,Someone very special stopped by our office today! Breakfast with Santa was a huge success this year! https://t.co/joLRpJbUIF,en,AMETEK Inc.
Fri Dec 06 14:39:19 +0000 2019,Our @AtlasMTT team had a great turnout for their November seminar on stability testing for cosmetics and consumer goods. Thank you to everyone who participated! https://t.co/kOVcTsZ9Hw,en,AMETEK Inc.
