created_at,full_text,lang,user_name
Thu Dec 19 21:51:52 +0000 2019,"After taking a look at the flow velocity of the #MillenniumFalcon, it's easy to see how Han Solo made the Kessel Run in less than 12 parsecs. #TheRiseOfSkywalker https://t.co/wiRi77RyO7",en,ANSYS
Thu Dec 19 19:54:01 +0000 2019,ANSYS Mosaic technology automatically and conformally connects any type of mesh to any other type with general polyhedral elements. Check it out! https://t.co/hLvEsAtaar,en,ANSYS
Thu Dec 19 15:30:04 +0000 2019,Learn why #simulation users and companies are moving to the cloud. https://t.co/zmM6MhmnV8,en,ANSYS
Thu Dec 19 15:00:54 +0000 2019,Are you ready to share the road with #autonomous trucks? Here’s everything you should know about #selfdriving trucks. 🚚 #CES2020 https://t.co/f953krTrOR,en,ANSYS
Wed Dec 18 21:41:15 +0000 2019,"Physically testing an #autonomous aircraft can require flying billions of miles, but with simulations, you can test everything from concept to predictive maintenance... and everything in between! ✈️ https://t.co/crmHir7oU9",en,ANSYS
Wed Dec 18 18:58:01 +0000 2019,"Using #ANSYS #multiphysics #simulation, @Telma_retarder reduced the number of physical prototypes required for validating its braking systems from 10 to one. Learn how: https://t.co/MvBLUrBUaK",en,ANSYS
Wed Dec 18 14:29:00 +0000 2019,The 2 companies are working to extend @Microsoft @Azure #DigitalTwins with #ANSYS Twin Builder runtimes to improve the user experience of mutual customers. Learn more: https://t.co/1qAgztrMwY,en,ANSYS
Wed Dec 18 08:45:00 +0000 2019,How to reverse #engineer a part using scan-to-CAD #technology: https://t.co/u1yqRLjnL5,en,ANSYS
Tue Dec 17 18:59:01 +0000 2019,Engineers explore #aerospace materials for #additivemanufacturing that meet design needs. https://t.co/KLZuk9puYR,en,ANSYS
Tue Dec 17 09:22:01 +0000 2019,Thank you @AutonomousVT for selecting #ANSYS as the winner of the 2020 AVT ACES award for our Accelerated Doppler Processing simulation technology.  #simulation https://t.co/NiSI97lGrH,en,ANSYS
Tue Dec 17 08:12:01 +0000 2019,#Simulation allows Mobile Climate Control engineers to create heater valves that give occupants full control of cabin temperatures. Learn more. https://t.co/telYFqWzQy,en,ANSYS
Mon Dec 16 18:50:01 +0000 2019,"To understand what kept emergency devices from deploying fully during an offshore well catastrophe, researchers turned to #ANSYSmechanical and #ANSYSfluent to model fluid–structure interactions. https://t.co/iPS1BrIIDJ",en,ANSYS
Mon Dec 16 18:19:46 +0000 2019,Meanwhile in NYC...😉 https://t.co/mpCWE3FWzS https://t.co/Rr3W0yOFJO,en,ANSYS
Mon Dec 16 17:02:39 +0000 2019,RT @CFDBill: MagniX has taken flight! Proud of the role played by @ANSYS multiphysics #CFD Fluent #simulations to make this possible.  http…,en,ANSYS
Mon Dec 16 15:03:23 +0000 2019,We're officially joining some of the world's most successful and dynamic companies on the NASDAQ-100 Index! Check out our press release for all the details. https://t.co/zR2TJItPgo,en,ANSYS
Sun Dec 15 19:21:00 +0000 2019,"Coupled CFD-DEM #simulations provide #engineers with the understanding they need to optimize, predict and design related equipment and processes. https://t.co/VbU5G7LIp5",en,ANSYS
Sun Dec 15 14:16:00 +0000 2019,See how INDAR engineers' recent adoption of ANSYS Mosaic technology has greatly accelerated all stages of the team's simulation work. https://t.co/0Wj2Z3cBxc,en,ANSYS
Sat Dec 14 19:19:00 +0000 2019,Learn how to optimize headlamp designs for safety tests using #ANSYS #simulation tools and predict ratings early in the development process. https://t.co/770rqtVACw,en,ANSYS
Sat Dec 14 12:58:00 +0000 2019,How to automate shape optimization of car body designs: https://t.co/G9E3gWp0sL,en,ANSYS
Fri Dec 13 20:22:00 +0000 2019,FEA #simulation helps engineers assess and prevent PCB fatigue failures in PTHs and #microvias. Learn how: https://t.co/DKSgLaPukd,en,ANSYS
Fri Dec 13 17:32:00 +0000 2019,What will the Indy #autonomouscars challenge look like? https://t.co/TiH1ptBlQO,en,ANSYS
Fri Dec 13 05:10:00 +0000 2019,"With ANSYS CES EduPack, students can explore the complex interactions between a design’s shape and #material selection. #LearnANSYS https://t.co/Ooka9Ji2qX",en,ANSYS
Thu Dec 12 20:09:01 +0000 2019,Flux residue left after #soldering can lead to #electronics failures and current leakage. Learn how to assess the risk: https://t.co/54tiFdGEbR,en,ANSYS
Thu Dec 12 07:02:00 +0000 2019,Explore how @EVAPCO_Inc uses ANSYS Fluent to design new heat exchanger fins for its air-cooled condenser. https://t.co/V8scqR2naU,en,ANSYS
Wed Dec 11 14:29:00 +0000 2019,"To optimize and improve proton-exchange membrane (PEM) cells, a national project called ENHIGMA uses ANSYS Fluent as the fundamental tool to simulate the flow field in these #cells. Read more: https://t.co/ghyldFcXLA",en,ANSYS
Wed Dec 11 08:23:08 +0000 2019,"With more and more aircraft in our skies, the need to optimize operations and maintenance is critical. See how ANSYS Digital Twin solutions are enabling a new level of predictive maintenance. https://t.co/ceuMSADB4h https://t.co/yxKxYtmajH",en,ANSYS
Tue Dec 10 18:51:01 +0000 2019,GUC selected #ANSYS RedHawk-SC to drive design optimization and closure: https://t.co/rXwgIGe4d8,en,ANSYS
Tue Dec 10 08:11:00 +0000 2019,ANSYS and @CarnegieMellon partnered to create a space where engineering students can gain hands-on experience. https://t.co/OMXPS56kiA,en,ANSYS
Mon Dec 09 19:29:00 +0000 2019,"@Microsoft and ANSYS collaboration supports joint customers' adoption of @Azure #DigitalTwins, helping them to more accurately predict a product's future performance and reduce unscheduled downtime expenses. https://t.co/WVfoYxXQNX",en,ANSYS
Mon Dec 09 16:49:03 +0000 2019,Engineers turn to #simulation to design exterior and interior airplane lights. https://t.co/wbhkQFeJrv #VRXPERIENCE #ANSYSspeos #SPEOS,en,ANSYS
Mon Dec 09 04:05:01 +0000 2019,Learn how to avoid #automotive design challenges by leveraging #multiphysics simulation:  https://t.co/5jLpieQEOf https://t.co/VBKOnWNRbJ,en,ANSYS
Sun Dec 08 19:05:01 +0000 2019,"The aerospace industry needs simulation to design, test and certify aircraft that are lighter, quieter, electric and more aerodynamic. https://t.co/CectlhCIrn",en,ANSYS
Sun Dec 08 14:33:00 +0000 2019,#Engineers can gain agility and speed up development using #HPC clusters and cloud computing. https://t.co/WTgZRPIidS,en,ANSYS
Sun Dec 08 12:34:00 +0000 2019,We have the secret for making #fireworks shows look more spectacular!  https://t.co/orLbL3K4dF #simulation #happynewyear,en,ANSYS
Sat Dec 07 14:50:01 +0000 2019,"Here's how Roca, a global leader in #bathroom products, faces the significant engineering challenge of making incremental #design changes to a mature product line to meet evolving consumer needs and new regulatory requirements. https://t.co/6El7jKAYWL",en,ANSYS
Sat Dec 07 04:55:01 +0000 2019,Explore how @HummingbirdNano uses ANSYS pervasive engineering simulation to develop a unique fabrication technique for microfluidic chips: https://t.co/ovhkbshNKa,en,ANSYS
Fri Dec 06 20:36:00 +0000 2019,Discover how simulation speeds development at #CES2020. https://t.co/qGRa1aMCB2 #ANSYS #AnsysMobility #AnsysCES #AnsysCES2020 #Ansys50years,en,ANSYS
Fri Dec 06 10:48:00 +0000 2019,"""ANSYS CFD software provides an opportunity to consolidate #simulation #software and could lead to substantial cost savings by reducing licensing, support and training costs.""  @SchneiderElec https://t.co/tHRjzRh1t4",en,ANSYS
Thu Dec 05 19:45:02 +0000 2019,"Using #ANSYS #multiphysics #simulation, @Telma_retarder reduced the number of physical prototypes required for validating its braking systems from 10 to one. Learn how: https://t.co/MvBLUrBUaK",en,ANSYS
Thu Dec 05 15:37:01 +0000 2019,"77% of people would feel comfortable riding in a fully #autonomouscar within their lifetime, what about you? https://t.co/SDqqiwRBvF",en,ANSYS
Thu Dec 05 03:55:00 +0000 2019,"See how to design products interactively and how to reduce time-to-market with optical #simulations &amp; @NVIDIADesign : https://t.co/RC3oMNLwcg

#NVIDIARTX",en,ANSYS
Wed Dec 04 18:38:01 +0000 2019,Discover how simulation speeds development at #CES2020. https://t.co/qGRa1aMCB2 #ANSYS #AnsysMobility #AnsysCES #AnsysCES2020 #Ansys50years https://t.co/Ahox6tAioE,en,ANSYS
Wed Dec 04 12:47:00 +0000 2019,How to quickly simulate transient #automotive thermal management scenarios. https://t.co/MMIWX4xN1G,en,ANSYS
Wed Dec 04 03:59:01 +0000 2019,Thank you @AutonomousVT for selecting #ANSYS as the winner of the 2020 AVT ACES award for our Accelerated Doppler Processing simulation technology.  #simulation https://t.co/j4TLhQX7FY,en,ANSYS
Tue Dec 03 21:34:00 +0000 2019,How can architects find eco-friendly building materials that are structurally appropriate for their designs? https://t.co/gY5FexMJAc,en,ANSYS
Tue Dec 03 16:01:01 +0000 2019,How #multiphysics #simulations help engineers meet ISO 26262 and AEC-Q100 standards for automotive ICs. https://t.co/P2zsTwAdsd,en,ANSYS
Tue Dec 03 06:51:01 +0000 2019,"@CarnegieMellon unveils ANSYS Hall, a collaborative, hands-on #maker facility where students have access to ANSYS' physics-based #simulation tools for making, assembling and testing their designs. https://t.co/vNXyQat6V3 https://t.co/Xg6QP8Ftm6",en,ANSYS
Mon Dec 02 22:05:01 +0000 2019,Doctors can use PMMA #material to make dentures and fillings that closely match the size and color of the original teeth. Read more: https://t.co/Gwz755gb87,en,ANSYS
Mon Dec 02 18:28:00 +0000 2019,Many companies are looking to hire #engineers who can use multiphysics and systems simulation #software. Does your curriculum focus on these tools? https://t.co/8vavoSogV0,en,ANSYS
Mon Dec 02 16:31:01 +0000 2019,#Engineers can combine machine learning and #materials science technologies to investigate how to optimize mechanical properties. https://t.co/z04hFCmBcT,en,ANSYS
Sun Dec 01 19:22:00 +0000 2019,You can now optimize #BGAs and #QFNs in hours instead of weeks. Here's how! https://t.co/WoYVUmqfCX,en,ANSYS
Sun Dec 01 14:32:01 +0000 2019,You won't want to miss these upcoming ANSYS #webinars! Register today: https://t.co/n03W0jX5IJ https://t.co/qtmILGFJVn,en,ANSYS
Sat Nov 30 19:42:00 +0000 2019,What will the future of #aviation and #autonomous aircraft look like? https://t.co/FpbDr8IHvI,en,ANSYS
Sat Nov 30 11:34:01 +0000 2019,Here's how you can avoid semiconductor and electronics design challenges by leveraging #multiphysics simulation:  https://t.co/1A01tkWoZF https://t.co/gsbsBzFaU0,en,ANSYS
Sat Nov 30 03:57:00 +0000 2019,How do simulation-based #digitaltwins improve industrial automation systems? https://t.co/LoPoeneSPM,en,ANSYS
Fri Nov 29 20:19:01 +0000 2019,Attending #CES2020? See how #ANSYS is helping clients win the #eMobility race. Learn more here: https://t.co/JozN2hQ0z2 #AnsysMobility #AnsysCES #AnsysCES2020 #Ansys50years https://t.co/OfLGGoLWFR,en,ANSYS
Fri Nov 29 19:55:00 +0000 2019,"See how @weg_usa  was able to improve their consistency and accuracy when assessing motor components with ANSYS ACT simulation templates.  
https://t.co/aTLfQQjCWr",en,ANSYS
Fri Nov 29 10:55:00 +0000 2019,How to keep airspace safe with fully #autonomous drones and #aircraft? https://t.co/dPb3ZqTlXT,en,ANSYS
Thu Nov 28 20:08:00 +0000 2019,How to reverse #engineer a part using scan-to-CAD #technology: https://t.co/u1yqRLjnL5,en,ANSYS
Thu Nov 28 15:56:01 +0000 2019,How do reduced order models improve #productdesign? https://t.co/OAcfoaHWHX,en,ANSYS
