created_at,full_text,lang,user_name
Thu Dec 19 20:55:09 +0000 2019,What were the biggest #security stories of 2019? What were the important stories that didn’t make headlines? Download our new report and see. https://t.co/qiDquxEtHC https://t.co/iIrbUpAMFB,en,Akamai Technologies
Thu Dec 19 19:30:26 +0000 2019,The deployment of the Bottleneck Bandwidth and RTT (BBR) TCP congestion control algorithm across the Akamai Intelligent Edge Platform is complete. Learn more: https://t.co/sCH6mqrvMQ https://t.co/vCkeD3m6an,en,Akamai Technologies
Thu Dec 19 18:20:11 +0000 2019,"Providing secure, application-specific access to enterprise systems and data is more important than ever. Understand how a #ZeroTrust Access model can help and what to look for in a solution. https://t.co/BNvhyqYuZl https://t.co/T2sjlp0b4P",en,Akamai Technologies
Thu Dec 19 17:05:21 +0000 2019,Want to provide great online experiences? The ability to quickly identify and remediate digital performance issues is key. Learn how to reduce #CPU bottlenecks from @paulcalvano on @dbtrends: https://t.co/1T8c8W1Jy5 https://t.co/bCnZU8QbuW,en,Akamai Technologies
Thu Dec 19 14:10:19 +0000 2019,"CCPA is effective January 1! Are you prepared? If not, here's how Akamai can help. https://t.co/BwPuDO5mqk https://t.co/wBZIEgsi3j",en,Akamai Technologies
Thu Dec 19 00:15:09 +0000 2019,"In case you missed it, @TomLeightonAKAM, @msundara, Randall Palm and Boston area CIOs got an inside look at our new HQ at a #BostonCIO event. #InsideAkamai https://t.co/oIOk8U1wkd",en,Akamai Technologies
Wed Dec 18 21:45:15 +0000 2019,"In December, Akamai employees came together to walk the Aka-mile – a mile-long path that spans 19 floors of our new HQ. https://t.co/3k62DI6W6n",en,Akamai Technologies
Wed Dec 18 20:20:10 +0000 2019,"Another year, another cycle of stolen data. What's @csoandy's advice for a more #secure 2020? Retire current rules around #passwords. Read more on @DarkReading: https://t.co/t8lpQg2XP4 https://t.co/kvPKpx35Zl",en,Akamai Technologies
Wed Dec 18 19:10:13 +0000 2019,"Back in 2018, 57.55% of #BlackFriday shoppers were on mobile devices. This year, that number jumped to a 62.9%. Read more of Tara Bartley's insights on our blog: https://t.co/ilhp2wLint https://t.co/Njb891e2tv",en,Akamai Technologies
Wed Dec 18 16:35:12 +0000 2019,Read how Akamai is helping to move the needle on #climatechange in our #sustainability report here: https://t.co/LYR1cet2py https://t.co/gm4BkEqu1d,en,Akamai Technologies
