created_at,full_text,lang,user_name
Mon Nov 11 14:53:24 +0000 2019,"Today, on #Veterans Day, we thank the many brave women and men who have served, and continue to serve, our country. Your courage, bravery and selflessness is unmatched - and for that, we are truly grateful! https://t.co/dtDCvXsz7w",en,Albemarle Corp.
Wed Oct 23 18:35:26 +0000 2019,"“Care is one of Albemarle's Core Values. We Care for our people, community and environment,"" said Stephen Zhou, HR Business Partner. Recently, employees in Shanghai participated in a cleanup event to remove nearly 1,000 kilograms of garbage from Shanghai’s coast. Way to go, team! https://t.co/2XWr6IdSxk",en,Albemarle Corp.
Fri Sep 20 14:56:28 +0000 2019,"Our history extends back to 1887, when Albemarle Paper Manufacturing Company first opened its doors. The business, which began with a few employees producing Kraft and blotting paper, has come a long way. Read about our company history to find out more: https://t.co/XcOMveBavJ https://t.co/lEkfbGA20M",en,Albemarle Corp.
Mon Sep 16 19:02:57 +0000 2019,"Our employees in Germany recently donated 27,700 Euros to local organizations that support children and youth. Shortly after, plant management and the local team invited representatives from the 18 recipient organizations to a ceremony to mark the occasion. Way to Grow the Good! https://t.co/f3Icl5TmRh",en,Albemarle Corp.
Thu Aug 29 14:12:31 +0000 2019,"#FoundationFriday was recognized as a finalist in PR Daily’s Corporate Social Responsibility Awards. To celebrate, we are bringing you more Albemarle Foundation content to enjoy. Be on the lookout for more posts about philanthropy, volunteerism and #FoundationFriday coming soon! https://t.co/GbTPz5R5l1",en,Albemarle Corp.
Tue Aug 27 14:40:33 +0000 2019,Visit the link to view a highlight video on our global Lithium sites. https://t.co/uzvJ1Vhnx2 #didyouknowalb https://t.co/jVCUhnurPr,en,Albemarle Corp.
Tue Aug 20 17:59:08 +0000 2019,"As a recipient of the @CBJnewsroom 2019 Healthiest Employer Award, we jump at the chance to encourage health &amp; wellness. August is National Wellness Month, so, consider this a friendly reminder to integrate things into your life that promote health, happiness and well-being! https://t.co/qUUlY1b2aE",en,Albemarle Corp.
Mon Jul 22 13:57:54 +0000 2019,"Congratulations Albemarle for 50 years of operations in Columbia County, Arkansas! This exciting milestone marks five decades of successful plant operations, environmental sustainability, community engagement and philanthropic service. https://t.co/HUDGfV6Unx",en,Albemarle Corp.
Tue Jul 02 13:38:51 +0000 2019,"RT @cxotalk: Supporting a digital business model today requires putting in place the right infrastructure and collaboration network.
https:…",en,Albemarle Corp.
Thu Jun 20 19:42:38 +0000 2019,"The #lithium conversation continues w/ @LithiumIonRocks &amp; our CEO Luke Kissam. Also joining in on part 3, #Albemarle's Country Manager in Chile, Ellen Lenny-Pessagno. Click below for part 2 &amp; 3 of the series:

Part 2: https://t.co/a2FDq7OvXZ
Part 3: https://t.co/RnbpKVO34c",en,Albemarle Corp.
Fri Jun 07 14:22:42 +0000 2019,Our CEO Luke Kissam joins @LithiumIonRocks for part 1 of a #lithium industry discussion. Click the link below to listen https://t.co/QHfCYQujZK,en,Albemarle Corp.
Wed Jun 05 16:24:33 +0000 2019,"“Caring for the health of our employees is the most important thing we do and it starts from day one,” said Luke Kissam, CEO Albemarle.

We are thrilled to be an honoree in the @CBJnewsroom list of 2019 Healthiest Employers! https://t.co/dd1jWvndgz",en,Albemarle Corp.
