created_at,full_text,lang,user_name
Thu Dec 19 16:00:20 +0000 2019,"In June, we were honored to host Sumaira Ahmed, founder of @TheSumairaFDN, to share her experience of living with neuromyelitis optica spectrum disorder (#NMOSD). #RareInspiration2019 https://t.co/Lnj69lcdNa",en,Alexion
Wed Dec 18 19:18:29 +0000 2019,We were honored to have Jamel join our quarterly all-company global meet-up to share his story of living with paroxysmal nocturnal hemoglobinuria (#PNH). https://t.co/CkiEPmJpb8,en,Alexion
Wed Dec 18 15:00:18 +0000 2019,"In March, our Environmental Health and Safety (EHS) team and @Yale’s student-led Joint Safety Team (JST) partnered to share best practices for managing environmental, health, and safety matters in research laboratories and private industry. #RareInspiration2019 https://t.co/ENIUBrhSsD",en,Alexion
Tue Dec 17 14:00:17 +0000 2019,"Our team based in Switzerland celebrated its move to our new International HQ offices in Zurich, further strengthening our ability to serve people living with rare diseases throughout Europe and the world. #RareInspiration2019 https://t.co/CT9pRl8NhL",en,Alexion
Mon Dec 16 16:00:20 +0000 2019,Our team in Turkey came together for a dynamic and productive workshop focused on team building and implementing new culture initiatives. #RareInspiration2019 https://t.co/xaT58xDx8o,en,Alexion
Mon Dec 16 13:01:22 +0000 2019,Today we announced an extension of our collaboration with @DicernaPharma. https://t.co/sjraXw63DL https://t.co/oRs75QQPiZ,en,Alexion
Sun Dec 15 14:30:02 +0000 2019,"In May, 42 of our global culture champions gathered for a two-day Global Culture Forum and discussed ways to build on our patient-and employee-centric culture. #RareInspiration2019 https://t.co/t9rM6sXicj",en,Alexion
Sat Dec 14 15:30:03 +0000 2019,Our colleagues in Canada came together in September for an #NMOSD immersion session to better understand the needs and challenges faced by people living with neuromyelitis optica spectrum disorder. #RareInspiration2019 https://t.co/wiFnMaDzUo,en,Alexion
Fri Dec 13 18:00:19 +0000 2019,"As part of the Genomics England Discovery Forum, we applied novel data-science approaches to the 100,000 Genomes Project to help identify previously undiagnosed patients with NPHP, a childhood #genetic disorder. Learn more: https://t.co/WktCiH4Uig #RareInspiration2019 https://t.co/QnrYoD72fB",en,Alexion
Fri Dec 13 14:39:59 +0000 2019,"Thank you, @MassWomen, for another incredible #MassWomen conference. We are humbled, inspired and energized! #MassWomen2019 https://t.co/EP2FgDvIwW",en,Alexion
Thu Dec 12 20:00:28 +0000 2019,"Each year in September, we celebrate our dedication to integrity with Integrity Matters Week. Serving people living with rare diseases is our job, &amp; to do it right, we must do what’s right. We empower our employees worldwide to speak up &amp; act with integrity. #RareInspiration2019 https://t.co/PIxLaauHxb",en,Alexion
Thu Dec 12 18:34:35 +0000 2019,"@aaroncckoay @TCDPharmacy @tcddublin Congratulations, Aaron!",en,Alexion
Wed Dec 11 14:00:18 +0000 2019,"In February, our International Leadership Team held its first offsite meeting in Rigi, Switzerland, symbolizing the uniting of our international leaders and the first gathering as a new leadership team. #RareInspiration2019 https://t.co/0d1ftSFN61",en,Alexion
Tue Dec 10 21:00:27 +0000 2019,"Thank you, @ASH_hematology, for an excellent and inspiring program! #ASH19 https://t.co/QeT9uTeBSS",en,Alexion
Tue Dec 10 15:00:19 +0000 2019,We celebrated our 4th annual Global Day of Service with more than 1700 employees in 20+ countries volunteering on 85+ projects. We were enormously grateful to the wonderful organizations that hosted us and to our employee volunteers for giving their time. #RareInspiration2019 https://t.co/aVlWZBwrkz,en,Alexion
Mon Dec 09 19:07:17 +0000 2019,We were honored to have Dana join us in our booth at #ASH19 to share his experience living with atypical hemolytic uremic syndrome (#aHUS) and his path to diagnosis. https://t.co/HNBaQgbSor,en,Alexion
Mon Dec 09 14:00:20 +0000 2019,Our International &amp; Japan Medical Affairs leadership team gathered in Amsterdam in June with a focus on cross-functional collaboration and how we can best deliver on our mission to transform the lives of people living with rare diseases. #RareInspiration2019 https://t.co/UlZblUJzno,en,Alexion
Mon Dec 09 14:00:17 +0000 2019,"We’re thrilled to share that Tamar Thompson joins us as VP, U.S. Government Affairs, bringing 20+ years of leadership in government affairs &amp; health policy. Tamar is a welcome addition as we seek to better collaborate with everyone involved in the rare disease patient journey. https://t.co/XyI5FLzGVe",en,Alexion
Sun Dec 08 20:30:03 +0000 2019,"We continued to build our pipeline and enhance our ability to serve patients through agreements with Caelum Biosciences, Zealand Pharma, Affibody, Stealth Biotherapeutics, Eidos Therapeutics, Achillion, and Immune Pharmaceuticals. #RareInspiration2019 https://t.co/W8c2TOSast",en,Alexion
Sun Dec 08 16:30:03 +0000 2019,We are committed to improving the lives of people living with #aHUS and #PNH. Visit booth 300 at #ASH19 to learn more about our latest research advancements. https://t.co/ieJJxuAg36,en,Alexion
Sat Dec 07 18:30:02 +0000 2019,"This year, we were thrilled to welcome more than 800 new employees around the globe—and we’re still growing! We’re building a rewarding place to work that’s focused on serving people living with #rarediseases. Join us! https://t.co/ODN67Dc1KE #RareInspiration2019 https://t.co/24cdd1MI6P",en,Alexion
Sat Dec 07 15:45:02 +0000 2019,"At #ASH19? Head over to poster sessions today for insights into our research in atypical hemolytic uremic syndrome (#aHUS) and paroxysmal nocturnal hemoglobinuria (#PNH), two rare blood disorders. https://t.co/mxuFJ9V4pu",en,Alexion
Fri Dec 06 20:30:04 +0000 2019,"Our colleagues in Australia gathered for their first BIG Conversation, with discussion and activities focused on how we bring our core values of serving people living with rare diseases and empowering our employees to life. #RareInspiration2019 https://t.co/GsFnnQeWzT",en,Alexion
Fri Dec 06 18:00:19 +0000 2019,"Paroxysmal nocturnal hemoglobinuria (#PNH) is a chronic, debilitating, and life-threatening #ultrarare blood disorder that may cause thrombosis (blood clotting). Stop by our booth at #ASH19 to learn more. https://t.co/XVPH5WjFES",en,Alexion
Fri Dec 06 14:30:05 +0000 2019,"Atypical hemolytic uremic syndrome (#aHUS) is a genetic, chronic, ultra-rare disease that can progressively damage vital organs, such as the kidneys. Stop by our booth at #ASH19 to learn more. https://t.co/AREM5dZXBB",en,Alexion
Thu Dec 05 18:30:04 +0000 2019,"In October, the U.S. FDA approved our long-acting C5 complement inhibitor for the treatment of adults &amp; pediatric patients 1 month of age &amp; older w/ atypical hemolytic uremic syndrome (#aHUS) to inhibit complement-mediated TMA. #RareInspiration2019 https://t.co/nV4v86z7rf",en,Alexion
Thu Dec 05 14:15:02 +0000 2019,"Heading to @ASH_hematology #ASH19 in Orlando? Stop by booth 300 to learn more about our mission to discover and deliver transformative medicines for people living with #rarediseases, including #aHUS and #PNH, two rare blood disorders. https://t.co/JhIO3RYUuV",en,Alexion
Wed Dec 04 21:13:58 +0000 2019,We were honored to accept the Award for Biopharmacology at the European Awards in Medicine held in Paris for the research &amp; investigation of new pharmaceuticals for rare diseases that Wilson Therapeutics has undertaken. #europeanawardsinmedicine2019 #RareInspirationChangingLives https://t.co/YE8NQ06Bxk,en,Alexion
Wed Dec 04 14:00:19 +0000 2019,"Our colleagues in Italy gathered in June for a working session to better understand the needs and challenges faced by those living with #PNH, and to reinforce our commitment to putting people living with rare diseases at the heart of everything we do. #RareInspiration2019 https://t.co/Wf5picnFjv",en,Alexion
Tue Dec 03 15:30:06 +0000 2019,Our innovation begins with understanding people living with rare and devastating diseases. We were proud to #RallyForRare throughout the year to demonstrate our commitment to joining and supporting the communities in which we live and work. #RareInspiration2019 https://t.co/QuvSYIYOWa,en,Alexion
Mon Dec 02 16:00:25 +0000 2019,"We deeply value the opportunity to listen to and learn from people living with #rarediseases and their caregivers. We were honored to welcome Katie and her mother, Bonnie, this summer to share their experience living with #PNH. #RareInspiration2019 https://t.co/ICQnc9qWtk",en,Alexion
Mon Dec 02 15:00:24 +0000 2019,"We are honored to be among the 2019 #efpawards finalists for our patient-centricity platform, which brings us closer to our aspiration to be the number one patient-centric organization in rare disease. Thank you, @eyeforpharma, for the recognition! https://t.co/vYr1iJVhMq https://t.co/ArgsKVwLi8",en,Alexion
Sun Dec 01 15:03:22 +0000 2019,"This summer we celebrated the U.S. FDA’s approval of our therapy for adults with anti-AQP4 antibody-positive #NMOSD—the first FDA-approved treatment for this rare, devastating disorder. https://t.co/PGUFQhK5TA #RareInspiration2019 https://t.co/LrXqJNpXZS",en,Alexion
Sat Nov 30 16:30:03 +0000 2019,"To recognize the incredible accomplishments of our teams from around the world, we’ll be celebrating some of our proudest and most inspiring moments of the year throughout December. Join us as we share our #RareInspiration2019 starting tomorrow! https://t.co/xevUhHb2w4",en,Alexion
Thu Nov 28 14:00:29 +0000 2019,November is #CaregiversAppreciationMonth and today especially we are thankful for the generous gift of caregiving that so many provide. Your commitment and compassion inspire us all. #HappyThanksgiving https://t.co/yfXbmMhe7m,en,Alexion
Wed Nov 27 14:15:03 +0000 2019,"Is R&amp;D your area of expertise? Learn how you can join us as we continue to discover and deliver transformative medicines, technologies, and healthcare services for people living with rare and devastating diseases. https://t.co/u3YCBb1xFf #researchjobs #hiring #rarediseases https://t.co/4Ah3348fSj",en,Alexion
Tue Nov 26 12:45:02 +0000 2019,"Lauren Cettier, Head of International Communications, presents “Transform Internal Cultures: Influence the Internal Narrative” Wednesday at @pharmaconf. https://t.co/GnBPO0CRzo https://t.co/wysyHZUsj1",en,Alexion
Mon Nov 25 20:30:05 +0000 2019,"Sara Trafford-Jones, VP &amp; General Manager, Australia, New Zealand, China &amp; South Korea, joins the “Discover Your Why” panel at the 5th Women in Pharma &amp; Medical Leadership Summit to offer advice on how to lead with purpose. https://t.co/O5okqmjiqZ https://t.co/by7dCnoEhK",en,Alexion
Fri Nov 22 13:37:22 +0000 2019,We’re thrilled to announce that the first treatment for neuromyelitis optica spectrum disorder (#NMOSD) has been approved in Japan. Read more: https://t.co/puCMyHSEAA https://t.co/nXIwg2idXl,en,Alexion
Thu Nov 21 11:00:06 +0000 2019,"Thank you to our colleagues in Ireland who participated in Safety Week, designed to raise Environmental Health &amp; Safety awareness and strengthen our high-achieving safety management system. #LifeAtAlexion #CollaborateToInnovate https://t.co/35dALAFN2W",en,Alexion
Tue Nov 19 12:45:02 +0000 2019,Thank you to our Compliance Champions who recently gathered in Zurich for their launch meeting. Their purpose is to drive ownership and awareness of compliance globally and continue to build a best-in-class Compliance Program. #CollaborateToInnovate https://t.co/eRpxm49sPf,en,Alexion
Mon Nov 18 15:00:23 +0000 2019,"""I appreciate all of the little things like taking Justice to the store, or taking him to the park, or going to parades. Every day is a very big blessing for us."" —Danielle, mother to Justice, who is living with the #raredisease #aHUS. #CaregiversAppreciationMonth https://t.co/8FUbAbYU09",en,Alexion
Fri Nov 15 14:09:33 +0000 2019,@MsNMinton @FingalCC Thank you for sharing that! We were happy to host the students and it's great to hear they found it valuable.,en,Alexion
Fri Nov 15 12:00:33 +0000 2019,"Our Dublin colleagues were delighted to host local science classes as part of #ScienceWeek, held annually in Ireland to support #STEM education. The students had onsite science classes, toured our facilities, and did some fun experiments! #BelieveinScience https://t.co/INERffMmyq",en,Alexion
Thu Nov 14 12:30:14 +0000 2019,"Quality is central to our success. We all share responsibility for building trust with patients, customers and the communities where we live and work. #WorldQualityDay #WQD19 https://t.co/cwyihvbFSQ https://t.co/kMshzK8Wps",en,Alexion
Wed Nov 13 19:00:20 +0000 2019,"Thank you, @HBAnet, for an excellent #HBAAC19 conference and an inspiring two days! #HBAimpact https://t.co/C0e1UmPbCk",en,Alexion
Wed Nov 13 08:00:08 +0000 2019,"A great lineup at today’s #WODCEurope, including two sessions with our EU colleagues. Stop by! https://t.co/LpJd5MS0Ce https://t.co/CqiGzD1O4J",en,Alexion
Tue Nov 12 10:00:06 +0000 2019,"Our SVP, Global Regulatory Affairs, Martine Zimmermann, moderates ""New Models to Run Natural History Studies and Registries"" at @OrphanConf’s #WODCEurope in Barcelona on Wednesday at 17:35 CET. https://t.co/ISyTiquWLg https://t.co/YAC2WeWveH",en,Alexion
Mon Nov 11 14:56:55 +0000 2019,"Our CFO, Aradhana Sarin, M.D., was honored among the Top 25 Women Leaders in Biotech for 2019. Congratulations to Aradhana and all the other outstanding women who are shaping the future of biosciences. https://t.co/FGc5tjTpmr https://t.co/MHvSxNOean",en,Alexion
Mon Nov 11 11:30:02 +0000 2019,"Our VP of Data Sciences, Genomics, and Bioinformatics, John Reynders, joins #AIApplicationsSummit panel, “An AI Powered Project: Human Genetics &amp; Drug Discovery” today at 4ET. https://t.co/yRL8fluxyt https://t.co/2VZ7Ixykvb",en,Alexion
Sun Nov 10 21:00:07 +0000 2019,"We enjoyed celebrating innovation in #nephrology this week at #KidneyWeek2019. Thank you to @ASNKidney for a great conference and to everyone who joined us in Washington, DC! https://t.co/guVlTMtXcU",en,Alexion
Sat Nov 09 15:00:20 +0000 2019,"Atypical hemolytic uremic syndrome (#aHUS) is a genetic, chronic, ultra-rare disease that can progressively damage vital organs, such as the kidneys. #KidneyWeek2019 https://t.co/Uvhk16l216",en,Alexion
Fri Nov 08 19:37:13 +0000 2019,We were honored to have Dana join us in our booth at #KidneyWeek2019 to share his experience living with atypical hemolytic uremic syndrome (#aHUS). https://t.co/Nzr9Z17Y6M,en,Alexion
Fri Nov 08 14:00:18 +0000 2019,"Happy #NationalSTEAMDay to all parents, educators and kids focused on developing 21st century skills in science, technology, engineering, art &amp; math! #STEM #STEAM https://t.co/pPzu2Eqtiq",en,Alexion
Thu Nov 07 13:00:09 +0000 2019,"At #KidneyWeek2019? Head over to poster sessions today for insights into our research in atypical hemolytic uremic syndrome (#aHUS), a rare blood disorder https://t.co/ADhOdpIYZ0",en,Alexion
Wed Nov 06 20:30:07 +0000 2019,"Sharon Barr, VP of Research &amp; Development, joins “Therapeutic Insight: Innovation for Rare Diseases and Disruption of Biopharma Franchises” tomorrow at @LifeSciSummit. #LifeSci2019 https://t.co/2o84QxrIfK",en,Alexion
Wed Nov 06 17:15:05 +0000 2019,Alexion is dedicated to improving the lives of people living with #aHUS and #PNH. Visit booth 706 at #KidneyWeek2019 to learn more about our latest research advancements. https://t.co/H01t5weOUp,en,Alexion
Wed Nov 06 15:31:55 +0000 2019,"We’ll be presenting data from our complement program, including #PNH and #aHUS data, at @ASH_hematology #ASH19 (December 7-10). https://t.co/WbWZvqe7sM https://t.co/2SGajv5qte",en,Alexion
Tue Nov 05 13:15:03 +0000 2019,"Heading to @ASNKidney #KidneyWeek2019 in Washington, DC? Stop by booth 706 to learn more about our mission to discover and deliver transformative medicines for people living with #rarediseases, including #aHUS and #PNH, two rare blood disorders https://t.co/gLGhrArZb0",en,Alexion
Mon Nov 04 11:30:02 +0000 2019,"Celebrations were in full swing in Athlone, Ireland, when Maddox &amp; his family came to visit. Maddox, who is living with #HPP, and his little sister Ruby, enjoyed cake in celebration of her birthday &amp; then donned white coats to become Special Scientists for a tour of our facility. https://t.co/asjyJMupOR",en,Alexion
Fri Nov 01 13:00:29 +0000 2019,"November is #CaregiversAppreciationMonth, and for caregivers, the importance of self-care cannot be overstated. @CaregiverAllyoffers “Taking Care of YOU: Self-Care for Family Caregivers,” a resource guide for carers. https://t.co/cq1qtlplxx https://t.co/RNRPvBegAp",en,Alexion
Thu Oct 31 19:00:21 +0000 2019,Lysosomal Acid Lipase Deficiency (LAL-D) is a genetic #raredisease that can be difficult to diagnose. Susan and Greg share the path to their daughters' diagnosis with #LALD. https://t.co/hEzbFD8pwL #LiverAwarenessMonth https://t.co/9Ibgikei1C,en,Alexion
