created_at,full_text,lang,user_name
Wed Dec 18 17:46:44 +0000 2019,"RT @touchdown_vc: “We’re always asking, ‘How can we engage?’ Whether that’s in ventures or Pin &amp; Tumbler Studio...we’re trying to leverage…",en,Allegion US
Tue Dec 17 22:07:33 +0000 2019,This K-12 school district improves lockdown capabilities at on-campus assembly space and district office. Read the full case study #securek12 #k12security https://t.co/cYRe1LH8cV https://t.co/VNqvtBSSij,en,Allegion US
Tue Dec 17 17:29:42 +0000 2019,"RT @LoriGreeneAHC: If you missed the school security webinar from the Door Security and Safety Foundation and Safe and Sound Schools, the r…",en,Allegion US
Tue Dec 17 16:40:40 +0000 2019,"RT @schlagefuturist: Check out the latest @IW_Digital article by my Pin &amp; Tumbler Studio partner, @MrMattODell https://t.co/Zfh10IKEjL",en,Allegion US
Tue Dec 17 16:40:26 +0000 2019,RT @larrygigerich: How do you get a product from concept to market in 120 days? Just ask the @AllegionUS team about how they're doing it in…,en,Allegion US
Sun Dec 15 14:52:03 +0000 2019,RT @TechPointInd: Security-products maker @AllegionUS is more than a global powerhouse with its US HQ in central Indiana. It's an innovator…,en,Allegion US
Thu Dec 12 17:05:19 +0000 2019,RT @LoriGreeneAHC: Today’s Wordless Wednesday photo is a non-code-compliant modification that occurred after project completion. What other…,en,Allegion US
Thu Dec 12 17:04:05 +0000 2019,RT @AllegionPlc: Technical skills and problem-solving are just two of the many qualities that make workers so valuable in the manufacturing…,en,Allegion US
Wed Dec 11 01:45:21 +0000 2019,RT @Schlage_Locks: What's the perfect launchpad for your smart home? Don't take our word for it. The experts call the #Schlage Encode Smart…,en,Allegion US
Tue Dec 10 03:09:33 +0000 2019,RT @Schlage_Locks: Give the gift of security and some cool gadgets to match with one of our #smartlock bundle gift ideas. Learn more: https…,en,Allegion US
Mon Dec 09 17:15:25 +0000 2019,RT @LoriGreeneAHC: We’re kicking off Schlage’s 100th anniversary with a new video that provides a fascinating look (really!) into the histo…,en,Allegion US
Fri Dec 06 21:49:44 +0000 2019,"Join Allegion Director Technology Alliances, Multifamily and VP of Corporate Strategy at Kastle Systems for a webinar 12.12. They will discuss new technologies like mobile access, how to appeal to Millennial renters, and more. Register and learn more here: https://t.co/zNStGYJ892 https://t.co/ljotd9irny",en,Allegion US
Thu Dec 05 19:38:22 +0000 2019,"RT @HomebaseAI: What smart access solutions are available for multifamily today? 
What critical considerations should property and asset ma…",en,Allegion US
Thu Dec 05 19:36:08 +0000 2019,"RT @Indiana_IoT: Join Ryan Larcom, VP Customer &amp; Digital Strategy at @AllegionUS for @IUPUInformatics Industry Lecture Series tonight! 

Le…",en,Allegion US
Wed Dec 04 20:12:08 +0000 2019,RT @LoriGreeneAHC: Have you seen an installation that leaves you more wordless than this one?  Send me a photo!  https://t.co/wAv9Pp6bku ht…,en,Allegion US
Wed Dec 04 20:12:03 +0000 2019,Listen to this podcast with Allegion Director of Technology Alliances for Multi-Family to learn how mobile access technology &amp; other amenities will affect the multifamily industry in 2020 &amp; beyond. https://t.co/1nCm69hiX9 https://t.co/1kH1SlBJdn,en,Allegion US
Wed Dec 04 15:25:30 +0000 2019,RT @Schlage_Locks: The #Schlage Encode Smart WiFi Deadbolt is up for @GadgetLast's Peoples Choice Award! Please help us and vote at: https:…,en,Allegion US
Wed Dec 04 14:44:45 +0000 2019,[INTEGRATION NEWS] Von Duprin RU/RM exit device options with ENGAGE technology seamlessly integrate with @CBORD's CS Access to provide a cost effective and scalable access control solution to meet campus security needs. Learn more: https://t.co/mok2KZ5Nsp #allegionintegration https://t.co/zAf34X2KN9,en,Allegion US
Mon Dec 02 20:09:27 +0000 2019,RT @naccuorg: @Allegion worked with @CBORD &amp; @Apple to enable a #mobilecredential leveraging NXP DESFire EV1 security technology to provide…,en,Allegion US
Mon Dec 02 17:06:15 +0000 2019,RT @schoolsecurity: A recently published #schoolsafety door hardware article I authored. https://t.co/vnNtBoDBrn @FEA_PC @ASIS_Intl @Allegi…,en,Allegion US
Thu Nov 28 22:19:35 +0000 2019,"From everyone here at Allegion, we wish you a very relaxing and #HappyThanksgiving! We are thankful for our wonderful Allegion community and customers. https://t.co/tO5QDZF3aC",en,Allegion US
Wed Nov 27 15:58:03 +0000 2019,RT @LoriGreeneAHC: #wordlesswednesday https://t.co/DJRyMhgCPV https://t.co/HgzHbrm6QW,und,Allegion US
Tue Nov 26 22:52:34 +0000 2019,"RT @HomebaseAI: Join us Tuesday, Dec. 10 for a live 45-min webinar with @AllegionUS  

Multifamily Access and Security in the Age of ""Smart…",en,Allegion US
Sun Nov 24 20:47:53 +0000 2019,RT @Schlage_Locks: See why @tomsguide chose the #Schlage Encode Smart WiFi Deadbolt as one of its best products that work with Amazon Alexa…,en,Allegion US
Fri Nov 22 18:51:43 +0000 2019,Allegion enjoyed conversations with customers and partners at #ISCEAST this year! It was exciting to see many booths showcasing #Allegion solutions. Thanks to all our visitors! See you next year! @SieloxLLC @kerisys https://t.co/qkYsGTX2aL,en,Allegion US
Fri Nov 22 18:46:15 +0000 2019,RT @SIAonline: 5 Reasons Why Schools Should Avoid Classroom Barricade Devices: @PASSK12  Vice Chairman Mark Williams discusses how door blo…,en,Allegion US
Fri Nov 22 18:45:54 +0000 2019,"RT @HomebaseAI: Smart locks are the 🔑 to efficient building management. 
∙ Manage unit &amp; building access in one click 
∙ More Efficient Tur…",en,Allegion US
Fri Nov 22 14:45:49 +0000 2019,"RT @lodess: Check out my latest article: Follow up to ""The Smart Home is Dead:​ Hi, my name is Lee and I am part of the problem."" This time…",en,Allegion US
Thu Nov 21 17:21:50 +0000 2019,"Don’t miss our booth, 217, today at #ISCEast in NYC! Our experts are here ready to chat with you about your business and our latest wireless and mechanical solutions, #Overtur, and more. Be sure to ask what's coming soon to our Allegion portfolio! #accesscontrol #doorhardware https://t.co/FA5mb7zTfC",en,Allegion US
Thu Nov 21 17:15:19 +0000 2019,"RT @kcflatlander: #AU2019

Last day!  If you need a rest, want some lunch, then chat about door hardware with other AEC professionals... Si…",en,Allegion US
Thu Nov 21 15:30:56 +0000 2019,"At Autodesk University today? Join Allegion for lunch and conversation at 11:30-1:00, Palazzo N, Level 5. We're excited see new faces and familar ones! If you can't make the lunch, stop by booth AE400! #AU2019 https://t.co/P5P1HKQPmQ https://t.co/ZcAypUv6dC",en,Allegion US
Thu Nov 21 15:25:07 +0000 2019,RT @autodesku: Join @AllegionUS for a Networking Lunch and Learn at #AU2019.https://t.co/UkfzCopiPs,en,Allegion US
Wed Nov 20 17:37:29 +0000 2019,"It's Day 2 at Autodesk University in Vegas! Visit the Allegion #Overtur team for a live demo in our booth, AE400, every half an hour. You'll see the latest enhancements, including integrations with #PlanGrid and #BIM360: https://t.co/hQQQRtjDBo #AU2019 https://t.co/0phD3fIPRN",en,Allegion US
Wed Nov 20 17:32:34 +0000 2019,"Allegion VP of PAC’s OEM Business, Rob Lydic, kicks day one of #ISCEast off with the Return of Investment on Secuity panel and breakfast: https://t.co/z9acGEhR19 #SecurityROI https://t.co/YVq46jviP8",en,Allegion US
Tue Nov 19 21:29:06 +0000 2019,RT @LoriGreeneAHC: Here are the answers to yesterday’s real-world questions about the egress requirements for this high school music classr…,en,Allegion US
Tue Nov 19 21:12:55 +0000 2019,[NEWS RELEASE] Allegion announces the #Overtur and #PlanGrid integration at #AU2019 booth AE400. Contractors &amp; architects can now reap new levels of productivity through mobile-driven punch list automation &amp; synchronization. Read the full press release: https://t.co/e6QCcpc1wi https://t.co/wLnju81KLx,en,Allegion US
Tue Nov 19 20:08:49 +0000 2019,"RT @kcflatlander: #AU2019 ...and so the Expo hall begins.

Stop by AE400 and see how #Overtur from @AllegionUS can help make door hardware…",en,Allegion US
Tue Nov 19 17:04:34 +0000 2019,RT @kcflatlander: Stop by and see @AllegionUS @AllegionPlc in booth AE400 at #AU2019 and see how Overtur can make door hardware the easiest…,en,Allegion US
