created_at,full_text,lang,user_name
Tue Nov 10 13:25:29 +0000 2015,RT @cinemaxxtheater: Ini dia tim Cinemaxx di acara Maxx Card launching di FX. https://t.co/qsJzUxhTgm,in,"alphabet, INC."
Fri Nov 06 04:57:29 +0000 2015,RT @cinemaxxtheater: Film James Bond terbaru 'Spectre' tayang mulai hari ini di Cinemaxx. Dapatkan tiketnya di https://t.co/RBPgYDB89s http…,in,"alphabet, INC."
Fri Nov 06 04:57:18 +0000 2015,RT @cinemaxxtheater: Opening promo Cinemaxx @MaLippoCikarang. Semua tiket reguler Rp.30000 sampai 17 Nov ini! https://t.co/GPBilfvdte https…,in,"alphabet, INC."
Tue Aug 11 14:36:16 +0000 2015,Our goody bag since Nov 2011 😊 http://t.co/WsPMzPPMJS,en,"alphabet, INC."
Tue Aug 11 06:30:59 +0000 2015,Today has definitely been an interesting day for us.,en,"alphabet, INC."
Tue Aug 11 00:35:15 +0000 2015,Good morning everyone.,en,"alphabet, INC."
Tue Oct 15 10:53:08 +0000 2013,Just posted a photo http://t.co/Wr5m90z0BM,en,"alphabet, INC."
Thu Oct 10 00:40:27 +0000 2013,@ Rp 35k ( excluding shipping). #jualanku#olshop#olshopindo#jualankaka#dijual#murah http://t.co/uhZq63VFu2,in,"alphabet, INC."
Thu Oct 10 00:36:20 +0000 2013,"CLEARANCE all items @ Rp 35,000 (excluding shipping) http://t.co/UKJvs94EgW",en,"alphabet, INC."
Thu Oct 10 00:33:44 +0000 2013,CLEARANCE - Passport case - all items @ Rp 75k http://t.co/MRzh9QQTI6,en,"alphabet, INC."
Sun Sep 22 00:48:54 +0000 2013,Just posted a photo http://t.co/7WfiCmPi5C,en,"alphabet, INC."
Sun Sep 22 00:37:58 +0000 2013,Just posted a photo http://t.co/N000mOrRbR,en,"alphabet, INC."
Wed Sep 18 13:47:06 +0000 2013,"Alphabetized luggage tag - now available at Little Toes, Dharmawangsa Square http://t.co/NSNqgUchvl",en,"alphabet, INC."
Sun Sep 15 07:41:07 +0000 2013,"alphabet, INC. Announcement http://t.co/NqsOM5Uc3N",en,"alphabet, INC."
Thu Jul 25 08:05:21 +0000 2013,"Check out this store http://t.co/4rmTTZlTev, INC. @shopious",en,"alphabet, INC."
Wed Jul 17 10:47:43 +0000 2013,"Special edition black faux leather patent satchel - Rp 325,000.- http://t.co/P8LEi6KXBb",en,"alphabet, INC."
Mon Jul 15 11:59:52 +0000 2013,Reversible tote - 1 side black patent / blue or black faux leather in reverse. Comes with 1 inner… http://t.co/fseEeDCjeJ,en,"alphabet, INC."
Mon Jul 15 11:55:42 +0000 2013,"Canvas Satchel in navy with red or yellow lining@ Rp 245,000. Email myalphabetinc@gmail.com to order.… http://t.co/5B1MKd4uNC",en,"alphabet, INC."
Mon Jul 15 11:54:53 +0000 2013,"Canvas Satchel in red, tosca, ash, yellow @ Rp 245,000. Email myalphabetinc@gmail.com to order. Ready… http://t.co/r9CBAzRfPI",en,"alphabet, INC."
