created_at,full_text,lang,user_name
Wed Dec 18 14:05:00 +0000 2019,Enlist some help in saving energy this winter. Open your window shades to allow the sunlight to help heat your rooms. Get more energy savings tips at https://t.co/m7gHKPUCHw. https://t.co/XNeMp8M57p,en,Ameren Corporation
Mon Dec 16 15:00:03 +0000 2019,Most of our bi-state service territory is under a winter storm warning today. Consider reviewing these safety tips to prepare. https://t.co/64GltFondn https://t.co/a52ilw4hM8,en,Ameren Corporation
Fri Dec 13 14:00:01 +0000 2019,The site of a decommissioned Ameren Missouri substation will be getting new life. @SLU_Official's longstanding commitment to economic development and community revitalization make them the perfect stewards of this property. https://t.co/xJsHujugXn,en,Ameren Corporation
Thu Dec 12 15:35:01 +0000 2019,Ensure no trouble while you're away-- remember to turn off holiday tree lights on when you're not at home. Find other ways to keep your family (elves included) safe this holiday season.  https://t.co/8B8us4gqJZ https://t.co/3zQpGyPNyB,en,Ameren Corporation
Tue Dec 10 15:10:00 +0000 2019,"We're excited to partner with @EPRINews to continue our focus on energy innovation, identify new technologies, and implement innovative solutions for our customers.  https://t.co/o1ecR0sF7N",en,Ameren Corporation
Fri Dec 06 19:42:40 +0000 2019,@26pearls Are you an Illinois or Missouri customer? We'd like to get some additional details about this.,en,Ameren Corporation
Wed Dec 04 19:38:24 +0000 2019,"With winter right around the corner, make sure you're prepared for the snow and ice it may bring with it. https://t.co/MjFQQMFuAk https://t.co/P4mg8wuI8L",en,Ameren Corporation
Mon Dec 02 14:30:01 +0000 2019,Our Ameren Missouri team is looking for 15 full-time Customer Care Advisors to join us in St. Louis. Learn more and apply today. https://t.co/UerLTRz8HD https://t.co/1ZMacEIFUg,en,Ameren Corporation
Fri Nov 29 16:00:01 +0000 2019,"We're thankful for leaders like Darnell who are truly passionate about their jobs in delivering safe, reliable energy to our customers.  https://t.co/Y1L8GV0d3j",en,Ameren Corporation
Thu Nov 28 15:30:02 +0000 2019,"Thank you to @STLFoodbank, @FoodOutreachSTL, Catholic Urban Programs, Collinsville Food Pantry and @eifoodbank for joining us at the Ameren Thanksgiving Day Parade. We're honored to partner with these organizations to support our neighbors in need this holiday season. https://t.co/oxv1eElRCl",en,Ameren Corporation
Wed Nov 27 16:14:44 +0000 2019,"@mightyjofoto Hi Joe, would you mind if we shared your photos with our followers on Facebook and Twitter to help communicate the extent of the damage?",en,Ameren Corporation
Tue Nov 26 13:47:49 +0000 2019,RT @ChristmasInSTL: Join us Thursday for the 35th Annual @AmerenCorp Thanksgiving Day Parade in #downtownstl. Parade kicks off at 8:45: htt…,en,Ameren Corporation
Mon Nov 25 16:00:05 +0000 2019,Join us Thursday for the 35th annual Ameren Thanksgiving Day Parade. We'd love to celebrate with you and your family!  https://t.co/93ZBbUoLf4,en,Ameren Corporation
Mon Nov 25 14:15:02 +0000 2019,RT @KMOV: Ameren workers give back to the community in time for the holidays https://t.co/R4J2LrRjRV #KMOV https://t.co/J38vuSvQbF,en,Ameren Corporation
Mon Nov 25 14:12:39 +0000 2019,@kevdt67 Are you an Ameren Illinois or Missouri customer? I'd like to get you in touch with the right team to get a status on this outage for you.,en,Ameren Corporation
Fri Nov 22 18:13:24 +0000 2019,"This Thanksgiving, we've pledged $100,000 to food banks and pantries throughout MO and IL to help individuals and families at risk for hunger. Today, we're giving thanks for our co-workers, @STLFoodbank and @FoodOutreachSTL who are helping those who face food insecurity. https://t.co/NXTolh2Kqq",en,Ameren Corporation
Fri Nov 22 17:30:29 +0000 2019,"RT @STLFoodbank: This morning, we took a volunteer project on the road. Employees from @AmerenCorp bagged up 🍏 at their headquarters in dow…",en,Ameren Corporation
Thu Nov 21 14:15:25 +0000 2019,"Named after one of Mark Twain's favorite dogs, Project Prosper was recently completed by the Mark Twain Transmission Project Team and L Keely to provide the Adair County Humane Society with a brand new play yard for their pups. https://t.co/NlDAWmsKVi",en,Ameren Corporation
Wed Nov 20 15:45:00 +0000 2019,We're honored to call six of this year's Public Utilities Fortnightly Top Innovators our co-workers. Congratulations to you and thank you for thinking outside of the box and challenging the status quo.   https://t.co/ZozBOgcft7,en,Ameren Corporation
Wed Nov 20 13:47:46 +0000 2019,"@NatashaSays Hi Natasha, are you in Missouri or Illinois? We have options available in both states.",en,Ameren Corporation
