created_at,full_text,lang,user_name
Thu Dec 19 04:35:43 +0000 2019,Great work and great innovation! https://t.co/Otc0dNjL08,en,Amgen
Tue Dec 17 22:49:07 +0000 2019,"Can you guess what this is? Visit our osteoporosis chalk art now through Dec. 22nd, in Tampa, Florida to find out! Snap a photo – or even a #selfie. Click for directions - https://t.co/676jXYn8Bn! #TakeChargeofOsteo https://t.co/UG6SgRJXtt",en,Amgen
Tue Dec 17 20:54:16 +0000 2019,"RT @AmgenOncology: Traveling for the holidays? If you’re a #cancer patient undergoing #chemo, follow these simple tips to reduce your chanc…",en,Amgen
Tue Dec 17 20:52:39 +0000 2019,"RT @AmgenFoundation: @LabXchange is launching soon! Watch this video to learn what it’s all about, and check out https://t.co/OadjCbSWQe @H…",en,Amgen
Mon Dec 16 23:52:04 +0000 2019,Recently #Amgen's Black Employee Network (ABEN) volunteered their time at the Midnight Mission in downtown LA to handout care packages to the homeless. The team handed out 200 packages to those in need. It was a wonderful event to work together to give back to the community! https://t.co/VuPEV994zK,en,Amgen
Fri Dec 13 22:12:39 +0000 2019,RT @AmgenCanadaGM: Ponda Motsepe-Ditshego’s career has taken her from a young medical student in South Africa to the executive medical dire…,en,Amgen
Fri Dec 13 18:52:28 +0000 2019,#DYK Osteoporosis is a loss of bone density and weakened bone structure that can lead to an increased risk of fracture. Visit https://t.co/sB3P6k14Of to learn more. #TakeChargeofOsteo https://t.co/O9kqb0cC5Y,en,Amgen
Thu Dec 12 18:53:58 +0000 2019,RT @AmgenCareers: Amgen has been recognized as a top Military Friendly Employer for the third year in a row by @MilitaryTimes! This wouldn'…,en,Amgen
Thu Dec 12 06:05:00 +0000 2019,"#Amgen and @UCB_news receive marketing authorization from the European Commission, @EMA_News, for a new treatment option for severe #osteoporosis in postmenopausal women at high risk of fracture. Press release: https://t.co/lsAH2kt1H3 $AMGN",en,Amgen
Wed Dec 11 22:13:12 +0000 2019,"RT @AmgenFoundation: @ABEProgOffice spoke with Cen Xu, @Amgen’s scientific director for neuroscience, about her scientific journey after th…",en,Amgen
Wed Dec 11 22:11:10 +0000 2019,RT @kytopen: We are extremely excited and honored to be named the @Amgen Golden Ticket Winner and look forward to our dedicated bench space…,en,Amgen
Wed Dec 11 21:43:31 +0000 2019,RT @labcentral: Congratulations are in order for this year's @Amgen Golden Ticket winners: @kytopen and @GCTherapeutics! With Amgen's suppo…,en,Amgen
