created_at,full_text,lang,user_name
Thu Dec 19 14:59:21 +0000 2019,Construction is underway for #CES2020. Can you believe in just a couple of short weeks we will be back at @CES to showcase our tech? Check it out https://t.co/GXxVcJfOml https://t.co/Ay87eAX0pl,en,Aptiv
Wed Dec 18 15:11:28 +0000 2019,"What are three essential skills to success for a #systemsengineer? Hear from our team. Learn more at: https://t.co/pefEOyKJ1e
https://t.co/ZikImcx3Wk",en,Aptiv
Tue Dec 17 17:53:04 +0000 2019,"“Frontrunner Aptiv will announce a new way of sharing computational power between in-car systems.” – Read it in @digitaltrends https://t.co/7xXn9qU3ge
Get a sneak peek: #CES2020 https://t.co/GXxVcJfOml",en,Aptiv
Tue Dec 17 16:07:18 +0000 2019,Exciting to see another self-driving milestone. Congrats to https://t.co/HmZ3Odeb5z 🚛 https://t.co/VZYhvJ65pc,en,Aptiv
Mon Dec 16 14:03:04 +0000 2019,"1.4 billion lidar points annotated. 100,000 images annotated with over 800,000 2D bounding boxes. This will all be included in our open-source dataset to further #selfdriving tech. https://t.co/F3KvthP8ir",en,Aptiv
Fri Dec 13 14:14:41 +0000 2019,Aptiv’s open-source data initiative to get two major updates in 2020 and both will be available for commercial licensing. #selfdriving #autonomousvehicles  https://t.co/F3KvthP8ir,en,Aptiv
Thu Dec 12 14:40:54 +0000 2019,Get a sneak peek at the featured tech we'll have at #CES2020 https://t.co/KZFiBqBmTV https://t.co/tZHHkCrUdn,en,Aptiv
Mon Dec 09 18:53:41 +0000 2019,‘A better car every day’? Here’s how we worked with #Volvo to make that a reality. #AndroidAutomotive https://t.co/u9GLAO222V,en,Aptiv
Mon Dec 09 16:28:31 +0000 2019,"At Aptiv, we say goodbye to the basic electronic architecture that was created in the late 90s and hello to a smarter way of designing and building vehicles.  
https://t.co/6K8ynx7fpR",en,Aptiv
Fri Dec 06 18:20:37 +0000 2019,"""Das herkömmliche Pkw-Bordnetz ist für das Roboterauto der Zukunft nicht mehr geeignet. Der Umbau der Architektur ist aber bereits im Gange."" https://t.co/7gg6PWkzFA",de,Aptiv
Wed Dec 04 19:11:47 +0000 2019,New #Pittsburgh Technology Center will advance the development of autonomous technology for #selfdriving cars. https://t.co/bOiVM8yJGv,en,Aptiv
Wed Dec 04 14:46:27 +0000 2019,"Proposed EU legislation would require a total of 30 passive and #activesafety features to help save 25,000 lives lost in traffic fatalities each year in Europe. With Aptiv's scalable solutions, we can democratize safety: https://t.co/cZEMWYMd6O",en,Aptiv
Tue Dec 03 15:22:04 +0000 2019,RT @EdGarsten: Aptiv To Unveil Open Source Electronic Robocar Architecture https://t.co/4LGAebjyR7 via @forbes  #automotive #aptiv,en,Aptiv
Mon Dec 02 20:16:34 +0000 2019,The future is all about the #software defined vehicle and the engineers who will develop them. Learn more: https://t.co/LPoZDLmGK7 #itsourmove https://t.co/NyeT88tspf,en,Aptiv
Tue Nov 26 15:34:40 +0000 2019,We make it a habit to honor the innovators that are making the future of mobility come to life. Read our CTO's latest blog on Aptiv's Innovation Hall of Fame. https://t.co/SYNEbrO75o,en,Aptiv
Wed Nov 20 18:08:25 +0000 2019,Want to shape the future of mobility? Check out our new #careers website: https://t.co/LPoZDLmGK7,en,Aptiv
Mon Nov 18 16:34:58 +0000 2019,We believe that #selfdriving tech will enable equitable access to transportation. We're proud to have worked with @NFB_voice to create a dialogue with the blind and low-vision community to ensure our tech serves them in a meaningful way. https://t.co/GErQyDYzLt,en,Aptiv
Thu Nov 14 18:09:20 +0000 2019,"""At Aptiv, the quest for #quality is embedded in everything we do – to be more efficient, more compliant and more innovative."" - A note from our VP of Quality on #WQD19  #QualityDay https://t.co/1ZohJAdGrt",en,Aptiv
Thu Nov 14 15:51:50 +0000 2019,@teague_cole @kkoenigtableau @lyft Our #AptivLyft commercial deployment is in Las Vegas😎,en,Aptiv
Thu Nov 14 15:50:45 +0000 2019,"@Candywoodkey Awesome, thank you for sharing your experience! #AptivLyft",en,Aptiv
Thu Nov 14 15:49:20 +0000 2019,RT @MichaelNaft: The technology being tested by @Aptiv in #ClarkCounty is incredible. Had the chance to take a test drive and learn more ab…,en,Aptiv
Wed Nov 13 20:27:06 +0000 2019,RT @kkoenigtableau: Took my first ride in a self-driving car today! Pretty cool. @Aptiv @lyft https://t.co/PdQnfLCF2O,en,Aptiv
Wed Nov 13 20:06:25 +0000 2019,"The latest generation of Integrated Cockpit Controllers lets OEMs add features and functionality without over complicating the design.
https://t.co/nho18yXVq2",en,Aptiv
Wed Nov 06 17:22:00 +0000 2019,Today our Wuppertal team accepted a grant that will fund an AI-based mobility research lab in the region. Congratulations to our partners in the @BergischM: project and thank you  @WirtschaftNRW @a_pinkwart for the support. Learn more here: https://t.co/SVwpFyb4Ms https://t.co/rL5VoyPjoG,en,Aptiv
Tue Nov 05 16:57:24 +0000 2019,Evaluating your #connectedvehicle data initiative? Learn from these four myths we've seen #OEMs encounter along the way: https://t.co/8xh7hqPMsr,en,Aptiv
Fri Nov 01 12:35:32 +0000 2019,"As complexity increases, so does the value of keeping things simple. https://t.co/MdBdvRE7g2",en,Aptiv
Wed Oct 30 11:48:08 +0000 2019,$APTV Reports Third Quarter 2019 Financial Results. Join us at 8 a.m. EDT today for the #earnings webcast.  https://t.co/kEBIOQTNhN https://t.co/YfthnNd947,en,Aptiv
Tue Oct 29 16:28:19 +0000 2019,$APTV #earnings call: Join us at 8 a.m. EDT on Oct. 30 for Aptiv’s Q3 2019 Earnings Call. Webcast and press release will be available at https://t.co/kEBIOQTNhN https://t.co/h8Z3ogzjig,en,Aptiv
Tue Oct 29 14:27:33 +0000 2019,"Come see us in Atlanta this week at the #NACVShow2019 to learn about our uniquely positioned portfolio. 
https://t.co/F90BLamzeZ https://t.co/ZQvsCTAdNj",en,Aptiv
