created_at,full_text,lang,user_name
Tue Dec 17 17:10:50 +0000 2019,"#Arista is proud to have @RedHat, @versanetworks and @VMware as Gold Sponsors for our Partner Exchange Event in January 2020! Interested in attending or becoming a partner? Learn more here: https://t.co/zBqZmnElV6 https://t.co/etGW6A3vq5",en,Arista Networks
Thu Dec 12 17:49:31 +0000 2019,"The Client to Cloud Era is here! #Arista Partner Exchange will be Jan 8-10 in Newport Beach, CA.  Hear from company founders and executive leadership about our innovations in software driven cloud networking! #AristaPEX2020 #partners 
Learn more here: https://t.co/9LjeJzYm0g https://t.co/jyWXeN1yVZ",en,Arista Networks
Tue Dec 10 17:04:55 +0000 2019,"Attending #GartnerIOCS? Stop by Murano 3301A tomorrow, December 11th from 3:00 PM - 3:30 PM for the ""Arista Networks: Major League Baseball - Automating a Multi-Cloud Infrastructure"" session. https://t.co/WTIvXkFRmf",en,Arista Networks
Fri Dec 06 17:03:10 +0000 2019,Missed the second webinar of the #Arista Technology Series on #EVPN #VxLAN? Watch the recording here: https://t.co/y6buqXAq70,en,Arista Networks
Tue Dec 03 19:58:07 +0000 2019,"#Arista is proud to have @Forescout, @PureStorage and @zoom_us as Platinum Sponsors for our Partner Exchange Event in January 2020! Interested in attending or becoming a partner? Learn more here: https://t.co/spxxULPAkk https://t.co/3jF9uI5ef8",en,Arista Networks
Tue Nov 26 20:26:44 +0000 2019,"Join us on Thursday, December 5th at 10 AM PT for the second webinar of the #Arista Technology Series on #EVPN #VxLAN. This webinar will focus on the different IRB forwarding models; symmetric and asymmetric, and their effect on scaling. Register here: https://t.co/HmIpdYiNhy https://t.co/rWM5351J08",en,Arista Networks
Mon Nov 25 19:09:26 +0000 2019,"#Arista CEO, Jayshree Ullal, has been named a Fortune Businessperson of the Year for 2019! https://t.co/DToNKYTqU0",en,Arista Networks
Fri Nov 22 17:07:59 +0000 2019,Missed yesterday's webinar on how to automate public cloud networking with #Arista CloudEOS? Watch the recording here: https://t.co/zTv497CEyw,en,Arista Networks
Thu Nov 21 14:06:34 +0000 2019,"Check out Jayshree's latest blog, ""The Road Ahead for Cloud Area Network Migration"". https://t.co/4Df82Fnkxi  # Arista #CloudEOS",en,Arista Networks
Wed Nov 20 17:55:44 +0000 2019,#Arista demonstrates a broad portfolio of 400G systems with #CloudVision for telemetry and automation. Visit booth 843 at SuperComputing 19 to learn more! #SC19 https://t.co/xK85qkgShg,en,Arista Networks
Tue Nov 19 20:36:34 +0000 2019,Attending SuperComputing 2019? Visit the #Arista team at booth 843! https://t.co/S6dH72tHvW #SC19,en,Arista Networks
Wed Nov 13 17:17:25 +0000 2019,Great article by Zeus Kerravala from ZK Research on how #Arista's new cloud networking features fit NetDevOps. Read the article here: https://t.co/FK9JsZ3QMw,en,Arista Networks
Mon Nov 11 23:02:59 +0000 2019,"#Arista is proud to be a sponsor of #KubeCon + #CloudNativeCon NA in San Diego, November 18-21! Visit us at booth S76! https://t.co/tMmOYOQy5r",en,Arista Networks
Mon Nov 11 08:02:59 +0000 2019,We're joining global Wi-Fi leadership at Wi-Fi World Congress International 12 - 14 November. Come and listen to Arista's Dr. Nadeem Akhtar on the main stage! #cognitivecampus #WiFi #networking #IoE #innovate https://t.co/0jru7GpKo0,en,Arista Networks
Thu Nov 07 23:49:12 +0000 2019,Great story by Michael Cooney at @networkworld on how #Arista is targeting cloud networking with #CloudEOS software. Read the full story here: https://t.co/UWB7ZCPoT0,en,Arista Networks
Thu Nov 07 08:30:00 +0000 2019,"Dave Snowdon, Director of Engineering at Arista Networks, will be discussing 'Why accuracy-driven markets will transform trading' at STAC Summit, 13 Nov in London https://t.co/hxHbkPCb9E https://t.co/XgxJf2XvuK",en,Arista Networks
Wed Nov 06 08:10:00 +0000 2019,We are at VMworld this year to discuss how Arista and VMware create technologies together to ensure our customers achieve their goals. Come and speak with us on booth B607 #hybridcloud #SDN #interop #innovate https://t.co/Zq9eDiyzTv https://t.co/H1M1WiZNhw,en,Arista Networks
Tue Nov 05 20:09:36 +0000 2019,"Join us on Thursday, November 21st at 10 AM PT for a webinar on how to automate public cloud networking with #Arista CloudEOS. Register here: https://t.co/NukhKwX9U5 https://t.co/qIpJmEYwKo",en,Arista Networks
Tue Nov 05 18:27:11 +0000 2019,RT @ContainerBlog: New post: Arista Networks Embraces Kubernetes https://t.co/h7m1OOrQ8t #containerjournal #containerblog #aristanetworks #…,en,Arista Networks
Tue Nov 05 17:09:25 +0000 2019,"Check out Douglas Gourlay's blog post, ""Delivering a Multi Cloud and Cloud Native Operator Experience"". https://t.co/ubDgMuqqW9 #Arista #CloudEOS #multicloud #cloudnative",en,Arista Networks
Tue Nov 05 14:00:05 +0000 2019,"Introducing CloudEOS, delivering enterprise-class multi cloud and cloud native networks. Read the release here: https://t.co/2494u5ttiH #Arista #CloudEOS #multicloud #cloudnative https://t.co/mGWv27Ouii",en,Arista Networks
Fri Nov 01 16:07:50 +0000 2019,Missed the first webinar of the #Arista Technology Series on #EVPN #VxLAN? Watch the recording here: https://t.co/JGp5FWIYXC,en,Arista Networks
Tue Oct 22 17:35:00 +0000 2019,Attending the @Gartner_inc IT Symposium/Xpo? Visit the #Arista team at Booth 634 to learn how we're bringing cloud principles to the enterprise campus! #GartnerSYM https://t.co/NbB3UZcubs,en,Arista Networks
Thu Oct 17 16:02:30 +0000 2019,"Join us on Thursday, October 31st at 10 AM PT for the first webinar of the #Arista Technology Series on #EVPN #VxLAN. This series is run by engineers, for engineers, and includes walkthroughs and deep-dives into specific feature functions. Register here: https://t.co/Op9ERxjt93 https://t.co/BcymxNWa1g",en,Arista Networks
Fri Sep 27 16:03:09 +0000 2019,Missed yesterday's webinar on the latest enhancements to #CloudVision? Watch the recording here: https://t.co/cfUCjjHNoF #Arista,en,Arista Networks
Thu Sep 26 16:01:00 +0000 2019,"Arista is speaking at the ""Open Day - Deutsche Börse IT conference"" today, hosted at the @DeutscheBoerse Frankfurt HQ. Listen to our talk ""Arista: Innovative network solutions for the Financial Community"". #innovation #cloudnetworking #finance",en,Arista Networks
Fri Sep 20 20:27:27 +0000 2019,Join us next week in Atlanta for #AnsibleFest from September 24-26! Stop by booth # 201 and visit the #Arista team! https://t.co/sNlwLwoNBp #ansible,en,Arista Networks
