created_at,full_text,lang,user_name
Thu Dec 19 23:00:11 +0000 2019,"@JimInhofe thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #OK",en,BD
Thu Dec 19 22:50:04 +0000 2019,"@SenAlexander thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #TN",en,BD
Thu Dec 19 22:40:02 +0000 2019,"@ChuckGrassley thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #IA",en,BD
Thu Dec 19 22:30:16 +0000 2019,"@SenatorBurr thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #NC",en,BD
Thu Dec 19 22:20:03 +0000 2019,"@SenToomey thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #PA",en,BD
Thu Dec 19 22:10:05 +0000 2019,"@SenRobPortman thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #OH",en,BD
Thu Dec 19 22:00:15 +0000 2019,"@SenatorHassan thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #NH",en,BD
Thu Dec 19 21:50:06 +0000 2019,"@SenatorShaheen thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #NH",en,BD
Thu Dec 19 21:40:03 +0000 2019,"@SenBobCasey thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #PA",en,BD
Thu Dec 19 21:30:09 +0000 2019,"@SenCoryGardner thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CO",en,BD
Thu Dec 19 21:20:03 +0000 2019,"@SenSchumer thank you for being a #medtech champion and for your work to #RepealDeviceTax, #ProtectMedicalInnovation, and support #jobs in #GlensFalls. As a result of your leadership, Congress passed legislation that will benefit patients and improve healthcare delivery in #NY",en,BD
Thu Dec 19 21:10:02 +0000 2019,"@SenRickScott thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #FL",en,BD
Thu Dec 19 21:00:07 +0000 2019,"@SenDougJones thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #AL",en,BD
Thu Dec 19 20:50:03 +0000 2019,"@SenAmyKlobuchar thank you for all of your work to #RepealDeviceTax and ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #MN",en,BD
Thu Dec 19 20:40:03 +0000 2019,"@SenTinaSmith thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #MN",en,BD
Thu Dec 19 20:30:08 +0000 2019,"@SenToddYoung thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #IN",en,BD
Thu Dec 19 20:20:03 +0000 2019,"@SenatorIsakson thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #GA",en,BD
Thu Dec 19 20:10:03 +0000 2019,"@SenMcSallyAZ thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #AZ",en,BD
Thu Dec 19 20:00:17 +0000 2019,"@SenatorSinema thank you for being a champion to #medtech and for your work to #RepealDeviceTax, #ProtectMedicalInnovation, and support #jobs in #Tempe. As a result of your leadership, Congress passed legislation that will benefit patients and improve healthcare delivery in #AZ",en,BD
Thu Dec 19 19:50:02 +0000 2019,"@SenDuckworth thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #IL",en,BD
Thu Dec 19 19:40:02 +0000 2019,"@SenBlumenthal thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the Senate passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CT",en,BD
Thu Dec 19 16:42:16 +0000 2019,There is still time to submit your application to the 2nd Annual @ANANursingWorld Innovation Awards! ANA will award a nurse and nurse-led team using #innovation to improve patient safety/outcomes. Applications accepted until 1/15/20. Submit here: https://t.co/zQZ1bB0xF0 https://t.co/YEcF5z3U2I,en,BD
Wed Dec 18 19:40:03 +0000 2019,"Join us TOMORROW for ""Antibiotic Stewardship and #Sepsis: A Balancing Act Continuum of Care,"" a webinar we're presenting with the @SepsisAlliance. 2 p.m.-3 p.m. ET. Register here: https://t.co/wrmmzWPwgs",en,BD
Wed Dec 18 19:10:57 +0000 2019,"RT @BDBiosciences: We’re thrilled to announce the launch of “Scientist to Scientist,” an educational video series designed to provide tips…",en,BD
Wed Dec 18 15:49:54 +0000 2019,What’s stopping hospitals from centralizing #pharmacy services? Take a closer look: https://t.co/h7MbSO2Hjj #medsafety https://t.co/mu75sdLlxX,en,BD
Wed Dec 18 00:55:03 +0000 2019,"@RepSpeier thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Wed Dec 18 00:50:02 +0000 2019,"@RepGregStanton thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #AZ",en,BD
Wed Dec 18 00:40:02 +0000 2019,"@RepMikeLevin thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Wed Dec 18 00:30:06 +0000 2019,"@RepBenMcAdams thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #UT",en,BD
Wed Dec 18 00:20:03 +0000 2019,"@RepChrisStewart thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #UT",en,BD
Wed Dec 18 00:10:03 +0000 2019,"@RepKatiePorter thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Wed Dec 18 00:00:09 +0000 2019,"@RepPeteAguilar thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Tue Dec 17 23:50:04 +0000 2019,"@RepRoKhanna thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Tue Dec 17 23:40:03 +0000 2019,"@RepScottPeters thank you for all of your work to #RepealDeviceTax and #ProtectMedicalInnovation. As a result of your leadership, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #CA",en,BD
Tue Dec 17 23:30:09 +0000 2019,"@RepWalorski thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #IN",en,BD
Tue Dec 17 23:20:02 +0000 2019,"@RepAdrianSmith thank you for your support to #RepealDeviceTax and #ProtectMedicalInnovation. Today, the House passed bipartisan legislation that will benefit patients and improve the delivery of healthcare in #NE",en,BD
