created_at,full_text,lang,user_name
Mon Dec 16 12:01:27 +0000 2019,Some of the brightest starts in the #fintech sector came together at our Fintech Connect forum. Here's the top 10 takeaways: https://t.co/jHLyWnPgU2 https://t.co/ribf8PYZae,en,BNY Mellon
Mon Dec 16 10:00:50 +0000 2019,BNY Mellon enhanced custody information will be available in SimCorp Dimension® so that you're able to make better decisions all in one place. Find out how: https://t.co/hHvAcX08Ao https://t.co/5W09JS3b8U,en,BNY Mellon
Thu Dec 12 12:00:01 +0000 2019,Increased transparency. Faster decisions. Learn more about how BNY Mellon and SimCorp's partnership will strengthen your investment decision making. https://t.co/16PXW10AiP https://t.co/MWatV5NW22,en,BNY Mellon
Thu Dec 12 09:00:46 +0000 2019,Market forces are driving new methods of access to private markets for Defined Contribution plans. Our new paper describes how: https://t.co/0iwTNcWNjd https://t.co/W5dh0r4qLL,en,BNY Mellon
Wed Dec 11 18:01:17 +0000 2019,Check out our top 10 big ideas from our inaugural Fintech Connect Forum: https://t.co/tv0HpBt8Ku https://t.co/qWH00Ezn6Y,en,BNY Mellon
Mon Dec 09 08:01:08 +0000 2019,BNY Mellon and SimCorp collaborate to deliver enhanced custody information and improved operational efficiencies. Read more about the news: https://t.co/ENzl3sTfwm https://t.co/U4McCLFi2t,en,BNY Mellon
Fri Dec 06 21:34:55 +0000 2019,Proud of BNY Mellon’s Noon Ali and Julie Orton for being named to @WATC_WeAreTech’s #TechWomen100 Awards! Find out more about these amazing women in tech: https://t.co/iBY9F1ie2j https://t.co/2sTQnIsA7S,en,BNY Mellon
Wed Dec 04 18:25:04 +0000 2019,We’re delighted to be named by Funds Europe as best Custodian and Specialist Administrator of the Year for our custody and ETF services. Explore more about the awards: https://t.co/rsaeM8JnAy https://t.co/ndEsjxtdTZ,en,BNY Mellon
Tue Dec 03 15:08:39 +0000 2019,"Hats off to BNY Mellon’s Hani Kablawi, Roman Regelman and James Slater who were named to @globalcustodian’s 30 to Shape the Future list. Read more about the recognition: https://t.co/MElieSVmlx https://t.co/d2Rqhj6gnM",en,BNY Mellon
Mon Dec 02 15:01:33 +0000 2019,New actively managed ETF structures could lead to the next wave of growth in the industry. What do investment managers need to know? https://t.co/dRu7IPLDQk https://t.co/CoPDGY11Dk,en,BNY Mellon
Fri Nov 29 12:00:00 +0000 2019,Wishing you an even more successful 2020. Happy holidays from BNY Mellon! https://t.co/VoPrGNL2rf,en,BNY Mellon
Sun Nov 24 19:01:11 +0000 2019,We're helping clients address key challenges in the industry and focus on their core strengths to be positioned for future success. Learn how: https://t.co/hGt1MKJ1QB https://t.co/zMvjgGVPsM,en,BNY Mellon
Fri Nov 22 08:00:40 +0000 2019,Honored to be recognized in two categories for delivering best in class fund admin to our global credit clients. Learn more about our solutions:  https://t.co/YiNlJ1AGY4 https://t.co/ffuvy4fctx,en,BNY Mellon
Thu Nov 21 13:30:25 +0000 2019,How can clients leverage our digital solutions to improve their service experience? BNY Mellon's Jen Wagner weighs in: https://t.co/LcplfvK1h1 https://t.co/NO1frSxmEz,en,BNY Mellon
Tue Nov 19 18:01:56 +0000 2019,"Are cryptocurrencies a passing fad or a sign of a radically new, decentralized financial system? Read what BNY Mellon's Tom Casteleyn thinks: https://t.co/A1FX2xPSRN https://t.co/AE0YlJ1eSp",en,BNY Mellon
Mon Nov 18 12:01:25 +0000 2019,What could a partial trade deal between the U.S. and China mean for the markets moving forward? @BNYMellonWealth’s Jeff Mortimer shares his insight: https://t.co/p3LGx9WfmC https://t.co/7Ik663pr2S,en,BNY Mellon
Tue Nov 12 16:01:06 +0000 2019,How is the trade dispute impacting the U.S. and China? @BNYMellonWealth’s Jeff Mortimer weighs in: https://t.co/QfEmDIraY6 https://t.co/g7GGmfCRjS,en,BNY Mellon
Fri Nov 08 17:45:58 +0000 2019,Congratulations to last night’s Global Custodian Industry Leaders Awards! Learn about the Securities Services Project of the Year award we took home and @Pershing’s Client Service Award: https://t.co/rGhAU7Wz0f https://t.co/qilsDtp4iD,en,BNY Mellon
Wed Nov 06 22:22:17 +0000 2019,That's a wrap on a day of collaboration and innovation at our inaugural Fintech Connect forum. Thanks to all of our attendees and participants for unleashing new ideas and ways of thinking! https://t.co/ilJIa62c3U,en,BNY Mellon
Wed Nov 06 15:25:04 +0000 2019,"Change. That's really what digital is about says Roman Regelman, Head of Digital, at our inaugural Fintech Connect forum. Explore our strategy: https://t.co/UKhoj6Ak9r https://t.co/qC22Y5SnxM",en,BNY Mellon
Wed Nov 06 14:10:04 +0000 2019,Making connections. Creating opportunities. Unleashing new ideas. It's all happening at our Fintech Connect forum. Not there? You can still get our take on digital at BNY Mellon: https://t.co/VEcLRqved2 https://t.co/rYLsi9qUOQ,en,BNY Mellon
Wed Nov 06 12:15:04 +0000 2019,We continue to expand our digital ecosystem and capabilities with the addition of four best-in-class providers. Read about our latest alliances: https://t.co/JQQWknSot5 https://t.co/yPbldLOJ1h,en,BNY Mellon
Tue Nov 05 16:02:03 +0000 2019,BNY Mellon's Eric Boughner says the biggest challenge of Real-Time Payments may be understanding the opportunity. Find out why: https://t.co/n5x7s4UEd0 https://t.co/9Ugnfu6d5f,en,BNY Mellon
Mon Nov 04 09:00:57 +0000 2019,"Women play a vital role in the technology field, yet are still under-represented. Find out our how we're commited to supporting women in the industry: https://t.co/7Ne5Vqm4bX #GHCI19 https://t.co/QL1RfkZzSV",en,BNY Mellon
Thu Oct 31 23:10:35 +0000 2019,We're excited to announce new initiatives to further embed us into the fabric of Singapore’s #digital and financial ecosystem. Read how we're stepping up our commitment: https://t.co/reFEvZc7ok https://t.co/45nHYdlYTM,en,BNY Mellon
Thu Oct 31 21:00:55 +0000 2019,"Trade tensions, subdued global growth and geopolitical saber-rattling are making the market nervous. Will these lead up to a recession? https://t.co/FsnoVxqDh4 https://t.co/LVjjKHiwrt",en,BNY Mellon
Tue Oct 29 18:35:04 +0000 2019,"Hats off to Roman Regelman, our Head of Digital, for being shortlisted to @globalcustodian’s third annual Industry Person of the Year for North America award. Read more: https://t.co/FOhszFHuE3 https://t.co/2HmVBFnNZV",en,BNY Mellon
Tue Oct 29 17:00:02 +0000 2019,Proud to have won Best Back Office Tech Provider at the ETF Express USA Awards 2019. Learn more: https://t.co/GwKs9979do https://t.co/talq2QmEOo,en,BNY Mellon
