created_at,full_text,lang,user_name
Thu Dec 19 18:00:56 +0000 2019,"Did you know that once a can is emptied, it can be back on the shelf as a new can in as little as 60 days? #RecycleAluminum #MetalRecyclesFoever #Susty https://t.co/24HEbleWKo",en,Ball Corporation
Thu Dec 19 13:01:54 +0000 2019,"#TBT to #BrauBeviale2019, where we presented our innovative cans as one of the most infinitely recyclable and sustainable beverage packaging of choice! #susty #recyclealuminum https://t.co/2hORiPgs0P",en,Ball Corporation
Wed Dec 18 18:25:02 +0000 2019,How does infinitely recyclable #aluminum stack up against other beverage packaging types? New piece from @AbigailSpink wraps it up: https://t.co/IIs9iKEX12 #MetalRecyclesForever #beveragepackaging #susty,en,Ball Corporation
Wed Dec 18 15:01:55 +0000 2019,"At Ball, we focus on what matters most, and that's #sustainability. Our sustainability framework serves as the foundation for our continued success. Learn more about our sustainability story: https://t.co/xHsDs53Sxt",en,Ball Corporation
Tue Dec 17 18:00:54 +0000 2019,And they're off! Our employees donated some of their time to put together care packages being sent to servicemen who are overseas during the holidays. https://t.co/BwhTGZO7lI,en,Ball Corporation
Mon Dec 16 19:01:08 +0000 2019,"Thin, lightweight and infinitely recyclable—check out Ball’s aluminum cup listed as one of the top 9 stadium innovations of 2019 in @Forbes: https://t.co/AFvyDi9GGn #LiveTheCanLife",en,Ball Corporation
Mon Dec 16 16:00:59 +0000 2019,"Meet our #CanFanoftheWeek - Roberto Garza from Nuevo Leon, Mexico. Before going on a bike ride, Roberto made sure to bring along a Ball canned water to hydrate on the go! #LivetheCanLife #RecycleAluminum #CsnnedWater https://t.co/zklbxgkHj9",en,Ball Corporation
Sat Dec 14 16:44:51 +0000 2019,RT @BallAerospace: Today marks ten years since the Wide-field Infrared Survey Explorer (WISE) mission launch! Completing its primary missio…,en,Ball Corporation
Fri Dec 13 15:01:29 +0000 2019,The aluminum can is the most recycled beverage container and enables the circular economy. Learn more about aluminum's success story from @Greenbiz: https://t.co/nqA4J3dt8U,en,Ball Corporation
Fri Dec 13 12:01:13 +0000 2019,"Great to see #aluminumcans recycled at @Novelis in Latchford, UK! We toured with customers @canowater &amp; @jimmyicedcoffee who use the world's most recycled beverage packaging to bring spring water &amp; RTD coffee to new consumers. #metalsrecycleforever https://t.co/a0lGhuYFIz",en,Ball Corporation
Thu Dec 12 15:45:05 +0000 2019,"Ball is constantly innovating to bring cutting-edge, sustainable aluminum beverage packaging solutions to our customers - most recently, the #BallAluminumCup! Read more about our latest innovation: https://t.co/4krksG1oxC #innovation #sustainability https://t.co/3sVGYBCPFL",en,Ball Corporation
Wed Dec 11 16:01:10 +0000 2019,"Our #CanFanoftheWeek, Adam Sedillo from Westminster, Colorado, created can fan art (crafted 100% aluminum!) to celebrate all at Ball and their contributions to the environment and the communities where we live and work. #LivetheCanLife #Sustainability #Recycle #RecycleAluminum https://t.co/jw3wS7aSdj",en,Ball Corporation
Tue Dec 10 17:07:57 +0000 2019,"This year, our Colorado employees have volunteered more than 17,700 hrs and supported 604 non-profits! Today and everyday, we thank all who have donated their time and effort. Watch more about our community efforts: https://t.co/2lJyW8BGNo #BeCause #ColoradoGivesDay",en,Ball Corporation
Mon Dec 09 16:33:06 +0000 2019,"Thinking about your #NewYearsResolution? Join Ball’s Chairman President &amp; CEO John Hayes in making a commitment to prioritize recycling and use more #sustainable materials, like aluminum! ♻️ via @readersdigest   https://t.co/f5Jmwvm16V",en,Ball Corporation
Fri Dec 06 16:27:32 +0000 2019,https://t.co/S2RVVKyn4g https://t.co/rcIr2CTDTm,und,Ball Corporation
Fri Dec 06 16:27:31 +0000 2019,"We share Jason Momoa's passion for sustainable beverage packaging! At Ball, we love drinking canned water, wine, seltzer...aluminum is an infinitely recyclable &amp; readily available container! For what it's worth-- we're glad things are cool with @prattprattpratt, too.",en,Ball Corporation
Thu Dec 05 16:25:03 +0000 2019,"Accessibility, aesthetics and sustainability - just a few reasons why #cans are becoming the beverage packaging of choice! Read more about how canned wine can be a better alternative to other packaging choices: https://t.co/yyhHW9zajy",en,Ball Corporation
Wed Dec 04 15:35:04 +0000 2019,"This #CanFanoftheWeek, we are featuring our US payroll and finance communications teams! They celebrated Halloween by living the can life with Ball canned water. #CanFan #LiveTheCanLife #Recycle #RecycleAluminum https://t.co/Y26TUXvTlQ",en,Ball Corporation
Tue Dec 03 22:36:50 +0000 2019,We're proud to partner with organizations with missions and values alike! #GivingTuesday  #BeCause https://t.co/zMpfJV8YMD,en,Ball Corporation
Tue Dec 03 18:28:06 +0000 2019,"RT @BallAerospace: Ball Aerospace delivers #science at any scale. From cubesats to flagship missions and everything in between, we work wit…",en,Ball Corporation
Tue Dec 03 15:01:45 +0000 2019,"Our long-term commitment to the communities where we live and work has been an integral part of our culture since 1880. Corporate and employee giving, and volunteerism are just a few examples of how we engage with the communities that sustain us. #GivingTuesday #BeCause https://t.co/n87T4m0fuy",en,Ball Corporation
Mon Dec 02 17:53:52 +0000 2019,"The aluminum opportunity is endless, ""Cans are fun. They are adventurous. They are approachable,"" Jolie Devoto, founder of Golden State Cider, on why choosing aluminum was the obvious choice! Check it out: https://t.co/cPHpd63x24 #ChooseCans",en,Ball Corporation
Sat Nov 30 14:40:05 +0000 2019,"Last week, Ball volunteers distributed canned water at the @DenverMuseumNS! We have built a partnership to educate the community about the aluminum can's sustainability credentials, and to support the museum's mission to eliminate single-use plastic. https://t.co/OToVnZYv32",en,Ball Corporation
Fri Nov 29 15:02:21 +0000 2019,"Our Chief Commercial and Sustainability Officer, Kathleen Pitre, was recently interviewed by @ResourceRecycling about the importance of aluminum recycling and how we can increase recycling rates. Read more: https://t.co/KFnQzf4WfE #RecyclingChampion",en,Ball Corporation
Thu Nov 28 17:02:07 +0000 2019,"The sommelier at one of the world’s best bars launched his own canned wine line! VINNY is packaged in aluminum cans, so it is #sustainable and convenient for on the go! Check it out in @FortuneMagazine: https://t.co/K2JtuwZUIl #DrinkResponsibly",en,Ball Corporation
Thu Nov 28 14:50:07 +0000 2019,Happy Thanksgiving from your friends at Ball! We hope you have a wonderful holiday spending time with your loved ones. https://t.co/SQyxEobfGh,en,Ball Corporation
Wed Nov 27 15:02:34 +0000 2019,"#CanFanoftheWeek: Natalie McGinnis from Broomfield, CO, lived the cup life at the @pepsicenter while cheering on the Denver Nuggets! ""I live the can life by educating others of the benefits and importance of recycling aluminum,"" she says. #LiveTheCanLife  #RecycleAluminum https://t.co/hhJ0ppeg6X",en,Ball Corporation
Mon Nov 25 16:22:18 +0000 2019,RT @BallAerospace: Attendees at the recent @DenverMuseumNS Free Day explored how spacecraft propellant is going green with @NASA_Technology…,en,Ball Corporation
Sat Nov 23 15:01:19 +0000 2019,A #funfact to start your weekend - #didyouknow that your TV can be powered for two hours from the energy saved by recycling one can? #Recycle #RecycleAluminum #Sustainability #Susty https://t.co/s7vgwlwEh3,en,Ball Corporation
Thu Nov 21 19:20:17 +0000 2019,It's important we partner with programs that support mentoring opportunities for students to explore #STEM - especially when creating visibility to women in a male-dominated field! #BeCause https://t.co/pEhm3iScqU,en,Ball Corporation
Thu Nov 21 16:15:35 +0000 2019,"Aluminum cans aren't just cans, they're canvases. We're a leader in graphic innovation because we offer customers techniques to turn visions into reality, from photo-real imagery to Thermochromic and Tactile ink. Learn more about our printing capabilities: https://t.co/uWikmXrxPg https://t.co/aZ78OG4eJV",en,Ball Corporation
Wed Nov 20 17:20:05 +0000 2019,"#CanFanoftheWeek: Eduardo Rebelo and Marcelo Marba lived the can life during a tailgate at their first NFL game in the U.S. ""It was the complete American experience for us and we are happy to make it fully sustainable,"" Eduardo said. #LivetheCanLife #ChooseCans #Recycle https://t.co/o5H0TbKwv0",en,Ball Corporation
Mon Nov 18 16:24:24 +0000 2019,"RT @BallAerospace: Powered by endlessly curious people with an unwavering mission focus, Ball Aerospace pioneers discoveries that enable ou…",en,Ball Corporation
Mon Nov 18 16:01:11 +0000 2019,"As a leading supplier of metal beverage packaging, it's important to us that we provide not only #sustainable packaging, but also, innovative. Read more about our capabilities: https://t.co/lSu6pFYsty https://t.co/yyGc5nVtEk",en,Ball Corporation
Sat Nov 16 15:15:06 +0000 2019,Cans: the #1 recycled beverage container in the world. #NationalRecyclingWeek #ChooseCans #RecycleAluminum #MetalRecyclesForever #Sustainability #Susty #Recycle https://t.co/qvgqZ5N1vE,en,Ball Corporation
Fri Nov 15 16:01:27 +0000 2019,"A great piece from @RamonArratia, European sustainability director at Ball, on the opportunity to deliver a #circulareconomy faster, and improve national #recycling rates via business! 

Read more: https://t.co/R4IRYYeqwz",en,Ball Corporation
Fri Nov 15 14:20:05 +0000 2019,Why is it so important to remember to #recyclealuminum? Because recycling aluminum reduces 95% of the energy needed to produce aluminum from raw materials. #NationalRecyclingWeek #Sustainability #Recycle #RecycleAluminum https://t.co/EVrbvzFTxS,en,Ball Corporation
Thu Nov 14 13:40:07 +0000 2019,"A recent study has found that the #MetalRecyclesForever logo resonates with consumers that aluminum is a more #sustainable and environmentally-friendly beverage packaging of choice. Read more: https://t.co/mD1eRo4Sdd

#susty #recycle #recyclealuminum https://t.co/SQpsZQZxTY",en,Ball Corporation
Wed Nov 13 14:05:08 +0000 2019,"""I always remember to recycle; it's one way we can create a better future for our children,"" says Milenko Vucanic from Belgrade, Serbia. #CanFanoftheWeek #LivetheCanLife #Recycle #NationalRecyclingWeek #Sustainability https://t.co/ODO11gBlYS",en,Ball Corporation
Tue Nov 12 15:07:07 +0000 2019,Our new Thermochromic Reveal technology reacts to ambient temperature changes to allow customers to engage their consumers at the moment of purchase and consumption - and it's 100% recyclable! Head to stand 115-Hall4A at #BrauBeviale to experience the can first-hand! #innovation https://t.co/7FSJHDUDv2,en,Ball Corporation
Mon Nov 11 22:10:05 +0000 2019,"Today the Veteran Ball Resource Group gathered to support our fellow veteran colleagues and to further demonstrate a culture of inclusivity. Today, and everyday, we want to say ""thank you"" to our former and current service members. https://t.co/TT7g7D30vM",en,Ball Corporation
Mon Nov 11 17:30:16 +0000 2019,"Tomorrow, we reveal our new Special FX range at @BrauBeviale! Don't forget to visit Ball at Stand 115-Hall4A to see stunning effects on a 360° canvas, all of which can be recycled, making our cans the world's most #sustainable and exciting #beveragepackage. #MetalRecyclesForever https://t.co/fN49UwbdKk",en,Ball Corporation
Mon Nov 11 15:39:16 +0000 2019,It's important to Ball to enrich the communities where we live and work beyond providing jobs - #BeCause we care! #STEM https://t.co/dTdW0R4Vmd,en,Ball Corporation
Fri Nov 08 15:55:06 +0000 2019,"As one of the leading suppliers of beverage packaging in the world, Ball’s constant quest for innovation never stops. At Ball, we turn innovation and inspiration into reality. Read more about Ball’s innovation process: https://t.co/Mn3yT0HPod #innovation https://t.co/rfFC86g4XI",en,Ball Corporation
Thu Nov 07 23:15:04 +0000 2019,"#DidYouKnow: An open bottle of wine oxidizes in roughly 2-3 days, which makes canned wine more convenient for cooking risottos or adding a splash of wine to stews and meats. Check out why every pantry needs tiny cans of wine from @thetakeout: https://t.co/OAxa7UZF31 #ChooseCans https://t.co/xY9Re9W7mB",en,Ball Corporation
Wed Nov 06 19:27:17 +0000 2019,"There’s only one week to go until we bring our stunning collection of special effects and comprehensive range of can sizes to @BrauBeviale – including some brand new #innovations. Make sure you visit Ball at stand 115, Hall4a #ChooseCans https://t.co/z8xWZnNGbp https://t.co/cG4WWWEi3n",en,Ball Corporation
Wed Nov 06 14:30:18 +0000 2019,"This #CanFanoftheWeek, we're featuring a #CupFan - Steve Santa Cruz from Broomfield, Colorado! Steve brought his #BallAluminumCup on a family fishing trip to Puerto Peñasco, Mexico to enjoy an ice-cold beverage with an ocean view. #Recycle #RecycleAluminum #ChooseCans #CupFan https://t.co/upLE3uP7Z5",en,Ball Corporation
Sat Nov 02 13:20:03 +0000 2019,Stores are getting decked for the holidays-- consider celebrating with a hard seltzer Advent calendar! We love seeing brands like @GiveThemBeerFL find creative ways to celebrate with cans. Read more from @foodandwine: https://t.co/6PAmWoeXCt,en,Ball Corporation
Fri Nov 01 13:35:04 +0000 2019,"It's #FlashbackFriday and we're reminiscing on the #BallAluminumCup debut at the @pepsicenter just one week ago. We loved cheering on the @denvernuggets loud and proud, all while being #InfinitelyRecyclable!  #RecycleAluminum
(📷: KSE) https://t.co/9sT6Kz06CG",en,Ball Corporation
Wed Oct 30 14:05:07 +0000 2019,"The Ball finance team acted as ""One Ball"" and completed a nine mile obstacle course called ""Tough Mudder."" The team helped each other through the course and promoted living the can life through their can positive shirts and celebratory canned beverages. #CanFanoftheWeek #Recycle https://t.co/AUHs8ngPp8",en,Ball Corporation
Tue Oct 29 14:10:05 +0000 2019,"With the 7% growth of beer in cans last year in Russia, we want to give a special congratulations to Russian beer brand Alcon on receiving a gold medal for their Ball-made can, BRAUS, at the 2019 Cans of the Year Awards in London! #innovation https://t.co/X9F597WFCI",en,Ball Corporation
Sat Oct 26 14:01:21 +0000 2019,"It’s seltzer’s world now, and we’re just drinking it. We couldn't agree more (as long as it's in an #infinitelyrecyclable aluminum can)! Read more about the seltzer hype from @thetakeout: https://t.co/7h8x7RyIXO https://t.co/yFPfqWaqav",en,Ball Corporation
Sat Oct 26 00:44:06 +0000 2019,"RT @nuggets: We're excited to announce that we're bringing these @BallCorpHQ aluminum cups to our concession stands this season!

We'll be…",en,Ball Corporation
Thu Oct 24 21:30:16 +0000 2019,"Proud to be a partner of @DenverMuseumNS, who made this remarkable archaeological discovery! 

Read more their exhibit ""After the Asteroid"": https://t.co/XwtSdUUVXp https://t.co/R2ZtIgJUy8",en,Ball Corporation
Thu Oct 24 16:50:04 +0000 2019,"The Canmaker magazine awarded Ball's 360° embossed impact-extruded aerosol can with a gold award in the category ""prototype,""  at the 2019 Cans of the Year Awards!  

Read more about the #innovation: https://t.co/d8j14cAq0S https://t.co/YWckUmE2q3",en,Ball Corporation
Wed Oct 23 14:40:07 +0000 2019,"Meet our #CanFanoftheWeek - Jen York from Broomfield, Colorado. Being a part of the #sustainability project team at Ball has made her life a journey to be ""aluminum positive."" #ChooseCans #LivetheCanLife #Recycle #RecycleAluminum https://t.co/Lb99WZC0YC",en,Ball Corporation
Tue Oct 22 14:28:16 +0000 2019,#DidYouKnow that 58% of consumers said they prefer establishments that serve cold beverages in environmentally-friendly packaging? That's why the #BallAluminumCup was designed with sustainability in mind.  #recycle #recyclealuminum #sustainability #innovation https://t.co/ZQo5Wabmyj,en,Ball Corporation
Mon Oct 21 15:45:06 +0000 2019,"More and more customers and consumers are calling for more #sustainable packaging, and are turning to aluminum cans as their package choice. Learn about the benefits of choosing cans: https://t.co/20gZxSw97A 

#recycle #recyclealuminum #sustainability #choosecans https://t.co/252Ra9p8qk",en,Ball Corporation
Sat Oct 19 14:00:52 +0000 2019,"We love this segment from Cheddar &amp; #WineSociety about the growing canned wine trend! At Ball, we provide customers with specialty cans that are both 100% recyclable and perfect for the next generation of wine drinkers. Cheers to that! #DrinkResponsibly https://t.co/evvZCoUi5J",en,Ball Corporation
Fri Oct 18 14:45:05 +0000 2019,"John Hayes, chairman, president and CEO of Ball, spoke with @JoeDeaux about how we're responding to consumer preference for more #sustainable products with innovative and infinitely recyclable beverage packaging solutions. Check it out in @business: https://t.co/gxgNJk05ur https://t.co/nt3xZQlbSe",en,Ball Corporation
