created_at,full_text,lang,user_name
Thu Dec 19 20:23:37 +0000 2019,"RT @bryantparknyc: #12DaysofGifts Day 6! Be cozy, warm, and stylish all at once with these unique handmade wool slippers from first year Ho…",en,Bank of America
Thu Dec 19 20:17:01 +0000 2019,RT @paultoddlambert: Feel good moments this wk w/ BofA leaders &amp; Chi @hitecfoundation Pres. @duque_omar  hand-delivering holiday surprises…,en,Bank of America
Wed Dec 18 19:50:56 +0000 2019,Our #Baltimore employee grant is going to @BaltSchoolArts’ TWIGS program. This will help the 700+ children that attend this free after-school and weekend arts program. #BofAGrants https://t.co/Xr9DPxt97d https://t.co/CXqvUl3jqn,en,Bank of America
Wed Dec 18 19:10:39 +0000 2019,"Learn how Duane Topping's battle with PTSD took him from Army veteran to fashion designer on this episode of ""The Heartbeat of Main Street"" with @Forbes_Books. https://t.co/LIwmdWBQcC https://t.co/ERJAUzJkFx",en,Bank of America
Wed Dec 18 16:59:03 +0000 2019,RT @RED: Playing chess? Hard. Folding a fitted sheet? Even harder. Fighting AIDS with @RED? Easy. SHOP @RED SAVE LIVES: https://t.co/QWlBLr…,en,Bank of America
Wed Dec 18 16:02:48 +0000 2019,RT @HaggertyColleen: A great morning in #Riverside as @BankofAmerica #InlandEmpire pres @alfred_arguello presents @CheechMarin &amp; @RAMrivers…,en,Bank of America
Mon Dec 16 19:34:20 +0000 2019,RT @BofA_Tips: #Security Tip: Scammers can fake caller ID information to trick you. If someone calls and asks you for money or personal inf…,en,Bank of America
Mon Dec 16 01:52:12 +0000 2019,"RT @ngadc: Thanks to a @BankofAmerica #ArtConservationProject grant, Robert will treat six sculptures in the East Sculpture Hall through 20…",en,Bank of America
Fri Dec 13 19:19:35 +0000 2019,RT @ChiMarathon: BREAKING: 2019 @BankofAmerica #ChicagoMarathon charity runners raised an event record of $27.1 million through the Charity…,en,Bank of America
Fri Dec 13 17:51:38 +0000 2019,We’ve had a LOT of questions about the track in our latest TV spot.  That would be ‘Colors’ by @blackpumasmusic ❤,en,Bank of America
Thu Dec 12 20:36:23 +0000 2019,RT @BofA_News: Congratulations @AnneFinucane for being named one of The World's Most Powerful Women by @Forbes for the 3rd year in a row. #…,en,Bank of America
Wed Dec 11 20:35:49 +0000 2019,"RT @meredithverdone: You may have seen the ad with our employees, here’s a behind the scenes of the people who make up @BankofAmerica https…",en,Bank of America
Wed Dec 11 18:43:46 +0000 2019,RT @BofA_News: Congratulations to our 2019 Global Diversity &amp; Inclusion and Global Volunteer Awardees! These teammates from around the glob…,en,Bank of America
Wed Dec 11 16:50:00 +0000 2019,RT @wearedream: Thanks to our partner @BankofAmerica for giving our students the chance to partake in a Secret Santa at Bank of America #Wi…,en,Bank of America
Wed Dec 11 16:03:11 +0000 2019,@HarvestHopeFB Looking forward to a great time with our #BofAVolunteers today and can't wait to hear the total number of boxes packed.  Thanks for allowing us to join you today.,en,Bank of America
Wed Dec 11 14:37:11 +0000 2019,"RT @BestFootKids: Thanks to the volunteers from @BankofAmerica for spending the afternoon at our office, helping us prepare for all our hol…",en,Bank of America
Wed Dec 11 13:57:44 +0000 2019,RT @ldi_rita: @UrbanEdInc gives DC students of all ages IT training and tech-based education to help them compete.   @BankofAmerica was the…,en,Bank of America
Tue Dec 10 21:52:05 +0000 2019,RT @DNPerk1: The future is today. Stop by our new @UnionStationDC_  location today. High Tech and High Touch. @BofA_News @ldi_rita @andya @…,en,Bank of America
Tue Dec 10 20:30:25 +0000 2019,RT @BofA_Tips: #Security Tip: Go paperless. Online payments protect your account numbers. So take advantage of trusted digital payment meth…,en,Bank of America
Tue Dec 10 18:48:46 +0000 2019,@Ashlee702 Welcome back and welcome baby Emilee!,en,Bank of America
Tue Dec 10 16:32:43 +0000 2019,Thank you to our teammates who gave their time in honor of #WorldAIDSDay at the Witkoppen Clinic in S. Africa. Together we have the power to help #endAIDS. https://t.co/aNE5hCkKJt,en,Bank of America
Fri Dec 06 18:32:31 +0000 2019,RT @bryantparknyc: It’s lit! Thanks for joining us at Tree Lighting Sing-Along presented by @BankofAmerica. Thanks to everyone for a great…,en,Bank of America
Thu Dec 05 20:36:11 +0000 2019,"RT @bryantparknyc: Almost time! Our annual Tree Lighting begins at 6pm at @BankofAmerica Winter Village. Featuring fireworks🎇, world-class…",en,Bank of America
Wed Dec 04 23:32:36 +0000 2019,"@daaangjudean Hi. We happen to come across your Twitter post and are disappointed to hear your banking experience. If you'd like us to review your account, please let us know by clicking the DM link. ^alma https://t.co/pfT23JS5zH",en,Bank of America
Wed Dec 04 14:08:55 +0000 2019,"An inclusive culture:
😊Stimulates thinking
👏🏼Encourages different ways to solve problems
🎉Celebrates creative expression

At Bank of America, we are striving to be the best, most inclusive workplace for our teammates. https://t.co/JLSBpGH24N",en,Bank of America
Tue Dec 03 21:04:24 +0000 2019,"RT @MarysCenter: We are grateful for @BankofAmerica announcement of a $150,000 grant to support our programs. With this tremendous generosi…",en,Bank of America
Tue Dec 03 16:17:36 +0000 2019,"Thank you to our employees who each year volunteer 2 million hours and direct more than $60M to 25,000+ nonprofits! Check out what drives their generosity. https://t.co/hM1TzFNKjE #GivingTuesday https://t.co/aDPZNkrDJZ",en,Bank of America
Tue Dec 03 16:04:05 +0000 2019,"RT @bryantparknyc: Did you know you can reserve your skate time at https://t.co/PQhjI7lobm? Plus, receive a discount before 10am and noon o…",en,Bank of America
Mon Dec 02 18:58:07 +0000 2019,RT @ChiMarathon: Don’t miss your chance to be part of the 2020 #MedalMonday fun and submit your application to the @BankofAmerica #ChicagoM…,en,Bank of America
Mon Dec 02 17:45:49 +0000 2019,RT @BofA_Tips: #Security Tip: When using a digital payment service like Zelle® only send funds to those you know and trust. Money moves fas…,en,Bank of America
Mon Dec 02 15:00:41 +0000 2019,"Be part of a NYC holiday tradition at the annual Tree Lighting at the Bank of America #wintervillage at @bryantparknyc. Join us 12/5 at 6pm for fireworks, live music, professional ice skaters and plenty of holiday magic. https://t.co/z30qVa9kme https://t.co/LAbXrZAQ5R",en,Bank of America
Sun Dec 01 14:30:15 +0000 2019,"On #WorldAIDSDay, we’re proud to continue our fight against AIDS in Africa by extending our partnership with @RED, committing an additional $10 million for a total of $30 million through 2025. Together, we have the power to make a difference. https://t.co/3LFaWpahYJ #endAIDS https://t.co/BkNhqWSjEL",en,Bank of America
Thu Nov 28 13:58:55 +0000 2019,We all have something we can celebrate this Thanksgiving. What are you most #thankful for?,en,Bank of America
Tue Nov 26 19:21:18 +0000 2019,RT @ChiMarathon: You can’t beat the magic of the @bankofamerica #ChicagoMarathon. There’s only one week left to apply to the 2020 race! Sub…,en,Bank of America
Tue Nov 26 16:14:20 +0000 2019,Our #NYC grant will be going to @Edmattersafrica to advance higher education in Zimbabwe. We stand by Ashton Ngwena and believe it’s time to change lives for the better through education. #BofAGrants https://t.co/ZM57vVXvw5 https://t.co/OvM0K46ozz,en,Bank of America
Mon Nov 25 22:08:00 +0000 2019,"Together, we have the power to help end AIDS in Africa. For every $10 donated to @RED through 12/31/19, we’ll match the amount to double your impact. #endAIDS #WorldAIDSDay",en,Bank of America
Mon Nov 25 18:56:37 +0000 2019,RT @NAWBONational: Thank you to our friends at @BankofAmerica for being a Gold sponsor. We appreciate you! https://t.co/H86YIUHQkn #NAWBO h…,en,Bank of America
Mon Nov 25 17:43:21 +0000 2019,"RT @paultoddlambert: #BofAVolunteers @brookfield_zoo this weekend to spread holiday cheer, decorate trees and deliver a $25,000 check from…",en,Bank of America
Mon Nov 25 15:23:39 +0000 2019,RT @BofA_Tips: #Security Tip: Scammers will often try to send you a check and ask you to send a portion of it back. You might be able to se…,en,Bank of America
Mon Nov 25 15:00:13 +0000 2019,Take a stroll through the outdoor holiday shops at the Bank of America Winter Village @bryantparknyc and check everyone off your list. 🛍❄🛍 https://t.co/CkmeyGQJ49 https://t.co/7Wz0Xl3pYi,en,Bank of America
Mon Nov 25 14:40:19 +0000 2019,"RT @hornets: The first recipients of the Yellow Ribbon Program presented by @BankofAmerica are Staff Sergeant Samantha Christopher, USMC, a…",en,Bank of America
Fri Nov 22 21:22:42 +0000 2019,Tune in for #CollegeBehindBarsPBS on 11/25 at 9/8c for a powerful story of transformation you won’t want to miss — directed and produced by the talented @LynnNovick and @sbotstein. 🎬 https://t.co/uMOkXGFFgO https://t.co/7KFcKv7eda,en,Bank of America
Fri Nov 22 20:01:20 +0000 2019,RT @WarriorsSupport: Congratulations to former @USArmy Sergeant Josh Droddy on receiving the key your 100% mortgage-free home! This was all…,en,Bank of America
Fri Nov 22 19:00:00 +0000 2019,"We’re proud to extend our partnership with @RED, committing $30 million to help fight AIDS in Africa through 2025. Together, we have the power to make a difference. #endAIDS #WorldAIDSDay",en,Bank of America
Fri Nov 22 14:44:30 +0000 2019,"RT @IAmAlyseZwick: Hey NYC...
🎶It’s beginning to look a lot like Christmas 🎶 SAVE THE DATE! December 5th...I’ll be hosting the Lighting of…",en,Bank of America
Thu Nov 21 15:48:44 +0000 2019,"RT @FoodBank4NYC: Today and tomorrow, @BankofAmerica volunteers are participating in their 6th Annual Thanksgiving Pantry Box Packing Event…",en,Bank of America
Wed Nov 20 17:07:14 +0000 2019,RT @wfhat: Congratulations to our 2019 @BankofAmerica #NeighborhoodBuilders @SkillsforRI &amp; @southsideclt! We are honored to partner with yo…,en,Bank of America
Wed Nov 20 15:23:20 +0000 2019,RT @bryantparknyc: We found our Christmas Tree 🌲! This year's tree will come to @BankofAmerica #wintervillage from Highland NY. Check out t…,en,Bank of America
Wed Nov 20 15:21:33 +0000 2019,RT @bryantparknyc: Our Christmas Tree🎄 is officially here! Come back 6pm on December 5 to watch it light up during the Tree Lighting Sing-A…,en,Bank of America
Wed Nov 20 14:50:34 +0000 2019,RT @MastercardNews: .@Mastercard &amp; @BankofAmerica are excited to announce Deidre Mathis of @wanderstayhotel as the grand prize winner of th…,en,Bank of America
