created_at,full_text,lang,user_name
Thu Dec 19 19:52:04 +0000 2019,"We are go for launch! Follow @BoeingSpace tomorrow at 6:36 a.m. ET as #Starliner launches for the first time on @ulalaunch #AtlasV on its journey to @Space_Station.
 
Catch the broadcast starting at 5:30 a.m. ET: https://t.co/pfuJdKkZ3p https://t.co/XwyKhTPtzZ",en,The Boeing Company
Wed Dec 18 01:54:08 +0000 2019,RT @BoeingSpace: #RosietheRocketeer is our anthropometric test device. She's an ode to the women who blazed a trail in aerospace and human…,en,The Boeing Company
Wed Dec 18 01:53:56 +0000 2019,RT @BoeingSpace: Launching into the future since the beginning of aerospace! Bill Boeing’s Air Travel card may have gotten him around the w…,en,The Boeing Company
Tue Dec 17 22:56:24 +0000 2019,"RT @NASA: Launching into the future 🚀! When @BoeingSpace’s #Starliner spacecraft launches on Friday, it will be a major step toward returni…",en,The Boeing Company
Mon Dec 16 22:10:46 +0000 2019,"Boeing Statement Regarding 737 MAX Production
Release:  https://t.co/LBEFfW9Rl5",en,The Boeing Company
Thu Dec 12 18:45:04 +0000 2019,Congratulations @embraer for the #Embraer first flight of the #E175E2. https://t.co/PEoD0UtxPv,en,The Boeing Company
Tue Dec 10 23:43:57 +0000 2019,"@DavidLearmount Thanks for coming to visit, David.",en,The Boeing Company
Tue Dec 10 20:00:14 +0000 2019,"Thank you @Mil_Friendly, for recognizing our team with the 2020 Top 10 Military Friendly Company designation. With more than 20,000 veterans in our ranks, we know that #VeteransMakeUsBetter.

Find out how Boeing supports all those who serve: https://t.co/dzwgFo5WfU https://t.co/wSnZXqmTCI",en,The Boeing Company
Tue Dec 10 01:28:07 +0000 2019,RT @BoeingSpace: Thank you for joining us for #Artemis Day 1 and the #NASASocial tour!  Incredible day as we saw the progress our teams are…,en,The Boeing Company
Mon Dec 09 19:23:50 +0000 2019,@EAA We’re excited to support the next generation of #STEM and aeronautical innovators. Looking forward to watching them soar at @EAA AirVenture Oshkosh 2020!,en,The Boeing Company
Mon Dec 09 18:00:23 +0000 2019,Be sure to follow @BoeingSpace to go inside NASA Michoud – NASA’s rocket factory – during #Artemis Day for a behind-the-scenes look at @NASA_SLS with #NASASocial. https://t.co/UyLeFpLlZg,en,The Boeing Company
Fri Dec 06 17:49:27 +0000 2019,"@PeurAvion Hey, @PeurAvion. We love seeing the Everett factory through someone else’s lens. Hope you had a good time.",en,The Boeing Company
Tue Dec 03 17:14:35 +0000 2019,"Every day is #GivingTuesday to our employees. Their donations over the last ten years total more than $350 million. 
 
Learn more about the ways we're striving to make a difference: https://t.co/5aRUd9cXqY https://t.co/zRcinptxAN",en,The Boeing Company
Wed Nov 27 19:02:38 +0000 2019,"@diego_mccloud Thanks, @diego_mccloud. Safety is our top priority as we design, build, and support our airplanes. Our employees and our entire industry are focused on safety and always will be. If you’re referring to the 737 MAX, you can find the latest updates here: https://t.co/seCTvm6QMw",en,The Boeing Company
Sun Nov 24 16:44:34 +0000 2019,"We are thankful to have participated in the #DubaiAirshow. Through partnership and collaboration, we are defining the future of aerospace together. 
https://t.co/bebihwsKk2",en,The Boeing Company
Fri Nov 22 19:41:17 +0000 2019,"@WildlifeHC We were happy to help the butterflies 🦋 and the bees 🐝. They deserve it! 

Our teammate Kathy helped us do it: https://t.co/njdE9bBg9j",en,The Boeing Company
Thu Nov 21 13:01:46 +0000 2019,"It's a wrap! This week at #DubaiAirshow, we showcased our latest innovations, formed and strengthened partnerships, and collaborated to drive industry safety. Catch up on our big moments from the show. https://t.co/swDvZ2JjaK",en,The Boeing Company
Thu Nov 21 11:57:53 +0000 2019,"RT @BoeingSpace: Farewell, #Starliner! 👋
The spacecraft is on the way to @ulalaunch to be mated to the  #AtlasV! https://t.co/PusGHmYIex",en,The Boeing Company
Thu Nov 21 09:05:34 +0000 2019,RT @BoeingSpace: Good morning from @NASAKennedy where we are at the #Starliner factory getting ready to roll the spacecraft over to Space L…,en,The Boeing Company
Thu Nov 21 01:30:08 +0000 2019,Be sure to follow @BoeingSpace early tomorrow morning and throughout the day as #Starliner is rolled out of the @NASAKennedy factory and transported for lift and mate with the @ulalaunch #AtlasV. https://t.co/vggQwZAKDn,en,The Boeing Company
Tue Nov 19 19:42:29 +0000 2019,RT @BoeingCCO: Congrats to the #ecoDemonstrator &amp; Ground-based Midcourse Defense programs on your Laureate Awards from @AviationWeek. And t…,en,The Boeing Company
Tue Nov 19 11:02:04 +0000 2019,"Honored that the Republic of Ghana has selected the fuel-efficient 787-9 #Dreamliner to help re-launch their airline. We announced a letter of intent for three 787-9 airplanes and Boeing services during a ceremony today at the #DubaiAirshow.

RELEASE: https://t.co/sYcSve1kbG https://t.co/kEEDpT9D1h",en,The Boeing Company
