created_at,full_text,lang,user_name
Thu Dec 19 15:15:05 +0000 2019,"FIRST Robotics Team, Mechanical Meltdown FTC 12833, one of the robotics teams BorgWarner sponsors, won their regional event in Rochester, NY this past weekend and will be advancing to the NY Excelsior Regional Championship next year! #FIRSTRISE https://t.co/LPselEfbRP",en,BorgWarner
Thu Dec 19 13:22:03 +0000 2019,"BorgWarner in Ramos-Arizpe, Mexico, had their fifth annual Christmas party for the local kindergarten class “Felipa Rodriguez Valdes” in Saltillo, Coahuila. Employees brought gifts and food to the children during the holiday celebration. #BorgWarnerCares https://t.co/lSPDExwnOh",en,BorgWarner
Wed Dec 18 16:30:58 +0000 2019,"A special holiday message from our CEO, Frédéric Lissalde: https://t.co/g4zegHz6Zz",fr,BorgWarner
Tue Dec 17 18:26:00 +0000 2019,#DYK our eBooster® acts as a supplement to turbocharging systems while reducing fuel consumption? Watch the video to learn more: #TechTuesday https://t.co/fcmciINjCV,en,BorgWarner
Fri Dec 13 19:20:44 +0000 2019,"Our Asheville, NC, location participated in its first #ServeDay, where employees volunteered at six different local community organizations. Watch to learn more. https://t.co/EWyWVemA54",en,BorgWarner
Thu Dec 12 19:32:06 +0000 2019,We're excited to be here at the #prishow in #Indy! Stop by booth 2341 to check out some of our performance turbochargers! https://t.co/VGEIBcNXyG,en,BorgWarner
Thu Dec 12 17:19:02 +0000 2019,"Thank you to everyone that stopped by our booth and lectures at @CTI_symposium in Berlin this week! We’re looking forward to seeing you again next time. #CTI_Sym, #PropulsionTechnologies, #BorgWarner https://t.co/hLujXUNaOr",en,BorgWarner
Thu Dec 12 15:09:02 +0000 2019,"Yesterday at @CTI_symposium in Berlin, BorgWarner CTO, Hakan Yilmaz, spoke about how balanced, scalable and sustainable products will pave the pathway to plug in e-propulsion solutions. https://t.co/h9avKn7Qpd",en,BorgWarner
Wed Dec 11 07:00:06 +0000 2019,"Join BorgWarner’s Chief Technology Officer, Hakan Yilmaz, at @CTI_Symposium in Berlin, Germany, this afternoon as he discusses how balanced, scalable and sustainable products will pave the pathway to plug in e-propulsion solutions: https://t.co/laBUzUHlm6 #CTI_Sym https://t.co/XJr1mfvDu0",en,BorgWarner
Tue Dec 10 18:50:02 +0000 2019,"If it's cold where you live, our high voltage air heater is just the thing you need for your #electricvehicle. This component delivers a comfortably warm interior and quickly defrosts your windows so you can power through the #winterweather. #TechTuesday https://t.co/r5daY3SSWw",en,BorgWarner
Tue Dec 10 15:24:18 +0000 2019,"We have been recognized as one of the Healthiest 100 Workplaces in America, an awards program administered by @SpringbukHealth. This award celebrates companies who proactively invest in the #health and wellbeing of their employees. #HealthiestWorkplaces https://t.co/e2oj7sgzWf https://t.co/hap4aCeG3l",en,BorgWarner
Mon Dec 09 14:47:04 +0000 2019,"We are at @CTI_symposium in booth C17, convention hall 1. Stop by and learn about our solutions for the automotive drivetrain industry. #CTI_Sym https://t.co/H0jDNgCWoJ",en,BorgWarner
Mon Dec 09 11:42:05 +0000 2019,"BorgWarner’s Ramos Arizpe, Mexico, location recently enjoyed an end of the year celebration to honor achievements over the past year with dinner, drinks and live music by local bands. https://t.co/M3tBqsiPkE",en,BorgWarner
Fri Dec 06 20:13:38 +0000 2019,"BorgWarner participated in the Upton Elementary School Science and Career Fair in Royal Oak, MI. Our volunteers assisted students with constructing marshmallow catapults out of everyday materials like rubber bands and straws. #STEM #ScienceFair #CareerFair https://t.co/2sulFEW3QE",en,BorgWarner
