created_at,full_text,lang,user_name
Thu Dec 19 15:51:02 +0000 2019,"Broadcom's ACNT-H87a-000e precision optically isolated amplifier, designed specifically for voltage sensing, is well-suited in electronic power converter applications such as motor drives and renewable energy systems. Learn more here. https://t.co/Wjuj80VWc2",en,Broadcom Inc.
Wed Dec 18 15:12:00 +0000 2019,The P225P 2x25G PCIe NIC combines a high-bandwidth Ethernet controller with a unique set of highly-optimized hardware acceleration engines to enhance network performance and improve server efficiency. https://t.co/M2OSHfaAlG,en,Broadcom Inc.
Mon Dec 16 14:40:01 +0000 2019,"Ethernet provides a fast, scalable fabric for storage solutions. Trident 4 can track storage metrics in the pipeline and the metrics can be streamed to collectors over standard IP protocols. https://t.co/fphQfjxCnO",en,Broadcom Inc.
Fri Dec 13 15:57:01 +0000 2019,The BCM4375 simultaneously implements two streams of 802.11ax with Bluetooth 5  to enable Wi-Fi speeds up to 1.429 Gb/s on mobile devices such as smartphones and tablets. https://t.co/eOcswbEPlh,en,Broadcom Inc.
Thu Dec 12 15:27:00 +0000 2019,"Our second generation dual-frequency GNSS chip, the BCM4776, will be in production early 2020. Learn more about its innovative new capabilities. https://t.co/l1c0EWKkL6",en,Broadcom Inc.
Wed Dec 11 15:59:01 +0000 2019,"Surface Mount IR ChipLEDs with a small footprint are available in top mount, reverse mount and right angle packages. Learn more about our available ChipLEDs. https://t.co/DhvuKsQySU",en,Broadcom Inc.
Wed Dec 11 01:45:39 +0000 2019,Broadcom is honored to receive the “Most Respected Public Semiconductor Company” award in the greater than $5B annual sales category at the 2019 Global Semiconductor Alliance awards ceremony. #2019GSAAwards @GlobalSemi https://t.co/ZglvJHEBEg https://t.co/6DTmHsUcGq,en,Broadcom Inc.
Tue Dec 10 17:16:01 +0000 2019,"The ACNU-3430 is a 5A gate drive optocoupler device in the 11mm SSO-8 package designed for high voltage, space constrained industrial applications including 600VAC motor drives and 1kVDC solar inverters. https://t.co/qILw9ikCEr",en,Broadcom Inc.
Mon Dec 09 17:59:44 +0000 2019,Broadcom's Tomahawk® 4 switch series is the first chip to offer 25.6 Tb/s of Ethernet connectivity. https://t.co/LDLu0d1aGs,en,Broadcom Inc.
Fri Dec 06 21:44:01 +0000 2019,The Emulex® LPe35002 Gen 7 Fibre Channel (FC) Host Bus Adapters (HBAs) by Broadcom® are designed for demanding mission-critical workloads and emerging applications. Click here to download the product brief. https://t.co/3ib9M98nBo,en,Broadcom Inc.
Thu Dec 05 14:23:00 +0000 2019,SmartNICs have become a critical component of today’s data center infrastructure. Learn more about the wide range of benefits they offer. https://t.co/FvyH9uQFAV,en,Broadcom Inc.
Wed Dec 04 14:50:02 +0000 2019,We’re proud to be a Premier Exhibitor at #GartnerIO Dec 9-12 in Las Vegas. Make sure to visit us at Booth #359 and attend our session Wednesday at 9:15 AM to learn how #AIOps can help transform #CX https://t.co/zHFli366TQ,en,Broadcom Inc.
Tue Dec 03 16:54:02 +0000 2019,Broadcom offers a full range of surface mount 7-segment displays that come in industry standard size packages and pinouts and are ideal for most applications. Learn more about our available displays. https://t.co/gLRokJvLn0,en,Broadcom Inc.
Mon Dec 02 14:39:00 +0000 2019,"Parallel Interfaces are Smart Display built-in ASIC Driver type, with ASCII decoder, dimming levels, character flashing, 16 UDC, blinking and blanking capabilities, and more. https://t.co/gap6iDy7D0",en,Broadcom Inc.
