created_at,full_text,lang,user_name
Thu Dec 19 15:15:04 +0000 2019,"Read our latest article to find out what communications experts think about the future of CX and communications. #CX #customercommunications
 https://t.co/FZSUkv0dpp https://t.co/JHLUABAMry",en,Broadridge
Wed Dec 18 18:00:26 +0000 2019,"The June 30, 2020 #FormCRS deadline is quickly approaching. Discover what leading firms are doing to prepare. Are you ready? #RegBI https://t.co/5HClQfifjk https://t.co/GvxCkp2blG",en,Broadridge
Wed Dec 18 16:00:09 +0000 2019,Turn FDIDs to your advantage by watching our CAT-Mandated FDID video. #10 of 12 in our top capital markets insights series is not to be missed! #ConsolidatedAuditTrail  https://t.co/lA3qTXsTje https://t.co/edbvbq8U7l,en,Broadridge
Wed Dec 18 15:00:06 +0000 2019,"How you can support members and patients across the wellness journey while engaging in new ways? Learn more. #communications #healthcare
 https://t.co/XZhC96DFSy https://t.co/4iA1ka6e5Q",en,Broadridge
Wed Dec 18 15:00:04 +0000 2019,What are the evolving trends in #SponsoredRepo market entrants and ops support? Read the white paper to find out more. #securitieslending #collateralmanagement   https://t.co/LdZPVbvWfG https://t.co/MhCQVbSLTR,en,Broadridge
Tue Dec 17 20:20:20 +0000 2019,RT @TheBlock__: Later today on The Scoop @Broadridge VP of Corporate Strategy Horacio Barakat sits down with @fintechfrank &amp; @_RJTodd to di…,en,Broadridge
Tue Dec 17 17:00:02 +0000 2019,Unique Trade Identifiers are one of the most troublesome components of #SFTR compliance. Learn how our consulting services team can help you simplify the complexity around an operating model and other key aspects.  https://t.co/nzIHsnuIkn https://t.co/RnM2aUImmd,en,Broadridge
Tue Dec 17 15:58:03 +0000 2019,"In our latest insight, we critically analyse the top three active equity strategies by institutional channel, with several key themes emerging for discussion. #MoneyinMotion #Active #Equity https://t.co/Hej1Dozx5f https://t.co/b66YQ1R1vG",en,Broadridge
Tue Dec 17 14:00:34 +0000 2019,11th place in our Top 12 Capital Markets Insights of 2019 features a case study on how we helped a top-five dealer in the mortgage-backed securities market reduce technology and operations costs. #posttrade #managedservices #capitalmarkets https://t.co/AfhiGpIcTC https://t.co/5GxsNnHUS2,en,Broadridge
Mon Dec 16 19:00:18 +0000 2019,Wrap up 2019 by viewing the top 12 most popular pieces of @Broadridge capital markets thought leadership content this year. In 12th place is our infographic on the #CSDR journey. Click to find out how you can be ready for next. #capitalmarkets https://t.co/VsRJMHD8p7 https://t.co/gU9PTfIZg4,en,Broadridge
Mon Dec 16 15:35:02 +0000 2019,Get your day back! Streamline marketing content and distribution processes with a fully integrated solution that lets you print on demand.   #AssetManagement #ContentMarketing  https://t.co/ow322yhTfK https://t.co/Z04vlMXd09,en,Broadridge
Fri Dec 13 16:00:49 +0000 2019,"We have been shortlisted in the #FOWInternationalAwards2019 - Best New Product for our Broadridge Visual Analytics solution, embedding our seamless integration with Tableau Software to deliver enhanced visualization capabilities and interactive dashboards. https://t.co/AnQ3Voqz71 https://t.co/PjNUCeyLqS",en,Broadridge
Thu Dec 12 15:00:13 +0000 2019,#AssetManagers Want to know what is driving the latest U.S. mutual fund sales trends? Read our newest #FundFlash report! #distributioninsight #mutualfunds https://t.co/xYnrxOGB3i https://t.co/H6464BNAJC,en,Broadridge
Wed Dec 11 16:30:02 +0000 2019,Learn about the practical steps you should consider for #SFTR to avoid costly and operationally intensive breaks in assigning and reconciling #UniqueTradeIdentifiers for securities finance transactions.   https://t.co/nzIHsnuIkn https://t.co/k37KnyA6y7,en,Broadridge
Wed Dec 11 15:00:03 +0000 2019,"How is digital, AI, machine learning and voice impacting the healthcare industry? Chris Nicholson from @mPulseMobileexplains in this #Reimagining Communications podcast with @AskMattSwain. https://t.co/EkArQtYJ6v https://t.co/3mk7rUZ3g8",en,Broadridge
Tue Dec 10 17:30:02 +0000 2019,"After winning in the Best OMS category for two years in a row, we are proud to announce that @Broadridge has been shortlisted for Best OMS in the HFM US Technology Awards 2020.

#Hedgefunds #Ordermanagementsystem  @HFMWeek  https://t.co/RPyOi1ArrW https://t.co/UulKfASgkV",en,Broadridge
Tue Dec 10 16:30:03 +0000 2019,"Find out how communication experts are prioritizing CX, monetizing digital disruption, and creating a customer-centric corporate culture in our latest article. #CX #customercommunications #digital https://t.co/ZDstifRDsB https://t.co/aYhxyZRgS6",en,Broadridge
Tue Dec 10 16:20:01 +0000 2019,What marketing channels work best and what holds advisors back? Broadridge's President of Advisor Solutions Kevin Darlington explores these topics and more in his latest byline in Financial Advisor Magazine. Read more: https://t.co/Wp6sBLjr37,en,Broadridge
Tue Dec 10 15:00:36 +0000 2019,"Discover why educating investors is Job One for growth-focused advisors. Jim Walsh’s latest post, Survey Surprise: Advisors Cite “Financial Literacy” as   Top Client Focus, explains how informed investors make better clients. #InvestorEducation #RegBI https://t.co/pPX1tNfc9D",en,Broadridge
Tue Dec 10 14:00:04 +0000 2019,"We are proud to rank first in the post trade services category of the Bobsguide Rankings 2019. Click to learn more about our award winning #posttrade solution.

#posttradeservices #capitalmarkets  https://t.co/gFCHwEtjW1 https://t.co/Oi3dPDRZIM",en,Broadridge
Tue Dec 10 09:00:14 +0000 2019,"We are proud to rank first in the fee billing category of the Bobsguide Rankings 2019. Click to learn more about our award winning #feebilling solution.

#feebilling #assetmanagement   https://t.co/4bkqgmURvp https://t.co/BmnhkUNydn",en,Broadridge
Fri Dec 06 15:00:59 +0000 2019,"Discover why educating investors is Job One for growth-focused advisors. Jim Walsh’s latest post, Survey Surprise: Advisors Cite “Financial Literacy” as Top Client Focus, explains how informed investors make better clients. #InvestorEducation #RegBI https://t.co/pPX1tNfc9D https://t.co/5zz2CETqLC",en,Broadridge
