created_at,full_text,lang,user_name
Thu Oct 31 13:30:01 +0000 2019,"Managing the security of corporate financial assets and information is critical. In recognition of National Cybersecurity Awareness Month, here are some best practices to help you and your business be safer and more secure online.
https://t.co/DpLcoiv3zE https://t.co/vBwykbddnp",en,Citizens Commercial
Thu Oct 24 13:30:01 +0000 2019,"October is National Cybersecurity Month. Hackers are devising new tactics every day and the financial consequences of being attacked can be staggering. To help detect and prevent fraudulent activity, review these best practices.
https://t.co/nkkI9uekX9 https://t.co/jShUS5On7g",en,Citizens Commercial
Wed Oct 23 16:15:00 +0000 2019,"Thanks to #AFP2019 and all the sponsors, exhibitors and presenters for another great #treasury conference!",en,Citizens Commercial
Wed Oct 23 12:00:00 +0000 2019,Not able to attend #AFP2019? Learn more about our #treasury solutions and how we're ready to help your business reach its potential here. https://t.co/jDv3iP1JU2,en,Citizens Commercial
Wed Oct 23 00:30:01 +0000 2019,"Join us for an interactive demo on accessOPTIMA, our robust #treasury management platform to help you manage cash flow and risk operations in real-time. Visit booth #930 at 9:30 am at #AFP2019.
https://t.co/ov47xHqccu https://t.co/JPPuHLomMm",en,Citizens Commercial
Tue Oct 22 18:09:01 +0000 2019,"Real-Time Payments offers virtually instantaneous transfer of funds from sender to receiver with immediate confirmation. Stop by booth #930 at #AFP2019 to learn more from our #treasury experts! 
https://t.co/Fj3J2Ji0Lb https://t.co/E0FmMmaglX",en,Citizens Commercial
Tue Oct 22 12:04:01 +0000 2019,Citizens partnered with #UnitedWay to pack healthy snack packs that will be donated to children and youth in Greater Boston who experience food insecurity after school and at home. Join us today at booth #930 from 8:30-11:30 am at #AFP2019. https://t.co/MlXlIpHDbH,en,Citizens Commercial
Tue Oct 22 11:30:01 +0000 2019,"Join Shannon Rosbrook from Citizens, with Bottomline Technologies and Proximity Lab for a panel discussion on how AI can (and will) drive productivity in payments. Learn more today at 8:30 am ET in room 156ABC on Level 1 at #AFP2019. https://t.co/r43WefOBiq",en,Citizens Commercial
Mon Oct 21 20:06:01 +0000 2019,"We’re ready to lend an ear. Ask better questions. Ready to help you meet challenges and seize opportunities. Visit us at booth #930 at #AFP2019 to meet one of our #treasury experts. 
https://t.co/7uoAUBCzsH https://t.co/oqCzquR6Ft",en,Citizens Commercial
Mon Oct 21 18:30:01 +0000 2019,"Join us for an interactive demo on accessOPTIMA, our robust #treasury management platform to help you manage cash flow and risk operations in real-time. Visit booth #930 at 3:00 pm at #AFP2019.
https://t.co/0cTSo4p6kl https://t.co/xrMgZieNfo",en,Citizens Commercial
Mon Oct 21 18:06:02 +0000 2019,"Citizens surveyed 150 professionals on their plans and interest in Real-Time Payments. Visit us at #AFP2019 booth #930 to discuss how RTP is revolutionizing payment processing for businesses.
https://t.co/l8sjAsKfdD Insights: Real-Time Payments https://t.co/mNuROwNJ6b",en,Citizens Commercial
Mon Oct 21 12:30:01 +0000 2019,"Join us for an interactive demo on accessOPTIMA, our robust #treasury management platform to help you manage cash flow and risk operations in real-time. Visit booth #930 at 9:30 am at #AFP2019.
https://t.co/Vuj3Sh6P67 https://t.co/QprCTYoYVj",en,Citizens Commercial
Mon Oct 21 12:00:01 +0000 2019,Citizens partnered with #UnitedWay to pack healthy snack packs that will be donated to children and youth in Greater Boston who experience food insecurity after school and at home. Join us today at booth #930 from 8:30-11:30 am at #AFP2019. https://t.co/eFJh5eNwMK,en,Citizens Commercial
Sun Oct 20 22:06:00 +0000 2019,Citizens Commercial Banking is proud to be an exhibitor at #AFP2019 in Boston! We're ready to help you meet challenges and seize opportunities. Visit us at booth #930.,en,Citizens Commercial
Sat Oct 19 21:06:00 +0000 2019,#AFP2019 starts tomorrow in Boston! We're looking forward to seeing all the #treasury professionals!,en,Citizens Commercial
Thu Oct 17 13:30:01 +0000 2019,"It’s incumbent upon business executives to reduce your company’s vulnerability to scams. Mark National Cybersecurity Awareness Month by visiting Citizens fraud prevention for solutions and insights that can help protect against fraud.
https://t.co/lvBTDRO039 https://t.co/uDPiESaFPB",en,Citizens Commercial
Tue Oct 15 20:30:00 +0000 2019,"We're looking forward to #AFP2019, October 20-23 at the Boston Convention and Exhibition Center. See you next week!",en,Citizens Commercial
Fri Aug 09 19:45:09 +0000 2019,"Citizens is now able to receive real-time payments. As a founding bank of The Clearing House, we invite you to attend a complimentary #RTP implementation ½ day session to learn how this new network enables near instantaneous payment processing. Register: https://t.co/THtRsACXbQ https://t.co/5F5VpuENBi",en,Citizens Commercial
Fri May 24 16:00:00 +0000 2019,"Thanks to #windycitysummit and all the sponsors, exhibitors and presenters for another great #treasury conference!",en,Citizens Commercial
