created_at,full_text,lang,user_name
Thu Dec 19 15:30:01 +0000 2019,"Our network of over 76,000 contract carriers move a load every 1.8 seconds. Learn how you can secure reliable truckload capacity: https://t.co/DEfY3N9ltI https://t.co/rGAB6mA2xX",en,C.H. Robinson
Tue Dec 17 20:23:12 +0000 2019,@jessee_spencer Hi - please reach out to your rep to see if their office has that specific item available. Thank you.,en,C.H. Robinson
Tue Dec 17 19:58:05 +0000 2019,"How do all of your holiday packages get delivered? We want to recognize our talented team who makes it happen, and our customers and contract carriers who have chosen C.H. Robinson. Read more from our CEO, Bob Biesterfeld: https://t.co/OEgEt4Q54s https://t.co/8McfmOGbkk",en,C.H. Robinson
Mon Dec 16 17:00:02 +0000 2019,"“@Freightquote by C.H. Robinson makes it easy for small businesses to ship."" – @wearejourneymen. Try it for yourself: https://t.co/gqWbw8a2R5 https://t.co/dgDzI7DxfB",en,C.H. Robinson
Fri Dec 13 18:30:00 +0000 2019,Our investment in technology built for supply chain experts fuels our growth. Thank you @FreightWaves for the recognition! #FreightTech25 https://t.co/bgjIPnZlDc,en,C.H. Robinson
Fri Dec 13 16:08:38 +0000 2019,We are pleased to announce Michael Castagnetto as president of our @WeSpeakFresh division. Get the full story at: https://t.co/sGPP6iBaha https://t.co/viZFmpVoUr,en,C.H. Robinson
Thu Dec 12 21:43:22 +0000 2019,"Our @WeSpeakFresh team is at the #NewYorkProduceShow today talking fresh solutions to the East Coast. To learn about our global fresh offerings, visit: https://t.co/BH3VCGeXic https://t.co/O1zfyzoOIG",en,C.H. Robinson
Thu Dec 12 17:57:29 +0000 2019,You can succeed in any truckload market if you understand today's conditions. Get the latest market update from Steve Raetz: https://t.co/NEZo9yUgPb https://t.co/6YzfIyjjII,en,C.H. Robinson
Thu Dec 12 15:10:45 +0000 2019,RT @talkinlogistics: U.S. Surface Transportation Market Update (Q4 2019) - https://t.co/vdD0hs6oQM @CHRobinson #transportation #logistics #…,en,C.H. Robinson
Mon Dec 09 22:10:44 +0000 2019,"RT @GlobalTradeMag: @CHRobinson reminds us that no matter what vendor management approach you choose, the end result is the same: Efficient…",en,C.H. Robinson
Thu Dec 05 21:50:18 +0000 2019,Is your supply chain ready to for the holidays? Our team discusses the unique challenges of this season at: https://t.co/d5K6fxj2QX https://t.co/cYdc2eF1Hx,en,C.H. Robinson
Thu Dec 05 13:46:00 +0000 2019,RT @FreightRachel: C.H. Robinson Meets Challenge to Deliver Large Wind Turbines https://t.co/paO8h43afr @CHRobinson #projectcargonetwork #P…,en,C.H. Robinson
Tue Dec 03 22:00:56 +0000 2019,"RT @lulabylulalicia: As the President of our Women in Technology, a huge part of our initiative is giving back to our community https://t.c…",en,C.H. Robinson
