created_at,full_text,lang,user_name
Thu Dec 19 14:23:05 +0000 2019,"@MaliksZafar Hi Malik - You have reached the U.S. Twitter page. Please provide us with your email, phone number, and country so we can connect you with a team in your region.",en,Colgate-Palmolive Co
Thu Dec 19 14:03:02 +0000 2019,"Kudos to our Morristown, TN team for a Quality Week innovation with heart. They applied rigorous Quality Assurance tools to assembling bicycles. The result: stronger QA skills at the plant and 23 smiles from needy kids now riding the donated bikes. More: https://t.co/Ah5IJ4HYUL https://t.co/pmtSHrMcQ4",en,Colgate-Palmolive Co
Wed Dec 18 16:59:01 +0000 2019,"Our tube on YouTube via ""Ryan’s World."" Mega-influencer Ryan Kaji, 8, has teamed up with Colgate for a series of sponsored videos that rally kids around building healthy oral care habits. Check out his brushing tips for a bright holiday #smile. https://t.co/OUEj9eKse3",en,Colgate-Palmolive Co
Wed Dec 18 13:27:02 +0000 2019,Who’s #recycling old electric toothbrushes into products like park benches? Colgate Australia in a pioneering partnership with @TerraCycle! Consumers send in bases and handles; TerraCycle diverts the recyclable metal and plastic components from landfills. https://t.co/KzDtIKpwVd https://t.co/NoVuHAuk90,en,Colgate-Palmolive Co
Tue Dec 17 13:31:07 +0000 2019,"BIG congratulations to our Athens, Greece, manufacturing facility -- the 16th Colgate plant to be certified as TRUE Zero Waste. Colgate has more @TRUEcertified Zero Waste sites than any other company on the planet. Well done! #sustainability https://t.co/5BKdWkzGbp",en,Colgate-Palmolive Co
Mon Dec 16 14:12:07 +0000 2019,"One MILLION hours of injury-free work! That's the #safety milestone recently celebrated by our team in Lae, Papua New Guinea. Protecting Colgate People is essential to our growth and productivity.  Kudos to all! https://t.co/UhqCe7a27a",en,Colgate-Palmolive Co
Fri Dec 13 13:27:08 +0000 2019,"#Sustainability is an art at Colgate, and #recycling was the theme of our annual “On the Walls” art contest. Thanks to the Colgate People who participated and to our judges, including @TerraCycle CEO @Tom__Szaky, who joined us at our Global Technology Campus in Piscataway, NJ. https://t.co/OPdaD5NvPa",en,Colgate-Palmolive Co
Thu Dec 12 14:08:01 +0000 2019,"Olympian and Colgate Women’s Games Meet Director Cheryl Toussaint inspired the crowd @NBCUniversal @seeher2020 #SeeHerInSports event, sharing how CWG changes lives by teaching girls to embrace competition, seek education and soar with confidence. More:  https://t.co/tUjSbt2eLv https://t.co/7y5CIN8QW6",en,Colgate-Palmolive Co
Wed Dec 11 14:04:02 +0000 2019,"Delighted to receive @NJTechCouncil's ""Collaboration of the Year"" award for our longstanding partnership with @RutgersU, and more recently RU's TechAdvance research program. We love to speed health-promoting #innovation from academic labs to consumers. https://t.co/yobJuzlJBX https://t.co/sBbjyKg4Hq",en,Colgate-Palmolive Co
Tue Dec 10 18:36:02 +0000 2019,"We're proud to be a #CatalystForChange company, joining 60+ peers in pledging to accelerate the advancement of more women into leadership roles. We share @CatalystInc's #GenderEquity goal to #buildAfuture where 100% of the talent is used 100% of the time. https://t.co/jZt7ukxGlm",en,Colgate-Palmolive Co
