created_at,full_text,lang,user_name
Fri Dec 20 00:00:46 +0000 2019,"CSX CEO Jim Foote joined Governor Ralph Northam today to announce a new landmark agreement to expand reliability and service along Virginia’s rail lines, creating a pathway to separate passenger and freight operations along the Richmond to D.C. corridor. https://t.co/TZo3CGG12k https://t.co/phvUrJCnQX",en,CSX
Thu Dec 19 21:48:16 +0000 2019,"CSX announces the appointment of retired Maj. Gen. Suzanne Vautrinot to the company’s board of directors. Bringing exceptional cybersecurity expertise and leadership skills, Vautrinot will serve on the company's Audit Committee and Governance Committee. 
https://t.co/Iq4zJSGjyY https://t.co/V3qsv3s3a1",en,CSX
Thu Dec 19 01:33:33 +0000 2019,"CSX participated in the groundbreaking of the rail spur segment at the @nfmipark. Located on a CSX Select Site, the park benefits from our offering of development-ready property. We’re proud to help drive economic growth in the region. Learn more: https://t.co/mGqYWxBTDu https://t.co/ydn0cEIkYw",en,CSX
Tue Dec 17 22:27:34 +0000 2019,"Automakers trust CSX to get vehicles to market quickly and safely. Our network of full-service TDSI terminals helps get cars from plants to dealerships, using technology to give customers supply chain visibility. When premium handling counts, count on CSX. https://t.co/BDMlWTiVKP https://t.co/cGzhJIiqRF",en,CSX
Mon Dec 16 20:42:18 +0000 2019,"CSX announces the appointment of Jeffery D. Wall as Vice President of Labor Relations. With more than 20 years of labor relations experience and broad transportation knowledge, Wall will be responsible for overall labor strategy. https://t.co/se10XF9Hb8 https://t.co/Us2d3qHrha",en,CSX
Mon Dec 16 17:04:32 +0000 2019,CSX was pleased to join @Jaguars WR Chris Conley and warriors from @WWP @TopgolfJax as part of  #SalutetoService week. CSX is proud to honor military service members and their families for selflessly serving our country and community. #CSXPrideinService https://t.co/vV9cbXjMVl,en,CSX
Fri Dec 13 13:00:08 +0000 2019,"CSX Conductor Matt Skrekla has been a volunteer EMT/Firefighter in North East, Penn. for 17 years. He's among the 1 in 5 CSX employees who has served in the military or as a first responder. We honor Matt and those who selflessly serve our communities. #CSXPrideInService https://t.co/aKF6CSFyu7",en,CSX
Thu Dec 12 23:51:47 +0000 2019,"Asher Lohman, CSX senior technical director, recently shared with BizTech magazine how CSX is successfully using the “internet of things” (IoT) to increase safety and improve efficiency. https://t.co/qeE5BxIw96",en,CSX
Wed Dec 11 23:41:08 +0000 2019,"CSX is focused on consistently providing safe, efficient and reliable service to its customers. Speaking to @rail_pro_mag, CSX CEO Jim Foote shares that 2020 offers an opportunity to leverage our improved service to drive above-market growth. Learn more: https://t.co/cWoHtTBRte",en,CSX
Wed Dec 11 00:24:27 +0000 2019,"CSX is proud to support the @JAXChamber and @JAXPartnership, and to help drive the region’s business growth. https://t.co/Dg7cmyS6Ef",en,CSX
