created_at,full_text,lang,user_name
Thu Dec 19 18:35:25 +0000 2019,"In #Nashville, we sat down with the folks behind a program working to place #pharmacists inside barbershops to test patrons for high blood pressure and recommend necessary treatments. Learn more: https://t.co/lKs4QsY3Mi #HealthyCommunitiesNews https://t.co/RqIUFQbbhi",en,CVS Health
Thu Dec 19 17:46:30 +0000 2019,Taking Control of Diabetes with HealthHub https://t.co/Jfne9eZkfT https://t.co/7EYZ8aKbil,en,CVS Health
Thu Dec 19 17:11:19 +0000 2019,RT @adampellegrini: Excited that @CVSHealth has joined CES and @AlanLotvinMD our Chief Transformation Officer will be presenting during the…,en,CVS Health
Thu Dec 19 15:25:00 +0000 2019,"You can watch videos on our #BeTheFirst initiative, our response to the opioid epidemic, rising drug prices + more on @CVSHealth’s @YouTube channel!",en,CVS Health
Thu Dec 19 14:00:01 +0000 2019,A @CVSHealth clinical pharmacist shares a recent #diabetes patient success story that demonstrates the importance of relationship-building in her work. https://t.co/OlE3BmcsX7,en,CVS Health
Wed Dec 18 18:05:01 +0000 2019,All 375 @cvspharmacy stores in #NorthCarolina are now using time-delay safe technology. Read more: https://t.co/TbE0ObbeY2 https://t.co/JcoIJ0vAv3,en,CVS Health
Wed Dec 18 16:30:00 +0000 2019,A grant from @Aetna Better Health of #WestVirginia of $50K to the West Virginia School of Medicine will help give pediatric health providers easier access to child &amp; adolescent mental health resources across the state. https://t.co/CVv4IricAd,en,CVS Health
Wed Dec 18 15:02:06 +0000 2019,"At #HealthyCommunitiesNews, we talk to folks who are improving health in towns and cities across the country. Here's a sampling of the inspiring stories we were privileged to tell this year. Learn more: https://t.co/nXuVAWeO3T https://t.co/PcOCdCh0Dm",en,CVS Health
Wed Dec 18 14:00:00 +0000 2019,DYK: We’ve hired nearly 7K colleagues with disabilities since 2015? Learn why we believe in breaking down employment barriers for individuals of all abilities. https://t.co/feHJeeD2AP,en,CVS Health
Tue Dec 17 21:22:24 +0000 2019,@Mayra34251130 Hi Mayra. Please send us a DM with your full name and contact information so that we can have a representative from our team reach out to you. Thank you.,en,CVS Health
Tue Dec 17 19:51:08 +0000 2019,"@Septembers_Song Hi Marlene, we never wish for our customers to have this experience in our stores. We appreciate you making us aware of this, and we have shared this feedback with our team. Thank you.",en,CVS Health
Tue Dec 17 18:54:27 +0000 2019,@sandybalduf Hi Sandy. A member from our team would like to speak with you further. Please send us a DM with your contact number so that we can reach out. Thank you.,en,CVS Health
Tue Dec 17 18:15:01 +0000 2019,"Announcing our next step in the fight against cancer: a comprehensive approach to #oncology care that uses the latest advances in precision medicine to help get patients the right treatment, faster. Learn more: https://t.co/HkTvI99tAq https://t.co/vxtBznjLN1",en,CVS Health
Tue Dec 17 16:11:00 +0000 2019,"71% of patients live within a five mile radius of a @cvspharmacy, providing us the opportunity to be a center of care to support patients’ needs in their community. https://t.co/JSoCJB7r0Y",en,CVS Health
Tue Dec 17 14:25:01 +0000 2019,News | New ‘Be Vape Free’ Initiative to Tackle Youth Vaping Epidemic Through Schools https://t.co/CXZwrq4RF6,en,CVS Health
Tue Dec 17 14:19:00 +0000 2019,@JohnVicain Hi John. We are sorry to hear this and would like to speak with you to help. Please send us a DM with your contact information so that a member from the team can reach out to you directly. Thank you.,en,CVS Health
Tue Dec 17 14:00:00 +0000 2019,"Mercy Care, an @Aetna-managed Medicaid program is getting young victims like Jade off the street and on a path to better health. Learn more: https://t.co/ig3l3ACuMP",en,CVS Health
Mon Dec 16 22:04:25 +0000 2019,@KatC6 Hi Kat. The team would like to speak with you directly to help. Please send us your contact information via DM so the team can reach out. Thank you!,en,CVS Health
Mon Dec 16 18:03:38 +0000 2019,Read: @CVSHealth President and CEO Larry Merlo discusses how we're leading the way during an important shift in #healthcare via @FastCompany https://t.co/arV3I1ZKYl,en,CVS Health
Mon Dec 16 18:00:00 +0000 2019,Good oral health while in the hospital is critical for combating pneumonia. Read what surgical patients who have received a new oral health kit from @CVSHealth have to say about it: https://t.co/0G9m2Hxh1Z,en,CVS Health
Mon Dec 16 16:00:03 +0000 2019,News | CVS Health Completes Rollout of Time Delay Safes in All of Its Virginia Pharmacies https://t.co/TSMtUtmp8M https://t.co/q2Hq7IwXLJ,en,CVS Health
Mon Dec 16 14:23:37 +0000 2019,Do you have healthy and affordable food options (like a farmer’s market or grocery store) that you can access by walking or driving less than 10 miles?,en,CVS Health
Mon Dec 16 14:00:01 +0000 2019,"What happens after our free #ProjectHealth screenings is up to the individual. But for one participant, the consultation had an immediate impact. Learn more: https://t.co/E9JZyMXhrQ",en,CVS Health
Sat Dec 14 14:00:00 +0000 2019,"To help #veterans impacted by opioid misuse &amp; abuse, the CVS Health Foundation has made a $100K grant to @EasterSealsGC to provide immersive community-based care. https://t.co/iiI2A7LrHH",en,CVS Health
Fri Dec 13 18:45:00 +0000 2019,"DYK: Last year, we gave @rosemanuhs $25K to fund Hispanic recruitment and outreach initiatives and establish a pipeline of Spanish-speaking students in an effort to address the language gap in #healthcare. https://t.co/w0qKJHXW0r",en,CVS Health
Fri Dec 13 17:26:00 +0000 2019,"@DrewBaye Hi Drew, could you please share the CVS location where you saw this? Thank you.",en,CVS Health
Fri Dec 13 15:00:02 +0000 2019,To learn more about our commitment to #veterans &amp; military members visit: https://t.co/rfbA0L1xKo https://t.co/45ACqFxyeR,en,CVS Health
Fri Dec 13 13:55:00 +0000 2019,".@CVSHealth’s Medication Therapy Management program allows our pharmacists to engage one-on-one with patients, creating an open dialogue to ensure patients are taking their medication. Learn more: https://t.co/kuQND0doV5",en,CVS Health
Thu Dec 12 18:00:00 +0000 2019,"#ProjectHealth screenings are critical for people with chronic conditions, like #diabetes, which can trigger other health problems. Learn more: https://t.co/XnTbgkEs9x",en,CVS Health
Thu Dec 12 17:37:05 +0000 2019,News | CVS Health Announces $750K in New Funding for California Harm Reduction Coalition https://t.co/VfMknLyTzZ,en,CVS Health
Thu Dec 12 13:50:08 +0000 2019,News | CVS Health Launches Transform Oncology Care Program to Help Improve Patient Outcomes and Lower Overall Costs https://t.co/APdrq10nTK,en,CVS Health
Wed Dec 11 21:19:00 +0000 2019,Abilities in Abundance: Our Continued Commitment to Inclusive Employment https://t.co/0OMuI6Ic6V,en,CVS Health
Wed Dec 11 18:00:00 +0000 2019,We’re excited to announce that we are expanding our Safe Medication Disposal Program and will offer a free disposal option at @cvspharmacy locations starting in 2020. https://t.co/gz9dYron1p,en,CVS Health
Wed Dec 11 18:00:00 +0000 2019,"We believe that a diverse supplier base is key to our ability to deliver innovative, high-quality products &amp; services to customers &amp; the communities we serve across the country. https://t.co/25NurJDwqT",en,CVS Health
Wed Dec 11 14:00:00 +0000 2019,Learn how health plans &amp; employers can adopt and offer our Accordant program for their plan members. https://t.co/tdHRIJMKLN,en,CVS Health
Tue Dec 10 19:15:01 +0000 2019,"For Diabetes Patients, a Care Coach Is Just a Click Away https://t.co/RhStUCzy9c",en,CVS Health
Tue Dec 10 16:20:00 +0000 2019,"Our multi-dose packaging is helping people keep up with their medications with easy-to-open packets presorted by dose, date and time. https://t.co/vwlqw23Jp0",en,CVS Health
Tue Dec 10 14:00:00 +0000 2019,Learn how we’re is supporting the Fight Against HIV/AIDS and our new partnership with @HHSGov https://t.co/8yrbdaDO09,en,CVS Health
Mon Dec 09 18:05:19 +0000 2019,"#HealthyCommunitiesNews heads to #Nashville, Tennessee, but it’s not for the music or the barbecue.  We’re here for an unusual new outpost for #healthcare – the local barbershop. Learn more: https://t.co/24FfGLwMuq https://t.co/gWlL1OFrgl",en,CVS Health
Mon Dec 09 16:20:00 +0000 2019,Read how Planned Packaging of Illinois’s partnership with @CVSHealth has helped them open two additional locations in North Carolina &amp; Tennessee- helping provide jobs to primarily lower income individuals. #supplierdiversity https://t.co/VnwdXLSyBu,en,CVS Health
Mon Dec 09 14:42:32 +0000 2019,"@motorcycle_guy Oh no! We're sorry to hear this, Keith. Please contact Member Services by the number on the back of your Caremark Prescription Insurance card for further assistance. Thank you.",en,CVS Health
Mon Dec 09 14:29:42 +0000 2019,News | CVS Health Completes Rollout of Time Delay Safes in All of Its West Virginia Pharmacies https://t.co/pgzXMr1EJ5 https://t.co/LV5b5xSfKR,en,CVS Health
Mon Dec 09 14:00:00 +0000 2019,Our partnership with @GlamSquad is an opportunity to deliver an omni-channel service experience to existing &amp; new customers. https://t.co/SNWbk91p3A,en,CVS Health
Fri Dec 06 20:09:01 +0000 2019,"@KelxCallahan Hi Kelly, we take your concerns extremely seriously and want to look into this further. Please send us a DM with the patient's name and contact info so that we can reach out to them directly. Thank you.",en,CVS Health
Fri Dec 06 18:00:01 +0000 2019,"Every community. Every day. We are champions for health. In recognition of #WorldAIDSDay see if you qualify for the new #ReadySetPrEP program, which provides medications at no cost to thousands of people. https://t.co/pzRtBlENGx https://t.co/PgQzBfpCue",en,CVS Health
Fri Dec 06 16:57:30 +0000 2019,"@cosmicseawitch Hi there, we are disappointed to hear about this. Could you please share your phone number with us in a DM? Thank you.",en,CVS Health
Fri Dec 06 16:32:38 +0000 2019,Read: Helping Patients Better Manage Diabetes https://t.co/qrDnypsxRj https://t.co/NVa0EyqOEF,en,CVS Health
Fri Dec 06 16:04:37 +0000 2019,"@StrongRN Hi there, for more information on this, we recommend giving us a call at 800-SHOPCVS. Thank you!",en,CVS Health
Fri Dec 06 14:55:49 +0000 2019,.@TempleUniv in Philadelphia is one of more than 200 colleges and universities to get funding as part of the @CVSHealth Foundation #TobaccoFree Campus Initiative. Find out more on what students there had to say: https://t.co/IQh7ghr9eQ #HealthyCommunitiesNews #SmartCampusesQuit https://t.co/S7G49lwCEY,en,CVS Health
Fri Dec 06 14:00:00 +0000 2019,More than 87% of patients who attend #ProjectHealth events report following-up with their primary care physician. Learn more about our free health screenings: https://t.co/3zUOgnLrrk,en,CVS Health
Thu Dec 05 22:45:39 +0000 2019,@Stomp_ Hi there. We take your concerns extremely seriously and would like to speak with you directly. Please send us a DM with your full name and contact info so that a member from our team can reach out to you. Thank you.,en,CVS Health
Thu Dec 05 20:00:00 +0000 2019,Why Building Trust is Key to Delivering Crucial Care to Pharmacy Patients https://t.co/53IInSvMVh,en,CVS Health
Thu Dec 05 15:33:01 +0000 2019,News | Aetna Foundation Announces $1 Million in Grants to Boys &amp; Girls Clubs in Providence and Hartford https://t.co/5tezt9aLsN https://t.co/6fWREKYCtU,en,CVS Health
Thu Dec 05 14:00:00 +0000 2019,Access remains a key challenge in helping patients manage their health conditions. Learn how we’re expanding access to care locally: https://t.co/OTGRZObGim,en,CVS Health
Thu Dec 05 13:36:31 +0000 2019,News | CVS Health Announces Successful First Year of Aetna Integration at One Year Anniversary https://t.co/hq3yzBe8Ik https://t.co/8sfWMDFgSi,en,CVS Health
Wed Dec 04 20:12:09 +0000 2019,"In our Path to Better Health Study, we explore how conditions in the places people live, learn, work &amp; play—including supportive interpersonal relationships—impact people's health. 

Is it important to you that your primary care doctor be aware of your supportive relationships?",en,CVS Health
Wed Dec 04 20:00:01 +0000 2019,Supporting the Fight Against HIV/AIDS https://t.co/Ox3dX0ZxRv,en,CVS Health
Wed Dec 04 19:56:52 +0000 2019,RT @tjcrawfordCVS: .@CVSHealth President &amp; CEO Larry Merlo will appear live on @SquawkCNBC w/ @BeckyQuick &amp; @JoeSquawk tomorrow at ~7:30 a.…,en,CVS Health
Wed Dec 04 18:00:00 +0000 2019,Helping patients with complex medical conditions get the specialty medication they need more quickly &amp; efficiently through technology &amp; solutions such as Specialty Expedite is one more way we’re helping people on their path to better health. Learn more: https://t.co/m80jeYxF7a,en,CVS Health
Wed Dec 04 16:15:01 +0000 2019,This week is #NationalInfluenzaVaccinationWeek. Be sure to get your #flushot at @cvspharmacy stores and @MinuteClinic locations. Read more: https://t.co/FfJW9zHNUn https://t.co/B8KNGGsEwI,en,CVS Health
Wed Dec 04 15:00:56 +0000 2019,"@ElleSturm Hi Lindsay, we know how important it is for you to receive your Rx on time. We appreciate you making us aware of this wait time, and we have shared these concerns with our team. Thank you.",en,CVS Health
Wed Dec 04 14:00:00 +0000 2019,"Since 2006, we’ve counseled nearly 18K people on how to stop smoking through our #ProjectHealth free health screenings. https://t.co/ee2hogrN6b",en,CVS Health
Tue Dec 03 21:26:37 +0000 2019,@realsuejeffers Oh no! We're sorry to hear this. Please contact member services by the number on the back of your Caremark Prescription Insurance card for further assistance. Thank you.,en,CVS Health
Tue Dec 03 20:53:36 +0000 2019,News | CVS Health Teams Up with U.S. Department of Health and Human Services to Support the Fight Against HIV https://t.co/LQ0fY1EdCG,en,CVS Health
Tue Dec 03 18:05:00 +0000 2019,"In 2018, 1,400 community members participated in our Regional Learning Center workforce development program, with many transitioning to positions within our company. https://t.co/DRIQyPzwrD",en,CVS Health
Tue Dec 03 16:00:00 +0000 2019,"For the second consecutive year, we’ve received the National Corporation of the Year award by @GNEMSDC1.  Learn more about our #supplierdiversity program: https://t.co/kTPLPfA78R",en,CVS Health
Tue Dec 03 14:00:01 +0000 2019,.@Aetna recently announced 2020 #Medicare offerings which will connect members with more personalized care and benefits in their homes and communities. Learn more about the expanded #MedicareAdvantage portfolio here: https://t.co/1DXbnZ0DOi https://t.co/tBMxRoKgMI,en,CVS Health
Mon Dec 02 18:45:01 +0000 2019,"Coram’s vast network of nurses helps infusion patients who travel – meeting them where they are, when they need treatment. Read more: https://t.co/dxLmcbyXmw https://t.co/fdp4Jyq8oh",en,CVS Health
Mon Dec 02 17:05:00 +0000 2019,"For more information on our workforce &amp; #supplierdiversity initiatives, visit: https://t.co/QqlNhCokG1",en,CVS Health
Mon Dec 02 15:37:06 +0000 2019,News | CVS Health Encourages Families to Get Their Flu Shot During National Influenza Vaccination Week https://t.co/ZOUQ110GNO,en,CVS Health
Mon Dec 02 14:13:01 +0000 2019,New | CVS Health Completes Rollout of Time Delay Safes in All of Its North Carolina Pharmacies https://t.co/o4VEVTB4gG https://t.co/NeA86J9b30,en,CVS Health
Mon Dec 02 14:00:00 +0000 2019,"Three new @cvspharmacy stores will open in the Portland, Oregon area by the end of 2019. https://t.co/a1xjuUuiVJ",en,CVS Health
Sat Nov 30 14:00:01 +0000 2019,Re-Training Providers to Achieve Proper Blood Pressure Measurement https://t.co/n8g0kgUrex,en,CVS Health
Fri Nov 29 18:00:00 +0000 2019,"Coram nurses helped 17-year-old Andrew bike across the country, meeting him on the road with enzyme replacement infusions. Learn more: https://t.co/O7ldHRBJRD",en,CVS Health
