created_at,full_text,lang,user_name
Wed Dec 18 20:58:56 +0000 2019,"RT @starkgeorge: Proud to host ⁦@AXPC_US⁩ new CEO, Anne Bradbury, on a field visit as part of her onboarding. 
First-hand education is the…",en,Cabot Oil & Gas Corp
Wed Dec 18 20:50:07 +0000 2019,"Welding is one of the most in-demand careers in the #oilandgas industry.  If you're looking for a hands-on career with great pay, a welding job might be for you! #WorkforceWednesday @OOGEEP 

https://t.co/xyZB2xnwVd",en,Cabot Oil & Gas Corp
Wed Dec 18 20:36:15 +0000 2019,@LehighCTI It is a lovely picture featuring some snazzy clothes - purple blazer and bowtie included!,en,Cabot Oil & Gas Corp
Wed Dec 18 20:05:09 +0000 2019,"The 2019 schedule of @Energy_Briefing wrapped up last week in State College and Fogelsville with conversations led by @RepSchweyer @LehighCTI @PennCollege @CBICC @SWN_R2 @glenn_inc @DawoodEngineers
#ThinkAboutEnergy
https://t.co/gQt2JNVIsk",en,Cabot Oil & Gas Corp
Tue Dec 17 14:10:10 +0000 2019,"""The natural gas and oil industry in the US supports 10.3 million jobs and accounts for nearly 8% of the gross domestic product.""  https://t.co/Ko3jaXDfvN?",en,Cabot Oil & Gas Corp
Sun Dec 15 21:25:02 +0000 2019,"PA Representative @peter_schweyer:
""These are real, outstanding careers and we really just want to make sure that Allentown kids &amp; kids throughout Pennsylvania know that they're available to them.""
https://t.co/HTeFiWacSp",en,Cabot Oil & Gas Corp
Sat Dec 14 15:15:15 +0000 2019,"Thanks to Cabot’s $15,000 contribution, students at @ParkwayWestCTC can now purchase the uniforms, certifications, and other supplies they need to succeed in school. More at https://t.co/aJY3ILQLaL",en,Cabot Oil & Gas Corp
Fri Dec 13 14:53:46 +0000 2019,"RT @IERenergy: George Stark, the director of external affairs at @CabotOG, joined the Plugged In podcast to discuss how American natural ga…",en,Cabot Oil & Gas Corp
Thu Dec 12 14:02:18 +0000 2019,RT @SenJohnYudichak: Future engineers and energy engineers will be coming out of the @shine123_abc and @SHINE_Luzerne after school program.…,en,Cabot Oil & Gas Corp
Thu Dec 12 13:40:43 +0000 2019,RT @Energy_Briefing: Getting ready to kick off an exciting #ThinkAboutEnergy briefing in Fogelsville! @CabotOG @PennCollege @LehighCTI http…,en,Cabot Oil & Gas Corp
Wed Dec 11 19:45:14 +0000 2019,Join us tomorrow for another chance to learn about the positive political and industrial implications of America’s natural gas revolution at the Fogelsville @Energy_Briefing. https://t.co/XxMkqUlnOt,en,Cabot Oil & Gas Corp
Wed Dec 11 15:45:16 +0000 2019,Did you know that there is a shortage in CDL truck drivers? Learn more from @OOGEEP and @powerimposslbe #WorkforceWednesday https://t.co/LhrFEtG5CL,en,Cabot Oil & Gas Corp
Tue Dec 10 21:05:12 +0000 2019,Cabot is proud to sponsor the next @Energy_Briefing in Fogelsville on Dec. 12 at Madeline’s. This educational event will feature keynote speaker PA Rep. @peter_schweyer. Register here: https://t.co/XxMkqUlnOt,en,Cabot Oil & Gas Corp
Tue Dec 10 18:30:07 +0000 2019,"Now in its sixth year, the annual collaboration between Cabot and Susquehanna Interfaith (@SCPA_Interfaith) surpassed previous efforts with more than $20,000 in donations.
https://t.co/YElHY5VNab",en,Cabot Oil & Gas Corp
Tue Dec 10 13:34:00 +0000 2019,RT @WdesRosiers: @starkgeorge welcoming the crowd to @Energy_Briefing State College for a discussion on responsible #energy development. @C…,en,Cabot Oil & Gas Corp
