created_at,full_text,lang,user_name
Thu Dec 19 17:48:02 +0000 2019,"👏 Congrats to our team in Greater China for earning a Best Workplace in Greater China award by @GPTW_China.

Keep up the great work team! 🙌

#OneTeam #GPTW https://t.co/RrKU9zc0Wm",en,Cadence
Wed Dec 18 13:28:00 +0000 2019,"""Cadence’s Celsius tool provides thermal analysis in tandem with Voltus and Innovus (for chips) and Allegro (for packages and boards)."" - @MoyerTechTalk

Read more from @EEJournalTFM ⬇️https://t.co/EA9lcnX3iZ",en,Cadence
Wed Dec 18 05:59:16 +0000 2019,"RT @MoyerTechTalk: Electrical affects thermal affects electrical. Can you simulate that?

https://t.co/Ub3a8LsU75

#eda #simulation #therma…",en,Cadence
Tue Dec 17 17:49:01 +0000 2019,"Check out @AMELIAD1978's Fish Fry podcast on functional safety featuring our very own Adam Sherer. 

🎧 Listen on @EEJournalTFM here ➡️https://t.co/4JwYYkPwCG",en,Cadence
Mon Dec 16 16:00:09 +0000 2019,"This week on #BreakfastBytes with Paul McLellan... ☕️

AWS announced their new Graviton 2 Arm CPU chip with 30B transistors in 7nm, which runs Xcelium SystemVerilog simulation over 50% faster than their M5 x86-based instance!

Read full blog ➡️ https://t.co/9NHBQUzG4M https://t.co/3WIuWfmXxb",en,Cadence
Mon Dec 16 16:00:08 +0000 2019,"This week on #BreakfastBytes with Paul McLellan... ☕️

AWS announced their new Graviton 2 Arm CPU chip with 30B transistors in 7nm, which runs Xcelium SystemVerilog simulation over 50% faster than their M5 x86-based instance!

Read full blog here ➡️ https://t.co/pAb9F4Ka16 https://t.co/e2bI6RWmDF",en,Cadence
Fri Dec 13 17:56:21 +0000 2019,"RT @EEJournalTFM: New episode of Amelia's Weekly Fish Fry podcast! ""Communication Breakdown: Cyber-physical Challenges, LIDAR’s Gold Rush,…",en,Cadence
Fri Dec 13 17:56:10 +0000 2019,Awesome episode in this week's podcast. Have a listen! 🎧 https://t.co/sAlO021SZt,en,Cadence
Fri Dec 13 17:46:02 +0000 2019,"🐶 Who doesn't love a lil' puppy play time on the job? 🐈

Thanks to @humanesocietysv for hosting our Women@Cadence volunteer group and for allowing us to help &amp; socialize with adoptable animals! #SeasonofGiving

#FeelGoodFriday #OneTeam https://t.co/pVqSd16Iz9",en,Cadence
Thu Dec 12 18:11:00 +0000 2019,"#ICYMI: Our very own Craig Johnson talks cloud strategy ☁️, avoiding Silicon Valley traffic 🚙, and fitness 🏃‍♂️ in this @AMELIAD1978's Fish Fry podcast. 

🎧 Listen on @EEJournalTFM here ➡️ https://t.co/fWREo2eZ0i",en,Cadence
Wed Dec 11 13:34:01 +0000 2019,"Happy Computer Science Education Week! 📚

The Cadence team is passionate about shaping the next generation of engineers by working with organizations like @GirlsWhoCode. 🤝

Launch your career at Cadence and help shape the future of tech ➡️https://t.co/eGzPObuOD8

#CSEdWeek https://t.co/0zvDRliM9W",en,Cadence
Tue Dec 10 17:53:01 +0000 2019,".@PatrickMoorhead’s @forbes piece explores the next-gen of @awscloud’s EC2 instances powered by the @Arm Graviton2 processor. 💯 

Check out the 🔥Cadence Xcelium mention ➡️https://t.co/oaxibOO4a1

#reinvent2019",en,Cadence
Tue Dec 10 05:52:03 +0000 2019,"RT @Chip_Insider: Why packaging is so complicated, why power &amp; #heat vary with different use cases &amp; over time &amp; why a realistic power map…",en,Cadence
Mon Dec 09 16:01:02 +0000 2019,"This week on our Breakfast Bytes Blog: Paul McLellan discusses the end of Moore's Law and how the tech industry has responded with innovative packaging. 

Read full blog here ➡https://t.co/SxzkdaJcAP

#BreakfastBytes #Cadence https://t.co/R6jYTnLPdJ",en,Cadence
Fri Dec 06 17:00:54 +0000 2019,"20 Cadence employees recently volunteered with Veggielution for their Farmer 4 A Day program and planted a total of 7 oak trees 🌳 to support our #SeasonofGiving initiative.

#OneTeam #LifeAtCadence #FeelGoodFriday https://t.co/7kbnwvHdLv",en,Cadence
