created_at,full_text,lang,user_name
Thu Dec 19 20:27:00 +0000 2019,"Here at Campbell, we're proud of what we bring to the table: Real food that matters for life's moments. 

Explore our new careers site and join our team ⬇️  https://t.co/bki6dahMvi",en,Campbell Soup Co
Tue Dec 17 00:21:00 +0000 2019,"When Hurricane Florence hit in September 2018, we activated our Emergency Assistance Foundation to help over 70 employees impacted by this disaster. Hear Ray’s story. #Campbell150 https://t.co/PzAlSVgIu3",en,Campbell Soup Co
Mon Dec 16 19:50:00 +0000 2019,Our @GoldfishSmiles team is launching a new cracker: Veggie Goldfish! Learn more about our latest innovation from Chef Kaylee Gill. #GoldfishCrackers https://t.co/JTrfIhBUx1,en,Campbell Soup Co
Fri Dec 13 19:07:40 +0000 2019,"@HFCSNJ Our Foundation was proud to honor Elsa’s work, meeting families’ needs in the Camden community. Her work brings our values to life. #GivingThatMatters",en,Campbell Soup Co
Fri Dec 13 18:25:03 +0000 2019,"Building strong community connections in the places we call home is a key part of our purpose. 

Learn more about our work in one of our hometowns: Camden, NJ. 

#GivingThatMatters #Campbell150 https://t.co/entjRdFdCU",en,Campbell Soup Co
Fri Dec 13 00:05:00 +0000 2019,"Campbell Through the Years: In 1970, we launched @CampbellsChunky ⁠— the official soup sponsor of the NFL since 1997. #Campbell150 https://t.co/PWQYzQ1cfo",en,Campbell Soup Co
Thu Dec 12 18:20:07 +0000 2019,"Today we hosted our Camden community partners for the 15th Campbell Soup Foundation Networking Breakfast, plus a celebration of our 150th anniversary! We recognized one another’s achievements, while looking forward to our future work together. #Campbell150 #GivingThatMatters https://t.co/xk5sgnT20s",en,Campbell Soup Co
Tue Dec 10 23:24:38 +0000 2019,It was an honor to host the @USArmy and military veterans here at Campbell ⁠– plus the Jazz Ambassadors ⁠– for an important discussion on hiring veterans and their unique leadership qualities and skills. https://t.co/y5ohaVqvn9,en,Campbell Soup Co
Mon Dec 09 22:28:00 +0000 2019,@AmesJoni ♥️,und,Campbell Soup Co
Mon Dec 09 22:27:30 +0000 2019,@klhopki Sounds like a nice looking tree!,en,Campbell Soup Co
Mon Dec 09 22:27:09 +0000 2019,"@dsgrosshans That's great to hear, and thank you for your important work!",en,Campbell Soup Co
Mon Dec 09 22:18:05 +0000 2019,@firepeio Thank you! Glad to be part of the family.,en,Campbell Soup Co
Mon Dec 09 22:17:37 +0000 2019,@alwaysjathis Thanks for sharing this sweet story — we love hearing about the families who make up Campbell Soup Co!,en,Campbell Soup Co
Mon Dec 09 21:04:21 +0000 2019,Did you know that our Andy Warhol Campbell Soup Can painting is considered double signed? Find out why and learn more about our favorite piece of art. #Campbell150 https://t.co/dwtc0uZ8e5,en,Campbell Soup Co
Mon Dec 09 20:00:49 +0000 2019,"RT @TruterraLLC: Have you heard? We’re expanding our pilot program with @CampbellSoupCo to include 60,000 wheat acres in Ohio! Participatin…",en,Campbell Soup Co
Sat Dec 07 16:07:27 +0000 2019,"For 150 years, we've been proud to have a place at your kitchen table. Go behind the scenes with the Today Show as we celebrate our 150th anniversary! #Campbell150  https://t.co/5UytqFPSs6",en,Campbell Soup Co
Fri Dec 06 19:48:09 +0000 2019,"Congrats to Roots to Prevention Collaborative, led by our partner @PBCIP. They received a national @BUILD_Health  award that'll improve health &amp; healthy food choices in Camden. We were proud to support grant process, which resulted in a winning application and $250K for Camden! https://t.co/mqGTC3Oawf",en,Campbell Soup Co
Thu Dec 05 22:17:28 +0000 2019,"We work with our growers to #StopSoilErosion through data-driven techniques and soil conservation practices. Thanks to our work with @TruterraLLC we’re helping farmers like the Rose Family to stop soil erosion: https://t.co/Tv3YpEU2Wd 

#WorldSoilDay #SustainabilityAtWork",en,Campbell Soup Co
Thu Dec 05 19:25:04 +0000 2019,"Campbell Through the Years: In 1962, Andy Warhol displays his first Campbell's Soup Cans. His prints can now be seen in museums around the world. #Campbell150 https://t.co/1hQc7R0OzQ",en,Campbell Soup Co
Wed Dec 04 23:38:31 +0000 2019,"RT @PepperidgeFarm: Introducing the newest cookie in our holiday line-up: #PepperidgeFarmToySoldier, a spiced shortbread cookie that brings…",en,Campbell Soup Co
