created_at,full_text,lang,user_name
Thu Dec 19 20:50:04 +0000 2019,"@Sayrahanne Aw shucks, you just made us blush! ☺️",en,Capital One
Thu Dec 19 19:52:28 +0000 2019,"RT @OrangeBowl: Calling all @CapitalOne cardholders – you’re not going to want to miss this! 

Get your exclusive VIP ticket packages 🎟️ fo…",en,Capital One
Thu Dec 19 16:00:00 +0000 2019,Containers have transformed infrastructure. See how they can help transform your team's capacity.,en,Capital One
Thu Dec 19 14:55:02 +0000 2019,"@JDamianik We love this, Jonathan! Could you please follow us, so we can send you a DM!",en,Capital One
Thu Dec 19 14:27:24 +0000 2019,@MagsNmargs Woo hoo! Enjoy! Thanks for being with us.,en,Capital One
Thu Dec 19 03:31:12 +0000 2019,@KathySBrinkley What a lovely pic of you two! ❤️,en,Capital One
Thu Dec 19 02:33:10 +0000 2019,"@tdavis3271 We're so happy we could make your day, Tiffany! You deserve it! 💕",en,Capital One
Tue Dec 17 20:50:46 +0000 2019,@iamthelindLAW Great! There should be a message from us in your inbox.,en,Capital One
Tue Dec 17 20:20:42 +0000 2019,@iamthelindLAW Yay! We have exciting news about the 12/21 Washington Capitals game! Could you please reply to this DM with you best email address. We'll be in touch with next steps.,en,Capital One
Tue Dec 17 19:29:53 +0000 2019,@iamthelindLAW Hi Casey! Can you please follow us so we can send you a DM. Thanks!,en,Capital One
Tue Dec 17 18:23:42 +0000 2019,"@RBBallWiz So glad to hear you had a great time, Roni!",en,Capital One
Mon Dec 16 20:03:42 +0000 2019,Hey D.C. cardholders! Headed to #iHeartJingleBall tonight @CapitalOneArena? Skip the line and use the exclusive cardholder entrance on 6th St! Doors open at 6:30pm. https://t.co/Pqt7P4lD8x,en,Capital One
Mon Dec 16 18:52:13 +0000 2019,@RandolphFrancis We always got you!!,en,Capital One
Mon Dec 16 17:00:20 +0000 2019,Heads up @WashWizards fans! RT for a chance to win 2 tix + deliver the game ball for the game on 12/28 @CapitalOneArena. https://t.co/lWg16RaiBK,en,Capital One
Mon Dec 16 16:11:00 +0000 2019,To celebrate the #CapitalOneOrangeBowl we’re giving props to everybody making game day great! Who would you give props to? https://t.co/nIrGAvdlPa,en,Capital One
Sat Dec 14 16:27:36 +0000 2019,"On a scale of 1 to 💯 how incredible was #iHeartJingleBall? With exclusive access to perks, we think our cardholders would say 100! https://t.co/rKnpomVuae",en,Capital One
Sat Dec 14 04:30:42 +0000 2019,We can’t calm down after @taylorswift13’s performance! What an amazing #iHeartJingleBall! https://t.co/E0PR6VOxim,en,Capital One
Sat Dec 14 04:01:19 +0000 2019,"Our cardholder, Kallie’s dreams came true while meeting @taylorswift13 at #iHeartJingleBall! https://t.co/v8eU1C2myF",en,Capital One
Sat Dec 14 03:32:52 +0000 2019,The Ohl’s are living their best lives thanks to their Capital One card! 🙌🎉 #iHeartJingleBall https://t.co/mECqwKxXB0,en,Capital One
Sat Dec 14 01:15:52 +0000 2019,RT @FinalFour: Let's all wish a very happy 30th birthday to our @CapitalOne JamFest headliner @taylorswift13 today! #HBDTaylor https://t.co…,en,Capital One
Sat Dec 14 00:12:53 +0000 2019,@jenarosity Love this!!,en,Capital One
Sat Dec 14 00:02:29 +0000 2019,"Oh, what fun! 🎄 Cardholders got an exclusive Artist Session with @LewisCapaldi at #iHeartJingleBall 🎶 https://t.co/X7rSA60AX0",en,Capital One
Sat Dec 14 00:02:06 +0000 2019,"RT @iHeartRadio: Still trying to find a way in on this ski lift photo with @OfficialMonstaX! ⛷ 

#iHeartJingleBall @CapitalOne https://t.co…",en,Capital One
Fri Dec 13 22:46:47 +0000 2019,@laylenblack Right?! Time flies! https://t.co/ybELoG4Zvd,en,Capital One
Fri Dec 13 22:43:26 +0000 2019,"@jlynnallen1991 We think that birthday wish is truly sweet, Jennifer! https://t.co/p6eXZWwbXp",en,Capital One
Fri Dec 13 22:38:34 +0000 2019,"@ZoePotter7 We second that, Zoe! https://t.co/UQIcawDuZj",en,Capital One
Fri Dec 13 22:00:33 +0000 2019,RT @iHeartRadio: Can you guess which artist will be performing at our @CapitalOne Artist Session backstage at #iHeartJingleBall?! Tweet me…,en,Capital One
Fri Dec 13 21:52:50 +0000 2019,Are you ready for it? #iHeartJingleBall starts right NOW! https://t.co/Hl6KlTHJSO,en,Capital One
Fri Dec 13 17:40:16 +0000 2019,RT @Z100NewYork: HAPPY BIRTHDAY @taylorswift13 💕💕 Can’t wait to celebrate with you tonight! #Z100JingleBall presented by @CapitalOne! https…,en,Capital One
Fri Dec 13 15:00:14 +0000 2019,"Happy 30th birthday @taylorswift13! From all of us here at Capital One, #HBDTaylor 💘😉 https://t.co/6tnOCP1Xng",en,Capital One
Fri Dec 13 14:00:15 +0000 2019,Like this post for a chance to win 2 tix 🎟+ an in-game experience 😲 for the @Capitals game on 12/21 @CapitalOneArena. #ALLCAPS https://t.co/cyGLAwfbrs,en,Capital One
Thu Dec 12 21:51:09 +0000 2019,"@Ashleyannxoxo We love the good vibes, Ash! https://t.co/y30ccXQ7y9",en,Capital One
Thu Dec 12 20:02:25 +0000 2019,"Thanks @ThePointsGuy for naming Venture the Best-Stand Alone Card! You like us, you really like us! ☺️ https://t.co/yOv6D4NqVv",en,Capital One
Thu Dec 12 18:29:20 +0000 2019,@SlGNOFTlMES You got it! https://t.co/zvG1ICjZFQ,en,Capital One
Wed Dec 11 15:23:22 +0000 2019,@SlGNOFTlMES Hey there - Please stay tuned to our social channels for updates!,en,Capital One
Tue Dec 10 20:51:36 +0000 2019,"@MagsNmargs Yes! We love this, Megan! Can you please follow us so we can send you a DM?",en,Capital One
Tue Dec 10 20:43:40 +0000 2019,@LeslieCidale Sounds like a blast!!,en,Capital One
Tue Dec 10 17:08:27 +0000 2019,"@Normani, you sleighed that stage! #iHeartJingleBall  ❄️ https://t.co/pD1hF59ONX",en,Capital One
Mon Dec 09 21:39:30 +0000 2019,@cindy_launspach We couldn't be more excited...Ready for it?! 💘 https://t.co/fs3RZm51vI,en,Capital One
Mon Dec 09 21:31:09 +0000 2019,@RachelVHer https://t.co/pg0dCrd0CH,und,Capital One
Mon Dec 09 21:29:30 +0000 2019,@Kourtneyx0 We think that is super sweet!  💘 https://t.co/087Ix1qrPe,en,Capital One
Mon Dec 09 15:00:01 +0000 2019,Happy Birthday @taylorswift13 from your Capital One family. Let’s party like it’s 1989 on the 13th! Tweet to sign Taylor’s birthday card 🦋🎂🎉,en,Capital One
Mon Dec 09 14:50:55 +0000 2019,Want to earn rewards on decking the halls? You need the new Capital One Walmart Rewards Card to earn 5% back at Walmart Online. https://t.co/GMLGpbiJfw,en,Capital One
Sun Dec 08 20:50:52 +0000 2019,Big props to big teams 👊! @GatorsFB takes on @UVAFootball in the #CapitalOneOrangeBowl on 12/30. Who will you be cheering for? #GoGators #GoHoos https://t.co/6dWzhbTUIv,en,Capital One
Sun Dec 08 03:08:41 +0000 2019,@KatlynGerken We hope this holiday season is un-fir-getable and wish you the best of luck planning for your big day! When should we save the date?,en,Capital One
Sat Dec 07 02:22:32 +0000 2019,@BrawiHere Shining bright like a 💎,en,Capital One
Fri Dec 06 15:19:23 +0000 2019,We’re so happy that we could help make this holiday season un-fir-getable for the Jones-Baldwin family! https://t.co/LDijKB7YBX,en,Capital One
Thu Dec 05 18:44:26 +0000 2019,@jennababanas We're so glad you enjoyed them! 💐Congratulations again! 🎉,en,Capital One
Thu Dec 05 16:10:33 +0000 2019,"@bucktownsweetie Thanks for reaching out! Please keep an eye on our social channels, we will be announcing more details soon.",en,Capital One
Wed Dec 04 20:31:13 +0000 2019,@clishaye https://t.co/A37yzFQa6S,und,Capital One
