created_at,full_text,lang,user_name
Thu Dec 19 19:31:03 +0000 2019,We've got something for your farm and your family (and maybe a little something special for you too!) in this month's #DowntoEarth holiday gift guide. https://t.co/0PmWQQvkFY,en,Caterpillar Inc.
Thu Dec 19 17:30:58 +0000 2019,"RT @CatRentalStores: Knocking stuff down ... it can't be that hard, right? Not so fast. Demolition is a challenging and potentially dangero…",en,Caterpillar Inc.
Thu Dec 19 00:42:26 +0000 2019,This year we were excited to connect with customers and fans through sponsorships. Check out a few of our favorite memories from 2019. #ICYMI https://t.co/P71v4enIiq,en,Caterpillar Inc.
Wed Dec 18 21:30:24 +0000 2019,Shopping for the perfect gift for a Cat fan this holiday? We've got you covered with our 2019 gift guide: https://t.co/OrrO5EbJWl. https://t.co/WiyeBG8kr0,en,Caterpillar Inc.
Wed Dec 18 16:00:25 +0000 2019,"Technicians are critical to keeping Cat machines up and running, just like @RCRracing mechanics keep the No. 8 car going on the racetrack. Watch what happens when they trade places. https://t.co/BllPFoEmTS #CatRacing https://t.co/Gy4bAMIvPz",en,Caterpillar Inc.
Wed Dec 18 15:06:19 +0000 2019,"'Tis the season and we're ready to give! Enter our sweepstakes for your chance to win $4,800 of Cat merchandise. Enter now ➡️ https://t.co/bVke0MQ9jS https://t.co/qiiXc8u6ZB",en,Caterpillar Inc.
Wed Dec 18 14:00:18 +0000 2019,RT @BuiltInChicago: New video: Meet the innovators behind digital at Caterpillar. Watch: https://t.co/0iAFqc3MSd,en,Caterpillar Inc.
Wed Dec 18 13:30:09 +0000 2019,"You’re not just building things. You're building a life — a family, community, legacy. With services from your Cat dealer, you can spend more time on the things that matter most. https://t.co/VvbHGOIqkd #LetsDoTheWork https://t.co/3lXzvWI0Ob",en,Caterpillar Inc.
Tue Dec 17 20:30:04 +0000 2019,"As a fourth-generation business owner, Samantha Ruttura is blazing her own trail with her Long Island company Our Rental Pumps. https://t.co/auK8MehRsh",en,Caterpillar Inc.
Tue Dec 17 19:30:22 +0000 2019,Think you know what it’s like being a technician? See what a day in the life of a race team mechanic is really like — watch Part 2 of our Tech Swap series. https://t.co/RK4FbMhbpA #CatRacing https://t.co/LuHIEyFCp2,en,Caterpillar Inc.
Tue Dec 17 19:19:22 +0000 2019,"RT @CaterpillarJobs: From an awestruck little boy admiring big Caterpillar machines from his car seat to the engineer building them, check…",en,Caterpillar Inc.
Tue Dec 17 18:55:40 +0000 2019,"In December 1929, we made our debut on the New York Stock Exchange (NYSE). Check out these historical photos of employees and machines plus the stock certificate used at our first listing 90 years ago! Read more: https://t.co/GMWDw0fI5i https://t.co/UgUGTkLCKs",en,Caterpillar Inc.
Tue Dec 17 16:45:41 +0000 2019,CEO Jim Umpleby rang the opening bell today on the New York Stock Exchange (NYSE) to mark the 90th anniversary of our listing! Read more: https://t.co/XwWjovGlKM,en,Caterpillar Inc.
