created_at,full_text,lang,user_name
Thu Dec 19 19:31:27 +0000 2019,"While hunger is a year-round issue, the holiday season can place additional pressure on those with limited access to food. Learn more about how Centene’s health plans partner in communities to help fight hunger during the holidays. https://t.co/gv2JYq2ong #socialresponsibility https://t.co/rvy152vzE6",en,Centene
Fri Dec 13 18:20:52 +0000 2019,"For nearly 10 years, Centene’s Fluvention program has helped decrease the spread of the flu by increasing the number of members that receive a yearly flu shot.  https://t.co/GdtQcJCqHU

#clinicalinitiatives #influenza #fluvaccine https://t.co/TwmtJpElFf",en,Centene
Wed Dec 11 18:24:42 +0000 2019,"Cori, a member of Centene’s Texas health plan, needed help navigating early onset dementia. Rhonda, her Superior HealthPlan Care Manager, stepped in to allow Cori to focus on making and preserving memories for her family. https://t.co/YavM3uKem8 #dementia #Alzheimers https://t.co/wEnSPRD5HR",en,Centene
Tue Dec 10 22:48:21 +0000 2019,"There’s been a lot of discussion around #SocialDeterminantsOfHealth in recent years, but Centene has long recognized their impact on well-being. From tackling pre-diabetes to addressing the opioid crisis, Centene helps eliminate barriers to care. #SDoH https://t.co/TuNNNIf1Wo https://t.co/3UbfurynCS",en,Centene
Fri Dec 06 22:22:49 +0000 2019,"After moving into a nursing home, Vivian’s physical and mental health concerns became overwhelming. @Buckeye_Health, Centene’s Ohio health plan, stepped in to reassess Vivian’s health needs, rebuild her confidence, and return her to the home she loved. https://t.co/GJf21h3rvm https://t.co/LqNOsDj5NV",en,Centene
Wed Dec 04 21:36:25 +0000 2019,Centene is committed to caring for our country’s aging population. Our Fall Prevention program aims to identify members at risk of falling and provides educational resources on fall severity and prevention. https://t.co/kvCldSxVQZ #seniorcare #aging https://t.co/NfbEpeqGpp,en,Centene
Tue Dec 03 21:33:37 +0000 2019,Centene’s commitment to social responsibility means enriching the communities in which we serve. Our employees give back to their local communities through volunteer activities and charitable donations. https://t.co/Ks4Yoa2Ibc #CSR #corporatesocialresponsibility https://t.co/PAvtz5vjlD,en,Centene
Wed Nov 27 20:15:12 +0000 2019,"Support in managing diabetes can take many forms. Centene’s Oregon health plan, @Trilliumchp, hosts a Diabetic Prevention Program to inform, motivate, and keep members on track. Learn more: https://t.co/P3OYiePniF #DiabetesAwarenessMonth https://t.co/0QGJhqCMRu",en,Centene
Mon Nov 25 20:56:45 +0000 2019,"Centene is proud to celebrate the diverse traditions of our Native American employees, members, providers and communities. Learn more about how we provide high-quality healthcare while recognizing the social and cultural needs of our members. https://t.co/BuXwUWT49r https://t.co/6MLHkBJYHH",en,Centene
Wed Nov 20 21:50:48 +0000 2019,Centene is committed to helping our members receive access to care for chronic conditions. Diabetes affects millions of Americans and can cause severe health concerns. Learn more about our multilayered approach to managing diabetes. https://t.co/zjH1s7hXCA #DiabetesAwarenessMonth https://t.co/8OY4owxF8O,en,Centene
Mon Nov 18 17:31:18 +0000 2019,"For more than 30 years, Centene has valued its role as a corporate citizen, committed to making positive contributions in our communities. Learn more about how social responsibility guides our enterprise. https://t.co/Ulk1jVMVol #CorporateResponsibility https://t.co/PyJMWjlhgq",en,Centene
Fri Nov 15 18:01:59 +0000 2019,"Centene is honored to serve nearly three million military families and veterans as members. See how we extend this commitment to our employees through our Veterans and Military Families Employee Inclusion Group, CenVet. https://t.co/UklCtCodS3 #Veterans #EmployeeInclusion https://t.co/CB59AzUafV",en,Centene
Wed Nov 13 21:57:09 +0000 2019,"Julio, father of two, does his best to address the challenges facing his family. His son and daughter have a range of intellectual and behavioral health needs that require extra support. Watch how Superior HealthPlan helped them make big strides last year. https://t.co/ChV5oc24eL https://t.co/2Z8XMHFQUN",en,Centene
Mon Nov 11 16:02:11 +0000 2019,"Centene is committed to helping service members, veterans, reservists, and their families access quality healthcare. Learn more about how the veteran perspective helps Centene employees fulfill our purpose: https://t.co/LyrfKYU2F0 #veteransday #supportourveterans https://t.co/DhpusQfXZM",en,Centene
