created_at,full_text,lang,user_name
Thu Dec 19 22:30:05 +0000 2019,Could financial literacy help your relationship? Yes—and here are three examples showing why and how: https://t.co/XVqbK0mhJh https://t.co/mczB95tj4p,en,Charles Schwab Corp
Thu Dec 19 18:40:24 +0000 2019,"@smartinvestor4 Hello! Additional information about the Schwab Equity Ratings can be found here: https://t.co/wwajrEgD9A For further questions please call 800-435-4000, available 24/7.",en,Charles Schwab Corp
Thu Dec 19 18:10:24 +0000 2019,"@ohheyrick Hi Patrick, we support Apple Pay, Google Pay, and Samsung Pay. Please visit our Digital Wallet page for more info. While we don’t currently offer Garmin Pay, we can keep you updated if that changes down the road. Thanks. Link: https://t.co/8dBuGZX0Zp",en,Charles Schwab Corp
Thu Dec 19 16:36:04 +0000 2019,Creating a plan is the first step in helping you think about your next trade: https://t.co/BOz8VWkIkK https://t.co/9jFgB5oAeo,en,Charles Schwab Corp
Thu Dec 19 15:43:07 +0000 2019,"@robus Thank you, Mark. We appreciate that feedback and would like to discuss it further with you. Please DM us a contact number where you can be reached.",en,Charles Schwab Corp
Thu Dec 19 14:07:21 +0000 2019,"Yes, you can plan a much-needed holiday vacation AND save for retirement. Learn the difference between short, medium and long-term savings goals—and how to prioritize them. Even around the holidays. See https://t.co/dtPK7mVuzf for more. https://t.co/KiO8M04dTP",en,Charles Schwab Corp
Wed Dec 18 22:30:06 +0000 2019,Are new heroes needed for the global economy in 2020? @JeffreyKleintop shares his views: https://t.co/zKl8kqRmzW https://t.co/Tedue41CBw,en,Charles Schwab Corp
Wed Dec 18 21:15:03 +0000 2019,RT @Schwab4RIAs: Advisors increasingly recognize the power of technology to help them put client needs first. We’re investing in our own te…,en,Charles Schwab Corp
Wed Dec 18 20:00:11 +0000 2019,"#SchwabLive starts NOW! Tune in to hear our #market strategists discuss what to watch in 2020, and how investors can prepare for potentially changing conditions. https://t.co/BVI5a1rDOi https://t.co/EJoNvkr5bS",en,Charles Schwab Corp
Wed Dec 18 15:17:25 +0000 2019,"@jordanmcd Hi Jordan, you may also upload a copy (of the front and back) through the Secure Message Center once you are logged in to https://t.co/c4hpHA2k7D. Please call +1-415-667-7870 for any additional questions.",en,Charles Schwab Corp
Wed Dec 18 15:00:41 +0000 2019,Join us TODAY at 3 PM ET for our #SchwabLive 2020 Market Outlook. We’ll discuss this year’s biggest #market movers and what may be on the horizon in 2020: https://t.co/8t4RvupuuT https://t.co/jhMYpsDfTS,en,Charles Schwab Corp
Wed Dec 18 13:33:04 +0000 2019,"Today, Schwab announces Schwab Intelligent Income™ a solution designed to simplify and modernize the way investors pay themselves from their portfolios. This product will be available January 2020. https://t.co/uMNdJOG3bP",en,Charles Schwab Corp
Tue Dec 17 22:38:05 +0000 2019,We were recently recognized as a 2019 Top 100 Places to Work by @dallasnews! https://t.co/lYSdBO8frG #SchwabLife https://t.co/fPvmsVktS8,en,Charles Schwab Corp
