created_at,full_text,lang,user_name
Thu Dec 19 23:42:47 +0000 2019,long-range wide area network (#LoRaWAN) is one of the ways we’re evolving in san joaquin valley. it enables us to modernize our manual workflows which increases production.,en,chevron
Tue Dec 17 14:44:33 +0000 2019,@sunshinelaughin Please send a DM w/ your contact info (email/phone) &amp; station location and we'll pass this along to the appropriate parties.,en,chevron
Sun Dec 15 11:37:00 +0000 2019,@Bravesoulmarz Thanks for your interest in Chevron. You can find job openings on our Careers site at: https://t.co/Uqyvg2IDFI.,en,chevron
Fri Dec 13 19:45:18 +0000 2019,"north pole, alaska 📍 is ‘the city where the spirit of christmas lives year-round.’ let's take a stroll with mayor mike welch through this festive city. https://t.co/HqRTyk4q3L",en,chevron
Fri Dec 13 15:25:00 +0000 2019,@nonguitarist Thanks for bringing this to our attention. Most gas stations are independently owned &amp; operated. They are free to set retail prices. More here: https://t.co/N60Via1GTn,en,chevron
Fri Dec 13 00:57:58 +0000 2019,"look out for chevron soccer academy in the @SITCmovie documentary, now available on @PrimeVideo ⚽ https://t.co/lsOrOGFM3Y",en,chevron
Thu Dec 12 17:26:32 +0000 2019,chevron sanctions anchor project in the deepwater U.S. gulf of mexico: https://t.co/tvM72k0KaH https://t.co/EucgHctPs1,en,chevron
Wed Dec 11 22:36:00 +0000 2019,RT @emeraldVC: We're pleased for @Chevron Technology Ventures and GC Ventures to join our Industrial Innovation Fund! Read More: https://t.…,en,chevron
Wed Dec 11 17:00:01 +0000 2019,"CEO mike wirth shows cost discipline, telling @SquawkCNBC this morning: ""business is good...but good isn't good enough.""

watch the full interview: https://t.co/Qx6u9BzaR5",en,chevron
Wed Dec 11 14:01:34 +0000 2019,"RT @SquawkCNBC: ""We've brought our spending down as commodity markets have reset,"" says @Chevron CEO Michael Wirth. ""We intend to make the…",en,chevron
Tue Dec 10 22:28:48 +0000 2019,"other business partners: we encourage our customers and business partners, including those in a joint venture, partnership, or collaboration, to respect human rights and to adhere to applicable international principles. https://t.co/M3OYn7od4Z",en,chevron
Tue Dec 10 22:28:47 +0000 2019,suppliers: we expect our suppliers and contractors to respect human rights and adhere to applicable international principles. https://t.co/ZtUilIokbf,en,chevron
Tue Dec 10 22:28:45 +0000 2019,communities: we commit to regularly engage communities near our operational and project areas in meaningful conversations. https://t.co/ebHY9P0Wwr,en,chevron
Tue Dec 10 22:28:44 +0000 2019,"security: we protect personnel and assets, and provide a secure environment for business operations. https://t.co/PKzuREpxlW",en,chevron
Tue Dec 10 22:28:42 +0000 2019,"employees: we treat all employees with respect and dignity, and promote diversity in the workplace. https://t.co/5mRZZPrviZ",en,chevron
Tue Dec 10 22:28:40 +0000 2019,THREAD: enabling human progress begins with respecting human rights. This approach is rooted in our values and applies wherever we do business. https://t.co/XwchwYBAMF,en,chevron
Mon Dec 09 19:00:01 +0000 2019,RT @ChevronHouston: our future energy fund invests in breakthrough technologies to reduce emissions and identify low-carbon and efficient v…,en,chevron
Sun Dec 08 13:53:02 +0000 2019,@SKhan66396570 Please submit your proposal here: https://t.co/OyUdtjQVcA. It will be routed to the appropriate parties.,en,chevron
Thu Dec 05 23:47:00 +0000 2019,"for our chief human resources officer rhonda morris, being an effective leader means being vulnerable &amp; fostering a culture that prioritizes truth. 
read about the unique approach she takes in her role in an interview with @AdamBBryant: https://t.co/D6zREH1OHy",en,chevron
Thu Dec 05 20:54:14 +0000 2019,"on #internationalvolunteerday we want to take a moment to say thank you to the generous, kind, and hard-working volunteers we’re lucky to call coworkers every day. https://t.co/9JFOraOlDV",en,chevron
Thu Dec 05 17:40:01 +0000 2019,"@dessragas Thanks for your interest in a job at Chevron. The Chevron Careers Website is at: https://t.co/Uqyvg2IDFI. If your location isn’t listed, then there are no openings there at this time. But do check back as the site is updated regularly.",en,chevron
Wed Dec 04 15:01:03 +0000 2019,"@terriwaree Hi, Terri, thanks for contacting Chevron. Please see this link for available Chevron branded items: https://t.co/i7T3sSYlr5",en,chevron
