created_at,full_text,lang,user_name
Fri Dec 20 01:36:46 +0000 2019,@weshardeniv Thank you for alerting us. Please send a message at https://t.co/f9ORz2lwlF so we can take action and be in touch with you. -Ty,en,Chipotle
Fri Dec 20 01:32:51 +0000 2019,@abbyswizzle_ That's not good. Send us a quick note to https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch with you directly. -Ty,en,Chipotle
Fri Dec 20 01:17:16 +0000 2019,@B_Finton You're not wrong. Please provide some additional info to https://t.co/f9ORz2lwlF so we can be in touch. -Ty,en,Chipotle
Fri Dec 20 01:16:59 +0000 2019,@weshardeniv It shouldn't be. Let us know some details at https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch. -Ty,en,Chipotle
Fri Dec 20 01:13:34 +0000 2019,@MikeLeoo I'm sorry to hear that. Please provide some additional info to https://t.co/f9ORz2lwlF so we can be in touch. -Ty,en,Chipotle
Fri Dec 20 00:32:12 +0000 2019,@pgumas27 Not sure what happened there. Let us know some details at https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch. -Ty,en,Chipotle
Fri Dec 20 00:31:43 +0000 2019,@JoshHatter Yikes. Really sorry about that. Send us a quick note to https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch with you directly. -Ty,en,Chipotle
Fri Dec 20 00:21:54 +0000 2019,@longlivejadee You're welcome ;) -Ty,en,Chipotle
Fri Dec 20 00:21:33 +0000 2019,@TJohnsonhockey Sorry to hear that. Please speak with a manager about the hold up so they can help. -Ty,en,Chipotle
Fri Dec 20 00:20:50 +0000 2019,@BrittanyyBMF 🤤 -Ty,und,Chipotle
Fri Dec 20 00:18:45 +0000 2019,@RommelHawk Send us a quick note to https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch with you directly. -Ty,en,Chipotle
Fri Dec 20 00:16:27 +0000 2019,@celestin @venmo @kim Check your venmo! https://t.co/RfAwwfqWFZ,en,Chipotle
Fri Dec 20 00:15:03 +0000 2019,@adriennemintz @venmo Check your venmo (: https://t.co/mEMB5bPaY5,en,Chipotle
Fri Dec 20 00:14:30 +0000 2019,@VystellaMusic @venmo Check your venmo! https://t.co/4bWcqaUovJ,en,Chipotle
Fri Dec 20 00:13:30 +0000 2019,@_barbarajean1 ❤️️❤️️❤️️,und,Chipotle
Fri Dec 20 00:13:01 +0000 2019,@DailyMedic @venmo Check your venmo! https://t.co/qOD9SxNRuJ,en,Chipotle
Fri Dec 20 00:12:21 +0000 2019,@ttam4383 @venmo Check your venmo! https://t.co/jXvrf8xSeD,en,Chipotle
Fri Dec 20 00:11:40 +0000 2019,@Aaliyah30054487 @venmo Check your venmo! https://t.co/mDNqbvRqg4,en,Chipotle
Fri Dec 20 00:11:08 +0000 2019,@AshThaMaster @venmo @ashley Check your venmo! https://t.co/vebHFGrZhZ,en,Chipotle
Fri Dec 20 00:10:17 +0000 2019,@meshellnailson @venmo Check your venmo (: https://t.co/hbYvEiEh8Q,en,Chipotle
Fri Dec 20 00:09:43 +0000 2019,@milagrosrr10 @venmo @MiliRam18 Check your venmo! https://t.co/J9gaz877jc,en,Chipotle
Fri Dec 20 00:08:25 +0000 2019,@rmburne Check your venmo! https://t.co/8Uq1n927DY,en,Chipotle
Thu Dec 19 23:59:23 +0000 2019,@jacksvirgo Bummer. Send us a quick note to https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch with you directly. -Ty,en,Chipotle
Thu Dec 19 23:59:04 +0000 2019,@Gillian_Marie_ I'm sorry we let you down. Send us a message to https://t.co/hTMIfjQitB a member of our customer care team will be in touch with you to assist. -Ty,en,Chipotle
Thu Dec 19 23:58:45 +0000 2019,@GhostNorth1 Send us a quick note to https://t.co/f9ORz2lwlF and a member of our customer care team will be in touch with you directly. -Ty,en,Chipotle
Thu Dec 19 23:57:50 +0000 2019,"@Wulfemeister That's our standard serving size. Feel free to ask for more, our team should accommodate! -Ty",en,Chipotle
Thu Dec 19 23:56:14 +0000 2019,@AdrianPoitier We’d like to speak to you directly. Please contact us here: https://t.co/f9ORz2lwlF. -Ty,en,Chipotle
