created_at,full_text,lang,user_name
Thu Dec 19 22:04:00 +0000 2019,"@tacojoe_ Thanks so much for your feedback. We’re always listening, and want to hear what you like and what you want to see changed so we can provide the best experience.  We’ll pass on your feedback to our team.",en,Coca-Cola
Thu Dec 19 22:01:30 +0000 2019,"@Duuuhlila_ Coca-Cola Cinnamon is only available until end of year, or while supplies last. Head to https://t.co/BndBm6NtRG to see where you can find some near you.",en,Coca-Cola
Thu Dec 19 21:53:30 +0000 2019,@flyinthegs Cinnamon Coca-Cola comes in all shapes and sizes! Head to https://t.co/BndBm6NtRG to figure out where you can find the festiveness.,en,Coca-Cola
Thu Dec 19 21:51:34 +0000 2019,@NateHartman757 We think it's beary cute. 😉,en,Coca-Cola
Thu Dec 19 21:45:00 +0000 2019,@trisblack16 We try to spice things up every now and then.,en,Coca-Cola
Thu Dec 19 21:35:00 +0000 2019,"@AmandaRogers91 Hi, Amanda! Only 8,000 of the Limited Edition Lighted Star Wars: The Rise Of Skywalker Coca-Cola No Sugar Bottles were made and they are only available in Singapore. We’ll let the team know you’d like to see it available in your area.",en,Coca-Cola
Thu Dec 19 21:31:29 +0000 2019,@Toniboltz1 Hi Toni! We'd be happy to look into this for you. Please send us a DM with your order number and the email address on the order.,en,Coca-Cola
Thu Dec 19 21:01:52 +0000 2019,@TimShelton Coca-Cola Cinnamon is not available in Zero Sugar or Diet. Sorry about that!,en,Coca-Cola
Thu Dec 19 20:59:26 +0000 2019,@Jakob28137340 Quite pawsibly the cutest bear in the 🌎.,en,Coca-Cola
Thu Dec 19 20:58:25 +0000 2019,@Jakob28137340 It's polar bear season!,en,Coca-Cola
Thu Dec 19 20:54:31 +0000 2019,@Corbanao It’s the Thirstiest Time of the Year. Head to https://t.co/OiH0UJusko to find yours.,en,Coca-Cola
Thu Dec 19 20:40:43 +0000 2019,"@lxamyj Coca-Cola has always been and continues to be the perfect complement to the holiday season, representing happiness and togetherness. While Santa is not on our Coca-Cola packages this year, youll still see him pop up in advertising in stores.",en,Coca-Cola
Thu Dec 19 20:40:00 +0000 2019,@Country004 Hi there. Send us a DM with your zip code and we will be happy to take a look in your area.,en,Coca-Cola
Thu Dec 19 20:39:00 +0000 2019,"@nsolfafa3 Hi! We suggest reaching out to your local office. They can be reached at: ccsainfo@coca-cola.com or tel. 0860112526,",en,Coca-Cola
Thu Dec 19 20:37:29 +0000 2019,"@EPICSILVERSTAR Coca-Cola Cinnamon hit store shelves on September 30th. Head to https://t.co/BndBm6NtRG to see where you can find some. But hurry, it's only available while supplies last!",en,Coca-Cola
