created_at,full_text,lang,user_name
Fri Dec 20 01:01:02 +0000 2019,We made takeout from the road easier with a #mobile app—increasing orders by 370%. Let’s talk shop at #NRF2020 to help you speed up #retail transactions. https://t.co/sC7qt36pDR https://t.co/gWnm4Y7Ah4,en,Cognizant
Fri Dec 20 00:05:05 +0000 2019,See why Forrester names us the #RPA Turnaround Specialist! @forrester #automation https://t.co/Phjg5qHD3z https://t.co/7mwH3B5t6a,en,Cognizant
Thu Dec 19 22:00:04 +0000 2019,Our #security report emphasizes the growing need for #AI to relieve complex solutions. Read now: https://t.co/tKG7mzNwff https://t.co/u1rrnxztEV,en,Cognizant
Thu Dec 19 21:00:19 +0000 2019,What’s needed to be successful in #IoT? Muthu Kumaran outlines 5 requirements—via the Future IoT. https://t.co/rWiUJJwQvH https://t.co/3LuKOWvBPD,en,Cognizant
Thu Dec 19 19:00:05 +0000 2019,Replenish the talent pool — see how enterprises are looking to digitally upskill their #education methods. #FutureOfWork https://t.co/U1SlOIJZKx https://t.co/ZAGx86A8UZ,en,Cognizant
Thu Dec 19 17:01:20 +0000 2019,Did you know that we employ 2700+ clinicians who improve people’s lives in #healthcare and #lifesciences using #AI. https://t.co/ne7yXKG2wb https://t.co/MZDafNG0Y5,en,Cognizant
Thu Dec 19 16:00:04 +0000 2019,We use #AR to make the world a stage for immersive experiences — read our report to see how. #cloud https://t.co/0XZBmJchtC https://t.co/rbwY75wJbp,en,Cognizant
Thu Dec 19 15:00:05 +0000 2019,Syncing 10 ERPs saved a #lifesciences org $30M. See how #automation can help you. https://t.co/IGIqrdR9gW https://t.co/5P0TfW3InP,en,Cognizant
Thu Dec 19 14:05:45 +0000 2019,There are 5 capabilities you need to maximize return from your #data analytics—learn what they are now! #AI https://t.co/qVYl5GrzPd https://t.co/qiepBtsjTZ,en,Cognizant
Thu Dec 19 12:00:40 +0000 2019,"We take pride in 100,000 #womenintech at Cognizant! 🎂 #BeCognzant https://t.co/totuIK2GXp",en,Cognizant
Thu Dec 19 03:02:04 +0000 2019,We've supported and delivered a multitude of Conversational #AI projects for clients across every industry. https://t.co/uEyjNbAGPB https://t.co/7sAkiyOlQV,en,Cognizant
Thu Dec 19 01:00:20 +0000 2019,Only 15% of marketers believe their business has great online experiences — read our report with @Econsultancy. #interactive https://t.co/AVZEXFwgDl https://t.co/nbnLe24JMt,en,Cognizant
Thu Dec 19 00:15:05 +0000 2019,Onward and upward — we’ve been recognized as a leader in #Data Modernization by @Microsoft. https://t.co/rAWiZEBUOG https://t.co/3YIc4YAqxI,en,Cognizant
Wed Dec 18 22:05:07 +0000 2019,"Developers, how can you acquire empathy? Start by listening. Read Cognizant Softvision’s guide today. @SOFTVISION_USA #softwareengineering https://t.co/0AhtmqcWwq https://t.co/g9VSjtBZZr",en,Cognizant
Wed Dec 18 20:17:04 +0000 2019,"🚀Do you know?
What new business model will disrupt #healthcare in the digital economy?  

#AI #Cloud #IoT",en,Cognizant
Wed Dec 18 17:00:07 +0000 2019,The #banking industry’s cashing in on $20M in savings using #AI. See how we help. https://t.co/oY8iTEyb2c https://t.co/u5uwkTCEGJ,en,Cognizant
Wed Dec 18 16:02:42 +0000 2019,A company’s longevity can be threatened if it doesn’t change — @neeshahathi from @CharlesSchwab shares #digital insights on #finance in new report. https://t.co/NQONcDWuvv https://t.co/XSNIjZlHNG,en,Cognizant
Wed Dec 18 15:11:04 +0000 2019,"It’s not just about technology with #data modernization, but also mind-shift and paradigm changes — learn more now. #AI https://t.co/biZdI5vlEi https://t.co/n948mCHpdU",en,Cognizant
Wed Dec 18 12:01:02 +0000 2019,"A team that grooves together, stays together! 💃🕺 #BeCognizant https://t.co/X6kzxjhUOq",en,Cognizant
Wed Dec 18 07:00:06 +0000 2019,Create hyper-personalized #digital experiences to unlock entirely new ways to engage customers. #LeadingInDigital https://t.co/RuYVtoKdPg https://t.co/n9SNUtgRNS,en,Cognizant
Wed Dec 18 03:01:01 +0000 2019,Conversational #AI can sense emotions that customers have when engaging with a virtual agent. #CX https://t.co/7jiZZMZaqO https://t.co/0TPUL8LtiC,en,Cognizant
Wed Dec 18 01:15:17 +0000 2019,#AI is a two-part journey: getting ready and applying says Poornima Ramaswamy via @insideBigData. https://t.co/mn7Sw82UmQ https://t.co/gGzTpGEAF6,en,Cognizant
Wed Dec 18 00:41:54 +0000 2019,"RT @Cognizant: 🌏POP QUIZ
According to the @wef, we are entering the ------- ?

#WEF20 #AI #IoT #FutureOfWork",en,Cognizant
Wed Dec 18 00:10:18 +0000 2019,Have you heard? @forrester named us a Leader in their #AI Consultancies Wave. #Innovation https://t.co/IDGdDMvCWC https://t.co/tVQsV4HejM,en,Cognizant
