created_at,full_text,lang,user_name
Thu Dec 19 16:11:04 +0000 2019,"#Comerica12DaysOfTipsmas - 
Give your grandchildren the gift of financial stability with these easy ways to save: https://t.co/XYW3ZGFYYu https://t.co/1h3cTo60Zx",en,Comerica Bank
Thu Dec 19 13:54:16 +0000 2019,"@Joyce_M_Vincent Joyce Vincent, Thank you for your feedback.  We have forwarded a copy of your comments to our Corporate Quality Process Department. If you would like to discuss, you may call the Corporate Quality Process Department at 313.222.3435, M - F 8:00 a.m. - 5:00 p.m. (ET).",en,Comerica Bank
Wed Dec 18 13:53:02 +0000 2019,"#Comerica12DaysOfTipsmas - 
Have these five important financial planning conversations with your partner now so you can plan accordingly for the future. Unwrap the details here: https://t.co/8qmSLpCNEM https://t.co/bryr8fKD6j",en,Comerica Bank
Tue Dec 17 21:22:01 +0000 2019,"#Comerica12DaysOfTipsmas - 
We might not be able to give you seven swans-a-swimming, but with these financing tips your celebration planning will be smooth sailing: https://t.co/DnswWOaoHh https://t.co/w3A41hS0kD",en,Comerica Bank
Tue Dec 17 20:15:00 +0000 2019,"Proud to serve as a sponsor and volunteer during the @Latinopress Holiday Food Box Project, helping to fight hunger in #Detroit. #ComericaCares https://t.co/8h01BiVgwq",en,Comerica Bank
Tue Dec 17 18:56:58 +0000 2019,RT @Comerica_Econ: #Economic Alert: Producers produced and builders built in November https://t.co/doGQponFF3 https://t.co/KLfGyV4C63,en,Comerica Bank
Mon Dec 16 17:38:01 +0000 2019,"#Comerica12DaysOfTipsmas - 
The holiday season is all about giving. That’s why we’re gifting these tips to help you strategically pay down your student loans: https://t.co/odEE06meXK https://t.co/3kgpsmlk5D",en,Comerica Bank
Sat Dec 14 15:05:00 +0000 2019,"2⃣2⃣ students from @PSIR2002 Urban Scholars Program were rewarded with the #GiftofTech this holiday season. Each walked away with a #technology pack equipped with a laptop, accessories and service plan. Learn more: https://t.co/OF0ixWkNg5

#ComericaCares #holidayseason https://t.co/68tw4luujm",en,Comerica Bank
Fri Dec 13 22:59:11 +0000 2019,RT @Comerica_Econ: Our Chief Economist Robert Dye explains why he believes there will be less business uncertainty in 2020. Plus his take o…,en,Comerica Bank
Fri Dec 13 16:50:04 +0000 2019,"#Comerica12DaysOfTipsmas - 
On the fifth day of #Tipsmas Comerica gave to me:
5 financial considerations for moving. https://t.co/IBgNjuPwbj https://t.co/Lo3q7gP5xK",en,Comerica Bank
Thu Dec 12 21:13:02 +0000 2019,"#Comerica12DaysOfTipsmas - 
Diversify your finances to help build the future you want for you and your family. Unwrap the details here: https://t.co/FfVRx7piBL https://t.co/A4PrWoGejf",en,Comerica Bank
Wed Dec 11 22:21:44 +0000 2019,"@OscarEMontes1 For assistance with your inquiry, please call our Customer Contact Center at 1.800.266.3742, or our International number is 001.734.632.5181 M – F 8:00 a.m – 9:00 p.m. and an agent will be happy to help. Thank you for visiting.",en,Comerica Bank
Wed Dec 11 13:59:02 +0000 2019,"#Comerica12DaysOfTipsmas - 
What’s better than three french hens? Fully understanding your options for what you can do with that bonus you just got. https://t.co/BGWyvjK24v https://t.co/F7J5iJbJ7v",en,Comerica Bank
Tue Dec 10 21:03:01 +0000 2019,"#Comerica12DaysOfTipsmas - 
Don’t let your bank add to your holiday stress. Full-service banking will make your life easier! https://t.co/5NwO13Akv5 https://t.co/94fHnBpGi8",en,Comerica Bank
Mon Dec 09 21:20:58 +0000 2019,RT @Comerica_Econ: 2019 brought plenty of growth as well as uncertainty to the U.S. #economy as our Chief Economist Robert Dye points out i…,en,Comerica Bank
Mon Dec 09 16:13:03 +0000 2019,"#Comerica12DaysOfTipsmas - 
On the first day of #Tipsmas Comerica gave to me:
Tools to help save up for major purchases. https://t.co/djN6TIzlFg 

Stay tuned throughout the month for the gift of tips! https://t.co/4sBfn1OblO",en,Comerica Bank
Mon Dec 09 15:36:00 +0000 2019,"Comerica is honored to be recognized by @newsweek as one of America's Most Responsible Companies. This recognition highlights our commitment to helping people, businesses, communities and our planet thrive. #ComericaCares #sustainability https://t.co/RlR8W2UDKd",en,Comerica Bank
Fri Dec 06 20:26:01 +0000 2019,RT @Comerica_Econ: A robust November jobs report! Our Chief Economist gives his take. Plus updates on trade and manufacturing. #economy #jo…,en,Comerica Bank
Fri Dec 06 06:02:01 +0000 2019,#DYK? Economic and financial circumstances only tell half the story of why #homeowners choose to refinance when they do. The other half is written by the big life events that spur these decisions. https://t.co/tcZX3Y8BDm https://t.co/J67rCxW6g0,en,Comerica Bank
Thu Dec 05 21:55:02 +0000 2019,"RT @3BLNews: .@ComericaBank and Goodfellows partner to give 9,000 donated dolls dressed, judged and prepped for delivery as special gifts t…",en,Comerica Bank
Thu Dec 05 18:14:32 +0000 2019,RT @Comerica_Econ: #Economic Alert: Trade gap narrows as imports drop. https://t.co/p82tM1iQwa https://t.co/hy9CHifBVK,en,Comerica Bank
Thu Dec 05 16:39:05 +0000 2019,#TBT Taking it back to our power networking events! How are you using the insights gained from #WBS in your personal and professional life? #LearnConnectGrow #WomenInBusiness https://t.co/KC21rsvETf,en,Comerica Bank
Wed Dec 04 21:15:40 +0000 2019,RT @Comerica_Econ: #Economic Alert: Weaker-than-expected ADP employment tempers expectations for BLS Data https://t.co/z6QjZ2Kplb https://t…,en,Comerica Bank
Wed Dec 04 15:58:09 +0000 2019,@StaceyinDetroit @StaceyinDetroit Thanks for stopping by and look forward to seeing you more in 2020. #RaisingExpectations,en,Comerica Bank
Tue Dec 03 16:50:08 +0000 2019,Happy #GivingTuesday! How are you giving back today? Check out these pictures from some of our favorite volunteering events this year. #ComericaCares https://t.co/gg3LoDvnxP,en,Comerica Bank
Mon Dec 02 16:12:05 +0000 2019,There’s more to buying and selling a #home than knowing when the local economy is hot. Discover other factors you should be looking for here: https://t.co/qzUMDh1mEp #HomeOwnership #FirstTimeHomeBuyer https://t.co/Km5mLT5w1L,en,Comerica Bank
