created_at,full_text,lang,user_name
Thu Dec 19 21:26:45 +0000 2019,@ShayMike14 Hi there. Thanks for reaching out. We are always pleased to hear from our consumers and appreciate you for sharing your feedback with us. We'll be sure to pass them on to our teams!,en,Conagra Brands
Thu Dec 19 20:17:45 +0000 2019,@brooks2315 Hi! We are sorry you were disappointed. Would you send us a DM with ref#04661813. Please include your full name and mailing address (also any ref#that you were given from our customer service) in your message to us. We look forward to hearing from you.,en,Conagra Brands
Thu Dec 19 19:41:07 +0000 2019,"@BradSugdenwx Hey, Brad! We will certainly share this with our team! Thanks for suggesting this! We appreciate your interest!",en,Conagra Brands
Thu Dec 19 15:21:36 +0000 2019,@Eitherfoot We couldn't have said it any better. Thanks for your feedback! Have a great day.,en,Conagra Brands
Thu Dec 19 12:35:40 +0000 2019,We've announced our FY20 Q2 earnings results. Learn more here: https://t.co/SjhbXfoMwd $CAG https://t.co/o3HlZTgZ0t,en,Conagra Brands
Wed Dec 18 19:39:05 +0000 2019,"@tonyzazza Hi Tony. We're sorry for that! We take food quality seriously and would like to assist you! If you still have the can, please send us a DM (Ref# 04663817) with the UPC, Lot code &amp; Best By Date as we would like to share it with our team. We hope to hear from you soon!",en,Conagra Brands
Wed Dec 18 18:20:16 +0000 2019,@DexDaCat Hi there. We’re sorry you had this experience with our Hungry-Man Boneless Fried Chicken. We take food safety &amp; quality very seriously and would like to speak with you about this. Please DM us with Ref# 04663791 along with UPC from the package. Look forward to hear from you!,en,Conagra Brands
Tue Dec 17 21:18:28 +0000 2019,"In the spirit of @DuffMcKagan raising awareness of homelessness and our efforts to give back to communities, together we’re supporting @FoodLifeline and its work to provide food to people throughout Seattle, Washington. https://t.co/lX4g8SzE2i",en,Conagra Brands
Tue Dec 17 15:28:26 +0000 2019,@PodnarSteph Hi there. We're glad that you enjoy our Tapioca Pudding. We appreciate your feedback as we love to hear from our consumer on what changes they would like to see. We'll share it with our team. Thanks!,en,Conagra Brands
Tue Dec 17 13:57:39 +0000 2019,"@Howe_Dark We are so sorry for this!  We're glad you brought it to our attention! Please DM us with the UPC code, best by date/lot code and anything stamped on the bottom of the cup with ref# 04661946 to share with our team! We would like to make this right with you!",en,Conagra Brands
Tue Dec 17 03:55:15 +0000 2019,@Creole_Bella33 Hey Isabella - Thanks for the suggestion!,en,Conagra Brands
Mon Dec 16 14:21:25 +0000 2019,@Gunslinger16 Hi Matt. We're sorry! We take food quality seriously and would like to assist you. Please DM us with ref# 04656635. If you still have the package – please include the UPC/Lot Code/best by date. Thank you for bringing this to our attention! Look forward to hear from you.,en,Conagra Brands
Sun Dec 15 22:28:14 +0000 2019,"@AnneDASHMarie You're very welcome! Thanks for sending all your info! We're mailing you some vouchers, they should arrive in 10-14 business days!",en,Conagra Brands
Sun Dec 15 21:23:13 +0000 2019,"@CERAKADDDXXX22 Hi. Thanks for reaching out. It looks like a pot pie, but we want to be sure. Reply back with the UPC or full name of the product.",en,Conagra Brands
Sat Dec 14 23:02:55 +0000 2019,"@underwearguy269 Hi Daniel, We understand. Dm us with ref#04646406 and we will be able to further assist you. We look forward to hearing from you.",en,Conagra Brands
Thu Dec 12 20:20:46 +0000 2019,"@KSmooty12 Awww thanks so much, Drip! Awesome compliment!",en,Conagra Brands
Thu Dec 12 20:02:37 +0000 2019,"@aslynofnarnia That's our little secret, azzy 😉 We're glad you like them!",en,Conagra Brands
Thu Dec 12 18:03:05 +0000 2019,@cwarren2006 Sounds delicious to us! We will definitely pass it along to our Crunch 'n Munch Team. That's a yummy suggestion!,en,Conagra Brands
Wed Dec 11 22:56:28 +0000 2019,"Thank you to our 70+ team members who captured the spirit of the season by cooking 1,500+ meals at six greater Omaha-area shelters, helping to impact food insecurity. To support our Shine the Light on Hunger campaign, read more here: https://t.co/470JUZQ9K1 https://t.co/XdLXHmjIjy",en,Conagra Brands
Wed Dec 11 19:33:15 +0000 2019,"@underwearguy269 We're glad you reached out to us, Daniel. We would like to look into this experience with you. Send us a DM w/ ref#04646406, please include the UPC, best by, and Lot code so we can share that with our quality team.",en,Conagra Brands
Wed Dec 11 18:23:37 +0000 2019,@BabyYodaOG Hi Will-Thank you so much for the heartfelt appreciation. We're so grateful that you choose Banquet Frozen Dinners as some of your go-to meals in a pinch. We would really love to gather more info from you. Please send us a DM &amp; reference#04650693. We hope to hear from you soon!,en,Conagra Brands
Wed Dec 11 15:29:22 +0000 2019,@AnneDASHMarie Hi there. We've responded to your DM. Please check your inbox. Thanks!,en,Conagra Brands
Tue Dec 10 22:00:25 +0000 2019,@StPaulDrew Hi there. We appreciate you so much for your feedback as we love to hear from our consumers. We'll pass on your comments to our team for review. Thanks!,en,Conagra Brands
Tue Dec 10 16:07:11 +0000 2019,@Ladymga We're so glad you like it!,en,Conagra Brands
Tue Dec 10 14:36:31 +0000 2019,"@ambroziak_r We're sorry to hear this, please have your friend contact us!",en,Conagra Brands
Mon Dec 09 23:11:40 +0000 2019,@katthegeekess Thanks so much for reaching out to us. This is not what one should expect when preparing our meals.  We would like to gather some information from the package. Send us a DM at your earliest convenience with the UPC and best buy date from the packaging and a contact phone number?,en,Conagra Brands
Mon Dec 09 19:24:07 +0000 2019,@cassiecatapang Sounds like a great idea! We hope you are able to enjoy a Kid Cuisine Mac &amp; Cheese meal soon!,en,Conagra Brands
Mon Dec 09 18:30:30 +0000 2019,@maralison84 Now that's a great gift idea! A 50ct size of our Swiss Miss Dark Chocolate Hot Cocoa would be a wonderful gift. We will share your suggestion with our Teams. Thanks for sharing!,en,Conagra Brands
Mon Dec 09 13:38:38 +0000 2019,"@AnneDASHMarie We're very sorry for this! We do take quality seriously and would to get some info from the cans to share with our team!  Please DM us with ref# 04646326, UPC code, best by date &amp; lot code stamped on the bottom of the can. We would like to make this up to you!",en,Conagra Brands
Sun Dec 08 22:37:15 +0000 2019,@roseharley09 Thanks for pointing this out! We will share this with our quality team! We appreciate your interest!,en,Conagra Brands
Sun Dec 08 22:35:29 +0000 2019,"@heavenchai We are truly disturbed to hear this review of our products. We would love to hear more, and discuss your observations! Send us a DM at your earliest convenience using reference 04646163. We look forward to chatting with you.",en,Conagra Brands
Sat Dec 07 15:35:51 +0000 2019,@RCity2019 Hi. We'd like to hear more. Send us a DM at your earliest convenience using reference 04645226. Any packaging you have will certainly help.,en,Conagra Brands
Sat Dec 07 14:09:17 +0000 2019,@theebeetana We will be happy to pass your comments along to our team! Thanks for being such a loyal fan of Crunch N Munch!,en,Conagra Brands
