created_at,full_text,lang,user_name
Thu Dec 19 19:36:47 +0000 2019,@BenVereen spoke at the Care for the Homeless event yesterday evening honoring Homeless Person's Memorial Day. https://t.co/FpMhAyCt0U,en,The Cooper Company
Wed Dec 18 18:06:53 +0000 2019,"@immagreek will be joining the star-studded 54 Celebrates Mel Brooks at @54Below on January 13, 2020! Get your tickets to the one-night only concert event today!
.
.
.
#theater #musicals #melbrooks #54below 
.
.
.
https://t.co/Fg1TBWhJd2",en,The Cooper Company
Mon Dec 16 20:18:23 +0000 2019,"""The show has a killer ensemble of singers and dancers who will blow your mind with some fantastic choreography from @LorinLatarro ."" writes Jay Irwin of @BroadwayWorld .
.
https://t.co/mjkr3dqAHB",en,The Cooper Company
Mon Dec 16 17:15:03 +0000 2019,"Make sure to get to the @MetOpera and see @nycbstar2b this coming season!
.
.
https://t.co/FXKpDC86hH
.
.
#star #wow #amazing #dancer #dancing #ballerina #classical #music #singers #chorus #choreography #star",en,The Cooper Company
Fri Dec 13 15:29:55 +0000 2019,"Wishing an incredible opening to @LorinLatarro and the company of @DoubtfireBway at Seattle's @5thAveTheatre!  We wish we were there!  Break legs, dearies!
.
.
.
#anotheropening #anothershow #wow #excited #iconic
#amazing #starpower #film #wonderful #family #inspiring #funny https://t.co/b7sKdu5Gnu",en,The Cooper Company
Thu Dec 12 23:06:55 +0000 2019,"It's happening tomorrow!  @JoshBergasse presents his new musical, 'A Crossing', with a special presentation in conjunction with @BarringtonStage !
.
.
https://t.co/zc3qS73AfJ
.
.
#breaklegs #client #newwork #musical #culture #wow #inspiring #thoughtprovoking #magnificent",en,The Cooper Company
Wed Dec 11 21:24:55 +0000 2019,"@martinezmau will star in Unmasked, the Andrew Lloyd Webber revue, at the @Paper_Mill next spring!

#casting #congrats #unmasked #andrewlloydwebber #papermillplayhouse #musical #musicalrevue #cats #phantom #phantomoftheopera #joseph #technicolordreamcoat

https://t.co/PP1WuF1U4h",en,The Cooper Company
Wed Dec 11 16:33:04 +0000 2019,"@nycbstar2b was celebrated this past week when she was honored at the @Dance_Magazine award!  Check out this article highlighting her accomplishment!
.
.
https://t.co/SBY8ajPZoX
.
.
#star #amazing #honor #honored #wow",en,The Cooper Company
Tue Dec 10 17:23:46 +0000 2019,"Get your tickets London! @cheesmansean the choreographer and director Scott Schwartz have started rehearsals for @PrinceOfEgyptUK!
.
.
.
#excited #getready #wow #congrats #rehearsals #performance #proud #sing #act #dance #musical https://t.co/KCVx4CjADI",en,The Cooper Company
Tue Dec 10 17:03:44 +0000 2019,"So proud of @nycbstar2b on being honored with the @Dance_Magazine award last night!  Her work continues to inspire all!
.
.
.
#congrats #wow #ballerina #ballet #dancer #dance #award #magnificent #graceful #lightasair https://t.co/anKf62BNJJ",en,The Cooper Company
Tue Dec 10 16:50:14 +0000 2019,"Always looking dapper is @BenVereen!  We were so excited to see him at the @KCHonors!  Saw many familiar faces like Mr. Kevin Kline!
.
.
.
#power #icons #stars #actor #entertainer #inspiring
#renowned #performers https://t.co/9COkYDSp8E",en,The Cooper Company
Sat Dec 07 02:17:24 +0000 2019,RT @martinezmau: “How They Met Themselves” a film by Jesús Alarcón. 2020 https://t.co/5s8cC8uti9,es,The Cooper Company
Fri Dec 06 16:12:37 +0000 2019,"Make sure to check out these awesome articles celebrating @nycbstar2b !
.
.
https://t.co/yu0TUQY6kU
..
..
https://t.co/xO4kPLPRpC
.
.
#amazing #dancing #dancer #principal #wow",en,The Cooper Company
