created_at,full_text,lang,user_name
Thu Dec 19 19:30:01 +0000 2019,"In 1975, Dr. James Franklin Hyde published his own version of the #PeriodicTable. His “curled ribbon” puts silicon at the center of the table, underscoring its vital role as a building block &amp; reflecting the element’s importance. Meet Dr. Hyde: https://t.co/EL0txqAtxX https://t.co/mbNDmy6kDU",en,Corning Incorporated
Thu Dec 19 13:30:24 +0000 2019,@CodyShepard641 Hi! Thank you for your inquiry. We would suggest sending an email to cofic@corning.com with your question about the plan for Thunderbolt Optical Cables. They should be able to assist.,en,Corning Incorporated
Thu Dec 19 11:41:57 +0000 2019,"You know how much we love glass, and that’s in part because it’s a great material! Learn more about how we use glass as a solution to a vast array of challenges: https://t.co/meaZXf0jAr https://t.co/yl8gvyMhiY",en,Corning Incorporated
Tue Dec 17 17:04:51 +0000 2019,"@hulcjee Hi Ellen. Corning Incorporated sold the Corning Consumer Products Company, including Corningware, Corelle, and PYREX consumer products, to World Kitchen in 1998. We no longer sell the brand as consumer kitchenware, but PYREX is still a major glass laboratory brand for our company",en,Corning Incorporated
Mon Dec 16 15:23:55 +0000 2019,"@JaredMcGrath Hi Jared. Corning Incorporated sold the Corning Consumer Products Company, including Corningware, Corelle, and PYREX consumer products, to World Kitchen in 1998. We no longer sell the brand as consumer kitchenware, but PYREX is still a major glass laboratory brand for our company",en,Corning Incorporated
Mon Dec 16 15:22:56 +0000 2019,"@mditt1129 Hi Mike. Corning Incorporated sold the Corning Consumer Products Company, including Corningware, Corelle, and PYREX consumer products, to World Kitchen in 1998. We no longer sell the brand as consumer kitchenware, but PYREX is still a major glass laboratory brand for our company.",en,Corning Incorporated
Fri Dec 13 21:30:01 +0000 2019,Members of Corning’s Global Energy Management program are working with students from a local FIRST LEGO® League chapter to educate them on ways to make their school more #energyefficient. Learn more about the students’ “lunar panel” invention: https://t.co/NG5FjilZvE https://t.co/vLtNgg8Utc,en,Corning Incorporated
Fri Dec 13 19:30:00 +0000 2019,Corning’s Global Energy Management program is teaming up with the next generation of innovators to brainstorm ways to make our community more environmentally friendly! Learn more about Corning’s FIRST LEGO® League and its efforts to be more #sustainable: https://t.co/CjFmI0jXOI https://t.co/wwZKbiVURN,en,Corning Incorporated
Thu Dec 12 20:16:26 +0000 2019,RT @TreasuryandRisk: Congratulations to @Corning for winning the Gold Alexander Hamilton Award in Financial Risk Management! https://t.co/y…,en,Corning Incorporated
Thu Dec 12 18:16:29 +0000 2019,"RT @BarclaysIB: Tony Tripeny, Chief Financial Officer at @Corning, discusses the industry leadership and financial strength driving his com…",en,Corning Incorporated
