created_at,full_text,lang,user_name
Wed Dec 18 20:00:34 +0000 2019,Home is where your traditions begin and memories are made. Happy Holidays! https://t.co/dD7zLTcytu,en,D.R. Horton
Tue Dec 17 20:00:50 +0000 2019,"With an open floorplan, the design options are endless. What are your thoughts on this living space? https://t.co/1KN8MIBW06 https://t.co/aLr9y9I4Sc",en,D.R. Horton
Mon Dec 16 20:01:32 +0000 2019,There's nothing quite like being home for the holidays ✨💙 https://t.co/pc1QIEt5H7,en,D.R. Horton
Sun Dec 15 20:00:31 +0000 2019,"D.R. Horton has new homes ready for you. Fill out this quick form to find out what we have in your area, and get in touch with a new homes specialist today: https://t.co/8OBArw0UNp https://t.co/CpcCcm9wBb",en,D.R. Horton
Sat Dec 14 20:00:13 +0000 2019,A brand new home doesn't have to be something you wait months for 🏡 Get in touch with a new home specialist today! https://t.co/bgRc89QEtW https://t.co/vANTEzPeaX,en,D.R. Horton
Fri Dec 13 22:00:41 +0000 2019,"With spectacular views of the Colorado Front Range and convenient access to the shopping and restaurants of downtown Castle Rock, Ravenwood at Terrain is the quintessential Colorado community. Find your new home: https://t.co/jXVF7dWHn6 https://t.co/ivTNXqxQWa",en,D.R. Horton
Fri Dec 13 19:43:13 +0000 2019,"@rnjhadley Hi Rebekah! So we can better help you, please send us your name, address, telephone to CorporateCustomerCare@drhorton.com. AA",en,D.R. Horton
Wed Dec 11 20:00:13 +0000 2019,A brand new home doesn’t have to be something you wait months for. D.R. Horton has new homes ready for move-in. Get in touch with a new home specialist today! https://t.co/5v8fcRzaw7 https://t.co/H8BGXA6QWM,en,D.R. Horton
Tue Dec 10 20:00:14 +0000 2019,Your new home is waiting  🏡 Get in touch with a new home specialist today to find out what move-in ready homes are available in your area: https://t.co/L6eBlEd9f2 https://t.co/uwCT5mnBEV,en,D.R. Horton
Mon Dec 09 20:00:24 +0000 2019,"Looking to move into a new home, quicker? Move-In Ready homes are completed or near completion, all with the quality construction, integrity and the value you can expect from America’s Builder. 

Learn more: https://t.co/dHcWNKOuT2 https://t.co/nAXqhFCpML",en,D.R. Horton
Sun Dec 08 20:00:34 +0000 2019,"At Falls at West Meadows, you'll discover a community set against a dramatic mountain landscape just away minutes from magnificent nature trails and parks! https://t.co/hWafWZTquL https://t.co/BeUpLy7dUq",en,D.R. Horton
Sat Dec 07 20:00:39 +0000 2019,A brand new home doesn't have to be something you wait months for. Get in touch with a new home specialist today: https://t.co/A52ZxPgq52 https://t.co/aJZJoyp96d,en,D.R. Horton
Fri Dec 06 22:13:12 +0000 2019,"Introducing Retreat at Sierra Estates, a community of ranch-style homes in Fairburn, GA. With a clubhouse boasting a patio and firepit, a swimming pool, and a bocce ball court, this is the perfect place for active adults to call home! Find your new home: https://t.co/4bxITmrJPS https://t.co/nQ5evwyMpu",en,D.R. Horton
