created_at,full_text,lang,user_name
Thu Dec 19 19:01:39 +0000 2019,"When snow and ice hits the Mitten, it's important to take extra precautions with natural gas meters, appliances and equipment. Protect your family, home, business and DTE crews this winter by following our meter safety tips: https://t.co/UwIK7TMoE2",en,DTE Energy
Thu Dec 19 17:35:12 +0000 2019,Keep your home warm and extend the life of your heating equipment this winter. Here are 7 furnace efficiency tips to help you save money and energy this season. https://t.co/di8rGoVwQh,en,DTE Energy
Wed Dec 18 16:01:46 +0000 2019,"Most of #Michigan’s water mains, sewers, gas lines and infrastructure date back to the Edison era. Learn about the Michigan Infrastructure Council's plans to modernize these assets which could lead to lower costs and fewer disruptions for you: https://t.co/wYZDdyBmDU",en,DTE Energy
Tue Dec 17 21:01:20 +0000 2019,"We offer a number of tips on how to reduce your energy bill! 

One way? Increasing your kitchen appliances' energy efficiency. Read on for helpful, money-saving hints: https://t.co/3ETp4E68oC",en,DTE Energy
Tue Dec 17 18:26:01 +0000 2019,Hello @l_shooks! We are very sorry for the inconvenience and would also like to help! Please use the following link to send us a direct message for further assistance. Thank you! https://t.co/NZuOtMibry,en,DTE Energy
Tue Dec 17 17:35:11 +0000 2019,"Take a look at our tools, tips and rebates to help you achieve maximum savings in the new year! https://t.co/RSRPUOAGzg",en,DTE Energy
Tue Dec 17 16:12:16 +0000 2019,Hello @frigid_cookie! Please use the following link to send us a direct message for further assistance.   https://t.co/NZuOtMibry,en,DTE Energy
Tue Dec 17 14:01:45 +0000 2019,We're stomping out our carbon footprint one step at a time. Join us on our net zero carbon emissions journey: https://t.co/pj0ftcpRHh https://t.co/3wdjsWms4m,en,DTE Energy
Mon Dec 16 18:35:09 +0000 2019,"70% of the time our customers spend without power is caused by trees falling on our lines. In our efforts to carry out necessary trimming, we ask you keep these three tips in mind: https://t.co/H6XMmMpA7N https://t.co/Rye5bsrEzl",en,DTE Energy
Mon Dec 16 16:13:57 +0000 2019,"Hello @SlickRicc___! Please use the following link to send us a direct message. There, our Digital Experience Team can further assist you with any questions or concerns that you may have. https://t.co/NZuOtMibry",en,DTE Energy
Mon Dec 16 14:01:05 +0000 2019,Are you attending the #AmericanFactory National Tour screening event tonight? Let us know your hope for the future of work in our community. Post on your social media channels using the hashtag #AmericanFactory to join the conversation! #sponsor https://t.co/hj5lEN58NH,en,DTE Energy
Sun Dec 15 23:00:45 +0000 2019,"Fresh Baked Cookies + a Natural Gas Oven = ❤️

Follow the link for our sugar cookie recipe that bakes up perfectly for decorating: https://t.co/y2wZ8aYOxP",en,DTE Energy
Sun Dec 15 15:01:39 +0000 2019,"Safety is our top priority. That’s why this year, DTE conducted more than 300,000 natural gas meter safety inspections to ensure homes and businesses are safe places to work and live: https://t.co/c9Dc1Oub4U https://t.co/AuzH60cjqJ",en,DTE Energy
Sat Dec 14 20:37:12 +0000 2019,@estellwie Hello. I am sorry to hear about your experience. I will definitely forward this information to  the appropriate department for further investigation. Thank you for your feedback.,en,DTE Energy
Sat Dec 14 18:01:25 +0000 2019,"Say ""watt?!"" You can save upwards $80 in electricity costs over your lifetime by using @ENERGYSTAR-certified light bulbs! 

Get more lighting tips here: https://t.co/HApHjt6Ler https://t.co/aNKgMssVf2",en,DTE Energy
Sat Dec 14 16:51:09 +0000 2019,"We're at the @FTCTeams Michigan Championship in Warren today. Such great teamwork, coopertition, and robots on the field!  Many thanks to our volunteers at the event. #DTEempowersFIRST #FIRSTinspires #FIRSTTechChallenge https://t.co/EWyogxJ7tU",en,DTE Energy
Sat Dec 14 16:30:34 +0000 2019,"We’re here to provide safe, reliable and affordable energy for all. Learn about the community investments DTE Energy is making to keep that promise: https://t.co/krzg3LoSpX https://t.co/I6nHZ8mXnl",en,DTE Energy
Sat Dec 14 14:00:47 +0000 2019,The DTE Foundation's commitment to communities across Michigan is underlined by its support of our impactful organizations like @UnitedWay: https://t.co/HqhiEhytBW https://t.co/cEqGY08wwf,en,DTE Energy
Fri Dec 13 20:47:46 +0000 2019,Let’s build a better future of work together. #AmericanFactory #sponsor https://t.co/hj5lEN58NH,en,DTE Energy
Fri Dec 13 20:47:46 +0000 2019,"The DTE Foundation is a proud #sponsor of the upcoming free screening event at Vivio’s Detroit for #AmericanFactory, a new documentary from @Participant. RSVP to join us on Monday, 12/16 https://t.co/VY5Su9W4M1",en,DTE Energy
Fri Dec 13 18:00:25 +0000 2019,"Real-time #outage information, including an interactive, area #outagemap, is now available at https://t.co/h9dywh8OZg.",en,DTE Energy
Fri Dec 13 16:02:37 +0000 2019,"For 150 years, we’ve powered 2.1 million people in Southeast Michigan. But the future of electricity is changing for all of us - learn how: https://t.co/TNlaRiJwTL https://t.co/QW4y6G6LxL",en,DTE Energy
Thu Dec 12 20:30:35 +0000 2019,"The DTE Insight #app helps you understand, manage and control the energy that powers both your home. Learn more about this valuable, cost-saving resource: https://t.co/PBbbw3IzPO https://t.co/px0RIJ0Hrn",en,DTE Energy
Thu Dec 12 19:15:12 +0000 2019,Good luck to our DTE-supported @FTCTeams competing at the Michigan State Championships in Warren and Battle Creek this weekend. We can't wait to see what your robots can do! #FIRSTinspires #DTEempowersFIRST #FTC https://t.co/dSh3KGFOQY,en,DTE Energy
Thu Dec 12 17:35:13 +0000 2019,"Keep the cold winter drafts out of your home this winter, and take a look at these tips and benefits for home weatherization. https://t.co/wvTHHkrcIO https://t.co/nEFos1nHRh",en,DTE Energy
Thu Dec 12 14:00:28 +0000 2019,Learn how DTE environmental engineer Kristen works to create habitats for Michigan wildlife to increase and sustain our state's biodiversity. https://t.co/frp7vntL3v,en,DTE Energy
Wed Dec 11 23:01:45 +0000 2019,"Our Shutoff Protection Plan can help customers having difficulty in managing their energy bill avoid the cost and inconvenience of a service shutoff. 

Find out how: https://t.co/4BcgP7Oes2",en,DTE Energy
Tue Dec 10 23:53:50 +0000 2019,"Military veterans offer perspectives and insights that enhance our ability to be creative, solve problems and make us better.  We’re proud to be a military-friendly employer. https://t.co/kOaNRGoRze",en,DTE Energy
Tue Dec 10 20:01:51 +0000 2019,#DYK we're replacing older electric and #naturalgas meters across our service territory? Learn more about the benefits of our new smart meters: https://t.co/RDUP6oq77p https://t.co/69myeDdJrM,en,DTE Energy
Tue Dec 10 15:35:11 +0000 2019,These tips can help help you maintain and extend the life of your heating system and save energy! https://t.co/zcLq7r2Dk8,en,DTE Energy
Mon Dec 09 20:00:58 +0000 2019,"Tripling renewables, lowering carbon emissions by 50 percent in 10 years. And creating over 4000 jobs: https://t.co/x9SigFGPJW https://t.co/JDHSRSEqBL",en,DTE Energy
Mon Dec 09 18:30:17 +0000 2019,"As temperatures fall across Michigan, the risk for carbon monoxide (CO) poisoning increases. Protect yourself for the toxic gas, also known as the ""silent killer."" https://t.co/FKqF0XbnS0",en,DTE Energy
Mon Dec 09 14:30:43 +0000 2019,"Qualified DTE Energy customers are automatically enrolled in Reduced Billing Frequency if their energy use is less than $30. 

Learn more about this program: https://t.co/lx6C8fLUGA https://t.co/ZRTCiZaETs",en,DTE Energy
Sun Dec 08 15:35:07 +0000 2019,Winter weather means that we are all spending more time indoors. Take a look at our blog to see where you can cut back on energy usage without compromising your comfort. https://t.co/iMkzlfqTDb https://t.co/Yvu3BSvvg7,en,DTE Energy
