created_at,full_text,lang,user_name
Wed Dec 18 23:12:28 +0000 2019,We hope your holiday season is filled with joy! #HappyHolidays https://t.co/yY3PPg0hWc,en,DaVita
Wed Dec 18 19:40:51 +0000 2019,"RT @DaVitaDoc: Today, @DaVita announced @Dr_Giullian_MD as its new chief medical officer, beginning Jan. 1, 2020. Dr. Giullian is a dynamic…",en,DaVita
Wed Dec 18 19:00:47 +0000 2019,Planning meals for the upcoming holidays? Now is the time to be mindful of what you are putting on your plate. Plan ahead with these tips to keep your kidney diet on track through the fall and winter months. https://t.co/I2pyMVlQud,en,DaVita
Wed Dec 18 17:20:46 +0000 2019,"As the new Chief Medical Officer for DaVita @Dr_Giullian_MD will continue to build on the clinical foundation DaVita's team of physician leaders has built for 20 years. Read Javier Rodriguez, CEO for DaVita Inc., and Dr. Giullian’s thoughts here: https://t.co/LfWZWCr8o4 https://t.co/RHHUY128sw",en,DaVita
Wed Dec 18 00:00:40 +0000 2019,Don’t spend this holiday season in the hospital. Talk to your #nurse about rescheduling your #dialysis treatments the last week of December through New Year’s Day. #travel https://t.co/7HtnsRPQVt,en,DaVita
Tue Dec 17 21:00:58 +0000 2019,"Thank you, @RepJahanaHayes for visiting DaVita Housatonic Dialysis center to learn about the importance of #integratedcare for #kidney patients. We appreciate your time and commitment to working with the kidney care community to improve health care. #DaVitaVoice https://t.co/n3asaF2AFP",en,DaVita
Tue Dec 17 18:01:46 +0000 2019,"This #holiday season, make almost any dish kidney-friendly by using the 25% rule for ingredients such as salt, nuts and chocolate. Learn more about the 25% rule and have a kidney-friendly holiday! https://t.co/IWjuyA6nr1 https://t.co/v9P0jJ216L",en,DaVita
Tue Dec 17 17:18:47 +0000 2019,"@a2smom Hello, Kimberly. We would appreciate the opportunity to gain more information about this feedback. Could you please send us a direct message and provide us with a phone number where you may be reached? Thank you! ^RM",en,DaVita
Mon Dec 16 22:51:44 +0000 2019,RT @RepJahanaHayes: Happy to spend time at DaVita Dialysis meeting with patients and caregivers. Too many CT residents are living with ESRD…,en,DaVita
Mon Dec 16 19:11:58 +0000 2019,"@HeatherKochis Hello, Heather. We would appreciate the opportunity to gain more information about this feedback. Could you please send us a direct message with a phone number where you may be reached? Thank you! ^RM",en,DaVita
Mon Dec 16 17:01:20 +0000 2019,Adopting sustainable practices has many great advantages! Check out the latest DaVita Stories blog to learn more about how advantages extend further than protecting our environment: https://t.co/1Gz7IH3y9X,en,DaVita
Mon Dec 16 15:02:21 +0000 2019,"With peritoneal dialysis (PD), patients can trade in hours spent traveling to and from dialyzing at the dialysis center for more time with family, friends and pets. https://t.co/Xvd2fDxJvH https://t.co/TS8p98XQkE",en,DaVita
Fri Dec 13 15:46:40 +0000 2019,@_bossleon Hello. We would appreciate the opportunity to gain more information about this feedback. Could you please send us a private message with a phone number where you may be reached? Thank you. ^RM,en,DaVita
Thu Dec 12 19:01:35 +0000 2019,Manuel “Manny” Castro went from never considering cycling to casually training to riding over 500 miles around the country to spread kidney disease awareness. Read more about Castro's journey and what motivated him to ride in @TourDaVita. https://t.co/UEaJc5J0Kc,en,DaVita
Thu Dec 12 00:00:51 +0000 2019,"Villages Ghana are a long way in west Africa, but tied closely to Colorado. Denver based, @NewmontGoldcorp joined forces with DaVita’s Bridge of Life to provide medical care such as blood and vital signs check ups to the communities. https://t.co/AWbtSKlVYM",en,DaVita
Wed Dec 11 19:00:51 +0000 2019,Denver employers who partner with @RideRTD can offer discounted transportation through the EcoPass program. DaVita is a major participant in the EcoPass program. More than 80% of our Denver teammates use alternative transportation to get to the office. https://t.co/DvV2ONpHhq,en,DaVita
Wed Dec 11 18:01:46 +0000 2019,"There’s an array of foods tempting us to overindulge. Thanksgiving, Hanukkah, Kwanzaa, Christmas and New Year’s Day can revolve around traditions including food. DaVita dietitians have come up with a list of holiday eating tips great for renal patients. https://t.co/Xvs71XDY2u",en,DaVita
Wed Dec 11 00:00:37 +0000 2019,"DaVita teammates all came together to demonstrate the DaVita Core Values of Team, Fulfillment and Fun when volunteering with the YWCA of Yonker's Thanksgiving Food Drive. Read more about what inspired Sonja Rivera to get her and her teammates involved. https://t.co/uwaLCTzQpl",en,DaVita
Tue Dec 10 23:01:01 +0000 2019,"This #holiday season, make almost any dish kidney-friendly by using the 25% rule for ingredients such as salt, nuts and chocolate. Learn more about the 25% rule and have a kidney-friendly holiday! https://t.co/GXgND5BGzL https://t.co/lqWbVPEYpM",en,DaVita
Tue Dec 10 17:25:24 +0000 2019,DaVita is matching teammate gifts made to @apreciouschild through the Colorado Gives Day website. Joanna Wise and Susan Williams from A Precious Child extend their gratitude to everyone who helps the organization meet its fundraising goal today. #DaVitaWay https://t.co/MU8UIdnoQT,en,DaVita
Tue Dec 10 17:01:51 +0000 2019,Need a holiday gift to give your loved one with chronic kidney disease? Consider salt-free herb and spice seasoning blends. Look through these tasty spice combinations that leave out have the salt or other high-sodium ingredients and find a gift today! https://t.co/BAeia7JXkL https://t.co/zlcTWSXC7Y,en,DaVita
Tue Dec 10 15:01:38 +0000 2019,"The day before returning to Texas, a message was relayed to Melissa Flores that her transplant coordinator found a rare perfect match. With special help from the cruise staff, Flores got to the hospital just in time. Read more about her story here: https://t.co/q6QB2y9ioC",en,DaVita
Mon Dec 09 23:14:16 +0000 2019,@modrnhealthcr Read more about @modrnhealthcr's 100 Most Influential People in #HealthCare here: https://t.co/r1zsMm4ICC,en,DaVita
Mon Dec 09 21:00:48 +0000 2019,"@modrnhealthcr ranked DaVita CEO Javier Rodriguez among the most influential people in U.S. health care. This recognition is a reflection of our teammates' commitment to patients, as well as DaVita's contributions to the global health care community. #DaVitaWay https://t.co/39FBsRBbH8",en,DaVita
Mon Dec 09 19:28:15 +0000 2019,"@SC2MD Hello, Eric. We would appreciate the opportunity to learn more about this feedback. Could you please send us a direct message with the address of the center being referenced and a phone number where you may be reached. Thank you. ^RM",en,DaVita
Mon Dec 09 17:01:23 +0000 2019,"Around the #holidayseason, many people take time to reconnect with friends and family, and reflect on what they are grateful for. Read more about the ways DaVita encourages teammates to show #gratitude and let us know what you're grateful for! https://t.co/piC7NM3COB https://t.co/4bVNr1Slsy",en,DaVita
Mon Dec 09 15:44:20 +0000 2019,"RT @DaVitaDoc: Veteran #dialysis patient, Carl Stewart, hopes to be an example of living life fearlessly. He thanks his @DaVita care team f…",en,DaVita
Mon Dec 09 15:44:08 +0000 2019,"RT @DaVitaDoc: In order to change the norm from in-center to #homedialysis, broad-scale changes are needed in realigning payment models; en…",en,DaVita
Mon Dec 09 15:43:58 +0000 2019,"RT @DaVitaDoc: At #KidneyWk 2019, @MSchreiber_MD presented on how home remote monitoring can help improve outcomes for high-risk patients o…",en,DaVita
Mon Dec 09 15:02:18 +0000 2019,DaVita's Chief Wisdom Officer @DVUDave joins Grace Berman and Doug Miller as they reflect on the importance of establishing your personal brand in leadership. Listen as they help identify words to describe how to represent yourselves as leaders and more! https://t.co/NYFmDYb99A,en,DaVita
Fri Dec 06 21:27:27 +0000 2019,"DaVita was recognized by @cowomenschamber as one of the #ChampionsofChange in the category of #Innovation. We're honored to receive this recognition, thanks to our teammates who continue to create innovative practices and opportunities for advancing women. #DaVitaWay https://t.co/VLD2wKJhw2",en,DaVita
Fri Dec 06 16:01:36 +0000 2019,"“I want people to feel like…each day, they learned something new,” says DaVita's Chief Wisdom Officer @DVUDave. Listen now to hear more about how he wants to represent himself to fellow teammates and the importance of #personalbrand in #leadership. https://t.co/36SyEf4cmK",en,DaVita
Fri Dec 06 14:26:23 +0000 2019,RT @DaVitaDoc: A #kidneytransplant recipient shows gratitude towards her @DaVita nurses and other individuals who helped her get from a cru…,en,DaVita
Thu Dec 05 18:01:50 +0000 2019,"With peritoneal dialysis (PD), patients can trade in hours spent traveling to and from dialyzing at the dialysis center for more time with family, friends and pets. https://t.co/Xvd2fDxJvH https://t.co/qaeOz0MOQS",en,DaVita
Wed Dec 04 22:03:07 +0000 2019,"@sarcasticMB Hello. We would appreciate the opportunity to learn more. Could you please send us a private message with more information, the address of the center being referenced and a phone number where you may be reached? We will pass this feedback along to the appropriate team. ^RM",en,DaVita
Wed Dec 04 21:00:57 +0000 2019,DaVita's Chief Wisdom Officer @DVUDave joins Grace Berman and Doug Miller as they reflect on the importance of establishing your personal brand in leadership. Listen as they help identify words to describe how to represent yourselves as leaders and more! https://t.co/NYFmDYb99A,en,DaVita
Wed Dec 04 15:02:16 +0000 2019,"Find a Kidney Smart® class to learn from expert educators about how your kidneys function, and ways to manage your diet and health. https://t.co/VMUtmXzajO? https://t.co/gYZ69PpiyE",en,DaVita
Tue Dec 03 20:01:34 +0000 2019,Learning about what you can do now will help you to be ready for a kidney transplant. These tips provide food for thought. Follow up with your transplant team for more information on your individual goals. https://t.co/4pl1W7ui1s https://t.co/TDlpiRUkQV,en,DaVita
Tue Dec 03 18:01:01 +0000 2019,Thank you @RepMcKinley for visiting DaVita Wood County Dialysis and taking time to learn more about the importance of integrated care for kidney patients. We appreciate your commitment to working with the kidney care community to improve health care in your district. #DaVitaVoice https://t.co/jzNZlFqDAG,en,DaVita
Tue Dec 03 17:01:51 +0000 2019,"This #holiday season, make almost any dish kidney-friendly by using the 25% rule for ingredients such as salt, nuts and chocolate. Learn more about the 25% rule and have a kidney-friendly holiday! https://t.co/TNkdz3I7RO https://t.co/eASmKQpDyj",en,DaVita
Tue Dec 03 01:23:54 +0000 2019,"Together as a community, clinicians can work to find creative solutions that will help improve patient experience and quality of life for #dialysis patients. Read more here: https://t.co/yGPdjolRhl",en,DaVita
Mon Dec 02 23:00:43 +0000 2019,Wondering what to do with your Thanksgiving #leftovers? These tips will help guide you so you can safely enjoy Thanksgiving feast foods after the holiday. https://t.co/u27ZL1rJ2Q https://t.co/kS3LjfAz6R,en,DaVita
Thu Nov 28 14:03:41 +0000 2019,Happy Thanksgiving! What are you thankful for this holiday season? https://t.co/0R424m1rw6,en,DaVita
Wed Nov 27 21:38:38 +0000 2019,@DJWilso71631063 Hello. We would appreciate the opportunity to learn more information. Could you please send us a direct message with the address for the center being referenced and a phone number where you may be reached? Thank you! ^JA,en,DaVita
Wed Nov 27 19:02:05 +0000 2019,Shopping for the holidays can be stressful! Don’t let the menu ruin the holiday spirit by following the shopping tips which can be found in the Holiday Feast cookbook! Download this cookbook today and find tips to make this holiday season the best yet. https://t.co/VYEkBmxfSW https://t.co/wycoVEXhWw,en,DaVita
Wed Nov 27 16:02:16 +0000 2019,Big Thanksgiving plans with your family? You don’t have to miss your dialysis treatment. Talk to your nurse about rescheduling or use our Find a Center tool if you're traveling. https://t.co/WtIfPo2LDF? https://t.co/aSjtKvgNKF,en,DaVita
Tue Nov 26 15:02:33 +0000 2019,November is #DiabetesAwarenessMonth. Did you know that people with diabetes may be at risk for developing chronic kidney disease (CKD)? Learn more about the link between diabetes and CKD. https://t.co/aiBHlBnK5F https://t.co/thG2HAW19h,en,DaVita
Mon Nov 25 20:47:45 +0000 2019,@THEJOHNRONDO Hello. We would appreciate the opportunity to learn more information. Could you please send us a direct message with the address for the center being referenced and a phone number where you may be reached? Thank you! ^JA,en,DaVita
Mon Nov 25 19:01:37 +0000 2019,Do you need a kidney-friendly cookie to bring to your next holiday cookie exchange? Check out our recipe for Cranberry Blondies. These delicious sweet treats will be the hit of the party! https://t.co/ulKs1D1UMQ https://t.co/XLJGxjam2N,en,DaVita
Mon Nov 25 17:02:24 +0000 2019,A kidney-friendly diet is important for good health when you have chronic kidney disease (CKD). One of the steps to eating right is eating in #moderation. Learn 10 ways to eat in moderation on a kidney diet here: https://t.co/Bew4HlK3Ha,en,DaVita
Mon Nov 25 15:02:27 +0000 2019,"Missed #dialysis treatments can’t be replaced, but treatments can be rescheduled. Talk to your nurse about rescheduling your Thanksgiving week treatments so you can stay energized to enjoy all the holidays to come. https://t.co/SZVXUYPtRm",en,DaVita
Fri Nov 22 20:01:41 +0000 2019,"Missed dialysis treatments can’t be replaced, but treatments can be rescheduled. Talk to your nurse about rescheduling your Thanksgiving week treatments so you can stay energized to enjoy all the holidays to come. https://t.co/07ANbw4A59",en,DaVita
Fri Nov 22 19:01:58 +0000 2019,Nothing sounds cozier than finishing off a meal with a slice of Cinnamon Apple Bread Download this recipe and other holiday favorites in the Holiday Feast cookbook here: https://t.co/EqN3JmJLiV https://t.co/20qsLOWmrX,en,DaVita
Thu Nov 21 18:01:52 +0000 2019,Looking for kidney-friendly recipes for your Thanksgiving meal plan? Download our free Holiday Feast cookbook here: https://t.co/bQxB3RwVIK. Your dietitian can work with you to incorporate your favorite foods. And be sure to talk to your nurse about rescheduling your treatments. https://t.co/qGRIq7ezD3,en,DaVita
Wed Nov 20 20:01:40 +0000 2019,Big #Thanksgiving plans with your family? You don’t have to miss your dialysis treatment. Check out our Find a Center tool on https://t.co/dWoGIbzqrR and talk to your nurse about rescheduling treatments. https://t.co/w4lWc4Dnzi? https://t.co/oRrxtslBcV,en,DaVita
Wed Nov 20 19:01:45 +0000 2019,Decorate the dining room table with kidney-friendly dishes like Broccoli-Onion Latkes this holiday season. Find this recipe and more that will be great for any gathering in the Holiday Feast cookbook: https://t.co/sqim9khVao https://t.co/jmFbZUlCVy,en,DaVita
Wed Nov 20 17:57:02 +0000 2019,Transforming #kidneycare will move the U.S. one step closer to a more efficient and coordinated #healthcare system. https://t.co/0rwiFh1Zwj https://t.co/XfRV1bElEX,en,DaVita
Wed Nov 20 15:45:01 +0000 2019,"@Kimquint08 Hello, Kimberly. We would appreciate the opportunity to gain more insight on this feedback. Could you please send us a direct message with more information? Thank you! ^RM",en,DaVita
Tue Nov 19 20:01:36 +0000 2019,November is #DiabetesAwarenessMonth. Did you know that people with diabetes may be at risk for developing chronic kidney disease (CKD)? Learn more about the link between diabetes and CKD. https://t.co/aiBHlBFluf https://t.co/h0hVtgTWxA,en,DaVita
Tue Nov 19 16:56:52 +0000 2019,"RT @LuisSepulvedaNY: Toured @DaVita’s Melrose Dialysis Center today &amp; met with regional leadership, staff &amp; patients. Thank you for buildin…",en,DaVita
