created_at,full_text,lang,user_name
Fri Dec 20 19:00:03 +0000 2019,"Just keep searching, searching, searching for the Dory ornament! Did you spot it? https://t.co/Ozo7HskVqY",en,Disney
Fri Dec 20 18:30:00 +0000 2019,"""There’s the whole world at your feet. And who gets to see it but the birds, the stars, and the chimney sweeps."" –Burt, Mary Poppins",en,Disney
Fri Dec 20 18:00:00 +0000 2019,The Force is strong with these superlatives. See @StarWars: #TheRiseOfSkywalker in theaters now. https://t.co/R4A4GtmLkz,en,Disney
Fri Dec 20 15:00:01 +0000 2019,"An underdog named for an underdog. #Togo, an Original Movie, is now streaming on @DisneyPlus. #DisneyPlus https://t.co/Du25kNC9e2",en,Disney
Fri Dec 20 01:30:00 +0000 2019,Love adorable pups? Then #PickOfTheLitter is fur you! Find out why you’ve got to stream the new @DisneyPlus original series starting tomorrow. #DisneyPlus https://t.co/4I4N0vBVXh,en,Disney
Fri Dec 20 00:30:02 +0000 2019,"The most exciting adventure in dog years is coming to @DisneyPlus tomorrow. Find out why you can’t miss #Togo, only on #DisneyPlus. https://t.co/I1Fbva0zsu",en,Disney
Thu Dec 19 23:30:00 +0000 2019,The wait is over. See @StarWars: #TheRiseOfSkywalker in theaters tonight! Get tickets: https://t.co/PQ6PEPhXZz https://t.co/8GRIBJtCAd,en,Disney
Thu Dec 19 19:30:00 +0000 2019,We’re all in this. ‘Til the end. See @StarWars: #TheRiseOfSkywalker in theaters tonight! Get tickets: https://t.co/bD8WbFGhtv https://t.co/usjzpzZzRT,en,Disney
Thu Dec 19 19:00:04 +0000 2019,"""The very things that hold you down are going to lift you up."" –Timothy Mouse, Dumbo https://t.co/lscxwerA2B",en,Disney
Thu Dec 19 18:30:02 +0000 2019,WALL•E in a winter wonderland. ⛄️💕⛄️ https://t.co/qF8stEzrjF,en,Disney
Thu Dec 19 15:00:01 +0000 2019,"Tomorrow, discover the untold true story of two best friends. #Togo, an Original Movie, only on @DisneyPlus. #DisneyPlus https://t.co/u1HSotTaxr",en,Disney
Thu Dec 19 04:59:49 +0000 2019,"RT @officialavatar: @joeldavidmoore We hope you enjoyed the #Avatar10YearAnniversary celebration, Na’vi Nation! Irayo (thank you) for joini…",en,Disney
Thu Dec 19 00:02:39 +0000 2019,RT @officialavatar: @JimCameron @MRodOfficial @zoesaldana @jonlandau @WetaWorkshop @weta_digital @IAmStephenLang @GiovanniRibisi @CCHPounde…,en,Disney
Wed Dec 18 23:30:00 +0000 2019,"Listen up, @StarWars fans! The original soundtrack for Star Wars: #TheRiseOfSkywalker is available now: https://t.co/Euxk2g7da7. See the film in theaters Friday. https://t.co/jSRu7Q4s6e",en,Disney
Wed Dec 18 22:41:01 +0000 2019,Be the first to see @StarWars: #TheRiseOfSkywalker in theaters tomorrow night! https://t.co/Wt74bSQi7C,en,Disney
Wed Dec 18 21:51:14 +0000 2019,Chapter 7 of #TheMandalorion is here two days early and includes an exclusive sneak peek of #TheRiseOfSkywalker. Stream it now! #DisneyPlus https://t.co/YftWqmdUgi,en,Disney
Wed Dec 18 21:30:38 +0000 2019,RT @officialavatar: @JimCameron @MRodOfficial @zoesaldana @jonlandau @WetaWorkshop @weta_digital @IAmStephenLang @GiovanniRibisi @CCHPounde…,en,Disney
Wed Dec 18 19:00:02 +0000 2019,Celebrate the holiday your own way. https://t.co/d62FNEixDA,en,Disney
Wed Dec 18 18:02:19 +0000 2019,RT @officialavatar: @JimCameron @MRodOfficial @zoesaldana @jonlandau @WetaWorkshop @weta_digital @IAmStephenLang @GiovanniRibisi The wildli…,en,Disney
Wed Dec 18 14:20:16 +0000 2019,RT @officialavatar: @JimCameron @MRodOfficial @zoesaldana @jonlandau @WetaWorkshop @weta_digital @IAmStephenLang @GiovanniRibisi ICYMI: @Zo…,en,Disney
Wed Dec 18 13:18:23 +0000 2019,RT @officialavatar: @JimCameron @MRodOfficial @zoesaldana @jonlandau @WetaWorkshop @weta_digital @IAmStephenLang ICYMI: Sigourney Weaver st…,en,Disney
Wed Dec 18 05:03:14 +0000 2019,"RT @officialavatar: But first, here's a message from @JimCameron with everything that's coming today!

https://t.co/Glbmt5wsgG",en,Disney
Wed Dec 18 02:30:34 +0000 2019,RT @officialavatar: We’re celebrating the #Avatar10YearAnniversary with a 24 hour live celebration! Be sure to check back at 12 AM EST when…,en,Disney
Tue Dec 17 19:42:30 +0000 2019,One final adventure. One final world premiere. Check out photos from the world premiere of @StarWars: #TheRiseOfSkywalker. Don’t miss the film in theaters Friday. https://t.co/r1uHKatoru,en,Disney
Tue Dec 17 18:00:03 +0000 2019,Every day is merry and bright this season at @Disneyland Resort. For more magic: https://t.co/3DRRKw50ZP https://t.co/kozygfHXES,en,Disney
Tue Dec 17 15:00:03 +0000 2019,"A bold journey awaits. Check out the new poster for Disney and @Pixar's Onward, in theaters March 6. #PixarOnward https://t.co/0YgiiUS9Pu",en,Disney
Tue Dec 17 14:00:00 +0000 2019,Ian &amp; Barley’s quest to spend one more day with their dad beginneth March 6 in theatres. Watch the brand-new trailer for Disney &amp; @Pixar’s Onward now. https://t.co/2xVKjT4O6b,en,Disney
Mon Dec 16 21:00:02 +0000 2019,"""The past can hurt. But the way I see it, you can either run from it, or learn from it."" –Rafiki, The Lion King https://t.co/ZTnBDZZHNY",en,Disney
Mon Dec 16 20:00:03 +0000 2019,Season's Greetings from Uncle Walt! https://t.co/qYQsn8Y3t5,en,Disney
Mon Dec 16 19:30:00 +0000 2019,"To all the #Frozen2 fans across the globe, thank you for taking this journey into the unknown. https://t.co/xqseLGWUJ4",en,Disney
Mon Dec 16 18:53:28 +0000 2019,Handmade tidings of cuteness and joy! Lady and the Tramp &amp; Noelle are now streaming on @DisneyPlus. #DisneyPlus https://t.co/QK6oedMUfm,en,Disney
Mon Dec 16 17:00:16 +0000 2019,"Character posters for Disney &amp; @Pixar’s Onward, including newly-announced cast Ali Wong, Lena Waithe, and Mel Rodriguez. ✨ Check back tomorrow to see the brand-new trailer for the film. https://t.co/RCXFDNpiN3",en,Disney
Mon Dec 16 16:00:02 +0000 2019,"Look out world. Diary of a Future President, a @DisneyPlus Original Series, streaming January 17. #DisneyPlus #DiaryOfAFuturePresident https://t.co/pPR1SWLhwJ",en,Disney
