created_at,full_text,lang,user_name
Thu Dec 19 20:44:52 +0000 2019,"RT @VaDOTRVA: ICYMI: Winter starts this Saturday! ❄️ Today, we joined @DominionEnergy to tour their new storm center and learn about prep e…",en,Dominion Energy
Wed Dec 18 21:56:00 +0000 2019,"@Rigel_1594 Hi Courtney, we are sorry to hear of the power outage you are currently experiencing. Please respond to this message with the city and state you are located to allow us to further assist you.",en,Dominion Energy
Wed Dec 18 21:48:52 +0000 2019,"Approaching his 90th birthday, Robert “Bobbie” E. Davis, Jr. had a special wish: to visit his old workplace, just one more time. Read more. &gt;&gt; https://t.co/uWIpr8e3XK https://t.co/1KOLgjfyf0",en,Dominion Energy
Wed Dec 18 17:26:31 +0000 2019,@jeffeisenhardt Good afternoon JE. I'm sorry you've experienced multiple outages. I'm happy to take a look into the outages at your home. May I have you to send me a DM with your address please?,en,Dominion Energy
Wed Dec 18 17:02:53 +0000 2019,@PeggyTV An important message to share!,en,Dominion Energy
Wed Dec 18 13:24:54 +0000 2019,@kmdric Good! Let us know if this happens again.,en,Dominion Energy
Wed Dec 18 13:24:24 +0000 2019,@DBTillman Good morning! Thank you for sharing this with us!,en,Dominion Energy
Wed Dec 18 13:21:52 +0000 2019,@kmdric Good morning Kevin! Sorry for the delay.  Are you still experiencing surges/flickers?,en,Dominion Energy
Tue Dec 17 14:10:39 +0000 2019,"@coasttal Hi John! Thank you for reaching out to us. You may submit your monthly payment using a credit/debit card. To view our payment options in further detail, please visit https://t.co/a9X4wfWf6r.",en,Dominion Energy
Mon Dec 16 18:03:27 +0000 2019,"@_Jazzi Thank you for reaching out to us. We understand your concerns. Please contact our Customer Service Center to discuss your request in further detail. You can reach our Customer Service Center at 1-800-251-7234 Monday through Friday, 7:00 AM until 9:00 PM.",en,Dominion Energy
Mon Dec 16 17:49:00 +0000 2019,"@verbalucid We are sorry to hear that the charges weren't originally explained and are happy to hear that Customer Service was able to work things out. Unfortunately, we are unable to discuss specific account information and billing info via social media. We apologize for the inconvenience. https://t.co/yVcJJbioz0",en,Dominion Energy
Mon Dec 16 17:39:33 +0000 2019,@_Jazzi Hi there! Where are you located?,en,Dominion Energy
Mon Dec 16 17:32:30 +0000 2019,@chriswhickling Yikes! Thanks for sharing and continue being safe with your info!,en,Dominion Energy
Mon Dec 16 17:23:33 +0000 2019,@verbalucid Good morning. We are sorry to hear there were some unexpected charges on your bill. Please call our Customer Service Center at 1-800-251-7234 and one of our representatives will be happy to review your bill with you. We are available Monday through Friday 8:00AM until 9:00 PM. https://t.co/yVcJJbioz0,en,Dominion Energy
Mon Dec 16 14:23:00 +0000 2019,@esteigleder Good morning. Sorry for the delayed response.  Are you still experiencing an outage?  Please send your full address if so.  Thank you.,en,Dominion Energy
Sat Dec 14 19:24:55 +0000 2019,RT @PeggyTV: Proud to be part of the large @DominionEnergy volunteer group with #WreathsAcrossAmerica  @WreathsAcross @ArlingtonNatl #Never…,en,Dominion Energy
Sat Dec 14 18:08:00 +0000 2019,"@TESOLPolicyGuy We understand your frustration. After visiting the site, crews may find more damage than was originally thought to exist, or they find additional damage further down the line from the original problem which creates adjustments for the ETRs.",en,Dominion Energy
Sat Dec 14 13:52:00 +0000 2019,"@Doorley Christopher, please report your outage online or through the new mobile app. What is your address? We’re sorry for the inconvenience and hope it’s restored very soon.",en,Dominion Energy
Sat Dec 14 03:12:55 +0000 2019,"@keydyourcar Hey Milf, have you reported your outage online using your mobile device yet? Please explore the new outage app for better access to information.",en,Dominion Energy
Fri Dec 13 16:29:02 +0000 2019,"When there is an opportunity to combine innovation with education, we want to be at the forefront. We're proud to partner with @CristoReyRVA  to provide students with high quality prep education through a corporate work study program. Learn more. &gt;&gt; https://t.co/PrbmAyU7mZ https://t.co/NTRRbiRFpr",en,Dominion Energy
Fri Dec 13 03:39:28 +0000 2019,"@burkemorton Burke, the outage status says car accident. This is one of the most common outage causes.
We can’t prevent that, and we assure that our crews are on it safely.",en,Dominion Energy
