created_at,full_text,lang,user_name
Mon Dec 16 16:45:43 +0000 2019,"RT @JimFitterling: Improving inclusion &amp; diversity delivers business value. Alongside 60+ other companies, @DowNewsroom joined @CatalystInc…",en,Dow
Fri Dec 13 05:09:26 +0000 2019,"RT @JimFitterling: This year, I challenged #TeamDow to double our #PullingOurWeight goals in 2019: 10,000 volunteers, 100 locations, 100,00…",en,Dow
Tue Dec 10 15:10:01 +0000 2019,Turning waste into free wifi. Learn how the community of Wangwa in Thailand is finding value in waste from @NatGeo. https://t.co/LVv6V1WSwB,en,Dow
Mon Dec 09 18:33:26 +0000 2019,"RT @DowPackaging: Great read in @FT on how partnerships strengthen the sustainability sphere, including insight from @DowNewsroom Global Su…",en,Dow
Fri Dec 06 18:25:37 +0000 2019,"RT @JimFitterling: It’s important to consider a product’s carbon footprint – including how its packaged, transported and used – when decidi…",en,Dow
Fri Dec 06 18:20:01 +0000 2019,Local waste management is critical to keeping #plastics out of the environment.  Learn how one person in Thailand is making a big difference in his community by developing a profitable way to manage its waste. https://t.co/cxA3SNvYcH,en,Dow
Thu Dec 05 17:17:30 +0000 2019,"On #InternationalVolunteerDay, our own @RebeccaMBentley makes the value case for employee engagement and volunteerism, and recognizes members of #TeamDow around the world who are making a difference in their communities.

Read more, via @LinkedIn: https://t.co/0upk5cZKTP",en,Dow
Thu Dec 05 01:29:38 +0000 2019,"#NEWS: We are teaming up with @WEMovement to expand the WE Are Innovators program, which inspires students to develop innovative ideas addressing challenges in their communities. 

Read the announcement: https://t.co/ANnP31FfmT",en,Dow
Wed Dec 04 14:00:15 +0000 2019,We’re proud to be a founding investor for the @CirculateCap Ocean Fund that launched today in Singapore. It’s the first investment fund dedicated to preventing plastics from entering the ocean and advancing a #circulareconomy in Asia. #catalyticcapital https://t.co/yoJi2TKA6k https://t.co/a1L2Z2pssL,en,Dow
Mon Dec 02 22:59:18 +0000 2019,"RT @DowPolicy: Today, @DowNewsroom joined 75 companies and @AFLCIO in support of the #ParisAgreement. As a founding member of @CeoClimate,…",en,Dow
Thu Nov 28 16:21:24 +0000 2019,"We're thankful for our employees who make our company a fun, inclusive and safe place to work. Happy #Thanksgiving to our U.S. followers and employees! https://t.co/2CgrDctW4R",en,Dow
Wed Nov 27 18:36:47 +0000 2019,RT @JimFitterling: Collaboration — especially local collaboration — will be key to helping #endplasticwaste around the world. Another great…,en,Dow
Fri Nov 22 16:09:12 +0000 2019,"RT @DowPackaging: Congratulations, @Cargill, on 90% #recyclable #plastic packaging! We are always excited to work together to design for re…",en,Dow
Thu Nov 21 14:23:54 +0000 2019,"RT @H_Ungerleider: Well deserved, Ajay! @DowNewsroom benefits immensely from the perspectives and experience that you bring to our board. T…",en,Dow
Wed Nov 20 16:34:08 +0000 2019,"RT @JimFitterling: Ajay, thank you for your continued commitment to @DowNewsroom, your dedication to advancing inclusion and diversity, and…",en,Dow
Wed Nov 20 16:26:39 +0000 2019,"Help us congratulate Ajay Banga, Dow board member and @Mastercard CEO, for his recognition on @FortuneMagazine’s Businessperson of the Year list!
https://t.co/zczOvTn8PU",en,Dow
Fri Nov 15 19:20:08 +0000 2019,"Hard-to-recycle products are often made from valuable materials that offer strong properties. So innovative minds are finding new ways to reuse these materials, such as bricks made from hard-to-recycle plastics. #BeRecycled #DontWaste https://t.co/aegbesGnUO",en,Dow
Fri Nov 15 17:15:03 +0000 2019,"Recycling one plastic bottle may seem like a small act, but #recycling just one bottle saves enough energy to power your laptop for 2.5 hours. #BeRecycled #DontWaste https://t.co/mgdQ9CqLHM",en,Dow
Fri Nov 15 15:23:27 +0000 2019,"RT @JimFitterling: To celebrate #AmericaRecyclesDay, I’m taking the #RecycleChallenge. We’re privileged to have recycling opportunities in…",en,Dow
Fri Nov 15 15:01:39 +0000 2019,So far 111 tons of #plastic have been diverted from landfills and recycled into our road projects around the world.  This is one example of the work happening to find new ways to reuse plastic waste. #BERECYCLED #AmericaRecyclesDay Learn more: https://t.co/nddpBiDAxj https://t.co/o83tZ9Wwpy,en,Dow
Thu Nov 14 14:30:18 +0000 2019,"We partnered with a local university in Indonesia to develop Project MASARO, a closed-loop system that turns waste into valuable resources. The project is creating a scalable blueprint for zero-waste communities. See how: https://t.co/gj8f5zNbCS https://t.co/h62EDZXLET",en,Dow
Tue Nov 12 18:50:39 +0000 2019,"RT @JimFitterling: James Quincey, @CocaCola’s CEO, is right: “A recycled [plastic] bottle has a much lower carbon footprint than an aluminu…",en,Dow
Tue Nov 12 15:53:03 +0000 2019,"#ProjectButterfly is bringing together communities and businesses to help educate them about reusing and #recycling, and to find solutions to local waste problems. Serious topics – but that doesn't mean it can't be fun. Enjoyed our event in Nairobi, Kenya, with @H_Ungerleider. https://t.co/9HRy24VKu6",en,Dow
Mon Nov 11 14:18:00 +0000 2019,"On #VeteransDay – and every day – we celebrate our veterans for their service and dedication to their country, and for the leadership and skills they bring to our team. Learn more about our career opportunities for veterans: https://t.co/Wk9jQG5TWe 🇺🇸",en,Dow
Sat Nov 09 13:40:54 +0000 2019,"RT @JimFitterling: Plastics are strong, lightweight &amp; less energy-intensive to produce and recycle than other packaging materials. Recently…",en,Dow
Fri Nov 08 14:27:32 +0000 2019,"RT @JimFitterling: Congratulations to all the winners, especially our talented teams who are helping make @DowNewsroom the most innovative…",en,Dow
Fri Nov 08 14:21:40 +0000 2019,#NEWS: Four of our innovative technologies won prestigious #RD100 awards from @RandDWorld magazine. Learn more about these award-winning technologies: https://t.co/pIbJ94BPXf,en,Dow
Thu Nov 07 13:01:04 +0000 2019,"Educating future generations about how reuse and recycling will help enable a #circulareconomy is key to keeping waste out of the environment. #Projectbutterfly returns to Nairobi, Kenya to help tackle poor waste management by engaging with local schools and communities. https://t.co/Uuwibod3X7",en,Dow
Tue Nov 05 13:25:05 +0000 2019,"#ProjectButterfly works with communities in Africa to address the waste challenge through education, clean-ups and innovation-focused initiatives. Watch to learn more: https://t.co/B8WszKxCfE https://t.co/hr9Yrv7eS8",en,Dow
Mon Nov 04 21:35:07 +0000 2019,"In Africa, part of the waste challenge is awareness. Through education, rural communities are gaining awareness and taking an active role in proper waste management. #ProjectButterfly https://t.co/n9bHppb7mj",en,Dow
Mon Nov 04 21:27:54 +0000 2019,RT @JimFitterling: 25% of U.S. manufacturing workforce is &gt;55 years old – someone retires every few minutes. We've got to refresh that. And…,en,Dow
Mon Nov 04 19:15:14 +0000 2019,"“The old view of corporate America is you join a company, you've got to change yourself… you need to be you.”

Learn more about our CEO @JimFitterling’s career and our commitment to the #circulareconomy and #inclusion in his interview with @LinkedIn’s @danroth.",en,Dow
Fri Nov 01 10:06:53 +0000 2019,A voice in the C-suite: @WSJ spoke to our own @KarenS_Carter about why support from the top is essential to advancing inclusion and diversity in business. https://t.co/uQjcB9VIkG,en,Dow
Thu Oct 31 17:50:15 +0000 2019,"RT @JimFitterling: For #Halloween this year, many of my colleagues dressed up as Rosie the Riveter. In the 40s, Rosie showed us there’s no…",en,Dow
Thu Oct 31 01:36:35 +0000 2019,"RT @AmyE_Wilson: As sponsor for @Downewsroom’s LGBT+ &amp; ally employee resource group, GLAD, I am lucky to work alongside all 4 honorees! The…",en,Dow
