created_at,full_text,lang,user_name
Thu Dec 19 13:30:01 +0000 2019,"Fascinating #TEDTalk by DuPont Nutrition &amp; Biosciences scientist @HennaUusitupa, who explains how the microbes you're born with can affect your lifelong health.  @Danisco @TEDpartners #TEDatDuPont https://t.co/K6kwHNdlhA",en,DuPont
Thu Dec 19 11:00:02 +0000 2019,"See how a collaboration between our Smart Materials team &amp; the @coriandesign team led to building a better, more sophisticated, technology-enabled conference table that can empower collaboration between workers in offices worldwide: https://t.co/9RH8jUVCQN  #dupontnow https://t.co/HPM38hqtxh",en,DuPont
Thu Dec 19 10:35:01 +0000 2019,"The spirit of the season: Marlborough, MA site leader Ellen Mager represented our employees at a recent fundraising event that contributes 11% of the funding needed to provide shelter and support services for homeless men in the community. https://t.co/Fn7QaCwoyj https://t.co/x7JVvkhmHP",en,DuPont
Tue Dec 17 10:43:00 +0000 2019,"Looking for the latest trends in #wearables ? Our own Janani Bhaskar has an idea: by designing ""smart"" clothing with durable technologies, we can better keep track of health and well-being - even before we're born. Watch Janani’s #TEDTalk: https://t.co/FSs1C9WxYy @TEDpartners https://t.co/SLMYWe61cG",en,DuPont
Tue Dec 17 09:41:00 +0000 2019,RT @DuPontIntexar: Wearable technology is improving healthcare at home and at the point of care. Learn about how Intexar is part of this sh…,en,DuPont
Mon Dec 16 08:55:42 +0000 2019,NEWS: IFF to Merge with DuPont’s Nutrition &amp; Biosciences Business  https://t.co/5CHrKsNij8 https://t.co/MFC4SqInYR,en,DuPont
Sun Dec 15 20:26:01 +0000 2019,"See how a collaboration between our Smart Materials team &amp; the @coriandesign team led to building a better, more sophisticated, technology-enabled conference table that can empower collaboration between workers in offices worldwide: https://t.co/b4zUz5r2NR  #dupontnow https://t.co/UGSmpWdESs",en,DuPont
Sun Dec 15 08:08:53 +0000 2019,"Honored to share the DuPont experience in Spain this week as an inspiration for other companies to #InvestinAsturias. Great talent, an innovation culture, and quality of life are just some of the factors of our success here! https://t.co/jHH1MoWYbx",en,DuPont
Sun Dec 15 08:03:01 +0000 2019,Safety first:  the #AmericanChemistryCouncil recently recognized 18 DuPont sites for excellence in safety performance. Check it out: https://t.co/t28AiRisvL #2030goals #generationnow #sustainability @AmChemistry https://t.co/xuaO1C7IAk,en,DuPont
Thu Dec 12 09:50:00 +0000 2019,"Want to know how we’ve turned 1000m3 of fresh water per year into 5,000m3 per day in a water-scarce community? Read on: https://t.co/DRmhzSvbct  #2030goals #generationnow #sustainability https://t.co/uqNLXUn4Ol",en,DuPont
Thu Dec 12 09:01:37 +0000 2019,"@MsKellyM Hi Kelly, thanks for making us aware of your project! We will share this information with the relevant teams. We are committed to supporting employees with disabilities and their allies through resources, education, networking and outreach. Learn more at https://t.co/EWmXpEpLwB",en,DuPont
Wed Dec 11 16:00:55 +0000 2019,"@SpringerBC Hi, thanks for your question. Based on molecular weight, ultrafiltration is not a good option to consider for PFAS removal.",en,DuPont
Tue Dec 10 20:50:00 +0000 2019,RT @DuPontSVTC: We are so incredibly proud to say that the DuPont Silicon Valley Technology Center is powered by 100% renewable energy! #su…,en,DuPont
Tue Dec 10 13:30:01 +0000 2019,"#DYK salt used for deicing roads often ends up in freshwater rivers, making the water undrinkable? In this @TEDTalks DuPont scientist Tina Arrowood shares a plan to keep salt out of rivers by turning industrial byproducts into new resources: https://t.co/uuC4hsjkNr
#TEDatDuPont https://t.co/NyRAqyxb5N",en,DuPont
Tue Dec 10 12:53:29 +0000 2019,"RT @KevlarBrand: Is your home a winter wonderland yet?🎄Gloves made with Kevlar® offer reliable protection without compromising comfort, mak…",en,DuPont
Mon Dec 09 15:16:00 +0000 2019,RT @ScottCollick: DuPont team at #RD100 awards dinner!  So proud of this @DuPont_News talented technology team. 6 finalists and 2 winners.…,en,DuPont
Sat Dec 07 21:00:01 +0000 2019,"Want to know how we’ve turned 1000m3 of fresh water per year into 5,000m3 per day in a water-scarce community? Read on: https://t.co/3VTe0A4m9O  #2030goals #generationnow #sustainabilitysaturday https://t.co/yXuBmgVRx4",en,DuPont
Sat Dec 07 09:00:01 +0000 2019,"Want to know how we’ve turned 1000m3 of fresh water per year into 5,000m3 per day in a water-scarce community? Read on: https://t.co/PPTNHiMWfM  #2030goals #generationnow #sustainabilitysaturday https://t.co/DrUWUNGTjj",en,DuPont
Fri Dec 06 13:36:01 +0000 2019,"This week we proudly celebrated the International Day of Persons with Disabilities with employees sharing their courageous experiences on having a disability, keynote speakers, and a visit from Canine Partners for Life. Let's celebrate our differences!

#IDPwD19 #IDPwD https://t.co/Xu1HXQZKTR",en,DuPont
Thu Dec 05 03:05:00 +0000 2019,"For our planet, our communities, our workers and our economy to thrive, we need ambitious #ClimateAction. We need the #ParisAgreement. That’s why our CEO Marc Doyle is joining CEOs of 75 companies and the @AFLCIO to call on the US to stay in.  https://t.co/DwjAvdcXgh https://t.co/93nUYRspkB",en,DuPont
Wed Dec 04 21:30:01 +0000 2019,"The scale of the climate crisis is more visible than ever before—and the need for collaboration is greater than ever before. We’re proud to stand with CEOs, companies and unions to urge the US to stay in the #ParisAgreement. https://t.co/a9BfpGrokE https://t.co/nAaaMWvLuW",en,DuPont
Wed Dec 04 16:41:58 +0000 2019,"@MaroSaucedo @Rickjr2448883 @quimicasandiego  @elk33elk @aditivosresinas @MariusNel1971 @nikko310 @Hulkenberg7 @alexisleduc10 @f1_deji  @gettella @alain_contival 
Appreciate your RTs and mentions. Thank you!",en,DuPont
Wed Dec 04 14:00:02 +0000 2019,"Seaweed is an essential ingredient in everything from beer to cosmetics. But marine plants like seaweed also help to deliver 70-80% of the planet’s oxygen. Right now we're helping make seaweed harvesting as efficient &amp; sustainable as possible: https://t.co/0IwC6ZDnZ3

#DuPontNow https://t.co/DSEZ0gEaUx",en,DuPont
