created_at,full_text,lang,user_name
Thu Dec 19 16:34:27 +0000 2019,"@DukeRealty associates took their development &amp; construction skills to a whole new level in our recent gingerbread house competition. Now that we've wowed you with our capabilities, let us build a warehouse for your company! #chicago #stlouis #indianapolis #southflorida https://t.co/f8rPLLgB3n",en,Duke Realty
Thu Dec 19 14:47:27 +0000 2019,"@DukeRealty appreciates our subcontractors! To show our thanks, our PA/NJ team hosted a special lunch for everyone working on a 2-building, 1.2 million-square-foot project for one of our valued tenants in New Jersey. https://t.co/XsGxpMG8o7",en,Duke Realty
Wed Dec 18 16:56:12 +0000 2019,RT @mbalexan: Huge thank you to @DukeRealty and @JLLNashville for the @patagonia fleece. It came in handy for an extra cold industrial tour…,en,Duke Realty
Tue Dec 17 13:50:51 +0000 2019,"What are users in Northern California looking for? Chris Burns, EVP of @DukeRealty Western and Central Regions along with other panelists at Bisnow’s Northern California Industrial and Logistics Summit, pointed to ample parking as a top priority. https://t.co/qTLbiTaHQQ",en,Duke Realty
Mon Dec 16 22:23:14 +0000 2019,"St. Joseph University held its annual Real Estate &amp; Construction Christmas Luncheon. The successful event was co-chaired by alumna Cait English, who is now an @DukeRealty Leasing Representative in PA and NJ. https://t.co/ilN3jBDEaQ",en,Duke Realty
Fri Dec 13 15:42:52 +0000 2019,Thanks @miamiwarehousebroker for using your charity gift card from @DukeRealty to make a donation to a cause that’s important to you. #share #happyholidays #givingback https://t.co/EGGgxEHaQh,en,Duke Realty
Thu Dec 12 16:28:35 +0000 2019,"Branded! @DukeRealty logo is now at the top of our new HQ building, identifying it as the official home of our company. Moving into our new digs in early February 2020. #excited #8711RiverCrossingBlvd https://t.co/cymnFOsVpy",en,Duke Realty
Tue Dec 10 20:57:26 +0000 2019,A longtime @DukeRealty tradition continues! We're wishing everyone Happy Holidays by placing a Christmas tree at the top of our new headquarters which we’ll be moving into in February 2020. #newbuilding #holiday https://t.co/k2FmcP6vpR,en,Duke Realty
Mon Dec 09 18:44:52 +0000 2019,"Outstanding! The @DukeRealty Chicago property management team proudly accepted the Outstanding Building of the Year award from BOMA Suburban Chicago for Butterfield 4000, a 242,700 SF building in Aurora. #industrial #propertymanagement https://t.co/y5K7WlkTOx",en,Duke Realty
Mon Dec 09 14:34:27 +0000 2019,’Tis the season for volunteering! @DukeRealty associates around the country are helping make the holidays merrier for people in their communities. #Indianapolis #Pennsylvania #DC #Houston #SalvationArmy #foodpantries #HabitatforHumanity https://t.co/wG2dzPjlPR,en,Duke Realty
Wed Dec 04 20:52:42 +0000 2019,Food is a universal language &amp; a great way to understand different cultures. Our @DukeRealty Atlanta team used our Cultural Appreciation Day to familiarize themselves with Japanese culture and learn about preparing and enjoying sushi. #diversity #inclusion https://t.co/zVaaqV6hlO,en,Duke Realty
Wed Dec 04 18:02:49 +0000 2019,Almost ready to hang! @DukeRealty logo will soon adorn the top of our nearly complete new corporate headquarters at 8711 River Crossing Blvd. in Indianapolis. Excited to be in our new home in early February 2020. https://t.co/czqxqIwZex,en,Duke Realty
Wed Dec 04 13:09:44 +0000 2019,"RT @NAIOP_MN: .@DukeRealty has supported @NAIOP_MN as a chapter sponsor for the last 17 years. We thank you for your involvement, loyalty a…",en,Duke Realty
Mon Dec 02 18:55:11 +0000 2019,"Now underway! @DukeRealty new, 165,921 SF warehouse in Garner, NC. Located at the I-40/Highway 70 xchange, Greenfield North 1201 is within minutes of downtown Raleigh, RDU Intl Airport &amp; the I-440 Beltline. Read more at https://t.co/Baklyzsntx https://t.co/IPzv8BTq0K",en,Duke Realty
Tue Nov 26 12:09:51 +0000 2019,"We’re having terrific discussions about diversity in the workforce at our @DukeRealty #Women's Network “Podcasts and Pastries” morning get-togethers in our offices. Listening, learning and sharing are sweet! https://t.co/d4omGKFaoq",en,Duke Realty
Mon Nov 25 13:30:46 +0000 2019,Congratulations to our Pennsylvania office for being named the second best place to work among large-sized companies in the state. @DukeRealty continues to set the bar for creating a culture where associates thrive and enjoy their work.,en,Duke Realty
Fri Nov 22 14:13:45 +0000 2019,Thanks for the recognition. Being a great place to work is something for strive for every day. https://t.co/q1BwlqJ4mF,en,Duke Realty
Thu Nov 21 15:18:55 +0000 2019,"We’re just a few months away from moving into our new corporate headquarters, and things are really coming together. Thanks to @whalinsky23 for this drone footage of @DukeRealty soon-to-be new home at 8711 River Crossing Boulevard in Indianapolis, IN. https://t.co/VnoQNY2eOP",en,Duke Realty
Thu Nov 21 14:01:07 +0000 2019,"@DukeRealty Natalie Tyler Martin shares her insights on freight traffic in Aerotropolis, a neighborhood she knows well. https://t.co/7Yb7L0rPsP",en,Duke Realty
Thu Nov 21 13:28:29 +0000 2019,"Infrastructure’s impact on warehouse efficiency was one of the topics @DukeRealty Scott Henderson, VP of Leasing &amp; Development in Pennsylvania, discussed during Bisnow's Philadelphia Industrial and Logistics Summit. https://t.co/7fsFaSN1xz #industrial #scotthenderson https://t.co/XJEolDwobw",en,Duke Realty
Wed Nov 20 12:24:21 +0000 2019,"Investment analysts had the chance to learn more about @DukeRealty and its Southern California assets during a property tour, including an inside-the-building look at one of our valued tenant's operations, before the start of REITWorld. #industrial #SouthernCalifornia #investors https://t.co/6asZ0E2R4i",en,Duke Realty
Tue Nov 19 11:35:44 +0000 2019,We’re serious about sustainability! Our recently issued $400 million ‘green bond’ will be used to finance or refinance @DukeRealty ‘Eligible Green’ projects.”  https://t.co/nz2VhrAY6R #sustainability #corporateresponsibility #ethical,en,Duke Realty
Mon Nov 18 13:22:20 +0000 2019,Our long-term commitment &amp; effective workplace policies and programs have earned @DukeRealty &amp; our CEO Jim Connor Nareit’s Gold Corporate and Individual Dividends Through Diversity &amp; Inclusion Awards. #JimConnor #HealthpeakProperties #CamdenPropertyTrust #diversity #inclusion https://t.co/vNeeoWSMcw,en,Duke Realty
Fri Nov 15 12:46:26 +0000 2019,"Retention of labor is putting amenities at the forefront of requirements by industrial users per Chris Brown, @DukeRealty SVP, Southeast Region, during Bisnow’s Southeast Logistics &amp; Industrial Summit. #ChrisBrown  #industrial #RealEstate https://t.co/UBtFjm2Xv9",en,Duke Realty
Thu Nov 14 13:03:43 +0000 2019,"Nothing like learning about industrial real estate from someone who’s in the business. Students in the 2019 Fall Project REAP class in Dallas benefited from listening to Jeff Thornton, @DukeRealty’s SVP managing our Texas operations. #jeffthornton https://t.co/S5NMMjQqZ4",en,Duke Realty
