created_at,full_text,lang,user_name
Fri Dec 20 01:15:00 +0000 2019,"China Announces the Suspension of Additional Tariffs to U.S. Origin Goods
https://t.co/gyZfJOQS6D",en,Expeditors
Thu Dec 19 01:15:05 +0000 2019,"USTR Announces New Exclusions on Lists 1 and 3 of the Section 301 Tariffs
https://t.co/VLrwbPsmbA",en,Expeditors
Wed Dec 18 01:15:00 +0000 2019,"Agricultural Marketing Service Increases Cotton Fee
https://t.co/wYwbmvFedY",en,Expeditors
Tue Dec 17 01:15:04 +0000 2019,"Canadian Exporting Reporting System Becomes Available
https://t.co/Kclk5q6LJW",en,Expeditors
Sat Dec 14 01:15:00 +0000 2019,"CBP Announces the Suspension of Section 301 List 4B Tariffs
https://t.co/4wU8qJfYoL",en,Expeditors
Fri Dec 13 01:15:00 +0000 2019,"CSBA Extends FAST Lane Eligibility
https://t.co/NdsFFLEVPA",tl,Expeditors
Thu Dec 12 18:18:12 +0000 2019,"With flexible capacity, high visibility, and compliance expertise, our #ASEAN Road Network goes beyond standard trucking. Watch our video to learn more! https://t.co/ssCIlugLHF",en,Expeditors
Thu Dec 12 01:14:59 +0000 2019,"USTR Proposes Additional Section 301 Tariffs on EU Goods
https://t.co/VRKEbeEgVh",en,Expeditors
Wed Dec 11 01:15:01 +0000 2019,"U.S. and Vietnam Sign Customs Mutual Assistance Agreement
https://t.co/dHhUwaF9MR",en,Expeditors
Tue Dec 10 01:15:02 +0000 2019,"CBP Reminds Importers of New Unit of Quantity Assignments
https://t.co/O78va4eisM",en,Expeditors
Sat Dec 07 01:45:04 +0000 2019,"CBP Issues Guidance on Section 301 List 3 Round 5 Exclusions
https://t.co/0gRg9dfoPT",en,Expeditors
Fri Dec 06 19:41:30 +0000 2019,RT @wellgreenblue: yearly parcel drop complete for the kids. Thank you @EXPD_Official @paulatherton37 @hitscashforkids @majacaho https://t.…,en,Expeditors
Fri Dec 06 01:15:00 +0000 2019,"EPA Proposes Significant New Use Rules Under TSCA for 19 Chemicals
https://t.co/e4gNe00l6M",en,Expeditors
Thu Dec 05 01:15:05 +0000 2019,"CBP Annual User Fee Due in January
https://t.co/mcC6YhLpCy",en,Expeditors
Wed Dec 04 19:15:57 +0000 2019,"With the #IMO2020 regulatory change quickly approaching, we thought an update would be useful about what to expect in the upcoming months. Check it out  --https://t.co/rKDPJLI4ca https://t.co/dwR0CtpUz8",en,Expeditors
Wed Dec 04 01:15:00 +0000 2019,"EU Plant Health Rules Effective December 14th
https://t.co/SM3Fjnmawr",en,Expeditors
Tue Dec 03 21:07:33 +0000 2019,"RT @ONENorthAmerica: @ONENorthAmerica is honored to have been awarded ""Ocean Service Partner of the Year"" for the second year in a row by @…",en,Expeditors
Tue Dec 03 01:15:00 +0000 2019,"USTR Proposes Section 301 Tariffs on French Goods
https://t.co/ToEOGFpLfY",en,Expeditors
Thu Nov 28 15:15:00 +0000 2019,"Happy Thanksgiving to all of our customers, service providers, friends, and family! We are thankful for all of you today and every day. 

#HappyThanksgiving #GiveThanks https://t.co/i5iqPx1Wkl",en,Expeditors
Thu Nov 28 01:14:59 +0000 2019,"CBP Deactivates Ports for Cargo
https://t.co/JAQOhN6qWZ",en,Expeditors
Wed Nov 27 01:15:00 +0000 2019,"USTR Announces New Exclusions on List 3 of the Section 301 Tariffs
https://t.co/tVneGY7qgo",en,Expeditors
Tue Nov 26 14:00:00 +0000 2019,"In 1993, we began working as Nissan's #customs broker. To this day, our relationship remains strong as we continue to support new customs and supply chain security programs. Dive deeper into the case study here -- https://t.co/bkzooec7Ay https://t.co/PXWjk1Zque",en,Expeditors
Tue Nov 26 01:15:04 +0000 2019,"CBP to Increase Inspections for Tomato Brown Rugose Fruit Virus
https://t.co/KM8LRnw4Cd",en,Expeditors
Sat Nov 23 01:15:03 +0000 2019,"CBP Posts Updated Drawback Error Dictionary
https://t.co/dm0HoOTnI3",en,Expeditors
Fri Nov 22 01:14:59 +0000 2019,"European Commission Publishes Report on Dual-Use Technologies
https://t.co/BEhuofZvap",en,Expeditors
