created_at,full_text,lang,user_name
Wed Dec 18 20:19:52 +0000 2019,"“You can’t tackle climate effectively if you don’t tackle water” - our head of #sustainability @emiliotenuta, quoted by @TriplePundit. “Water scarcity is the first impact of climate change that many communities and companies will experience.” #water https://t.co/Q4KpCNb9XW",en,Ecolab
Tue Dec 17 16:23:41 +0000 2019,"As Australia is currently battling a severe #drought, our Australia market head Jan Pacas explains the impact of #water on business growth and why it’s time to have a plan for smarter water management. https://t.co/WLBcjOSdGC",en,Ecolab
Fri Dec 13 12:48:01 +0000 2019,Global diets are always evolving – so our #warewashing solutions should be too. Learn how SMARTPOWER uses the latest research to combat today’s warewashing challenges. https://t.co/lbJ5VFhQMi https://t.co/tufgntf6ei,en,Ecolab
Fri Dec 13 04:40:36 +0000 2019,"RT @TriplePundit: .@Ecolab is targeting net-zero carbon emissions by 2050. “We don’t yet have all the answers,"" said CEO Doug Baker. ""but b…",en,Ecolab
Wed Dec 11 16:08:02 +0000 2019,DYK that just 25% of critical surfaces in the #OR are adequately cleaned? We’re helping #hospitals improve cleaning thoroughness through monitoring and digital dashboards to not only contain risk but predict and prevent it too. #infectionprevention https://t.co/ofTPN06Y2O,en,Ecolab
Mon Dec 09 16:17:58 +0000 2019,"Running a #restaurant requires using #water all day long. By using it more efficiently, you can do your part to tackle water scarcity and improve your margins at the same time. Added bonus: Your customers will love it! Here are 4 simple ways to do it: https://t.co/TKmvGtig0W https://t.co/BgrRlUfglW",en,Ecolab
Fri Dec 06 18:36:00 +0000 2019,"With more and more travelers worldwide, #waterscarcity is an increasing risk to #hotels. But with smart planning and new technology, hoteliers can ensure top-notch service and grow their business, even in a drier world. Here’s how: https://t.co/758LBUh3JD",en,Ecolab
Fri Dec 06 14:21:50 +0000 2019,"RT @StarTribune: To fight global warming, filtration and cleaning chemicals firm Ecolab Inc. will cut its carbon emissions by 50% by 2030 a…",en,Ecolab
Thu Dec 05 20:50:00 +0000 2019,"@globalcompact @ADMupdates @CEOEcolab We made a big new #climate commitment for our operations today. But ICYMI, we’re helping our customers make an impact too – in 2018, we helped them save 188 billion gallons of #water and avoid 2.4 billion pounds of #GHG emissions. https://t.co/CcGg0NAiLt",en,Ecolab
Thu Dec 05 19:50:08 +0000 2019,@globalcompact @ADMupdates Why are we joining the Business Ambition for 1.5⁰C and pledging to reduce our #GHG emissions to net-zero by 2050? @CEOEcolab Doug Baker explains. https://t.co/VdIiDZ8jOp,en,Ecolab
Thu Dec 05 18:58:19 +0000 2019,"@globalcompact You can’t tackle #climatechange effectively if you don’t also tackle #waterscracity. Companies that manage water sustainably, reduce their #energy use and #carbonfootprint. Here’s how we helped @ADMupdates cut 31.5K tons of #GHG emissions. https://t.co/iqYizl1I9t",en,Ecolab
Thu Dec 05 18:06:38 +0000 2019,"@globalcompact We’re reducing our #GHGemissions to net-zero by 2050. As a #sustainable #watermanagement company we know that if you use less water, you build #climate resilience, lower your #energy use and cut your #carbon emissions. Here’s how: https://t.co/wERuc0yOv4",en,Ecolab
Thu Dec 05 16:25:10 +0000 2019,Action to curb #climatechange can’t wait. That’s why we’re joining the @GlobalCompact’s Business Ambition for 1.5⁰C. We are committing to reducing our #GHG emissions by 50% by 2030 and to net-zero by 2050. https://t.co/VLfgX5R1jj https://t.co/rRxELszR04,en,Ecolab
Tue Dec 03 20:55:17 +0000 2019,Current #foodservice industry trends like #fooddelivery and organics recycling have important #foodsafety implications. Learn how you can stay on top of these trends – register for our food safety webinar on December 5. https://t.co/pKwllp9TR7 https://t.co/j4q72INuIF,en,Ecolab
