created_at,full_text,lang,user_name
Wed Dec 18 17:53:41 +0000 2019,"RT @EmersonComRes: Last month, Emerson was pleased to host members of @ACCA_USA at our Helix Innovation Center and give them a behind-the-s…",en,Emerson
Wed Dec 18 17:53:39 +0000 2019,RT @EmersonComRes: We are honored to be recognized on the 2019 FL100+ Top Software and Technology Providers list by Food Logistics. https:/…,en,Emerson
Wed Dec 18 15:02:07 +0000 2019,"In this year's @BroadcomSTEM MASTERS competition, the top five winners were all girls! Further proof of the impact that #womeninstem are having on the future of innovation. 👏🎉 
https://t.co/N8to6v020L https://t.co/foJqiY6QJF",en,Emerson
Mon Dec 16 16:01:18 +0000 2019,"Congrats, @AdamsonUni for winning our Innovation Challenge! Read more about their #IoT invention. #WeLoveSTEM https://t.co/YVwdw2imv8 https://t.co/7cYPM6TAzG",en,Emerson
Fri Dec 13 15:37:06 +0000 2019,RT @EMR_Automation: Emerson’s Sanjay Thakker joined FIPI’s flagship one-day conference on “Digital Transformation in Oil &amp; Gas Sector on No…,en,Emerson
Fri Dec 13 15:37:04 +0000 2019,RT @EmersonComRes: You're never too young to pick up valuable #STEM skills for the future! 🔭🔬Check out this list of the best STEM toys to g…,en,Emerson
Fri Dec 13 15:00:00 +0000 2019,"Hear from Joshua Weaver, VP of Sensi Software Solutions, about how it was his grandfather that hooked him on computers at just 7 years old. #ComputerScienceWeek #WeLoveSTEM https://t.co/9hGlQG2PVZ",en,Emerson
Thu Dec 12 18:00:00 +0000 2019,"To continue our celebration of #ComputerScienceWeek, we asked Bhargavi Kullakanda, an agile engineer with @Sensi, about what advice she'd offer young girls who are interested in #STEM. #WomeninSTEM https://t.co/em0Kmqe9aO",en,Emerson
Wed Dec 11 18:00:01 +0000 2019,"#ComputerScienceWeek continues with some thoughts from Lead Process Simulation Engineer, Andreea Ratiu on #WomenInSTEM https://t.co/rQpDYZwGWh",en,Emerson
Wed Dec 11 15:22:23 +0000 2019,RT @Emerson_KathyBB: People are key to successful #digitaltransformation. We recently launched a new digital transformation business at Eme…,en,Emerson
Wed Dec 11 15:21:51 +0000 2019,"RT @EmersonComRes: With more than 3 out of 5 construction firms struggling to fill positions, the #skilledtrades 🛠️🧰 gap is a serious probl…",en,Emerson
Tue Dec 10 16:00:19 +0000 2019,"Happy #DeweyDecimalSystemDay! Created by Melvin Dewey in 1876, this invention continues to keep pace with modern technologies and remains the most widely used library classification system today. #WeLoveSTEM https://t.co/41fWuSAEPj",en,Emerson
Mon Dec 09 21:27:40 +0000 2019,"RT @EmersonComRes: To avoid the skyrocketing student debt crisis, many people born between 1990 and the early 2000s, also known as #GenZ, a…",en,Emerson
Mon Dec 09 21:27:19 +0000 2019,"RT @EmersonComRes: As the focus on #WomenInSTEM grows, it's important to utilize multiple approaches to cultivate the next generation. Disc…",en,Emerson
Mon Dec 09 17:15:00 +0000 2019,It's Computer Science Week! 👩‍💻👨‍💻 Some of our engineers are sharing what inspired them to enter STEM and what impact computer science has had in their careers: https://t.co/WM6ukgWUZy,en,Emerson
Fri Dec 06 15:02:40 +0000 2019,"Here's a bright idea! 💡 With our new industrial LED lighting, companies can save up to 80% in energy costs. https://t.co/jmxYseWfX0",en,Emerson
Fri Dec 06 14:59:51 +0000 2019,RT @EMR_Automation: #OperationalCertainty consultant Kendall Beushausen discusses how our lives &amp; manufacturing #reliability practices are…,en,Emerson
Thu Dec 05 15:53:21 +0000 2019,"RT @ParadigmLtd: When it comes to ensuring successful digital transformation, the right approach makes all the difference as described by E…",en,Emerson
Wed Dec 04 14:00:00 +0000 2019,"The weather outside might be frightful, but @Sensi is filling homes with comfort and warmth this holiday season. https://t.co/OZaRHPopKv https://t.co/s8TYNAHFQB",en,Emerson
Tue Dec 03 15:32:07 +0000 2019,Our Grind2Energy technology allows farmers from all over the nation to participate in the waste-to-energy initiative. Learn more below: https://t.co/yHFMbyeuRl,en,Emerson
Tue Dec 03 15:31:49 +0000 2019,"RT @CopelandScroll: Copeland Scroll technology allows you to create incredibly livable environments with better humidity control, consisten…",en,Emerson
