created_at,full_text,lang,user_name
Thu Dec 05 22:17:30 +0000 2019,"@piyush393 Sorry for the standing water, Piyush. The storm drains have been cleared and thankfully this issue hasn't resurfaced. Thanks! -- The Essex Team.",en,Essex Property Trust
Thu Oct 03 17:47:15 +0000 2019,"@boy_weho Thank you for sharing these concerns and we apologize for the disruption. We've notified the onsite team at The Dylan, which will closely monitor the rooftop for any such activities. Please alert The Dylan team of any subsequent developments, as well. Thank you-The Essex Team.",en,Essex Property Trust
Thu Sep 12 23:11:52 +0000 2019,@Mo_3adel We are sorry for any continued difficulties and our Customer Care team would like to learn more about your experience. Please email CustomerCare@essex.com or call 844-378-2016. Thank you - The Essex Team,en,Essex Property Trust
Thu Sep 12 21:26:36 +0000 2019,"@Mo_3adel We apologize for these issues, and we encourage you to contact the Mosso team directly for assistance. They can be reached at 415-660-5074, or mosso@essex.com, and they hope to hear from you. Thanks! - The Essex Team.",en,Essex Property Trust
Tue Sep 10 22:12:10 +0000 2019,"RT @NYSE: NYSE Opening Bell🔔: West Coast based multifamily REIT, @EssexProperties celebrate 25 years listed on the NYSE 🏠 https://t.co/6Q2h…",en,Essex Property Trust
Tue Sep 10 20:45:03 +0000 2019,"@sergiee We apologize for the inconvenience. While both elevators were down for a short period, the team had one back up within a couple days. We are working on repairs for the 2nd elevator. We encourage you to contact the Community Manager with any questions. Thank you. — The Essex Team",en,Essex Property Trust
Tue Sep 10 17:23:37 +0000 2019,"@ginny_sais_quoi Greetings, Ginny, We apologize for the challenges with the laundry room and your home. Please DM us the name of the community where you live and we'll look into this. We encourage you to reach out to your community manager, as well. Thank you — The Essex Team.",en,Essex Property Trust
Fri Aug 30 22:29:27 +0000 2019,"@innerideas2017 @SunnyvaleDPS @innerideas2017 We appreciate the alert. While Magnolia Square is a garden-style community and will have its share of foot traffic, we ask that residents notify the onsite team - or authorities, if necessary - of any littering or suspicious behavior. Thank you - The Essex Team.",en,Essex Property Trust
Tue Aug 06 23:15:18 +0000 2019,"@jameshedland Greetings, Josh. Skyline has two charging stations available, and please note the quote passed along was for a personal charging station. The onsite team is aware of this situation and eager to continuing working with you toward a solution. Thank you — The Essex Team.",en,Essex Property Trust
Mon Jul 29 18:03:28 +0000 2019,"@findingascia We apologize for the negative experience and certainly would like to learn more about your concerns. Please DM us contact info and the community where you live, and we will be in touch. Thank you -- The Essex Team.",en,Essex Property Trust
Mon Jul 22 20:53:31 +0000 2019,"@mirepoix168 Greetings, Jee. Our homes at Station Park Green are not for purchase but are available to lease. We appreciate your interest and encourage you to reach out to stationparkgreen@essex.com to discuss any questions you might have. Thank you - The Essex Team.",en,Essex Property Trust
Wed May 08 22:05:53 +0000 2019,"@mirepoix168 Thank you for alerting us to this issue, Jee hom. We will pass along your concerns to our onsite team and general contractor. Thank you -- The Essex Team.",en,Essex Property Trust
Tue Apr 23 21:46:01 +0000 2019,"Whether you're looking for a gorgeous view, elegant spaces for entertaining, or a serene spot to end the workday, you're certain to find it at Essex Skyline. Book your tour today! https://t.co/vLhvYLIQsJ #OCliving #orangecounty #apartments https://t.co/FxgJb1y94Q",en,Essex Property Trust
Wed Apr 10 20:59:37 +0000 2019,"@DennisRLawrence We apologize for this experience, Dennis. The contractor at Avondale encountered a few unanticipated issues, which caused the project to take a bit longer than expected. We apologize for the inconvenience and everything should be in working order now. Thank you -- The Essex Team",en,Essex Property Trust
Tue Mar 12 20:56:52 +0000 2019,@DaisyBurk_ @daisymarquez_ @DaisyBurk_ We greatly appreciate the recommendation. Thanks for thinking of us! @daisymarquez_ Our leasing team would be happy to help guide you through any questions and find a community that best suits you. Click here for more info: https://t.co/yzTTjBMIcy or call 888-345-7796,en,Essex Property Trust
Wed Mar 06 17:16:53 +0000 2019,"@hsharmeen Greetings, Sharmeen. We thank you for choosing to live at an Essex community and apologize for any negative experience with regard to elevators. We appreciate that you reached out to our Customer Care team, which plans to follow up with you today. Thank you -- The Essex Team.",en,Essex Property Trust
Fri Nov 16 21:35:37 +0000 2018,"@bellurashwin We apologize for any delays with service requests and hope things are improving. For any concerns you are unable to resolve onsite, please contact CustomerCare@essex.com or call 844-378-2016. Thank you -- The Essex Team.",en,Essex Property Trust
Wed Oct 03 19:45:18 +0000 2018,"@Parin99 We apologize for this situation, Parin, and would welcome the opportunity to discuss your concerns. Please reach out to CustomerCare@Essex.com or 844-378-2016. Thank you -- The Essex Team.",en,Essex Property Trust
Fri Sep 21 20:30:30 +0000 2018,"@ninas_Mktg While we respect your opinion, Nina, we would love to have the opportunity to provide you with a better impression. If you wish to discuss any specific concerns, please reach out to CustomerCare@Essex.com. Thanks! -- The Essex Team.",en,Essex Property Trust
Mon Sep 10 21:35:35 +0000 2018,"@etdebruin We share your frustration with this situation and are currently in the process of switching waste removal vendors. Unfortunately, the current vendor has not appeared at the community the past two weeks. We hope to have this resolved shortly. Thank you. -- The Essex Team.",en,Essex Property Trust
Tue Sep 04 20:06:28 +0000 2018,"@COOK17 We apologize for this situation, Michael, and the unforeseen circumstances that lengthened the repair process. We're happy to have you back home and have submitted a reimbursement request on your behalf. We'll keep you updated! Thank you -- The Essex Team.",en,Essex Property Trust
Sat Aug 04 00:12:18 +0000 2018,"@mirepoix168 Hi Jee hom. Thanks for your tweet! If you want to learn more information about our Station Park Green project, you can directly reach out to our Commercial team by emailing commercial@essex.com.",en,Essex Property Trust
Mon Jul 30 20:08:26 +0000 2018,"@srajesh_cca Greetings, Rajesh. Our Customer Care team received your email over the weekend and will respond today. Thanks! -- The Essex Team.",en,Essex Property Trust
Tue Jul 24 18:46:36 +0000 2018,"@JonathanBennett We apologize for this situation and certainly understand your concern, Jonathan. As our onsite team eagerly aims to improve things, they also ask that residents alert them to any areas that need immediate attention so they can take action as quickly as possible. - The Essex Team.",en,Essex Property Trust
Fri Jul 20 15:39:34 +0000 2018,"@aadisriram Aaditya, cleaning services oftentimes don't clean to the standard needed to turn the apartment. We're not certain if that's the case here, but your onsite team should be able to work with you and relay any specific charges that were levied after your efforts. Keep us apprised!",en,Essex Property Trust
Thu Jul 19 18:33:00 +0000 2018,"@aadisriram @aadisriram We aim for accuracy with regard to move-out fees, and our onsite teams are happy to look into any discrepancies and explain any charges. If you are unable to resolve onsite, our team at CustomerCare@Essex.com can assist as well. Thank you -- The Essex Team.",en,Essex Property Trust
Tue Jul 03 18:28:32 +0000 2018,"@samccone Apologies for this situation, Sam. The issue was fixed around 2 p.m. on Monday and everything should be in working order now. We appreciate the alert. -- The Essex Team.",en,Essex Property Trust
Sat Jun 30 00:20:57 +0000 2018,"@mere2334 We appreciate the feedback and understand that Bel Air community manager Ali Ghatala has worked with you regarding these concerns. The team is presenting transfer options within the community, as well. Please feel free to reach out with any questions. Thank you -- The Essex Team.",en,Essex Property Trust
Fri Jun 29 00:02:27 +0000 2018,"@Whytruthmatters We're sorry to hear about this experience and hope that Customer Care will be able to resolve this quickly. If not, please send us a direct message with more detail and we'll be happy to look into it. Thank you -- The Essex Team.",en,Essex Property Trust
Mon Jun 18 17:02:41 +0000 2018,"@Makilldalawless @Makilldalawless We apologize for this situation and hope you were able to resolve the matter on site. If not, please contact CustomerCare@Essex.com or 844-378-2016 with specifics and we'll get this taken care of. Thank you -- The Essex Team",en,Essex Property Trust
Wed Jun 06 19:58:48 +0000 2018,"@etdebruin We'd welcome the opportunity to hear your concerns, Etienne, as it's our continual mission to provide a comfortable and enjoyable resident environment. We invite you to reach out to CustomerCare@Essex.com or 844-378-2016 to discuss. Thank you -- The Essex Team.",en,Essex Property Trust
Wed Jun 06 18:42:33 +0000 2018,"@JAnders36491680 We're sorry to hear about your key situation and hope you were able to reach a satisfactory resolution onsite. If not, please feel free to reach out to CustomerCare@Essex.com or call 844-378-2016 with any concerns. Thank you -- The Essex Team.",en,Essex Property Trust
Fri May 18 16:05:25 +0000 2018,"We are loving the bright, vibrant colors of our new community, Station Park Green! https://t.co/dubLHkycE9 #apartment #apartments #forrent #forlease #rental #forrentinbayarea #rentalproperty #sanmateo #california #bayarea https://t.co/gBTqaLKXQG",en,Essex Property Trust
Thu May 10 22:37:56 +0000 2018,"Head on over to Pershing Square on May 12th! The Downtown LA Beer &amp; Music Festival will feature over 100 craft beers, live bands, delicious food, and more. Click the link for details. https://t.co/yY5FxaKmUd https://t.co/5vubeiyMQt",en,Essex Property Trust
Thu May 10 15:55:16 +0000 2018,"It's National Clean Up Your Room Day! And studies show that a #clean room can bring many benefits, including fewer allergies, less stress, and more. It's time to tackle those piles of #laundry, dirty dishes, and the stack of junk mail on the table. #cleanupyourroomday #organized https://t.co/jqAhuV8W1W",en,Essex Property Trust
Wed May 09 23:31:35 +0000 2018,We are all fans of a great household hack that makes life instantly better! Check out all the nifty things you can do with a coffee filter. https://t.co/ellMRGNhWX https://t.co/MyEYfvTbsU,en,Essex Property Trust
Mon May 07 19:58:05 +0000 2018,"@clintcarlton Indeed, that's a poor slide alignment, Clint. If you can let us know which community you're at, we'll be happy to reach out to the community manager. Thanks! -- The Essex Team",en,Essex Property Trust
Mon May 07 19:20:16 +0000 2018,"@innerideas2017 Apologies for any negative experience at one of our communities. If you are unable to resolve any issues onsite, please contact CustomerCare@Essex.com or call 844-378-2016. Thanks -- The Essex Team",en,Essex Property Trust
Fri May 04 19:00:05 +0000 2018,"Spring into savings! Lease now and receive up to 6 weeks free, plus take advantage of up to 6 months of free parking - call for details! Offer valid for new residents on select apartment homes, with approved credit. Expires 5/10/2018. https://t.co/K9LlJvLrPE https://t.co/6upaPmg0Nv",en,Essex Property Trust
Thu May 03 22:07:54 +0000 2018,"Masters of Taste is a food and beverage festival happening this Sunday, May 6th at the Rose Bowl Stadium. Come and enjoy unlimited tastings of delicious food and beverages! Click the link to learn more. https://t.co/C4kS8M8Azh https://t.co/5f8G1qvaxW",en,Essex Property Trust
Wed May 02 23:21:18 +0000 2018,"If you've been wanting to reduce your carbon footprint or be more environmentally friendly, it's never too late! In fact, we have 13 products that are easy to work into your everyday life that will help you make beneficial changes. https://t.co/5MLgWasNaK https://t.co/8sN9j6uq42",en,Essex Property Trust
Thu Apr 26 20:40:37 +0000 2018,"Don't miss the Taste of the East Side Food Festival happening this Sunday, April 29th at Los Angeles River Center and Gardens. The festival will feature over two dozen restaurants from East side neighborhoods. Click the link for more info. https://t.co/l3BB9ID1eK https://t.co/i1eGIgFcx0",en,Essex Property Trust
Wed Apr 25 23:07:45 +0000 2018,"If you wouldn't describe yourself as having a green thumb, you might be making one of these big plant mistakes! Get a much-needed check up on your plant nursing skills to help increase the lifespan of your favorite plants. https://t.co/nugThfAZci https://t.co/HYnl8SByd4",en,Essex Property Trust
Wed Apr 25 16:00:35 +0000 2018,@00chris1 Thank you for reaching out to us about this. Can you tell us which community you reside at so we can investigate further? We also have a customer care team you can reach out to by calling (844) 378-2016 or emailing CustomerCare@essex.com. --The Essex Team,en,Essex Property Trust
Tue Apr 24 21:44:52 +0000 2018,"@HasnMlk That's definitely a suggestion to put forward at your community. We'll pass it along, as well. Thanks! -- The Essex Team",en,Essex Property Trust
Mon Apr 23 18:07:44 +0000 2018,"@HasnMlk We apologize for this situation, Hassan. Of note, any recent alarms at Fountain Park were due to resident use. In one instance, an individual was smoking near the elevator. The latest was triggered by a cooking incident. We'll hope for peace from here. -- The Essex Team",en,Essex Property Trust
Mon Apr 23 16:49:12 +0000 2018,"Don't forget to join us for our upcoming hiring day in Northern #California this Wednesday 4/25! Be sure to bring your resume, AND fill out a general application before arriving: https://t.co/vOZRyP4lxs … #Jobs #jobfair #Hiring #HiringNow https://t.co/101SlDrUdC",en,Essex Property Trust
Fri Apr 20 20:53:49 +0000 2018,"Our unique South Park location near the Staples center, LA Live and Los Angeles Convention Center puts Avant at the heart of it all. Our residents also enjoy being just blocks away from the area’s newest rail transportation! Superior location is yours at Avant South Park. https://t.co/Wtkrieh9H7",en,Essex Property Trust
Thu Apr 19 20:54:59 +0000 2018,"Try the craft cocktails and fresh, seasonal small bites at Westbound. Enjoy the vibe, the music and just chill with your friends! Click the link to view their full menu. https://t.co/JBoUhKftFd https://t.co/wTDpOlGf2n",en,Essex Property Trust
Wed Apr 18 20:54:59 +0000 2018,Take a look at what your horoscope says about your humble abode this month! You might be inspired to get the rug you fell in love with last weekend or the coffee mug that is calling your name. https://t.co/3tVBZCLr13 https://t.co/Tk2eBC7yK1,en,Essex Property Trust
Mon Apr 16 16:09:51 +0000 2018,"Looking for a career in property management? Join us for our upcoming hiring day in Northern #California on 4/25! Be sure to bring your resume, AND fill out a general application before arriving: https://t.co/vOZRyP4lxs #Jobs #jobfair #Hiring #HiringNow https://t.co/RiCh9ZpI5g",en,Essex Property Trust
Fri Apr 13 23:58:13 +0000 2018,"@caitlynbecker We apologize for this situation, Caitlyn, and hope it gets resolved quickly. If you are unable to reach a resolution onsite, please contact CustomerCare@Essex.com or call 844-378-2016. Thank you -- The Essex Team",en,Essex Property Trust
Fri Apr 13 19:35:10 +0000 2018,"At Avant, our studio, 1-, &amp; 2-bedroom apartments feature spacious closets, in-unit full-size washer/dryer, in-home central heat and air, lofty 9-foot ceilings and more! Click the link for more details. https://t.co/K9LlJvLrPE https://t.co/zXWhUx8qQ6",en,Essex Property Trust
Thu Apr 12 23:02:18 +0000 2018,Explore and discover some of the coolest things on Earth at the Natural History Museum (NHM) of Los Angeles County! Click the link to avail a discount on admission. https://t.co/lMs9EFiFL8 https://t.co/skS8bH3SnV,en,Essex Property Trust
Wed Apr 11 23:20:55 +0000 2018,"If painting isn't an option but you still want to add color and design to your walls, take a look at these 7 awesome ways to get your space looking exactly how you want it! https://t.co/Stv6xtZBid https://t.co/oGpy0YelNg",en,Essex Property Trust
Wed Apr 11 20:49:39 +0000 2018,"RT @SClaraChamber: We’d like to thank our Silicon Valley Chambers Business XPO #sponsors: @CAGreatAmerica, Irvine Company,  @KPSantaClara,…",en,Essex Property Trust
Mon Apr 09 23:12:50 +0000 2018,Hi @Sara_YMans - We sent you a direct message with contact information for our customer care team. Were you able to get in touch with them? We appreciate you reaching out to us.,en,Essex Property Trust
Fri Apr 06 21:43:35 +0000 2018,"Spring into savings! Lease today and live up to 6 weeks free! Plus, take advantage of up to 6 months of free parking - call for details. Offer valid for new residents on select apartment homes, with approved credit. Expires 04/08/2018. https://t.co/K9LlJvLrPE https://t.co/EKJ0G91brw",en,Essex Property Trust
Thu Apr 05 23:26:11 +0000 2018,"The LA Beer Fest is happening this Saturday, April 7th at LA Center Studios! This event will feature dozens of international and domestic beers, food trucks and live entertainment. Click the link to buy your tickets. https://t.co/gXFns1RC9A https://t.co/SVyhhRz32Y",en,Essex Property Trust
Thu Apr 05 20:55:22 +0000 2018,https://t.co/J1cwZNcydv,und,Essex Property Trust
Wed Apr 04 21:45:25 +0000 2018,Spring cleaning doesn't have to be a chore. Check out these ways to make cleaning this season more fun and efficient! https://t.co/kQ7RoMOJgY https://t.co/pPJLfW1DdM,en,Essex Property Trust
Fri Mar 30 19:20:20 +0000 2018,"Spring into savings! Lease today and live up to 6 weeks free! Plus, take advantage of up to 6 months of free parking - call for details. Offer valid for new residents on select apartment homes, with approved credit. Expires 04/08/2018. https://t.co/K9LlJvLrPE https://t.co/aF0sf3kdi4",en,Essex Property Trust
Thu Mar 29 19:08:23 +0000 2018,Aladdin is an award-winning Broadway musical that you will enjoy! Snag tickets to one of their showings this weekend at the Pantages Theatre. https://t.co/Y9HoS20kjm https://t.co/tElZ2I4M0h,en,Essex Property Trust
Wed Mar 28 20:59:47 +0000 2018,Are you a fan of all things breakfast? Check out these healthy breakfast ideas that will keep the calorie count low and keep your belly happy! https://t.co/PGmcYlIn4p https://t.co/tT1hDEQ3wM,en,Essex Property Trust
Wed Mar 28 17:01:05 +0000 2018,https://t.co/LtyeHBPufL,und,Essex Property Trust
Wed Mar 28 16:57:37 +0000 2018,https://t.co/8T7qBUZiwH,und,Essex Property Trust
Wed Mar 28 16:57:30 +0000 2018,https://t.co/u9PyxNQT18,und,Essex Property Trust
Fri Mar 23 19:56:50 +0000 2018,"Our unique South Park location near the Staples Center, LA Live and Los Angeles Convention Center puts Avant at the heart of it all. Our residents also enjoy being just blocks away from the area’s newest rail transportation! Superior location is yours at Avant South Park. https://t.co/CdK772jQlq",en,Essex Property Trust
Thu Mar 22 19:15:45 +0000 2018,"Your ramen is perfectly tailored and customized to you at DTLA Ramen with tons of options, add-ons, and flavors! Click the link to check them out. https://t.co/T00T9m5907 https://t.co/6F9bymGeIq",en,Essex Property Trust
Wed Mar 21 19:20:56 +0000 2018,"It's easy to think that you're bound to see the weight loss you want by eating salads, but here are 5 things that could keep you from shedding that extra weight! https://t.co/r4iGAwsxdu https://t.co/2mAbPecDNE",en,Essex Property Trust
Tue Mar 20 23:21:26 +0000 2018,"Even though it's raining near our corporate offices, we are excited to welcome the first day of #spring! https://t.co/CTLh16Ezxn",en,Essex Property Trust
Mon Mar 19 18:24:15 +0000 2018,"@Zachinpublic Greetings, Zach. We're sorry to hear about the alarms and the scooter. If you are unable to rectify things onsite, please contact CustomerCare@Essex.com or 844-378-2016. Thank you -- The Essex Team.",en,Essex Property Trust
Fri Mar 16 21:14:51 +0000 2018,"At Avant, our studio, 1- &amp; 2-bedroom apartments feature spacious closets, in-unit full-size washer/dryer, in-home central heat and air, lofty 9-foot ceilings and more! Click the link for more details. https://t.co/BufJaljpc3 https://t.co/K5nL951NOP",en,Essex Property Trust
Thu Mar 15 23:14:22 +0000 2018,Treat yourself or someone you love to a cleansing facial and peel from Jade Skin &amp; Body Care. Anyone is sure to enjoy it! Click the link to check this deal out. https://t.co/Bupv74ZuY6 https://t.co/dJQLAL2ECc,en,Essex Property Trust
Wed Mar 14 19:26:24 +0000 2018,"If you're looking to step up your Instagram game this month, here are some tips from Instagram superstars that will help you achieve your posting goals! https://t.co/YgDBFFGWWF https://t.co/iAfOos0ZBx",en,Essex Property Trust
Mon Mar 12 20:30:24 +0000 2018,March 12 is National Plant a Flower Day. The flower you plant today could brighten someone's tomorrow! https://t.co/nRKfseqCMu,en,Essex Property Trust
Sat Mar 10 00:19:52 +0000 2018,"Boasting luxurious apartment homes with an ideal location, Avant has your dream apartment! Enjoy beautiful wood plank style flooring, a gated underground parking garage and luxurious design touches, located in Downtown LA. https://t.co/O4zCHtP1DD https://t.co/cmn7sco8BJ",en,Essex Property Trust
Fri Mar 09 00:05:27 +0000 2018,"Learn all about how wine is made, the do's and don'ts, how to read labels, and taste great wines at Wine Camp by WineLA! Check out this awesome event at the link. https://t.co/uX16NIGfdG https://t.co/CDubvsHdj9",en,Essex Property Trust
Wed Mar 07 20:13:56 +0000 2018,We've all had one of those days. Here is a series of tips to relieve the stress and pamper yourself to feel relaxed and rejuvenated for the next day! https://t.co/fjpyVxAIhn https://t.co/OWSxLSZ6Zh,en,Essex Property Trust
Tue Mar 06 22:32:05 +0000 2018,"@ZimsFAB We would like to help you look into this further, but to do so we need to know at which community you reside. Please send us a Direct Message with the information and we will reach out to the appropriate managers and find out how we can help.",en,Essex Property Trust
