created_at,full_text,lang,user_name
Wed Dec 18 17:07:16 +0000 2019,@AnnabelBlancha4 We’re concerned to hear about your experience. We appreciate your loyalty &amp; would love to address your concerns if we can. Please email us at ConsumerCare-UKSOC@gcc.esteelauder.com with your contact info &amp; experience details (including retailer info).,en,Estée Lauder
Wed Dec 18 14:00:01 +0000 2019,"Scents of style: Shop our limited-edition Fragrance Treasures, perfect for the ultimate fragrance lover: https://t.co/pAS3IUcKJv #EsteeWishlist #EsteeEssentials https://t.co/mo8rC4bfy6",en,Estée Lauder
Tue Dec 17 22:06:00 +0000 2019,"@DaniNicole28 Hi - Thank you for reaching out. We're concerned to hear about your experience and would like to put you in touch with the team who can best assist. Please contact us at EsteeConsumerService@esteelauder.com or 1-877-311-3883, and we’ll be happy to help.",en,Estée Lauder
Tue Dec 17 18:19:32 +0000 2019,"@GoelzLeila While we don't offer a recycling program, Leila, we appreciate and share your concerns. To learn more about the Estée Lauder Companies' goal to make 75-100% of our packaging recyclable, refillable, reusable, recycled or recoverable by 2025, visit us here: https://t.co/lJy5KoH5O0.",en,Estée Lauder
Tue Dec 17 14:00:01 +0000 2019,Warm her heart this season with a gift from @AERIN. Shop the most feminine #AERINBeauty products here: https://t.co/RT7oAO6xw4 https://t.co/PVVTJTxs5I,en,Estée Lauder
Mon Dec 16 14:00:01 +0000 2019,"A pink lip, a berry lip and a red lip make an appearance at a #holiday party💄. Which #PureColorEnvy Lipstick are you most likely to be seen in? #EsteeWishlist https://t.co/vNAQdxrZpD https://t.co/IIcpVxN3dR",en,Estée Lauder
Sun Dec 15 15:23:33 +0000 2019,"@KaitlynnIrene1 Great question! Put it on once &amp; don't think twice with #DoubleWear Stay-in-Place Makeup's 24- hour staying power! Set it with Set + Refresh Perfecting Makeup Mist, which revives your skin &amp; immediately boosts your skin's radiance. Get the 411 here: https://t.co/TPXOOdpVR7.",en,Estée Lauder
Sun Dec 15 14:04:52 +0000 2019,"@Danielle_R_89 Thanks for reaching out to us. We can confirm #DoubleWear Nude
Water Fresh Makeup SPF 30 has been retired &amp; we know it's hard when a favorite is gone. Find out if any remaining quantities are available via our Gone But Not Forgotten program, click here: https://t.co/97Mmib4Dti.",en,Estée Lauder
Sun Dec 15 13:26:00 +0000 2019,"@ScottCjohnson81 We appreciate your reply, Scott. We've forwarded your comments to the appropriate team &amp; if you'd like to reach out to them directly, you can email our Consumer Care team at ConsumerCare-SOC@gcc.esteelauder.com. Prefer to call? They can be reached at 1-888-378-3359, as well.",en,Estée Lauder
Fri Dec 13 18:03:33 +0000 2019,"@karengatesss Thanks so much for sharing your love for #DoubleWear Stay-in-Place Makeup, Karen! We're so pleased to hear that it's a staple in your makeup routine. ❤️",en,Estée Lauder
Fri Dec 13 17:52:19 +0000 2019,"@SuzanneNMore Hi Suzanne! Thanks for the love, and for sharing your longtime loyalty. This makes our day.  ❤️",en,Estée Lauder
Fri Dec 13 17:50:45 +0000 2019,@KrimsonKorner Music to our ears! Thanks for sharing the love. 😘,en,Estée Lauder
Fri Dec 13 17:46:39 +0000 2019,@__erikkaaaa Hi Erika! This is fantastic to hear. Thanks for being a fan! 😘,en,Estée Lauder
Fri Dec 13 14:00:10 +0000 2019,Winning looks and our bet is on red 💄. Win her heart this #holiday season by shopping her #EsteeWishlist 🎁. Shop now: https://t.co/nDemko1PV5 https://t.co/DTypAw5NOP,en,Estée Lauder
Thu Dec 12 00:51:40 +0000 2019,@JordanAbena Beautiful! Thanks for being a fan. 😘,en,Estée Lauder
Thu Dec 12 00:45:49 +0000 2019,"@brookeybangbang Wow, thanks for sharing the love! This is music to our ears. ❤️",en,Estée Lauder
Wed Dec 11 17:37:52 +0000 2019,"@stephniebieber If there's anything we can assist with, please know that we're here! Our Order Team is available for immediate help 7 days a week, 24 hours a day at 1.877.311.3883.",en,Estée Lauder
Wed Dec 11 16:46:45 +0000 2019,"@ScottCjohnson81 Thanks so much for your feedback. We will be sure to share your thoughts with the appropriate department for consideration. If you prefer to share your comments with them directly, email them at ConsumerCare-SOC@gcc.esteelauder.com.",en,Estée Lauder
Wed Dec 11 14:00:01 +0000 2019,#AdvancedNightRepair is at the top of our #EsteeWishlist. Is it on the top of yours? Shop now: https://t.co/V90r9zAXC6 https://t.co/ob8keShnKD,en,Estée Lauder
Tue Dec 10 18:03:23 +0000 2019,"@blonde_hash Yes, we have #PerfectionistPro Rapid Renewal Retinol Treatment &amp; it can be used with your #AdvancedNightRepair Synchronized Recovery Complex II. Apply Advanced Night Repair first, then follow with your Perfectionist Pro at night. Be sure to use SPF protection during the day!",en,Estée Lauder
Tue Dec 10 16:58:57 +0000 2019,"@Stormie85881831 We appreciate your reply, Sephera. We'll be sure to share your comments with the appropriate team and if you'd like to reach out to them directly, you can email our Consumer Care team at ConsumerCare-SOC@gcc.esteelauder.com.",en,Estée Lauder
Tue Dec 10 16:25:29 +0000 2019,"@fenolikkararma Thanks for reaching out. We're here to help connect you with the team that can best assist! A member of our Order Team is standing by to help you immediately. Please call us at 0850 250 1794, so we can personally assist.
We can also be reached via email: https://t.co/TlMIXTz2TS.",en,Estée Lauder
Tue Dec 10 16:04:59 +0000 2019,"@Stormie85881831 Thanks for reaching out. We can confirm Pure Color Longlasting Lipstick in Vanilla Truffle was retired, and we're here to help! For a similar alternative, try #PureColorLove Lipstick in Blasé Buff. Get a closer look here: https://t.co/1BwwQal0Kd, and let us know what you think!",en,Estée Lauder
Mon Dec 09 23:43:42 +0000 2019,@min_yuyao We're here to connect you with the correct team. Please DM your contact information (including email address and order #) so they may look into this for you.,en,Estée Lauder
Mon Dec 09 19:32:30 +0000 2019,"@metermaid53 Thanks for reaching out. We’re sorry Modern Muse Body Lotion and Shower Gel was discontinued. To find out if any remaining quantities are available via our Gone But Not Forgotten Program, click here: https://t.co/XI8AlvsPU2.",en,Estée Lauder
Mon Dec 09 17:47:36 +0000 2019,"@largegintonic Thanks for your prompt response, @largegintonic! We'd like to share that we've received your DM and have connected you with the best team to assist. Please let us know if we can be of further assistance.",en,Estée Lauder
Mon Dec 09 17:02:57 +0000 2019,"@largegintonic Thanks for reaching out, @largegintonic. We'd like to collect a bit more information to connect you with the team that can best assist. Please reply via DM with the country site where your items were purchased and purchase details, including your order number and email address.",en,Estée Lauder
Mon Dec 09 14:00:01 +0000 2019,"Checkmate: #DoubleWear wins the foundation game. Make sure you’ve got yourself covered this #holiday season with 24-hour staying power and a flawless finish. Perfect for going from the office, to the holiday party. Shop now: https://t.co/8OrtqpZxtP #EsteeWishlist https://t.co/KenlFMiwgF",en,Estée Lauder
Mon Dec 09 00:26:00 +0000 2019,"@Solivagant69 Thank you for bringing this to our attention. We're concerned to hear this &amp; would like to address. Please send experience details, including the location, &amp; your contact information to consumercare-soc@gcc.esteelauder.com. We'll be directly in touch.",en,Estée Lauder
Sun Dec 08 22:00:10 +0000 2019,"@Kalijade21 We'd like to help and are here to connect you with the team best able to assist. Our Order team is standing by, kindly contact us directly at 1-877-311-3883 or click here to live chat with a member of our Order team: https://t.co/COLJ6J5iQZ.",en,Estée Lauder
Sun Dec 08 21:55:42 +0000 2019,"@Mark_StaleyUSA We're here to help connect you with the team that can best assist! Our Order team is standing by, kindly contact us directly at 1.877.311.3883 or click here to chat live with our Order Team: https://t.co/COLJ6J5iQZ.",en,Estée Lauder
Sun Dec 08 21:40:25 +0000 2019,"@meera_sunker We're here to help connect you with the team best able to assist. Kindly DM your contact information (full name, email address and order #) so we may personally address your concern.",en,Estée Lauder
Sat Dec 07 14:00:01 +0000 2019,Mediterranean Honeysuckle or Amber Musk? Which @AERIN fragrance are you wishing for this #holiday season? Discover more here: https://t.co/wZuPtb4isc #AERINBeauty https://t.co/sGpakvtpxa,en,Estée Lauder
Fri Dec 06 19:09:13 +0000 2019,"@Maddi_Jo5 Thank you so much for reaching out with thoughts about a product that you love, Maddi. We apologize for any frustration, and we will share your feedback with the appropriate teams.",en,Estée Lauder
Fri Dec 06 17:19:17 +0000 2019,"@GrigRichters We're concerned to learn of your experience and we want to help, Grig. So that we can assist, please send us a DM with your order #, email address, and location. We will be in touch.",en,Estée Lauder
Fri Dec 06 14:00:01 +0000 2019,"Belle of the ball! Which fragrance made it onto your #EsteeWishlist this holiday season? Beautiful Belle– a soft, floral oriental fragrance or Beautiful Belle Love– a sweet, oriental gourmand. Shop all fragrances here: https://t.co/L2DuDM8FdH https://t.co/SDkHo3SvQQ",en,Estée Lauder
Thu Dec 05 02:11:00 +0000 2019,"@blonde_hash Thanks for reaching out. We’re unable to confirm if #AdvancedNightRepair Face Serum is suitable for use with another brand. We recommend you defer to your physician's advice. If you have more ingredient questions, please email us at ConsumerCare-SOC@gcc.esteelauder.com.",en,Estée Lauder
Wed Dec 04 16:18:34 +0000 2019,"@dinky1212 We’re very sorry to hear of your experience. So that we can assist, please send us details, including your email address &amp; order number, via DM here or PM in Facebook. Thank you.",en,Estée Lauder
