created_at,full_text,lang,user_name
Thu Dec 19 14:00:05 +0000 2019,"When you #joinourteam, we support your development at all levels of your career. Watch how @ThermaTru promotes learning as part of their every day – encouraging curiosity and continuous improvement for ourselves and our business. #fbhs #fortunebrands https://t.co/GO0kDOJQoR https://t.co/CLkJcE8Dut",en,Fortune Brands H&S
Mon Dec 16 19:40:32 +0000 2019,"On the Tuesday before Thanksgiving, FBHS team members came together and donated their time at Libertyville’s Feed My Starving Children location. The team packaged 170 boxes which will cover 36,936 meals and feed 101 kids for a full year. #fbhs #fortunebrands #community https://t.co/lzm8ePZegA",en,Fortune Brands H&S
Wed Dec 11 13:00:59 +0000 2019,"We’re blowing out the candles for #NationalAppDay with our favorite, Connect. It’s changed the way we work. Teams now share more timely info targeted to a variety of businesses and locations. All within the scroll of their phone. #fbhs #fortunebrands https://t.co/o2wx5cpztS",en,Fortune Brands H&S
Mon Dec 09 18:01:10 +0000 2019,Congratulations to our Global Plumbing Group’s SVP/Chief Marketing and Innovation Officer @richermh. Mark-Hans was honored by his peers with The CMO Club’s Transformation Award at a November event in NYC. #fbhs #fortunebrands #globalplumbinggroup https://t.co/MkrQZ8bqYO,en,Fortune Brands H&S
Fri Dec 06 14:00:08 +0000 2019,"Our inclusive #companyculture is essential to winning in the marketplace. See how @ThermaTru and all our companies embrace a collaborative work environment where differences are valued and respected, creating a competitive advantage. #fbhs #fortunebrands https://t.co/gttEM8cWEd https://t.co/6QOOTr7DSd",en,Fortune Brands H&S
Wed Dec 04 14:00:46 +0000 2019,"We recently published our 2019 Environment, Social and Governance report. Check out what's new here: https://t.co/5NJUR26W2O #fbhs #fortunebrands #esg https://t.co/pOr4uPt0LX",en,Fortune Brands H&S
Tue Dec 03 15:06:27 +0000 2019,"Fortune Brands and our family of companies are long-time supporters of Habitat for Humanity and the local chapters by where we work. Recently, members from our corporate office took part in a dedication for a Chicago family’s home our dollars supported. #fbhs #habitat https://t.co/GqaZ0AcTPq",en,Fortune Brands H&S
Mon Dec 02 14:01:00 +0000 2019,"We made the @justcapital_ list! We’re thrilled to announce that Fortune Brands has ranked No. 3 out of 26 in the Building Materials &amp; Packaging industry. Within our industry, we were highest on the issues of Customers and Shareholders. #fbhs #fortunebrands https://t.co/eVfpygC5C1 https://t.co/67MCSS7P9F",en,Fortune Brands H&S
Thu Nov 28 18:00:33 +0000 2019,From all of us to all of you... https://t.co/ZJYz3wbWFv,en,Fortune Brands H&S
Mon Nov 25 14:00:42 +0000 2019,"Search for cross-company open roles at https://t.co/VNjLmij0wC. We have an impressive track record of results, market outperformance and growth. #fbhs #fortunebrands #chicago #hiring https://t.co/dDqFVtAFLN",en,Fortune Brands H&S
Fri Nov 22 14:00:31 +0000 2019,We’re excited to share that our team @FiberonDecking is increasing production capabilities at its Idaho facility. This expansion broadens Fiberon’s capabilities and reflects their commitment to providing customers with exceptional composite decking products. #fbhs #fortunebrands https://t.co/i9M60euzry,en,Fortune Brands H&S
Wed Nov 20 14:01:01 +0000 2019,"Recently, @moen teamed up with Power Construction, FitzGerald, &amp; Eriksson Engineering Associates, Ltd. for Canstruction Chicago. The group used 7,086 cans in the newly created water droplet sculpture, which will all be donated to the Greater Chicago Food Depository. #fbhs #give https://t.co/ugFT3BQulw",en,Fortune Brands H&S
