created_at,full_text,lang,user_name
Thu Dec 19 23:14:56 +0000 2019,This is my weekly #Tarlos appreciation post and the official count down to your new favorite show. https://t.co/mS4BKaGrIK,en,FOXtivus
Thu Dec 19 21:23:52 +0000 2019,"RT @duncanvillefox: It's okay, Jack — pretty sure there are plenty of other idiots to keep you company. 

#Duncanville premieres February 1…",en,FOXtivus
Thu Dec 19 21:23:36 +0000 2019,RT @jennadewan: What better way to spend the holiday season than with dancing and the hope of finding true love?? This show has SO much hea…,en,FOXtivus
Thu Dec 19 17:19:10 +0000 2019,"@MoodysOnFOX @BeatShazamFOX @911onFOX @prodigalsonfox @EmpireFOX @MaskedSingerFOX @kenjeong Family holiday fun with the @almostfamilyfox gang. #JollyAsFOX

https://t.co/MGdubgMMOf",en,FOXtivus
Thu Dec 19 16:31:07 +0000 2019,"@MoodysOnFOX @BeatShazamFOX @911onFOX @prodigalsonfox @EmpireFOX @MaskedSingerFOX How many times will @kenjeong guess Bjork on this episode of @MaskedSingerFOX? #JollyAsFOX

https://t.co/Uu8qTbDbMj",en,FOXtivus
Thu Dec 19 15:00:21 +0000 2019,This will obviously be everything you didn’t know you needed. The 10 day countdown to your new favorite dating show starts now. https://t.co/5hyTpud2jk,en,FOXtivus
Thu Dec 19 06:07:35 +0000 2019,"Welp, that was quite a night. Whew. Congrats @WayneBrady! We're definitely about to become best friends. https://t.co/b9OGWTpCT9",en,FOXtivus
Thu Dec 19 04:34:40 +0000 2019,RT @MaskedSingerFOX: This undeniable #FlamingoMask 💝 rendition of Lady Marmalade was @RobinThicke's favorite! #TheMaskedSinger https://t.co…,en,FOXtivus
Wed Dec 18 23:44:37 +0000 2019,RT @WWE: The competition is getting fierce! Get a first look at #RottweilerMask’s final performance before the @MaskedSingerFOX two-hour fi…,en,FOXtivus
Wed Dec 18 19:10:03 +0000 2019,"""When I had to go to rehearsals, I could just be who I am. Let my skin breathe. I just felt free. I felt loved on. I felt like if I decide to pursue music full-time, I have a place here."" - @RealMichelleW for @latimes https://t.co/RnVXhulNSE",en,FOXtivus
