created_at,full_text,lang,user_name
Thu Dec 19 23:01:17 +0000 2019,"How are today’s companies navigating the drivers of change using ESG considerations? Our Head of ESG, Julie Moret, weighs in: https://t.co/ITJVV0ZjtF https://t.co/UWTMk8790g",en,Franklin Templeton
Thu Dec 19 20:00:11 +0000 2019,"Find out what the hottest employee benefits for 2020 will be, according to benefits experts. Interesting insights form @EBAadvisernews: https://t.co/Lmva7MYOlD",en,Franklin Templeton
Thu Dec 19 18:01:05 +0000 2019,"Today, companies are faced with a number of shifting environmental, social and governance challenges. Read more from our Julie Moret: https://t.co/mABCNHWnuX",en,Franklin Templeton
Thu Dec 19 16:36:05 +0000 2019,RT @libertyshares: Making a splash with the announcement of our first liquid alternative ETF: Franklin Liberty Systematic Style Premia ETF $FLSP: https://t.co/K3IWojZF6A https://t.co/VC18WtQZVO,en,Franklin Templeton
Thu Dec 19 15:00:26 +0000 2019,"Are you a Baby Boomer approaching retirement? Here are some strategies to take advantage of generationally low tax rates, from @AdvPerspectives: https://t.co/woUsS2DOsI",en,Franklin Templeton
Thu Dec 19 13:01:37 +0000 2019,"Could the US be facing a #recession in 2020? Our Head of Equities, Stephen Dover, doesn’t think so. Find out why: https://t.co/1SsPYm9DKD https://t.co/7QH8wOqLgN",en,Franklin Templeton
Thu Dec 19 01:01:18 +0000 2019,"Are demographic and societal shifts fundamentally changing consumer behavior? Julie Moret, our Head of ESG, explains what that could mean for companies and investors: https://t.co/OcP4FYUKeW https://t.co/vQ4vusWlgD",en,Franklin Templeton
Wed Dec 18 23:00:04 +0000 2019,"Active managers are making 4 changes to their traditional strategies to compete with passive, index-based investing, according to @AMC_IAA. Learn more: https://t.co/FEiPYv9z2V",en,Franklin Templeton
Wed Dec 18 18:00:14 +0000 2019,"Markets may see a “new volatility regime” in 2020, according to our Multi-Asset Solutions team. Find out what they mean: https://t.co/lRtykQC4uv",en,Franklin Templeton
Wed Dec 18 15:00:46 +0000 2019,There’s opportunity in volatility—and it looks like 2020 could hold both. Get our Fixed Income CIO Sonal Desai’s outlook: https://t.co/WHR1HwGrst https://t.co/m2py1hJ85m,en,Franklin Templeton
