created_at,full_text,lang,user_name
Thu Dec 19 22:15:58 +0000 2019,"Fastenal recently attended the National FFA Convention &amp; Expo in Indianapolis. https://t.co/hOMl1pQUsY The 2019 event marked the 92nd installment of the expo and hosted nearly 70,000 attendees. 

#FFA #FFA19 #FastenalCareers https://t.co/zGLTcOI7vN",en,Fastenal
Thu Dec 19 16:02:03 +0000 2019,"Fastenal and @gearwrench have partnered up to give away 3  prize packages this month, each including a 243 PC. 6 Point Mechanics Tool Set, a Bluetooth Speaker and Radio, and a 150 Lumen Rechargeable Ultra-Thin Flex-head Work Light.

Click here to enter: https://t.co/uT3ZwdswFV https://t.co/SzKtm7JV3o",en,Fastenal
Wed Dec 18 17:15:13 +0000 2019,"For projects both big and small, Power Phase's adhesive-lined heat shrink tubing provides a barrier against contaminants, while remaining highly flexible for conforming to irregular shapes. Get yours today at Fastenal. https://t.co/HPQg7D9TNF https://t.co/WaaXroiyxr",en,Fastenal
Wed Dec 18 16:44:19 +0000 2019,"The Fastenal branch in Zeeland, MI is getting into the holiday spirit!!
#MerryandBright #HappyHolidays https://t.co/xoEBRE5kDK",en,Fastenal
Tue Dec 17 18:00:59 +0000 2019,"Fastenal your Seatbelts is back, but this time, with a twist! This is an exclusive Fan Club Members Only giveaway! Sign up for the Fan Club to gain access to the Fastenal Racing Garage where the giveaway is avaliable for entry.

https://t.co/bkSpqDezj9

#FastenalRacing #FanClub https://t.co/i1SNqH7Ode",en,Fastenal
Mon Dec 16 17:25:05 +0000 2019,"Since they began in 1922, it has been Durham Manufacturing's mission to provide you the best quality, fast delivery, and highest level of customer service. Check out our Safety products, Material Handling, and Storage Solutions on https://t.co/7ywFqqWaq0. https://t.co/QFS802qsjL",en,Fastenal
Fri Dec 13 16:05:06 +0000 2019,"The newest #Fastenal Tool Talk is here! Wire brushes can be very effective for cleaning, deburring, grinding, finishing, and cutting. Follow this Wire Wheel Selection Guide to get the best results.

https://t.co/iY3x6ne9kD",en,Fastenal
Thu Dec 12 18:45:08 +0000 2019,"Heyco® Snap Bushings convert raw-edged holes to smooth, neat, insulated holes to insulate and mechanically protect electrical and telecommunications cables, tubing, hose, rope, and utility lines.  Locking fingers snap into holes with fingertip pressure. Find yours at Fastenal. https://t.co/rcADzmIB1I",en,Fastenal
Tue Dec 10 22:48:34 +0000 2019,"In the season of giving, Fastenal partnered with GearWrench to give away 3 prize packages, each including a 243 PC. 6 Point Mechanics Tool Set, a Bluetooth Speaker and Radio, and a 150 Lumen Rechargeable Ultra-Thin Flex-head Work Light.
Click her to enter: https://t.co/uT3ZwdaVOn https://t.co/SVNkRUiA07",en,Fastenal
Tue Dec 10 21:19:19 +0000 2019,"Look for new Body Guard 360˚ Cut Protection Gloves to arrive mid-December. Keep your worker’s hands out of harm’s way and protect your most valuable asset – your employees. Contact your local #Fastenal for more information.

https://t.co/dtrS3l4Zss https://t.co/0Q8jFIWn5Q",en,Fastenal
Tue Dec 10 20:01:40 +0000 2019,Your favorite Greenlee knockouts got an upgrade! New punches and draw studs make assembly a breeze. New dies are optimized for the widest range of materials and drivers – no spacers required. Laser alignment markings make for easy set up. #GreenleeTools #ProfessionalNothingLess https://t.co/24Lpx3E2Hs,en,Fastenal
Tue Dec 10 19:17:26 +0000 2019,"Our President &amp; CEO, Dan Florness, was recently named one of America’s most Innovative Leaders by Forbes. “It’s really a reflection of the entire Blue Team, not any one individual,” he said.

#Fastenal #Innovation #BlueTeam https://t.co/stHR7S4fZZ",en,Fastenal
Mon Dec 09 20:37:41 +0000 2019,"We're ready... are you? Welcome aboard, @Chris_Buescher! https://t.co/mAyCab2Wlr",en,Fastenal
Mon Dec 09 12:15:08 +0000 2019,"Don't miss our quarterly Product Promotions flyer, which is downloadable from https://t.co/dK97fqOoe5. Prices effective through December 31st. 

Click here to get it now: 
https://t.co/maIMXiigTL https://t.co/YMYVQOF7t5",en,Fastenal
Fri Dec 06 19:01:19 +0000 2019,"#FunFactFriday -- @GWR says the record for most gloves worn on one hand is 135. Huh. Look at that! We have some gloves on sale! https://t.co/xMWDNI9NZn

#PureCoincidence #fastenal https://t.co/DDKJuuj0fG",en,Fastenal
Fri Dec 06 15:53:41 +0000 2019,"@Chris_Buescher is LIVE on Fastenal Racing Instagram! Head on over there for your chance to win a Fastenal Backpack full of goodies collected from our race supplies by Chris. Instructions on how to apply are listed on our latest Instagram post. 

https://t.co/F06LSiG1Gl",en,Fastenal
Fri Dec 06 15:30:27 +0000 2019,"Providing a reduction in tool inventory and cost for customers, the TC115/TC216 from Walter is the ideal solution for small and medium-sized blind hole and through hole threading projects. Get yours today at https://t.co/7ywFqqWaq0. https://t.co/oQlb2HNatT",en,Fastenal
Thu Dec 05 22:08:39 +0000 2019,"The latest Fastenal ToolTalk is now available and in this issue we take a look at end mill types. 

https://t.co/rEB9nwq7fy",en,Fastenal
Thu Dec 05 19:45:08 +0000 2019,"Have you ever been to one of our “industrial mini-malls?” Of course not. We didn’t build them! But check out our humorous look at what could have been! https://t.co/VYdetWW246 

#ThrowbackThursday #FastenalTurns52 https://t.co/NyCTqCYRTr",en,Fastenal
Thu Dec 05 18:52:10 +0000 2019,RT @roushfenway: Get your first look at the No. 17 @FastenalRacing scheme that @Chris_Buescher will pilot in 2020 🤙 https://t.co/EXTiaKs6Nu,en,Fastenal
Thu Dec 05 18:40:10 +0000 2019,We unveiled our 2020 No. 17 Fastenal Ford Mustang today at the Fastenal Employee Expo! https://t.co/2BSvCEcI8M,en,Fastenal
Thu Dec 05 15:01:39 +0000 2019,Fastenal Racing's #10YearChallenge starts in 2010 when Fastenal partnered with @roushfenway with the No. 99 Fastenal Ford Fusion! Jump ahead a decade to today when we will be revealing our 2020 No. 17 Fastenal Ford Mustang. It all happens on our Facebook Live at 1:30 PM Eastern! https://t.co/1AITlDoXJF,en,Fastenal
Tue Dec 03 19:01:46 +0000 2019,"Berkshire Corporation is the global leader in developing and manufacturing products and services for the critical, regulated, and contamination control markets worldwide. Find low lint dry and pre-wetted wipes, swabs, face masks, glove liners, and more at Fastenal. https://t.co/uiQ1DM316U",en,Fastenal
Fri Nov 29 19:27:04 +0000 2019,"Last year our Indianapolis Distribution Center recycled over 48,000 pallets. This is equivalent to saving 5,781 trees or preventing 2,034 tons of wood waste or reducing 3,092 metric tons of CO2 (equivalent to 10,550 cars taken off the road). https://t.co/eEyxENJLkV https://t.co/p45po37EPB",en,Fastenal
Fri Nov 29 15:45:13 +0000 2019,Protect your flammables from explosion with Eagle Flammable Liquid Safety Cabinets. Get special online prices today with Fastenal: https://t.co/R32Dfby4tc https://t.co/e1pm9Lr8d7,en,Fastenal
Fri Nov 29 14:04:03 +0000 2019,"""ID In-Depth: The FAST Get Faster: ID profiles #Fastenal and how its lean approach has led to the Winona, MN-based company to a practically intimate level of customer service."" @InDistwebsite https://t.co/FIFrESQltc",en,Fastenal
Fri Nov 29 14:02:46 +0000 2019,"Great job, @WeilerAbrasives! https://t.co/vXT5lfhsKm",en,Fastenal
