created_at,full_text,lang,user_name
Thu Dec 19 16:00:24 +0000 2019,Five security questions to ask your potential digital billing provider via @EnergyCentral: https://t.co/ZAYpUUl6T6 https://t.co/wHaJUSMLXf,en,Fiserv
Thu Dec 19 14:15:19 +0000 2019,"Catch up on the latest articles, opinions and insights for the financial services industry. Recent topics include #fraud, #CECL, #payments and more: https://t.co/KoWJXPfLSN https://t.co/qnzzrHd0cG",en,Fiserv
Thu Dec 19 11:55:08 +0000 2019,We are #FISVProud to be shortlisted for Technology Provider of the Year for the 2020 #FStechAwards. The @FStechAwards celebrate technology excellence and innovation within the UK and EMEA financial services sector. https://t.co/O7NSaCScv9,en,Fiserv
Wed Dec 18 17:11:30 +0000 2019,"RT @TheRaddonReport: #GenZ is rapidly turning out to be its own self, in some cases even inheriting attitudes from older generations, rathe…",en,Fiserv
Tue Dec 17 21:19:16 +0000 2019,We are #FISVProud to be shortlisted for Technology Provider of the Year for the 2020 #FStechAwards! https://t.co/kbrACSfkcZ,en,Fiserv
Tue Dec 17 20:55:06 +0000 2019,The holiday shopping season is here. How can financial institutions ensure consumers are protected from #fraud? Here are a few tips: https://t.co/SgJcQSx48F,en,Fiserv
Tue Dec 17 18:16:24 +0000 2019,RT @paymentsjournal: A webinar hosted by @Fiserv addressed the many ways 2019 has been a year of #globaldigitaltransformation. While #comme…,en,Fiserv
Mon Dec 16 19:36:40 +0000 2019,RT @pymnts: Why speed isn't the only need for #payments in the 2020s. @pymnts interview  w/ @Fiserv's Deva Annamalai https://t.co/wEu2Bofzxl,en,Fiserv
Mon Dec 16 13:30:35 +0000 2019,#FISVProud to be recognized as one of @BandF 100 Most Outstanding Irish Companies of 2019 https://t.co/WyIkzArs6t https://t.co/lFpNxj2OAj,en,Fiserv
Sun Dec 15 00:45:05 +0000 2019,We are #FISVProud to honor Army veteran Matthew Bell during the @Bucks game tonight. Thank you for your service! #FiservSalutes #FearTheDeer https://t.co/1UAveBJyqF,en,Fiserv
Fri Dec 13 21:00:28 +0000 2019,".@Finovate Executive of the Year, Kim Crawford Goodman, Fiserv, discusses her journey through financial services and the industry trends she believes are shaping the industry: https://t.co/zU7mMOue6G",en,Fiserv
Fri Dec 13 14:55:08 +0000 2019,Extended deadlines are no reason to put #CECL planning on hold. Push ahead on executing your compliance strategy. https://t.co/IlKWFHoIPY,en,Fiserv
Thu Dec 12 22:25:04 +0000 2019,Turn #CECL compliance into opportunity. Find out how to use the extended timelines to your organization’s advantage. https://t.co/IlKWFHoIPY,en,Fiserv
Thu Dec 12 21:35:03 +0000 2019,"Both innovative and progressive, @SeattleCU and @AmplifyCU transformed in order to remain relevant, accelerate growth and enhance their members experience. Read more: https://t.co/s7AGS2oFT8

#Fintech #digitalbanking #creditunions",en,Fiserv
Thu Dec 12 17:35:05 +0000 2019,".@Finovate Executive of the Year, Kim Crawford Goodman, Fiserv, discusses her journey through financial services and the industry trends she believes are shaping the industry: https://t.co/zU7mMOue6G",en,Fiserv
Thu Dec 12 13:22:09 +0000 2019,"RT @FinancialBrand: 13 Major Insights Into #GenZ Driving Banking Behaviors In 2020 (And Beyond)

https://t.co/GA20D7DlqH https://t.co/ngezf…",en,Fiserv
Wed Dec 11 16:50:09 +0000 2019,"Advisory services have changed dramatically. Check out three top priorities on delivering new value to investors: https://t.co/63WU3vftCp

#WealthTech #AdvisorTrends",en,Fiserv
Tue Dec 10 21:45:15 +0000 2019,"""It is essential to continue to innovate, and Motive Partners’ expertise and focus on value creation will help enable an exciting next chapter for our business and our clients,” said Cheryl Nash, President of Investment Services. Read more: https://t.co/ofo4Lj4gUX https://t.co/6tR0pjoRD2",en,Fiserv
Tue Dec 10 19:55:15 +0000 2019,"Join us this Thursday, December 12th at 12 PM ET to learn more about the top commerce, banking and financial technology trends in 2019 and how they may affect your business moving into 2020. Register today: https://t.co/VXKj5ln3vm 

#Fintech #2019Trends https://t.co/f0XMJuVAqb",en,Fiserv
Tue Dec 10 16:05:10 +0000 2019,"“The majority of consumers are aware of “tap and pay” capabilities, with just over a third of consumers having a credit or debit card with such capabilities.” says Jamie Topolski via @payments_source: https://t.co/647yNOlwzk",en,Fiserv
Tue Dec 10 14:25:06 +0000 2019,The holiday shopping season is here. How can financial institutions ensure consumers are protected from #fraud? Here are a few tips: https://t.co/SgJcQSx48F,en,Fiserv
Tue Dec 10 00:10:10 +0000 2019,"Join us this Thursday, December 12th at 12 PM ET to learn more about the top commerce, banking and financial technology trends in 2019 and how they may affect your business moving into 2020. Register today: https://t.co/VXKj5ln3vm 

#Fintech #2019Trends https://t.co/JMXg5F0R1s",en,Fiserv
Mon Dec 09 16:55:14 +0000 2019,"#GenZ is rapidly turning out to be its own self, in some cases even inheriting attitudes from older generations, rather than Millennials. What are the Gen Z insights driving banking behaviors in 2020? https://t.co/pl3Pi0QunR

@FinancialBrand @TheRaddonReport",en,Fiserv
Mon Dec 09 14:40:05 +0000 2019,"""It is essential to continue to innovate, and Motive Partners’ expertise and focus on value creation will help enable an exciting next chapter for our business and our clients,” said Cheryl Nash, President of Investment Services. Read more: https://t.co/ofo4Lj4gUX https://t.co/P1nGsuupRf",en,Fiserv
