created_at,full_text,lang,user_name
Fri Dec 13 14:00:47 +0000 2019,"From FLEETCOR UK, we wish you a Merry Christmas and a Happy New Year! 🎄 🎅 https://t.co/I8ycrwQwsu",en,FLEETCOR Careers
Wed Dec 04 16:21:21 +0000 2019,"@AllstarFuelCard Including @AllstarFuelCard 's Managing Director, Paul Holland! https://t.co/DIbgbfv9OZ",en,FLEETCOR Careers
Wed Dec 04 16:19:48 +0000 2019,@AllstarFuelCard Our employees definitely had the pedal power to run the blender! https://t.co/rHmgrOuzso,en,FLEETCOR Careers
Wed Dec 04 15:19:48 +0000 2019,"@AllstarFuelCard We challenged all of our UK offices to have a go at our 'Love Smoothie Bike', to raise a glass and fuel their future 🚲 🧉 Smoothie combinations included strawberry and banana or mango, pineapple and kiwi! https://t.co/AqDqsA63jq",en,FLEETCOR Careers
Wed Dec 04 14:01:21 +0000 2019,"It's on! Today, we're celebrating the launch of @AllstarFuelCard One Electric Card #LoveFLEETCOR https://t.co/FYigsowtYb",en,FLEETCOR Careers
Mon Nov 25 09:38:11 +0000 2019,Those who came to visit us were entered into a prize draw for a £30 Amazon voucher and we'd like to say happy browsing to our winner Sarah Shaw! We look forward to helping you change your everyday #lovefleetcor https://t.co/3DAUtBemc1,en,FLEETCOR Careers
Mon Nov 25 09:37:30 +0000 2019,It's time for 'Your Choice'. This week our HR team have been hosting a benefits roadshow to unveil our newly revamped employee benefits brand! The team plus special guest Cassie from Vitality were on hand to answer any burning questions about the benefits options available! https://t.co/thmeXLuWuC,en,FLEETCOR Careers
Thu Nov 14 12:11:55 +0000 2019,@ERACTeamPudsey Thank you for coming in and our employees wish you all the best of luck!,en,FLEETCOR Careers
Thu Nov 14 12:11:14 +0000 2019,RT @ERACTeamPudsey: Thank you for having us @FleetcorCareers! We had lovely warm welcome and thank you for raising money for #childreninnee…,en,FLEETCOR Careers
Thu Nov 14 11:47:59 +0000 2019,Pudsey and Blush have come to visit FLEETCOR Swindon today to raise as much money as possible for Children In Need! Make sure to empty your pockets and tag us in your pictures with the cuddly duo! #ChildrenInNeed2019 @ERACTeamPudsey @BBCCiN @UKEnterprise https://t.co/lCwvgM2WQr,en,FLEETCOR Careers
Sun Nov 10 11:00:06 +0000 2019,"""They shall not grow old, as we that are left grow old, age shall not weary them, nor the years condemn, at the going down of the sun, and in the morning, we will remember them"" - Robert Laurence Binyon ❤️ #RemembranceDay #LestWeForget https://t.co/5gACyepGFh",en,FLEETCOR Careers
Wed Nov 06 18:44:11 +0000 2019,"Today, it’s #NationalStressAwarenessDay. Our HR Director Zoe Boreham hosted mindfulness sessions. With comfy chairs, dimmed lighting and a diffuser releasing calming aromatherapy oils, our employees were given the chance to completely zen out during Zoe’s guided meditation 🧘‍♂️ ✨ https://t.co/GXeQkHvWvI",en,FLEETCOR Careers
