created_at,full_text,lang,user_name
Thu Dec 19 15:25:08 +0000 2019,Looking for an opportunity to put your #Valve experience to work? Check out this opportunity for an Operations Coordinator. #Flowserve https://t.co/8kH4J8AnSE,en,Flowserve
Thu Dec 19 13:15:19 +0000 2019,Join us at the 2020 AUG-MUG conferences Jan. 13–17 in booth 120 to learn how to choose the best possible flow control solutions in super-critical applications. Register today! https://t.co/18M2IUBYDS https://t.co/jFV9MCUWpb,en,Flowserve
Wed Dec 18 13:15:24 +0000 2019,Our T-Boost #seal gas booster can improve operational efficiency during periods of low differential pressure. View the video to learn how. https://t.co/PKJUyVAvcI https://t.co/6zDTgs0tDc,en,Flowserve
Tue Dec 17 13:20:11 +0000 2019,Our concrete volute pumps provide a new level of protection for large-scale #FloodManagement projects around the globe. Learn more in the article: https://t.co/ARi6vwSfOV,en,Flowserve
Mon Dec 16 14:30:41 +0000 2019,"In the spirit of the holiday season, employees and managers at our site in Taneytown, Pa., generously donated funds/gifts to sponsor 11 local families. #HappyHolidays https://t.co/4vZ7ACvKB6",en,Flowserve
Mon Dec 16 13:20:12 +0000 2019,Compressors fitted with #DryGasSeals can experience contamination during periods of low differential pressure. Find out how our T-Boost seal gas booster can help remedy this issue: https://t.co/fUNzIeG9Vw https://t.co/YniCgfRDEn,en,Flowserve
Fri Dec 13 15:02:02 +0000 2019,Confused about which #actuators to use? Our white paper helps you sort it out. https://t.co/UWIVZpR6VN,en,Flowserve
Fri Dec 13 13:15:25 +0000 2019,Staying up to date on key industry trends could help separate your operations from the rest of the pack. Read our blog about what’s shaping the refinery and petrochemical industry: https://t.co/11fXiUcOcp https://t.co/JIlfPVUuZB,en,Flowserve
Thu Dec 12 13:25:11 +0000 2019,Check out our white paper to learn the advantages of brushless DC electric motors in actuation applications: https://t.co/9HIZ7WAD4Z https://t.co/t805pcwz3f,en,Flowserve
Wed Dec 11 15:10:21 +0000 2019,We featured the latest #Flowserve #water technology solutions at this week’s #MEDRC’s Cutting Edge Water Technology Showcase in Oman. https://t.co/cAs6862ZAM,en,Flowserve
Wed Dec 11 13:06:16 +0000 2019,Learn the answers to questions about IoT interoperability and lead time when using our solutions: https://t.co/WBfR5nsElc #IoT https://t.co/ct92JyxASw,en,Flowserve
Tue Dec 10 15:30:43 +0000 2019,We’re looking for candidates qualified in mechanical engineering with good fitting and mechanical skills. Check out the job description: https://t.co/8JblN46Oai,en,Flowserve
Tue Dec 10 13:10:07 +0000 2019,"Our President and CEO Scott Rowe was named to the inaugural class of the 25 Most Impactful Veterans in Energy. Congrats to Scott! #Veterans #OilandGas
https://t.co/RRZxyZLW54 https://t.co/2GdFHd22EZ",en,Flowserve
Mon Dec 09 13:15:18 +0000 2019,Mag-drive pumps balance sustainability and performance needs when used in environmentally critical applications. Learn how these pumps handle extreme conditions while providing leakage protection in our blog post: https://t.co/JrOJiKNoyt https://t.co/gp4zRjvlyd,en,Flowserve
Fri Dec 06 13:15:14 +0000 2019,"Compressors fitted with dry gas #seals deliver excellent reliability, as long as a continuous supply of clean #seal gas is available. But what happens when that supply is disrupted? Find out more in our video: https://t.co/gvycffSzKN https://t.co/tMDh30L5Nu",en,Flowserve
Thu Dec 05 13:39:59 +0000 2019,"Curious as to how we engineer, manufacture and assemble the world’s most powerful boiler feed pump? Dive into everything that goes into developing the CHTA and follow this link for the full video: https://t.co/G1TEXLVOfF https://t.co/Zgd85CIA0M",en,Flowserve
